insight_id,evidence_block,entity_level,entity,parent_entity,row_count,row_share_pct,sales,sales_share_pct,profit,profit_margin_pct,avg_discount,loss_line_count,gross_loss,gross_loss_share_pct,note
G1,overall_profit_baseline,overall,All regions,,19988,100.0,4594401.72,100.0,572794.04,12.47,0.156,3742,-312262.57,100.0,"Baseline: total sales are much larger than net profit, and loss-making rows offset profitable rows."
G2,discount_profit_threshold,discount_group,<=0.2,,17202,86.06,3868861.42,84.21,843546.16,21.8,0.087,1046,-35232.09,11.28,"Discount sign-flip comparison: <=0.2 remains profitable overall, while >0.2 is loss-making."
G2,discount_profit_threshold,discount_group,>0.2,,2786,13.94,725540.3,15.79,-270752.11,-37.32,0.583,2696,-277030.49,88.72,"Discount sign-flip comparison: <=0.2 remains profitable overall, while >0.2 is loss-making."
G3,discount_loss_concentration,discount_group,<=0.2,,17202,86.06,3868861.42,84.21,843546.16,21.8,0.087,1046,-35232.09,11.28,Discount concentration comparison: high-discount rows are a minority of rows but carry almost all gross loss.
G3,discount_loss_concentration,discount_group,>0.2,,2786,13.94,725540.3,15.79,-270752.11,-37.32,0.583,2696,-277030.49,88.72,Discount concentration comparison: high-discount rows are a minority of rows but carry almost all gross loss.
G3,discount_loss_concentration,exact_discount,0.0,,9596,48.01,2175816.94,47.36,641975.21,29.51,0.0,0,0.0,-0.0,Exact discount profile: every observed discount level above 0.2 is loss-making overall.
G3,discount_loss_concentration,exact_discount,0.1,,188,0.94,108738.7,2.37,18058.35,16.61,0.1,8,-58.55,0.02,Exact discount profile: every observed discount level above 0.2 is loss-making overall.
G3,discount_loss_concentration,exact_discount,0.15,,104,0.52,55117.04,1.2,2837.98,5.15,0.15,34,-657.41,0.21,Exact discount profile: every observed discount level above 0.2 is loss-making overall.
G3,discount_loss_concentration,exact_discount,0.2,,7314,36.59,1529188.74,33.28,180674.61,11.82,0.2,1004,-34516.13,11.05,Exact discount profile: every observed discount level above 0.2 is loss-making overall.
G3,discount_loss_concentration,exact_discount,0.3,,454,2.27,206453.31,4.49,-20738.55,-10.05,0.3,416,-21555.38,6.9,Exact discount profile: every observed discount level above 0.2 is loss-making overall.
G3,discount_loss_concentration,exact_discount,0.32,,54,0.27,28986.92,0.63,-4782.28,-16.5,0.32,54,-4782.28,1.53,Exact discount profile: every observed discount level above 0.2 is loss-making overall.
G3,discount_loss_concentration,exact_discount,0.4,,412,2.06,232835.57,5.07,-46114.1,-19.81,0.4,360,-51575.65,16.52,Exact discount profile: every observed discount level above 0.2 is loss-making overall.
G3,discount_loss_concentration,exact_discount,0.45,,22,0.11,10969.95,0.24,-4986.22,-45.45,0.45,22,-4986.22,1.6,Exact discount profile: every observed discount level above 0.2 is loss-making overall.
G3,discount_loss_concentration,exact_discount,0.5,,132,0.66,117837.08,2.56,-41012.86,-34.8,0.5,132,-41012.86,13.13,Exact discount profile: every observed discount level above 0.2 is loss-making overall.
G3,discount_loss_concentration,exact_discount,0.6,,276,1.38,13289.4,0.29,-11889.31,-89.46,0.6,276,-11889.31,3.81,Exact discount profile: every observed discount level above 0.2 is loss-making overall.
G3,discount_loss_concentration,exact_discount,0.7,,836,4.18,81240.56,1.77,-80150.71,-98.66,0.7,836,-80150.71,25.67,Exact discount profile: every observed discount level above 0.2 is loss-making overall.
