insight_id,evidence_block,entity_level,entity,parent_entity,row_count,row_share_pct,sales,sales_share_pct,profit,profit_margin_pct,avg_discount,gross_loss,gross_loss_share_pct,prev_entity,row_growth_pct,sales_growth_pct,profit_growth_pct,margin_delta_pp,note
G1,yearly_trajectory_baseline,year,2013,,1993,9.97,484247.5,10.54,49543.97,10.23,0.158,-31892.77,10.21,,,,,,Yearly baseline: use this block to identify the peak year and whether later years remain positive.
G1,yearly_trajectory_baseline,year,2014,,2102,10.52,470532.51,10.24,61618.6,13.1,0.156,-32529.39,10.42,,,,,,Yearly baseline: use this block to identify the peak year and whether later years remain positive.
G1,yearly_trajectory_baseline,year,2015,,4573,22.88,1092721.33,23.78,131270.9,12.01,0.156,-69730.49,22.33,,,,,,Yearly baseline: use this block to identify the peak year and whether later years remain positive.
G1,yearly_trajectory_baseline,year,2016,,5421,27.12,1204479.53,26.22,155126.12,12.88,0.156,-86400.8,27.67,,,,,,Yearly baseline: use this block to identify the peak year and whether later years remain positive.
G1,yearly_trajectory_baseline,year,2017,,2587,12.94,609205.6,13.26,81795.17,13.43,0.155,-37872.93,12.13,,,,,,Yearly baseline: use this block to identify the peak year and whether later years remain positive.
G1,yearly_trajectory_baseline,year,2018,,3312,16.57,733215.26,15.96,93439.27,12.74,0.156,-53836.19,17.24,,,,,,Yearly baseline: use this block to identify the peak year and whether later years remain positive.
G2,scale_step_change,year_over_year,2014,,2102,,470532.51,,61618.6,13.1,0.156,,,2013,5.47,-2.83,24.37,2.86,Year-over-year comparison: check whether the key jump is scale-driven or margin-driven.
G2,scale_step_change,year_over_year,2015,,4573,,1092721.33,,131270.9,12.01,0.156,,,2014,117.55,132.23,113.04,-1.08,Year-over-year comparison: check whether the key jump is scale-driven or margin-driven.
G2,scale_step_change,year_over_year,2016,,5421,,1204479.53,,155126.12,12.88,0.156,,,2015,18.54,10.23,18.17,0.87,Year-over-year comparison: check whether the key jump is scale-driven or margin-driven.
G2,scale_step_change,year_over_year,2017,,2587,,609205.6,,81795.17,13.43,0.155,,,2016,-52.28,-49.42,-47.27,0.55,Year-over-year comparison: check whether the key jump is scale-driven or margin-driven.
G2,scale_step_change,year_over_year,2018,,3312,,733215.26,,93439.27,12.74,0.156,,,2017,28.02,20.36,14.24,-0.68,Year-over-year comparison: check whether the key jump is scale-driven or margin-driven.
G3,margin_stability_after_scaleup,year,2015,,4573,22.88,1092721.33,23.78,131270.9,12.01,0.156,-69730.49,22.33,,,,,,Margin stability block: compare margins after the 2015 scale-up rather than treating every sales change as margin improvement.
G3,margin_stability_after_scaleup,year,2016,,5421,27.12,1204479.53,26.22,155126.12,12.88,0.156,-86400.8,27.67,,,,,,Margin stability block: compare margins after the 2015 scale-up rather than treating every sales change as margin improvement.
G3,margin_stability_after_scaleup,year,2017,,2587,12.94,609205.6,13.26,81795.17,13.43,0.155,-37872.93,12.13,,,,,,Margin stability block: compare margins after the 2015 scale-up rather than treating every sales change as margin improvement.
G3,margin_stability_after_scaleup,year,2018,,3312,16.57,733215.26,15.96,93439.27,12.74,0.156,-53836.19,17.24,,,,,,Margin stability block: compare margins after the 2015 scale-up rather than treating every sales change as margin improvement.
G4,early_underconversion_check,year,2013,,1993,9.97,484247.5,10.54,49543.97,10.23,0.158,-31892.77,10.21,,,,,,Early-year conversion check: identify the weakest year-level margin while verifying that every year remains net profitable.
G4,early_underconversion_check,year,2014,,2102,10.52,470532.51,10.24,61618.6,13.1,0.156,-32529.39,10.42,,,,,,Early-year conversion check: identify the weakest year-level margin while verifying that every year remains net profitable.
G4,early_underconversion_check,year,2015,,4573,22.88,1092721.33,23.78,131270.9,12.01,0.156,-69730.49,22.33,,,,,,Early-year conversion check: identify the weakest year-level margin while verifying that every year remains net profitable.
G4,early_underconversion_check,year,2016,,5421,27.12,1204479.53,26.22,155126.12,12.88,0.156,-86400.8,27.67,,,,,,Early-year conversion check: identify the weakest year-level margin while verifying that every year remains net profitable.
G4,early_underconversion_check,year,2017,,2587,12.94,609205.6,13.26,81795.17,13.43,0.155,-37872.93,12.13,,,,,,Early-year conversion check: identify the weakest year-level margin while verifying that every year remains net profitable.
G4,early_underconversion_check,year,2018,,3312,16.57,733215.26,15.96,93439.27,12.74,0.156,-53836.19,17.24,,,,,,Early-year conversion check: identify the weakest year-level margin while verifying that every year remains net profitable.
G5,gross_loss_timing,year,2013,,1993,9.97,484247.5,10.54,49543.97,10.23,0.158,-31892.77,10.21,,,,,,Gross-loss timing block: compare loss exposure with the years that have the most sales and profit.
G5,gross_loss_timing,year,2014,,2102,10.52,470532.51,10.24,61618.6,13.1,0.156,-32529.39,10.42,,,,,,Gross-loss timing block: compare loss exposure with the years that have the most sales and profit.
G5,gross_loss_timing,year,2015,,4573,22.88,1092721.33,23.78,131270.9,12.01,0.156,-69730.49,22.33,,,,,,Gross-loss timing block: compare loss exposure with the years that have the most sales and profit.
G5,gross_loss_timing,year,2016,,5421,27.12,1204479.53,26.22,155126.12,12.88,0.156,-86400.8,27.67,,,,,,Gross-loss timing block: compare loss exposure with the years that have the most sales and profit.
G5,gross_loss_timing,year,2017,,2587,12.94,609205.6,13.26,81795.17,13.43,0.155,-37872.93,12.13,,,,,,Gross-loss timing block: compare loss exposure with the years that have the most sales and profit.
G5,gross_loss_timing,year,2018,,3312,16.57,733215.26,15.96,93439.27,12.74,0.156,-53836.19,17.24,,,,,,Gross-loss timing block: compare loss exposure with the years that have the most sales and profit.
G6,discount_stability_over_time,year,2013,,1993,9.97,484247.5,10.54,49543.97,10.23,0.158,-31892.77,10.21,,,,,,"Discount stability block: if average discount is flat across years, temporal growth should not be explained mainly by year-level discount shifts."
G6,discount_stability_over_time,year,2014,,2102,10.52,470532.51,10.24,61618.6,13.1,0.156,-32529.39,10.42,,,,,,"Discount stability block: if average discount is flat across years, temporal growth should not be explained mainly by year-level discount shifts."
G6,discount_stability_over_time,year,2015,,4573,22.88,1092721.33,23.78,131270.9,12.01,0.156,-69730.49,22.33,,,,,,"Discount stability block: if average discount is flat across years, temporal growth should not be explained mainly by year-level discount shifts."
G6,discount_stability_over_time,year,2016,,5421,27.12,1204479.53,26.22,155126.12,12.88,0.156,-86400.8,27.67,,,,,,"Discount stability block: if average discount is flat across years, temporal growth should not be explained mainly by year-level discount shifts."
G6,discount_stability_over_time,year,2017,,2587,12.94,609205.6,13.26,81795.17,13.43,0.155,-37872.93,12.13,,,,,,"Discount stability block: if average discount is flat across years, temporal growth should not be explained mainly by year-level discount shifts."
G6,discount_stability_over_time,year,2018,,3312,16.57,733215.26,15.96,93439.27,12.74,0.156,-53836.19,17.24,,,,,,"Discount stability block: if average discount is flat across years, temporal growth should not be explained mainly by year-level discount shifts."
