insight_id,evidence_block,entity_level,entity,parent_entity,row_count,row_share_pct,sales,sales_share_pct,profit,profit_margin_pct,avg_discount,gross_loss,gross_loss_share_pct,note
G1,ship_mode_margin_band,ship_mode,First Class,,3076,15.39,702856.85,15.3,97939.68,13.93,0.165,-45320.54,14.51,Ship-mode margin band: check whether ship modes are net loss-making or only modestly different in conversion.
G1,ship_mode_margin_band,ship_mode,Same Day,,1086,5.43,256726.25,5.59,31783.52,12.38,0.152,-17796.21,5.7,Ship-mode margin band: check whether ship modes are net loss-making or only modestly different in conversion.
G1,ship_mode_margin_band,ship_mode,Second Class,,3890,19.46,918387.14,19.99,114893.27,12.51,0.139,-48448.75,15.52,Ship-mode margin band: check whether ship modes are net loss-making or only modestly different in conversion.
G1,ship_mode_margin_band,ship_mode,Standard Class,,11936,59.72,2716431.49,59.12,328177.57,12.08,0.16,-200697.07,64.27,Ship-mode margin band: check whether ship modes are net loss-making or only modestly different in conversion.
G2,standard_class_scale_exposure,ship_mode,First Class,,3076,15.39,702856.85,15.3,97939.68,13.93,0.165,-45320.54,14.51,"Scale-exposure block: Standard Class should be interpreted against its row and sales volume, not as a standalone net-loss channel."
G2,standard_class_scale_exposure,ship_mode,Same Day,,1086,5.43,256726.25,5.59,31783.52,12.38,0.152,-17796.21,5.7,"Scale-exposure block: Standard Class should be interpreted against its row and sales volume, not as a standalone net-loss channel."
G2,standard_class_scale_exposure,ship_mode,Second Class,,3890,19.46,918387.14,19.99,114893.27,12.51,0.139,-48448.75,15.52,"Scale-exposure block: Standard Class should be interpreted against its row and sales volume, not as a standalone net-loss channel."
G2,standard_class_scale_exposure,ship_mode,Standard Class,,11936,59.72,2716431.49,59.12,328177.57,12.08,0.16,-200697.07,64.27,"Scale-exposure block: Standard Class should be interpreted against its row and sales volume, not as a standalone net-loss channel."
G3,fast_shipping_comparison,ship_mode,First Class,,3076,15.39,702856.85,15.3,97939.68,13.93,0.165,-45320.54,14.51,Fast-shipping comparison: compare First Class and Same Day against slower modes before treating speed as the driver.
G3,fast_shipping_comparison,ship_mode,Same Day,,1086,5.43,256726.25,5.59,31783.52,12.38,0.152,-17796.21,5.7,Fast-shipping comparison: compare First Class and Same Day against slower modes before treating speed as the driver.
G3,fast_shipping_comparison,ship_mode,Second Class,,3890,19.46,918387.14,19.99,114893.27,12.51,0.139,-48448.75,15.52,Fast-shipping comparison: compare First Class and Same Day against slower modes before treating speed as the driver.
G3,fast_shipping_comparison,ship_mode,Standard Class,,11936,59.72,2716431.49,59.12,328177.57,12.08,0.16,-200697.07,64.27,Fast-shipping comparison: compare First Class and Same Day against slower modes before treating speed as the driver.
G4,ship_delay_nonmonotonicity,ship_days,0,,1038,5.19,249815.38,5.44,30771.94,12.32,0.152,-17716.42,5.67,"Ship-delay comparison: margin should be read as a non-monotonic pattern, not as a simple longer-delay penalty."
G4,ship_delay_nonmonotonicity,ship_days,1,,738,3.69,135950.66,2.96,15082.45,11.09,0.163,-9011.69,2.89,"Ship-delay comparison: margin should be read as a non-monotonic pattern, not as a simple longer-delay penalty."
G4,ship_delay_nonmonotonicity,ship_days,2,,2669,13.35,736620.44,16.03,106233.36,14.42,0.147,-36717.75,11.76,"Ship-delay comparison: margin should be read as a non-monotonic pattern, not as a simple longer-delay penalty."
G4,ship_delay_nonmonotonicity,ship_days,3,,2008,10.05,409046.71,8.9,53774.99,13.15,0.152,-27391.6,8.77,"Ship-delay comparison: margin should be read as a non-monotonic pattern, not as a simple longer-delay penalty."
G4,ship_delay_nonmonotonicity,ship_days,4,,5545,27.74,1263700.58,27.51,142221.96,11.25,0.167,-94079.29,30.13,"Ship-delay comparison: margin should be read as a non-monotonic pattern, not as a simple longer-delay penalty."
G4,ship_delay_nonmonotonicity,ship_days,5,,4342,21.72,989291.3,21.53,117493.71,11.88,0.156,-60738.11,19.45,"Ship-delay comparison: margin should be read as a non-monotonic pattern, not as a simple longer-delay penalty."
G4,ship_delay_nonmonotonicity,ship_days,6,,2407,12.04,480617.62,10.46,66570.18,13.85,0.142,-33624.25,10.77,"Ship-delay comparison: margin should be read as a non-monotonic pattern, not as a simple longer-delay penalty."
G4,ship_delay_nonmonotonicity,ship_days,7,,1241,6.21,329359.02,7.17,40645.45,12.34,0.161,-32983.47,10.56,"Ship-delay comparison: margin should be read as a non-monotonic pattern, not as a simple longer-delay penalty."
G5,four_day_loss_exposure,ship_days,0,,1038,5.19,249815.38,5.44,30771.94,12.32,0.152,-17716.42,5.67,Ship-delay exposure block: the largest gross-loss bucket must be interpreted together with its volume and positive net margin.
G5,four_day_loss_exposure,ship_days,1,,738,3.69,135950.66,2.96,15082.45,11.09,0.163,-9011.69,2.89,Ship-delay exposure block: the largest gross-loss bucket must be interpreted together with its volume and positive net margin.
G5,four_day_loss_exposure,ship_days,2,,2669,13.35,736620.44,16.03,106233.36,14.42,0.147,-36717.75,11.76,Ship-delay exposure block: the largest gross-loss bucket must be interpreted together with its volume and positive net margin.
G5,four_day_loss_exposure,ship_days,3,,2008,10.05,409046.71,8.9,53774.99,13.15,0.152,-27391.6,8.77,Ship-delay exposure block: the largest gross-loss bucket must be interpreted together with its volume and positive net margin.
G5,four_day_loss_exposure,ship_days,4,,5545,27.74,1263700.58,27.51,142221.96,11.25,0.167,-94079.29,30.13,Ship-delay exposure block: the largest gross-loss bucket must be interpreted together with its volume and positive net margin.
G5,four_day_loss_exposure,ship_days,5,,4342,21.72,989291.3,21.53,117493.71,11.88,0.156,-60738.11,19.45,Ship-delay exposure block: the largest gross-loss bucket must be interpreted together with its volume and positive net margin.
