evidence_group_id,evidence_block,entity_level,entity,parent_entity,row_count,order_count,customer_count,sales,sales_share_pct,profit,profit_margin_pct,avg_discount,loss_line_count,gross_loss,gross_loss_share_pct,rank_by_sales,rank_by_profit,rank_by_gross_loss,note
G1,segment_profit_quality,segment,Consumer,,10382,5172,1306,2322802.69,50.56,268238.42,11.55,0.158,2006,-169891.42,54.41,,,,Segment baseline: determine whether segment is a primary profit-quality driver or mainly a scale lens.
G1,segment_profit_quality,segment,Corporate,,6040,3028,742,1412292.73,30.74,183958.27,13.03,0.158,1112,-89574.42,28.69,,,,Segment baseline: determine whether segment is a primary profit-quality driver or mainly a scale lens.
G1,segment_profit_quality,segment,Home Office,,3566,1818,453,859306.3,18.7,120597.36,14.03,0.147,624,-52796.73,16.91,,,,Segment baseline: determine whether segment is a primary profit-quality driver or mainly a scale lens.
G2,state_conversion_heterogeneity,state,Texas,Central,1894,940,264,415979.86,9.05,-9607.47,-2.31,0.308,782,-67764.72,21.7,3,44,1,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Ohio,East,842,416,98,175496.61,3.82,-20932.63,-11.93,0.238,272,-41558.72,13.31,8,45,2,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Pennsylvania,East,1280,602,145,249067.09,5.42,-467.27,-0.19,0.234,408,-30699.35,9.83,4,38,3,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Illinois,Central,1092,576,149,180664.38,3.93,-6469.1,-3.58,0.329,490,-28847.4,9.24,7,43,4,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Florida,South,830,422,131,207116.31,4.51,-640.61,-0.31,0.242,230,-22326.63,7.15,6,39,5,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,New York,East,2268,1162,283,628277.36,13.67,133875.26,21.31,0.099,274,-19722.27,6.32,2,2,6,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,North Carolina,South,536,268,87,124624.89,2.71,-2726.43,-2.19,0.222,110,-19336.4,6.19,10,40,7,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,California,West,4132,2064,443,964692.91,21.0,156645.3,16.24,0.095,336,-17696.74,5.67,1,1,8,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Colorado,West,350,156,32,60308.81,1.31,-6083.15,-10.09,0.173,66,-13082.01,4.19,18,42,9,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Tennessee,South,312,180,55,56656.77,1.23,-3455.15,-6.1,0.244,98,-10110.1,3.24,20,41,10,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Michigan,Central,546,262,60,107837.76,2.35,23185.82,21.5,0.117,84,-6868.93,2.2,11,5,11,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Arizona,West,366,188,40,64821.36,1.41,4643.63,7.16,0.196,88,-5248.7,1.68,15,24,12,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Oregon,West,260,122,27,47339.79,1.03,2198.57,4.64,0.208,60,-4768.88,1.53,23,32,13,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Washington,West,908,482,103,221233.85,4.82,40718.94,18.41,0.087,54,-2918.25,0.93,5,3,14,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Wisconsin,Central,192,104,27,62076.04,1.35,11987.52,19.31,0.104,24,-2774.71,0.89,16,13,15,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Virginia,South,498,252,76,160164.29,3.49,34471.03,21.52,0.08,44,-2708.73,0.87,9,4,16,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Delaware,East,304,134,29,77082.06,1.68,15466.99,20.07,0.097,44,-1831.43,0.59,12,9,17,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Indiana,Central,248,132,35,61596.84,1.34,17436.47,28.31,0.11,32,-1694.28,0.54,17,8,18,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Minnesota,Central,212,100,24,70831.47,1.54,20970.63,29.61,0.084,20,-1658.23,0.53,14,7,19,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Maryland,East,224,106,22,40598.67,0.88,9330.23,22.98,0.072,24,-1458.35,0.47,24,15,20,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Massachusetts,East,228,98,24,51248.13,1.12,13436.96,26.22,0.095,30,-1273.55,0.41,22,11,21,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Nebraska,Central,64,36,10,13511.67,0.29,2458.26,18.19,0.116,8,-1184.7,0.38,39,30,22,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
G2,state_conversion_heterogeneity,state,Missouri,Central,168,70,17,40229.8,0.88,8084.44,20.1,0.146,28,-1088.54,0.35,25,16,23,"State comparison: identify whether high-demand states also convert demand into profit, and which states are the main exceptions."
