evidence_group_id,evidence_block,entity_level,entity,parent_entity,region,row_count,order_count,product_count,positive_product_count,negative_product_count,mixed_region_product_count,sales,sales_share_pct,profit,profit_margin_pct,avg_discount,loss_line_count,gross_loss,gross_loss_share_pct,min_margin_pct,max_margin_pct,rank_by_sales,rank_by_profit,rank_by_loss,note
G1,portfolio_breadth_baseline,category,Furniture,,,4242,4238,381,258,123,,1483999.59,32.3,36902.55,2.49,0.174,1428,-121872.22,39.03,-210.0,46.69,,,,"Portfolio baseline: compare product breadth, positive/negative product counts, and category-level profit quality."
G1,portfolio_breadth_baseline,category,Office Supplies,,,12052,12044,1095,966,126,,1438094.06,31.3,244981.6,17.04,0.157,1772,-113230.52,36.26,-275.0,50.0,,,,"Portfolio baseline: compare product breadth, positive/negative product counts, and category-level profit quality."
G1,portfolio_breadth_baseline,category,Technology,,,3694,3690,412,353,59,,1672308.07,36.4,290909.9,17.4,0.132,542,-77159.84,24.71,-140.0,50.0,,,,"Portfolio baseline: compare product breadth, positive/negative product counts, and category-level profit quality."
G1,portfolio_breadth_baseline,portfolio,all_products,portfolio,,19988,19972,1888,1577,308,,4594401.72,100.0,572794.04,12.47,0.156,3742,-312262.57,100.0,-275.0,50.0,,,,"Portfolio baseline: compare product breadth, positive/negative product counts, and category-level profit quality."
G2,top_product_profit_concentration,product,OFF-BI-10004995 / GBC DocuBind P400 Electric Binding System,Office Supplies / Binders,,12,12,1,0,1,,35930.14,0.78,-3756.33,-10.45,0.45,6,-13718.78,4.39,,,9,1883,2,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,TEC-MA-10000822 / Lexmark MX611dhe Monochrome Laser Printer,Technology / Machines,,8,8,1,0,1,,33659.8,0.73,-9179.95,-27.27,0.4,6,-10539.94,3.38,,,11,1887,3,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,OFF-BI-10000545 / GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies / Binders,,18,18,1,1,0,,38049.0,0.83,1521.96,4.0,0.522,12,-10197.13,3.27,,,6,99,4,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,OFF-BI-10001359 / GBC DocuBind TL300 Electric Binding System,Office Supplies / Binders,,22,22,1,1,0,,39646.96,0.86,4467.01,11.27,0.3,8,-8324.07,2.67,,,5,18,5,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,OFF-BI-10003527 / Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies / Binders,,20,20,1,1,0,,54906.77,1.2,15506.08,28.24,0.24,4,-6863.35,2.2,,,2,2,7,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,OFF-BI-10001120 / Ibico EPK-21 Electric Binding System,Office Supplies / Binders,,6,6,1,1,0,,31751.83,0.69,6690.56,21.07,0.333,2,-5858.97,1.88,,,13,8,9,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,"FUR-BO-10004834 / Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture / Bookcases,,10,10,1,0,1,,31221.93,0.68,-1339.09,-4.29,0.234,4,-3964.41,1.27,,,14,1863,11,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,TEC-MA-10002412 / Cisco TelePresence System EX90 Videoconferencing Unit,Technology / Machines,,2,2,1,0,1,,45276.96,0.99,-3622.16,-8.0,0.5,2,-3622.16,1.16,,,3,1882,12,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,OFF-SU-10002881 / Martin Yale Chadless Opener Electric Letter Opener,Office Supplies / Supplies,,12,12,1,0,1,,33312.4,0.73,-2598.37,-7.8,0.1,6,-2998.12,0.96,,,12,1881,17,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,FUR-CH-10002024 / HON 5400 Series Task Chairs for Big and Tall,Furniture / Chairs,,16,16,1,1,0,,43741.15,0.95,0.0,0.0,0.2,6,-2243.14,0.72,,,4,1577,25,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,"TEC-MA-10001127 / HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology / Machines,,6,6,1,1,0,,36749.79,0.8,8189.95,22.29,0.167,2,-1889.99,0.61,,,8,5,34,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,OFF-SU-10000151 / High Speed Automatic Electric Letter Opener,Office Supplies / Supplies,,6,6,1,0,1,,34060.62,0.74,-524.01,-1.54,0.067,2,-1572.03,0.5,,,10,1819,42,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,OFF-BI-10003925 / Fellowes PB300 Plastic Comb Binding Machine,Office Supplies / Binders,,12,12,1,1,0,,16140.38,0.35,5036.11,31.2,0.233,2,-1024.29,0.33,,,43,15,68,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,TEC-AC-10002049 / Logitech G19 Programmable Gaming Keyboard,Technology / Accessories,,20,20,1,1,0,,16911.07,0.37,5139.76,30.39,0.04,2,-14.88,0.0,,,39,14,654,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,TEC-CO-10001046 / Canon Imageclass D680 Copier / Fax,Technology / Copiers,,10,10,1,1,0,,17919.74,0.39,5599.92,31.25,0.2,0,0.0,-0.0,,,34,13,1643,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,TEC-AC-10003033 / Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology / Accessories,,20,20,1,1,0,,21644.72,0.47,6170.07,28.51,0.08,0,0.0,-0.0,,,25,12,1644,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,TEC-CO-10002095 / Hewlett Packard 610 Color Digital Copier / Printer,Technology / Copiers,,14,14,1,1,0,,17799.64,0.39,6249.88,35.11,0.143,0,0.0,-0.0,,,35,11,1645,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,OFF-AP-10002945 / Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies / Appliances,,16,16,1,1,0,,22608.88,0.49,6494.04,28.72,0.05,0,0.0,-0.0,,,22,10,1646,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,TEC-MA-10000045 / Zebra ZM400 Thermal Label Printer,Technology / Machines,,4,4,1,1,0,,13931.4,0.3,6687.07,48.0,0.0,0,0.0,-0.0,,,59,9,1647,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,"TEC-MA-10001047 / 3D Systems Cube Printer, 2nd Generation, Magenta",Technology / Machines,,4,4,1,1,0,,28599.78,0.62,7435.94,26.0,0.0,0,0.0,-0.0,,,15,7,1648,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,TEC-MA-10003979 / Ativa V4110MDD Micro-Cut Shredder,Technology / Machines,,4,4,1,1,0,,15399.78,0.34,7545.89,49.0,0.0,0,0.0,-0.0,,,49,6,1649,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,TEC-CO-10003763 / Canon PC1060 Personal Laser Copier,Technology / Copiers,,8,8,1,1,0,,23239.67,0.51,9141.87,39.34,0.15,0,0.0,-0.0,,,20,4,1650,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,TEC-CO-10001449 / Hewlett Packard LaserJet 3310 Copier,Technology / Copiers,,16,16,1,1,0,,37679.37,0.82,13967.77,37.07,0.2,0,0.0,-0.0,,,7,3,1651,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product,TEC-CO-10004722 / Canon imageCLASS 2200 Advanced Copier,Technology / Copiers,,10,10,1,1,0,,123199.65,2.68,50399.86,40.91,0.12,0,0.0,-0.0,,,1,1,1652,Top-product concentration details: selected products by top profit and top sales.
G2,top_product_profit_concentration,product_concentration,top_10_profit_products,product_profit_concentration,,94,94,10,10,0,,388066.92,8.45,132059.04,34.03,0.151,8,-14612.3,4.68,,,,,,Top-product concentration aggregate: quantify how much profit comes from the leading products.
G2,top_product_profit_concentration,product_concentration,top_20_profit_products,product_profit_concentration,,236,236,20,20,0,,566899.1,12.34,182343.0,32.16,0.145,22,-24895.52,7.97,,,,,,Top-product concentration aggregate: quantify how much profit comes from the leading products.
G3,bottom_product_loss_concentration,product,TEC-MA-10000418 / Cubify CubeX 3D Printer Double Head Print,Technology / Machines,,6,6,1,0,1,,22199.93,0.48,-17759.94,-80.0,0.533,4,-18479.94,5.92,,,23,1888,1,Bottom-product concentration details: selected products by most negative profit and highest gross-loss exposure.
G3,bottom_product_loss_concentration,product,OFF-BI-10004995 / GBC DocuBind P400 Electric Binding System,Office Supplies / Binders,,12,12,1,0,1,,35930.14,0.78,-3756.33,-10.45,0.45,6,-13718.78,4.39,,,9,1883,2,Bottom-product concentration details: selected products by most negative profit and highest gross-loss exposure.
G3,bottom_product_loss_concentration,product,TEC-MA-10000822 / Lexmark MX611dhe Monochrome Laser Printer,Technology / Machines,,8,8,1,0,1,,33659.8,0.73,-9179.95,-27.27,0.4,6,-10539.94,3.38,,,11,1887,3,Bottom-product concentration details: selected products by most negative profit and highest gross-loss exposure.
