evidence_group_id,evidence_block,entity_level,entity,parent_entity,order_count,row_count,profitable_order_count,net_loss_order_count,orders_with_loss_lines,mixed_line_order_count,sales,sales_share_pct,profit,profit_margin_pct,avg_discount,avg_max_discount,gross_loss,gross_loss_share_pct,avg_line_count,avg_category_count,rank_by_sales,rank_by_profit,rank_by_loss,note
G1,order_profit_baseline,net_order_sign,net-loss orders,net_order_sign,2044,4410,0,2044,2044,874,946988.12,20.61,-279867.56,-29.55,0.428,0.529,-297713.0,95.34,2.16,1.5,,,,Order baseline: compare net-loss orders with net-profitable orders.
G1,order_profit_baseline,net_order_sign,net-profitable orders,net_order_sign,7974,15578,7940,0,592,592,3647413.6,79.39,852661.61,23.38,0.087,0.115,-14549.57,4.66,1.95,1.38,,,,Order baseline: compare net-loss orders with net-profitable orders.
G1,order_profit_baseline,order_baseline,all_orders,order_baseline,10018,19988,7940,2044,2636,1466,4594401.72,100.0,572794.04,12.47,0.157,0.199,-312262.57,100.0,2.0,1.41,,,,Order baseline: establish whether order-level net losses are a minority and how much sales/loss exposure they carry.
G2,line_count_order_complexity,line_count_group,1 line,line_count_group,5076,5076,4130,912,912,0,1056990.8,23.01,126670.99,11.98,0.157,0.157,-71909.75,23.03,1.0,1.0,,,,Line-count complexity: test whether larger baskets by line count carry different profit quality than small orders.
G2,line_count_order_complexity,line_count_group,2 lines,line_count_group,2440,4880,1918,522,702,524,1081789.91,23.55,129668.46,11.99,0.157,0.211,-72996.2,23.38,2.0,1.57,,,,Line-count complexity: test whether larger baskets by line count carry different profit quality than small orders.
G2,line_count_order_complexity,line_count_group,3 lines,line_count_group,1206,3618,918,288,460,402,917294.6,19.97,129634.15,14.13,0.164,0.257,-59824.69,19.16,3.0,1.87,,,,Line-count complexity: test whether larger baskets by line count carry different profit quality than small orders.
G2,line_count_order_complexity,line_count_group,4+ lines,line_count_group,1296,6414,974,322,562,540,1538326.4,33.48,186820.45,12.14,0.151,0.29,-107531.92,34.44,4.95,2.27,,,,Line-count complexity: test whether larger baskets by line count carry different profit quality than small orders.
G3,category_mix_order_structure,category_mix_group,multi-category order,category_mix_group,3434,11242,2572,862,1312,1146,2971873.48,64.68,340843.16,11.47,0.155,0.25,-209923.24,67.23,3.27,2.19,,,,Category-mix structure: compare single-category and multi-category orders without assuming mixed baskets are automatically healthier.
G3,category_mix_order_structure,category_mix_group,single-category order,category_mix_group,6584,8746,5368,1182,1324,320,1622528.24,35.32,231950.88,14.3,0.158,0.173,-102339.34,32.77,1.33,1.0,,,,Category-mix structure: compare single-category and multi-category orders without assuming mixed baskets are automatically healthier.
G4,line_sign_mixing,line_sign_mix_group,mixed profit/loss lines,line_sign_mix_group,1466,5014,592,874,1466,1466,1135816.38,24.72,-98131.09,-8.64,0.306,0.498,-198451.78,63.55,3.42,1.99,,,,Line-sign mixing: check whether order-level net profit hides loss-making lines inside the same basket.
