evidence_block,grain,item,item_2,period,rank_label,rank_value,sales,profit,margin,gross_loss,orders,order_lines,customers,products,avg_discount,quantity,sales_share,profit_share,gross_loss_share,extra_metric_1,extra_value_1,extra_metric_2,extra_value_2,notes
first_vs_repeat_orders,order_lifecycle_stage,first_order,,,,,399586.18,41585.68,0.1041,25842.96,793,1645,793,,0.1558,6255.0,0.087,0.0726,0.0828,,,,,Use this block to compare first purchases with retained/repeat orders.
first_vs_repeat_orders,order_lifecycle_stage,repeat_order,,,,,4194815.54,531208.37,0.1266,286419.61,9225,18343,793,,0.1569,69491.0,0.913,0.9274,0.9172,,,,,Use this block to compare first purchases with retained/repeat orders.
frequency_value_gradient,customer_frequency_bucket,2_3_orders,,,,,10335.28,1534.75,0.1485,575.32,24,54,12,,0.1653,186.0,0.0022,0.0027,0.0018,sales_per_customer,861.27,profit_per_customer,127.9,Use this block to decide whether repeat frequency adds profitable value or mainly adds scale.
frequency_value_gradient,customer_frequency_bucket,4_6_orders,,,,,197847.79,9240.82,0.0467,21631.39,454,922,87,,0.1593,3442.0,0.0431,0.0161,0.0693,sales_per_customer,2274.11,profit_per_customer,106.22,Use this block to decide whether repeat frequency adds profitable value or mainly adds scale.
frequency_value_gradient,customer_frequency_bucket,7_plus_orders,,,,,4386218.65,562018.47,0.1281,290055.86,9540,19012,694,,0.1571,72118.0,0.9547,0.9812,0.9289,sales_per_customer,6320.2,profit_per_customer,809.82,Use this block to decide whether repeat frequency adds profitable value or mainly adds scale.
high_volume_customer_risk,top_sales_repeat_customers,negative_profit_top_sales_customer,,,,,110493.51,-16727.3,-0.1514,18852.93,32,112,4,,0.1966,,0.024,-0.0292,0.0604,,,,,Use this block to see whether high-sales repeat customers are reliably profitable.
high_volume_customer_risk,top_sales_repeat_customers,positive_profit_top_sales_customer,,,,,512622.31,128736.3,0.2511,10187.06,350,856,21,,0.1111,,0.1116,0.2248,0.0326,,,,,Use this block to see whether high-sales repeat customers are reliably profitable.
repeat_customer_concentration,repeat_customer_top_bottom_group,bottom10_repeat_profit,,,,,149967.86,-60530.94,-0.4036,66173.97,132,264,10,,0.2521,,0.0326,-0.1057,0.2119,,,,,Use this block to measure whether customer value and customer loss are concentrated in a small repeat-customer tail.
repeat_customer_concentration,repeat_customer_top_bottom_group,top10_repeat_profit,,,,,244697.94,100356.13,0.4101,2148.75,140,306,10,,0.1041,,0.0533,0.1752,0.0069,,,,,Use this block to measure whether customer value and customer loss are concentrated in a small repeat-customer tail.
repeat_customer_concentration,repeat_customer_top_bottom_group,top10_repeat_sales,,,,,307622.34,82279.39,0.2675,7775.97,146,334,10,,0.1452,,0.067,0.1436,0.0249,,,,,Use this block to measure whether customer value and customer loss are concentrated in a small repeat-customer tail.
segment_frequency_interaction,segment_by_frequency_bucket,Consumer,2_3_orders,,gross_loss_rank,7.0,6399.78,881.97,0.1378,569.14,12,32,6,,0.1222,,0.0014,0.0015,0.0018,,,,,Use this block to calibrate whether repeat quality differs by broad customer segment.
segment_frequency_interaction,segment_by_frequency_bucket,Consumer,4_6_orders,,gross_loss_rank,5.0,95319.54,8527.69,0.0895,8170.15,236,492,44,,0.1842,,0.0207,0.0149,0.0262,,,,,Use this block to calibrate whether repeat quality differs by broad customer segment.
segment_frequency_interaction,segment_by_frequency_bucket,Consumer,7_plus_orders,,gross_loss_rank,1.0,2221083.38,258828.75,0.1165,161152.14,4924,9858,359,,0.1582,,0.4834,0.4519,0.5161,,,,,Use this block to calibrate whether repeat quality differs by broad customer segment.
segment_frequency_interaction,segment_by_frequency_bucket,Corporate,2_3_orders,,gross_loss_rank,8.0,2476.21,557.0,0.2249,6.19,10,18,5,,0.21,,0.0005,0.001,0.0,,,,,Use this block to calibrate whether repeat quality differs by broad customer segment.
segment_frequency_interaction,segment_by_frequency_bucket,Corporate,4_6_orders,,gross_loss_rank,4.0,73269.17,-561.4,-0.0077,10067.27,118,224,23,,0.1533,,0.0159,-0.001,0.0322,,,,,Use this block to calibrate whether repeat quality differs by broad customer segment.
segment_frequency_interaction,segment_by_frequency_bucket,Corporate,7_plus_orders,,gross_loss_rank,2.0,1336547.36,183962.67,0.1376,79500.95,2900,5798,208,,0.16,,0.2909,0.3212,0.2546,,,,,Use this block to calibrate whether repeat quality differs by broad customer segment.
segment_frequency_interaction,segment_by_frequency_bucket,Home Office,2_3_orders,,gross_loss_rank,9.0,1459.3,95.78,0.0656,0.0,2,4,1,,0.2,,0.0003,0.0002,0.0,,,,,Use this block to calibrate whether repeat quality differs by broad customer segment.
segment_frequency_interaction,segment_by_frequency_bucket,Home Office,4_6_orders,,gross_loss_rank,6.0,29259.09,1274.53,0.0436,3393.96,100,206,20,,0.1114,,0.0064,0.0022,0.0109,,,,,Use this block to calibrate whether repeat quality differs by broad customer segment.
segment_frequency_interaction,segment_by_frequency_bucket,Home Office,7_plus_orders,,gross_loss_rank,3.0,828587.91,119227.05,0.1439,49402.77,1716,3356,127,,0.1496,,0.1803,0.2081,0.1582,,,,,Use this block to calibrate whether repeat quality differs by broad customer segment.
