evidence_block,grain,item,item_2,period,rank_label,rank_value,sales,profit,margin,gross_loss,orders,order_lines,customers,products,avg_discount,quantity,sales_share,profit_share,gross_loss_share,extra_metric_1,extra_value_1,extra_metric_2,extra_value_2,notes
city_growth_quality,city,Los Angeles,California,early_to_late,sales_change_rank,1.0,200958.76,31369.31,0.1561,5023.02,431,825,,,0.1002,,0.0789,0.095,0.0282,sales_change,64759.92,margin_change,-0.0116,Use this block to calibrate localized city-level growth pockets and underconversion.
city_growth_quality,city,San Francisco,California,early_to_late,sales_change_rank,2.0,154611.31,33790.03,0.2185,2686.33,299,594,,,0.1157,,0.0607,0.1023,0.0151,sales_change,58751.6,margin_change,0.0726,Use this block to calibrate localized city-level growth pockets and underconversion.
city_growth_quality,city,New York City,New York,early_to_late,sales_change_rank,3.0,259832.54,54748.14,0.2107,8168.84,529,1026,,,0.1078,,0.102,0.1657,0.0459,sales_change,44529.14,margin_change,-0.0165,Use this block to calibrate localized city-level growth pockets and underconversion.
city_growth_quality,city,Philadelphia,Pennsylvania,early_to_late,sales_change_rank,4.0,129097.44,3710.94,0.0287,13568.02,310,655,,,0.2084,,0.0507,0.0112,0.0762,sales_change,25826.1,margin_change,0.0432,Use this block to calibrate localized city-level growth pockets and underconversion.
city_growth_quality,city,Detroit,Michigan,early_to_late,sales_change_rank,5.0,39323.69,8496.14,0.2161,1562.62,64,145,,,0.1127,,0.0154,0.0257,0.0088,sales_change,23825.89,margin_change,-0.0042,Use this block to calibrate localized city-level growth pockets and underconversion.
city_growth_quality,city,Rochester,New York,early_to_late,sales_change_rank,6.0,28748.7,10918.41,0.3798,813.92,39,60,,,0.15,,0.0113,0.033,0.0046,sales_change,22048.04,margin_change,0.3793,Use this block to calibrate localized city-level growth pockets and underconversion.
city_growth_quality,city,San Diego,California,early_to_late,sales_change_rank,7.0,86624.48,16143.18,0.1864,220.54,153,300,,,0.079,,0.034,0.0489,0.0012,sales_change,21851.31,margin_change,0.048,Use this block to calibrate localized city-level growth pockets and underconversion.
city_growth_quality,city,Burlington,North Carolina,early_to_late,sales_change_rank,8.0,16767.72,-7639.52,-0.4556,7694.38,8,16,,,0.275,,0.0066,-0.0231,0.0432,sales_change,16767.72,margin_change,,Use this block to calibrate localized city-level growth pockets and underconversion.
city_growth_quality,city,Dover,Delaware,early_to_late,sales_change_rank,9.0,17666.24,2949.27,0.1669,405.27,13,48,,,0.1375,,0.0069,0.0089,0.0023,sales_change,16500.02,margin_change,0.2459,Use this block to calibrate localized city-level growth pockets and underconversion.
city_growth_quality,city,Dallas,Texas,early_to_late,sales_change_rank,10.0,40463.27,-586.2,-0.0145,6530.08,90,174,,,0.2957,,0.0159,-0.0018,0.0367,sales_change,13996.12,margin_change,-0.0795,Use this block to calibrate localized city-level growth pockets and underconversion.
city_growth_quality,city,Jackson,Michigan,early_to_late,sales_change_rank,11.0,16782.53,5915.23,0.3525,228.8,17,35,,,0.2114,,0.0066,0.0179,0.0013,sales_change,13110.98,margin_change,0.1141,Use this block to calibrate localized city-level growth pockets and underconversion.
city_growth_quality,city,Columbus,Ohio,early_to_late,sales_change_rank,12.0,27838.0,5694.63,0.2046,1216.48,60,122,,,0.1525,,0.0109,0.0172,0.0068,sales_change,11695.89,margin_change,0.1838,Use this block to calibrate localized city-level growth pockets and underconversion.
city_growth_quality,city,Pembroke Pines,Florida,early_to_late,sales_change_rank,13.0,11975.54,105.33,0.0088,1490.21,9,34,,,0.2309,,0.0047,0.0003,0.0084,sales_change,11516.11,margin_change,0.3528,Use this block to calibrate localized city-level growth pockets and underconversion.
city_growth_quality,city,Asheville,North Carolina,early_to_late,sales_change_rank,14.0,11449.92,3113.98,0.272,81.79,8,22,,,0.2273,,0.0045,0.0094,0.0005,sales_change,11401.64,margin_change,0.3953,Use this block to calibrate localized city-level growth pockets and underconversion.
city_growth_quality,city,Wilmington,Delaware,early_to_late,sales_change_rank,15.0,16913.47,4085.98,0.2416,40.83,16,28,,,0.1107,,0.0066,0.0124,0.0002,sales_change,11309.76,margin_change,-0.0078,Use this block to calibrate localized city-level growth pockets and underconversion.
