evidence_block,grain,item,item_2,period,rank_label,rank_value,sales,profit,margin,gross_loss,orders,order_lines,customers,products,avg_discount,quantity,sales_share,profit_share,gross_loss_share,extra_metric_1,extra_value_1,extra_metric_2,extra_value_2,notes
busy_vs_other_months,month_bucket,other_months,,all_years,,,2621075.87,340989.94,0.1301,161850.92,5733,11464,773,1776,0.1589,43232.0,0.5705,0.5953,0.5183,,,,,Use this block to compare the top sales months against all other months.
busy_vs_other_months,month_bucket,top_3_sales_months,,all_years,,,1973325.86,231804.1,0.1175,150411.65,4285,8524,740,1648,0.1525,32514.0,0.4295,0.4047,0.4817,,,,,Use this block to compare the top sales months against all other months.
category_seasonal_peaks,category_month,Furniture,11,all_years,category_sales_peak,1.0,244447.85,7942.19,0.0325,16745.73,542,640,,214,0.1716,,,,,sales_rank_within_category,1.0,margin_rank_within_category,6.0,Use this block to see whether category sales peaks align with category margin or loss peaks.
category_seasonal_peaks,category_month,Furniture,12,all_years,category_margin_peak,1.0,244025.9,12867.22,0.0527,16468.13,525,657,,213,0.1735,,,,,sales_rank_within_category,2.0,margin_rank_within_category,1.0,Use this block to see whether category sales peaks align with category margin or loss peaks.
category_seasonal_peaks,category_month,Office Supplies,12,all_years,category_sales_peak,1.0,205399.88,35876.92,0.1747,18268.09,1055,1651,,578,0.1451,,,,,sales_rank_within_category,1.0,margin_rank_within_category,8.0,Use this block to see whether category sales peaks align with category margin or loss peaks.
category_seasonal_peaks,category_month,Office Supplies,6,all_years,category_margin_peak,1.0,102829.31,22149.53,0.2154,4188.72,539,888,,378,0.1633,,,,,sales_rank_within_category,7.0,margin_rank_within_category,1.0,Use this block to see whether category sales peaks align with category margin or loss peaks.
category_seasonal_peaks,category_month,Office Supplies,9,all_years,category_gross_loss_peak,1.0,203799.3,34604.06,0.1698,18812.19,1066,1730,,583,0.1536,,,,,sales_rank_within_category,2.0,margin_rank_within_category,9.0,Use this block to see whether category sales peaks align with category margin or loss peaks.
category_seasonal_peaks,category_month,Technology,10,all_years,category_margin_peak,1.0,174063.89,47765.13,0.2744,3901.28,268,314,,124,0.1363,,,,,sales_rank_within_category,5.0,margin_rank_within_category,1.0,Use this block to see whether category sales peaks align with category margin or loss peaks.
category_seasonal_peaks,category_month,Technology,11,all_years,category_sales_peak,1.0,262233.49,32078.11,0.1223,27593.21,497,575,,211,0.135,,,,,sales_rank_within_category,1.0,margin_rank_within_category,11.0,Use this block to see whether category sales peaks align with category margin or loss peaks.
monthly_profit_quality,month,11,,all_years,sales_rank,1.0,707702.5,71301.51,0.1008,61099.43,1509,2945,485,1024,0.1583,11567.0,0.154,0.1245,0.1957,profit_rank,3.0,margin_rank,9.0,"Use this block to identify sales, profit, margin, and gross-loss seasonal peaks by month."
monthly_profit_quality,month,12,,all_years,sales_rank,2.0,650825.38,86755.8,0.1333,44561.6,1401,2814,454,971,0.1502,10828.0,0.1417,0.1515,0.1427,profit_rank,1.0,margin_rank,7.0,"Use this block to identify sales, profit, margin, and gross-loss seasonal peaks by month."
monthly_profit_quality,month,9,,all_years,sales_rank,3.0,614797.98,73746.78,0.12,44750.62,1375,2765,459,947,0.1488,10119.0,0.1338,0.1287,0.1433,profit_rank,2.0,margin_rank,8.0,"Use this block to identify sales, profit, margin, and gross-loss seasonal peaks by month."
monthly_profit_quality,month,3,,all_years,sales_rank,4.0,409481.32,57202.68,0.1397,22629.48,707,1390,290,571,0.1549,5124.0,0.0891,0.0999,0.0725,profit_rank,5.0,margin_rank,4.0,"Use this block to identify sales, profit, margin, and gross-loss seasonal peaks by month."
monthly_profit_quality,month,10,,all_years,sales_rank,5.0,397421.35,63088.32,0.1587,26042.94,831,1632,324,655,0.1634,6181.0,0.0865,0.1101,0.0834,profit_rank,4.0,margin_rank,2.0,"Use this block to identify sales, profit, margin, and gross-loss seasonal peaks by month."
monthly_profit_quality,month,8,,all_years,sales_rank,6.0,320238.32,43820.16,0.1368,16322.43,683,1416,280,574,0.1539,5585.0,0.0697,0.0765,0.0523,profit_rank,7.0,margin_rank,6.0,"Use this block to identify sales, profit, margin, and gross-loss seasonal peaks by month."
monthly_profit_quality,month,5,,all_years,sales_rank,7.0,309760.97,44787.95,0.1446,12821.88,739,1467,303,588,0.1654,5573.0,0.0674,0.0782,0.0411,profit_rank,6.0,margin_rank,3.0,"Use this block to identify sales, profit, margin, and gross-loss seasonal peaks by month."
monthly_profit_quality,month,6,,all_years,sales_rank,8.0,304523.27,42320.8,0.139,13737.67,728,1437,292,620,0.1634,5364.0,0.0663,0.0739,0.044,profit_rank,8.0,margin_rank,5.0,"Use this block to identify sales, profit, margin, and gross-loss seasonal peaks by month."
monthly_profit_quality,month,7,,all_years,sales_rank,9.0,293654.99,27697.11,0.0943,21811.76,676,1418,282,582,0.158,5408.0,0.0639,0.0484,0.0699,profit_rank,9.0,margin_rank,11.0,"Use this block to identify sales, profit, margin, and gross-loss seasonal peaks by month."
monthly_profit_quality,month,4,,all_years,sales_rank,10.0,276022.81,23154.9,0.0839,26192.18,685,1336,283,564,0.1629,4893.0,0.0601,0.0404,0.0839,profit_rank,10.0,margin_rank,12.0,"Use this block to identify sales, profit, margin, and gross-loss seasonal peaks by month."
monthly_profit_quality,month,1,,all_years,sales_rank,11.0,190581.44,18337.14,0.0962,17159.76,361,769,164,346,0.1501,2977.0,0.0415,0.032,0.055,profit_rank,12.0,margin_rank,10.0,"Use this block to identify sales, profit, margin, and gross-loss seasonal peaks by month."
monthly_profit_quality,month,2,,all_years,sales_rank,12.0,119391.4,20580.89,0.1724,5132.82,323,599,146,281,0.1461,2127.0,0.026,0.0359,0.0164,profit_rank,11.0,margin_rank,1.0,"Use this block to identify sales, profit, margin, and gross-loss seasonal peaks by month."
peak_month_category_mix,category_in_top_sales_month,Furniture,11,top_sales_month,,,244447.85,7942.19,0.0325,16745.73,542,640,,214,0.1716,,0.3454,0.1114,0.2741,,,,,Use this block to identify what product mix drives the busiest month.
peak_month_category_mix,category_in_top_sales_month,Office Supplies,11,top_sales_month,,,201021.16,31281.21,0.1556,16760.49,1076,1730,,599,0.1612,,0.284,0.4387,0.2743,,,,,Use this block to identify what product mix drives the busiest month.
peak_month_category_mix,category_in_top_sales_month,Technology,11,top_sales_month,,,262233.49,32078.11,0.1223,27593.21,497,575,,211,0.135,,0.3705,0.4499,0.4516,,,,,Use this block to identify what product mix drives the busiest month.
quarterly_profit_quality,quarter,Q4,,all_years,sales_rank,1.0,1755949.23,221145.64,0.1259,131703.97,3741,7391,709,1592,0.1563,28576.0,0.3822,0.3861,0.4218,profit_rank,1.0,margin_rank,2.0,Use this block to check whether the seasonal story is clearer by quarter than by month.
quarterly_profit_quality,quarter,Q3,,all_years,sales_rank,2.0,1228691.28,145264.06,0.1182,82884.8,2734,5599,644,1409,0.1524,21112.0,0.2674,0.2536,0.2654,profit_rank,2.0,margin_rank,4.0,Use this block to check whether the seasonal story is clearer by quarter than by month.
quarterly_profit_quality,quarter,Q2,,all_years,sales_rank,3.0,890307.05,110263.65,0.1238,52751.73,2152,4240,583,1261,0.1639,15830.0,0.1938,0.1925,0.1689,profit_rank,3.0,margin_rank,3.0,Use this block to check whether the seasonal story is clearer by quarter than by month.
quarterly_profit_quality,quarter,Q1,,all_years,sales_rank,4.0,719454.16,96120.7,0.1336,44922.07,1391,2758,469,957,0.1517,10228.0,0.1566,0.1678,0.1439,profit_rank,4.0,margin_rank,1.0,Use this block to check whether the seasonal story is clearer by quarter than by month.
region_seasonal_peaks,region_month,Central,10,all_years,region_margin_peak,1.0,107107.57,25392.54,0.2371,5300.09,200,373,96,,0.2537,,,,,sales_rank_within_region,4.0,margin_rank_within_region,1.0,Use this block to see whether regional peaks align or diverge.
region_seasonal_peaks,region_month,Central,9,all_years,region_sales_peak,1.0,153688.83,7111.67,0.0463,19444.39,302,582,138,,0.2256,,,,,sales_rank_within_region,1.0,margin_rank_within_region,7.0,Use this block to see whether regional peaks align or diverge.
region_seasonal_peaks,region_month,East,10,all_years,region_margin_peak,1.0,125266.72,25671.44,0.2049,4557.42,214,410,99,,0.1188,,,,,sales_rank_within_region,4.0,margin_rank_within_region,1.0,Use this block to see whether regional peaks align or diverge.
region_seasonal_peaks,region_month,East,11,all_years,region_sales_peak,1.0,275075.36,35989.85,0.1308,25476.32,433,865,191,,0.1444,,,,,sales_rank_within_region,1.0,margin_rank_within_region,7.0,Use this block to see whether regional peaks align or diverge.
region_seasonal_peaks,region_month,South,11,all_years,region_sales_peak,1.0,119072.97,4527.51,0.038,15169.23,240,454,112,,0.1775,,,,,sales_rank_within_region,1.0,margin_rank_within_region,11.0,Use this block to see whether regional peaks align or diverge.
region_seasonal_peaks,region_month,South,2,all_years,region_margin_peak,1.0,41962.95,10314.69,0.2458,225.78,50,104,25,,0.0923,,,,,sales_rank_within_region,11.0,margin_rank_within_region,1.0,Use this block to see whether regional peaks align or diverge.
region_seasonal_peaks,region_month,West,12,all_years,region_sales_peak,1.0,232321.59,26589.8,0.1145,11458.93,469,1052,200,,0.1175,,,,,sales_rank_within_region,1.0,margin_rank_within_region,11.0,Use this block to see whether regional peaks align or diverge.
region_seasonal_peaks,region_month,West,3,all_years,region_margin_peak,1.0,146508.35,32166.62,0.2196,1504.41,220,410,100,,0.0868,,,,,sales_rank_within_region,4.0,margin_rank_within_region,1.0,Use this block to see whether regional peaks align or diverge.
