evidence_block,grain,item,item_2,period,rank_label,rank_value,sales,profit,margin,gross_loss,orders,order_lines,customers,products,avg_discount,quantity,sales_share,profit_share,gross_loss_share,extra_metric_1,extra_value_1,extra_metric_2,extra_value_2,notes
combo_category_contribution,category_inside_combo,Furniture + Office Supplies,Furniture,,,,571178.9,11829.42,0.0207,47953.78,1290,1594,,1592,0.1758,,0.66,0.2009,0.7305,,,,,Use this block to identify which category inside each combination carries profit or loss.
combo_category_contribution,category_inside_combo,Furniture + Office Supplies,Office Supplies,,,,294289.0,47065.99,0.1599,17690.15,1290,2268,,2268,0.1611,,0.34,0.7991,0.2695,,,,,Use this block to identify which category inside each combination carries profit or loss.
combo_category_contribution,category_inside_combo,Furniture + Office Supplies + Technology,Furniture,,,,302924.38,10019.01,0.0331,22683.46,648,870,,870,0.1705,,0.327,0.0991,0.3631,,,,,Use this block to identify which category inside each combination carries profit or loss.
combo_category_contribution,category_inside_combo,Furniture + Office Supplies + Technology,Office Supplies,,,,169785.28,17879.61,0.1053,21561.21,648,1454,,1452,0.1439,,0.1833,0.1768,0.3451,,,,,Use this block to identify which category inside each combination carries profit or loss.
combo_category_contribution,category_inside_combo,Furniture + Office Supplies + Technology,Technology,,,,453572.34,73223.03,0.1614,18234.0,648,866,,864,0.1296,,0.4897,0.7241,0.2918,,,,,Use this block to identify which category inside each combination carries profit or loss.
combo_category_contribution,category_inside_combo,Furniture + Technology,Furniture,,,,123028.01,1104.22,0.009,12043.85,316,368,,368,0.1543,,0.4241,0.0377,0.5778,,,,,Use this block to identify which category inside each combination carries profit or loss.
combo_category_contribution,category_inside_combo,Furniture + Technology,Technology,,,,167058.78,28218.85,0.1689,8801.63,316,370,,370,0.1346,,0.5759,0.9623,0.4222,,,,,Use this block to identify which category inside each combination carries profit or loss.
combo_category_contribution,category_inside_combo,Furniture only,Furniture,,,,486868.3,13949.9,0.0287,39191.13,1274,1410,,1408,0.1719,,1.0,1.0,1.0,,,,,Use this block to identify which category inside each combination carries profit or loss.
combo_category_contribution,category_inside_combo,Office Supplies + Technology,Office Supplies,,,,270289.23,46612.53,0.1725,20516.63,1180,2056,,2052,0.1641,,0.3037,0.3077,0.3366,,,,,Use this block to identify which category inside each combination carries profit or loss.
combo_category_contribution,category_inside_combo,Office Supplies + Technology,Technology,,,,619747.57,104890.51,0.1692,40438.53,1180,1396,,1394,0.1333,,0.6963,0.6923,0.6634,,,,,Use this block to identify which category inside each combination carries profit or loss.
combo_category_contribution,category_inside_combo,Office Supplies only,Office Supplies,,,,703730.56,133423.47,0.1896,53462.53,4366,6274,,6272,0.1601,,1.0,1.0,1.0,,,,,Use this block to identify which category inside each combination carries profit or loss.
combo_category_contribution,category_inside_combo,Technology only,Technology,,,,431929.37,84577.51,0.1958,9685.68,944,1062,,1062,0.1261,,1.0,1.0,1.0,,,,,Use this block to identify which category inside each combination carries profit or loss.
combo_category_sign_patterns,combo_by_category_profit_sign,Furniture + Office Supplies,mixed_positive_negative_categories,,,,223664.08,-20289.82,-0.0907,31961.48,364,1054,,1054,0.2681,,,,,,,,,Use this block to separate clean category combinations from combinations where one category subsidizes another.
combo_category_sign_patterns,combo_by_category_profit_sign,Furniture + Office Supplies,only_negative_categories,,,,85403.39,-31995.39,-0.3746,32989.41,154,522,,520,0.4692,,,,,,,,,Use this block to separate clean category combinations from combinations where one category subsidizes another.
combo_category_sign_patterns,combo_by_category_profit_sign,Furniture + Office Supplies,only_positive_categories,,,,556400.43,111180.63,0.1998,693.03,772,2286,,2286,0.0615,,,,,,,,,Use this block to separate clean category combinations from combinations where one category subsidizes another.
combo_category_sign_patterns,combo_by_category_profit_sign,Furniture + Office Supplies + Technology,mixed_positive_negative_categories,,,,343187.15,-1517.96,-0.0044,42059.6,258,1256,,1256,0.2528,,,,,,,,,Use this block to separate clean category combinations from combinations where one category subsidizes another.
combo_category_sign_patterns,combo_by_category_profit_sign,Furniture + Office Supplies + Technology,only_negative_categories,,,,62690.36,-19206.69,-0.3064,19890.38,36,202,,202,0.3981,,,,,,,,,Use this block to separate clean category combinations from combinations where one category subsidizes another.
combo_category_sign_patterns,combo_by_category_profit_sign,Furniture + Office Supplies + Technology,only_positive_categories,,,,520404.49,121846.29,0.2341,528.69,354,1732,,1728,0.0462,,,,,,,,,Use this block to separate clean category combinations from combinations where one category subsidizes another.
