evidence_block,grain,item,item_2,rank_label,rank_value,revenue,gross_margin_proxy,gross_margin_rate,orders,order_lines,customers,products,quantity,share_value,share_label,extra_metric_1,extra_value_1,extra_metric_2,extra_value_2,notes
product_line_baseline,product_line,Classic Cars,,revenue_rank,1.0,3853922.49,1526212.2,0.396,209,1010,94,37,35582.0,0.4013,revenue_share,margin_rate_rank,3.0,weighted_msrp_realization,0.9001,Compare scale and gross-margin proxy before treating the highest-revenue product line as the healthiest line.
product_line_baseline,product_line,Vintage Cars,,revenue_rank,2.0,1797559.63,737268.33,0.4101,187,657,90,24,22933.0,0.1872,revenue_share,margin_rate_rank,2.0,weighted_msrp_realization,0.9014,Compare scale and gross-margin proxy before treating the highest-revenue product line as the healthiest line.
product_line_baseline,product_line,Motorcycles,,revenue_rank,3.0,1121426.12,469255.3,0.4184,79,359,55,13,12778.0,0.1168,revenue_share,margin_rate_rank,1.0,weighted_msrp_realization,0.8958,Compare scale and gross-margin proxy before treating the highest-revenue product line as the healthiest line.
product_line_baseline,product_line,Trucks and Buses,,revenue_rank,4.0,1024113.57,400553.22,0.3911,75,308,50,11,11001.0,0.1066,revenue_share,margin_rate_rank,5.0,weighted_msrp_realization,0.8976,Compare scale and gross-margin proxy before treating the highest-revenue product line as the healthiest line.
product_line_baseline,product_line,Planes,,revenue_rank,5.0,954637.54,365960.71,0.3834,66,336,52,12,11872.0,0.0994,revenue_share,margin_rate_rank,6.0,weighted_msrp_realization,0.8972,Compare scale and gross-margin proxy before treating the highest-revenue product line as the healthiest line.
product_line_baseline,product_line,Ships,,revenue_rank,6.0,663998.34,261289.47,0.3935,68,245,51,9,8532.0,0.0691,revenue_share,margin_rate_rank,4.0,weighted_msrp_realization,0.8986,Compare scale and gross-margin proxy before treating the highest-revenue product line as the healthiest line.
product_line_baseline,product_line,Trains,,revenue_rank,7.0,188532.92,65341.02,0.3466,47,81,36,3,2818.0,0.0196,revenue_share,margin_rate_rank,7.0,weighted_msrp_realization,0.9099,Compare scale and gross-margin proxy before treating the highest-revenue product line as the healthiest line.
product_line_rank_mismatch,product_line,Classic Cars,,revenue_rank_minus_margin_rate_rank,-2.0,3853922.49,1526212.2,0.396,209,1010,94,37,35582.0,0.3989,margin_proxy_share,revenue_rank,1.0,margin_proxy_rank,1.0,Rank mismatch highlights product lines where sales scale and margin quality diverge.
product_line_rank_mismatch,product_line,Vintage Cars,,revenue_rank_minus_margin_rate_rank,0.0,1797559.63,737268.33,0.4101,187,657,90,24,22933.0,0.1927,margin_proxy_share,revenue_rank,2.0,margin_proxy_rank,2.0,Rank mismatch highlights product lines where sales scale and margin quality diverge.
product_line_rank_mismatch,product_line,Motorcycles,,revenue_rank_minus_margin_rate_rank,2.0,1121426.12,469255.3,0.4184,79,359,55,13,12778.0,0.1227,margin_proxy_share,revenue_rank,3.0,margin_proxy_rank,3.0,Rank mismatch highlights product lines where sales scale and margin quality diverge.
product_line_rank_mismatch,product_line,Trucks and Buses,,revenue_rank_minus_margin_rate_rank,-1.0,1024113.57,400553.22,0.3911,75,308,50,11,11001.0,0.1047,margin_proxy_share,revenue_rank,4.0,margin_proxy_rank,4.0,Rank mismatch highlights product lines where sales scale and margin quality diverge.
product_line_rank_mismatch,product_line,Planes,,revenue_rank_minus_margin_rate_rank,-1.0,954637.54,365960.71,0.3834,66,336,52,12,11872.0,0.0957,margin_proxy_share,revenue_rank,5.0,margin_proxy_rank,5.0,Rank mismatch highlights product lines where sales scale and margin quality diverge.
product_line_rank_mismatch,product_line,Ships,,revenue_rank_minus_margin_rate_rank,2.0,663998.34,261289.47,0.3935,68,245,51,9,8532.0,0.0683,margin_proxy_share,revenue_rank,6.0,margin_proxy_rank,6.0,Rank mismatch highlights product lines where sales scale and margin quality diverge.
product_line_rank_mismatch,product_line,Trains,,revenue_rank_minus_margin_rate_rank,0.0,188532.92,65341.02,0.3466,47,81,36,3,2818.0,0.0171,margin_proxy_share,revenue_rank,7.0,margin_proxy_rank,7.0,Rank mismatch highlights product lines where sales scale and margin quality diverge.
top_product_concentration,product_in_line,Trucks and Buses,1964 Mercedes Tour Bus,revenue_rank_in_line,3.0,117669.66,38842.08,0.3301,28,28,22,1,1053.0,0.1149,line_revenue_share,margin_proxy_rank_in_line,5.0,line_margin_proxy_share,0.097,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Trucks and Buses,1958 Setra Bus,revenue_rank_in_line,1.0,119085.25,43366.45,0.3642,28,28,23,1,972.0,0.1163,line_revenue_share,margin_proxy_rank_in_line,4.0,line_margin_proxy_share,0.1083,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Trucks and Buses,1940 Ford Pickup Truck,revenue_rank_in_line,6.0,105563.12,47291.45,0.448,28,28,25,1,999.0,0.1031,line_revenue_share,margin_proxy_rank_in_line,3.0,line_margin_proxy_share,0.1181,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Trucks and Buses,1957 Chevy Pickup,revenue_rank_in_line,5.0,109946.21,51127.01,0.465,28,28,21,1,1056.0,0.1074,line_revenue_share,margin_proxy_rank_in_line,2.0,line_margin_proxy_share,0.1276,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Trucks and Buses,1962 Volkswagen Microbus,revenue_rank_in_line,2.0,118774.33,55655.47,0.4686,28,28,21,1,1029.0,0.116,line_revenue_share,margin_proxy_rank_in_line,1.0,line_margin_proxy_share,0.1389,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Ships,18th century schooner,revenue_rank_in_line,1.0,112427.12,29181.38,0.2596,27,27,24,1,1011.0,0.1693,line_revenue_share,margin_proxy_rank_in_line,6.0,line_margin_proxy_share,0.1117,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Ships,The Queen Mary,revenue_rank_in_line,3.0,78919.06,30866.58,0.3911,27,27,24,1,896.0,0.1189,line_revenue_share,margin_proxy_rank_in_line,4.0,line_margin_proxy_share,0.1181,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Ships,The Titanic,revenue_rank_in_line,2.0,84992.25,36354.57,0.4277,27,27,22,1,952.0,0.128,line_revenue_share,margin_proxy_rank_in_line,2.0,line_margin_proxy_share,0.1391,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Ships,The USS Constitution Ship,revenue_rank_in_line,7.0,66697.13,32047.73,0.4805,27,27,23,1,1020.0,0.1004,line_revenue_share,margin_proxy_rank_in_line,3.0,line_margin_proxy_share,0.1227,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Ships,HMS Bounty,revenue_rank_in_line,5.0,73298.42,37570.91,0.5126,28,28,26,1,897.0,0.1104,line_revenue_share,margin_proxy_rank_in_line,1.0,line_margin_proxy_share,0.1438,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Vintage Cars,1917 Grand Touring Sedan,revenue_rank_in_line,1.0,140535.6,60945.0,0.4337,25,25,24,1,918.0,0.0782,line_revenue_share,margin_proxy_rank_in_line,2.0,line_margin_proxy_share,0.0827,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Vintage Cars,1903 Ford Model A,revenue_rank_in_line,3.0,111528.82,51219.92,0.4593,27,27,21,1,883.0,0.062,line_revenue_share,margin_proxy_rank_in_line,4.0,line_margin_proxy_share,0.0695,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Vintage Cars,1932 Model A Ford J-Coupe,revenue_rank_in_line,4.0,109992.01,54026.65,0.4912,28,28,24,1,957.0,0.0612,line_revenue_share,margin_proxy_rank_in_line,3.0,line_margin_proxy_share,0.0733,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Vintage Cars,1928 Mercedes-Benz SSK,revenue_rank_in_line,2.0,132275.98,68423.18,0.5173,28,28,21,1,880.0,0.0736,line_revenue_share,margin_proxy_rank_in_line,1.0,line_margin_proxy_share,0.0928,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Trains,Collectable Wooden Train,revenue_rank_in_line,1.0,82617.12,20597.04,0.2493,27,27,20,1,918.0,0.4382,line_revenue_share,margin_proxy_rank_in_line,2.0,line_margin_proxy_share,0.3152,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Trains,1962 City of Detroit Streetcar,revenue_rank_in_line,3.0,52123.81,15908.47,0.3052,27,27,22,1,966.0,0.2765,line_revenue_share,margin_proxy_rank_in_line,3.0,line_margin_proxy_share,0.2435,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Trains,1950's Chicago Surface Lines Streetcar,revenue_rank_in_line,2.0,53791.99,28835.51,0.5361,27,27,22,1,934.0,0.2853,line_revenue_share,margin_proxy_rank_in_line,1.0,line_margin_proxy_share,0.4413,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Motorcycles,1996 Moto Guzzi 1100i,revenue_rank_in_line,3.0,109998.82,41077.81,0.3734,28,28,26,1,999.0,0.0981,line_revenue_share,margin_proxy_rank_in_line,4.0,line_margin_proxy_share,0.0875,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Motorcycles,1997 BMW R 1100 S,revenue_rank_in_line,4.0,105266.64,42398.26,0.4028,28,28,25,1,1033.0,0.0939,line_revenue_share,margin_proxy_rank_in_line,3.0,line_margin_proxy_share,0.0904,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Motorcycles,2003 Harley-Davidson Eagle Drag Bike,revenue_rank_in_line,1.0,170686.0,81031.3,0.4747,28,28,25,1,985.0,0.1522,line_revenue_share,margin_proxy_rank_in_line,1.0,line_margin_proxy_share,0.1727,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Motorcycles,2002 Suzuki XREO,revenue_rank_in_line,2.0,135767.03,67641.47,0.4982,28,28,25,1,1028.0,0.1211,line_revenue_share,margin_proxy_rank_in_line,2.0,line_margin_proxy_share,0.1441,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Planes,1928 British Royal Navy Airplane,revenue_rank_in_line,3.0,94885.37,30014.09,0.3163,28,28,22,1,972.0,0.0994,line_revenue_share,margin_proxy_rank_in_line,6.0,line_margin_proxy_share,0.082,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Planes,ATA: B757-300,revenue_rank_in_line,2.0,102786.38,45058.29,0.4384,28,28,25,1,973.0,0.1077,line_revenue_share,margin_proxy_rank_in_line,2.0,line_margin_proxy_share,0.1231,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Planes,1980s Black Hawk Helicopter,revenue_rank_in_line,1.0,144959.91,64599.11,0.4456,28,28,26,1,1040.0,0.1518,line_revenue_share,margin_proxy_rank_in_line,1.0,line_margin_proxy_share,0.1765,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Planes,American Airlines: MD-11S,revenue_rank_in_line,7.0,71753.93,32400.98,0.4516,28,28,26,1,1085.0,0.0752,line_revenue_share,margin_proxy_rank_in_line,3.0,line_margin_proxy_share,0.0885,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Classic Cars,2001 Ferrari Enzo,revenue_rank_in_line,2.0,190755.86,93349.65,0.4894,27,27,23,1,1019.0,0.0495,line_revenue_share,margin_proxy_rank_in_line,3.0,line_margin_proxy_share,0.0612,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Classic Cars,1992 Ferrari 360 Spider red,revenue_rank_in_line,1.0,276839.98,135996.78,0.4912,53,53,40,1,1808.0,0.0718,line_revenue_share,margin_proxy_rank_in_line,1.0,line_margin_proxy_share,0.0891,Use this block to check whether each line is broad-based or pulled by a few products.
top_product_concentration,product_in_line,Classic Cars,1952 Alpine Renault 1300,revenue_rank_in_line,3.0,190017.96,95282.58,0.5014,28,28,27,1,961.0,0.0493,line_revenue_share,margin_proxy_rank_in_line,2.0,line_margin_proxy_share,0.0624,Use this block to check whether each line is broad-based or pulled by a few products.
product_scale_mix,product_line_scale,Ships,1:700,scale_revenue_rank,1.0,429893.58,192187.11,0.4471,66,163,,6,5597.0,,not_applicable,avg_price_each,77.164,avg_msrp,85.9548,Product scale mix helps explain whether line-level performance is driven by a specific scale segment.
