evidence_block,grain,item,item_2,rank_label,rank_value,order_revenue,payment_amount,payment_coverage,gross_margin_proxy,gross_margin_rate,customers,active_order_customers,paying_customers,orders,order_lines,credit_limit,credit_utilization_proxy,notes
overall_customer_payment_baseline,overall,all_customers,,,,9604190.61,8853839.23,0.9219,3825880.25,0.3984,122,98,98,,,,,customer-level payment table; do not infer order-level repayment timing
high_value_customer_coverage,customer,Euro+ Shopping Channel,Spain,order_revenue_rank,1.0,820689.54,715738.98,0.8721,326519.66,0.3979,1,1,1,26,259,227600.0,3.6058,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,Mini Gifts Distributors Ltd.,USA,order_revenue_rank,2.0,591827.34,584188.24,0.9871,236769.39,0.4001,1,1,1,17,180,210500.0,2.8115,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,Gifts4AllAges.com,USA,order_revenue_rank,47.0,84340.32,33533.47,0.3976,32549.53,0.3859,1,1,1,3,26,41900.0,2.0129,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,Salzburg Collectables,Austria,order_revenue_rank,11.0,137480.07,85060.0,0.6187,54724.68,0.3981,1,1,1,4,40,71700.0,1.9174,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,Tekni Collectables Inc.,USA,order_revenue_rank,49.0,81806.55,38281.51,0.468,32240.57,0.3941,1,1,1,3,21,43000.0,1.9025,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,The Sharp Gifts Warehouse,USA,order_revenue_rank,10.0,143536.27,59551.38,0.4149,55931.37,0.3897,1,1,1,4,40,77600.0,1.8497,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,"Down Under Souveniers, Inc",New Zealand,order_revenue_rank,7.0,154622.08,154622.08,1.0,60013.99,0.3881,1,1,1,5,46,88000.0,1.7571,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,Reims Collectables,France,order_revenue_rank,19.0,126983.19,126983.19,1.0,52698.66,0.415,1,1,1,5,41,81100.0,1.5658,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,Danish Wholesale Imports,Denmark,order_revenue_rank,17.0,129085.12,107446.5,0.8324,50973.68,0.3949,1,1,1,5,36,83400.0,1.5478,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,"Australian Collectors, Co.",Australia,order_revenue_rank,3.0,180585.07,180585.07,1.0,70311.07,0.3894,1,1,1,5,55,117300.0,1.5395,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,"Dragon Souveniers, Ltd.",Singapore,order_revenue_rank,6.0,156251.03,156251.03,1.0,60477.38,0.3871,1,1,1,5,43,103800.0,1.5053,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,Souveniers And Things Co.,Australia,order_revenue_rank,14.0,133907.12,91655.61,0.6845,52331.45,0.3908,1,1,1,4,46,93300.0,1.4352,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,Québec Home Shopping Network,Canada,order_revenue_rank,66.0,68977.67,68977.67,1.0,25856.86,0.3749,1,1,1,3,22,48700.0,1.4164,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,Mini Caravy,France,order_revenue_rank,56.0,75859.32,75859.32,1.0,31526.6,0.4156,1,1,1,3,19,53800.0,1.41,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,La Rochelle Gifts,France,order_revenue_rank,5.0,158573.12,116949.68,0.7375,60875.3,0.3839,1,1,1,4,53,118200.0,1.3416,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,Land of Toys Inc.,USA,order_revenue_rank,8.0,149085.15,107639.94,0.722,58669.1,0.3935,1,1,1,4,49,114900.0,1.2975,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,Muscle Machine Inc,USA,order_revenue_rank,4.0,177913.95,177913.95,1.0,72370.09,0.4068,1,1,1,4,48,138500.0,1.2846,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,Baane Mini Imports,Norway,order_revenue_rank,30.0,104224.79,104224.79,1.0,41391.52,0.3971,1,1,1,4,32,81700.0,1.2757,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,"Blauer See Auto, Co.",Germany,order_revenue_rank,55.0,75937.76,75937.76,1.0,27728.34,0.3651,1,1,1,4,22,59700.0,1.272,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,"Anna's Decorations, Ltd",Australia,order_revenue_rank,13.0,137034.22,137034.22,1.0,54551.66,0.3981,1,1,1,4,46,107800.0,1.2712,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,Corporate Gift Ideas Co.,USA,order_revenue_rank,15.0,132340.78,132340.78,1.0,55674.28,0.4207,1,1,1,4,41,105000.0,1.2604,Top order-value customers should be checked against payment coverage and credit exposure.
high_value_customer_coverage,customer,"Volvo Model Replicas, Co",Sweden,order_revenue_rank,71.0,66694.82,43680.65,0.6549,25138.38,0.3769,1,1,1,4,19,53100.0,1.256,Top order-value customers should be checked against payment coverage and credit exposure.
