evidence_block,grain,item,item_2,rank_label,rank_value,products,stock_quantity,quantity_ordered,stock_turn_proxy,revenue,gross_margin_proxy,gross_margin_rate,avg_msrp_realization,avg_markup_vs_buy_price,extra_metric_1,extra_value_1,notes
product_line_inventory_baseline,product_line,Classic Cars,,product_line_revenue_rank,1.0,38,219183.0,35582.0,0.1623,3853922.49,1526212.2,0.396,0.8994,0.6874,low_turn_rank,1.0,"Product-line baseline compares stock, observed demand, revenue, and proxy margin quality."
product_line_inventory_baseline,product_line,Trains,,product_line_revenue_rank,7.0,3,16696.0,2818.0,0.1688,188532.92,65341.02,0.3466,0.9127,0.6411,low_turn_rank,2.0,"Product-line baseline compares stock, observed demand, revenue, and proxy margin quality."
product_line_inventory_baseline,product_line,Vintage Cars,,product_line_revenue_rank,2.0,24,124880.0,22933.0,0.1836,1797559.63,737268.33,0.4101,0.8999,0.7157,low_turn_rank,3.0,"Product-line baseline compares stock, observed demand, revenue, and proxy margin quality."
product_line_inventory_baseline,product_line,Motorcycles,,product_line_revenue_rank,3.0,13,69401.0,12778.0,0.1841,1121426.12,469255.3,0.4184,0.8956,0.7338,low_turn_rank,4.0,"Product-line baseline compares stock, observed demand, revenue, and proxy margin quality."
product_line_inventory_baseline,product_line,Planes,,product_line_revenue_rank,5.0,12,62287.0,11872.0,0.1906,954637.54,365960.71,0.3834,0.8986,0.6453,low_turn_rank,5.0,"Product-line baseline compares stock, observed demand, revenue, and proxy margin quality."
product_line_inventory_baseline,product_line,Trucks and Buses,,product_line_revenue_rank,4.0,11,35851.0,11001.0,0.3069,1024113.57,400553.22,0.3911,0.8995,0.715,low_turn_rank,6.0,"Product-line baseline compares stock, observed demand, revenue, and proxy margin quality."
product_line_inventory_baseline,product_line,Ships,,product_line_revenue_rank,6.0,9,26833.0,8532.0,0.318,663998.34,261289.47,0.3935,0.8988,0.6951,low_turn_rank,7.0,"Product-line baseline compares stock, observed demand, revenue, and proxy margin quality."
product_inventory_conversion,product,1985 Toyota Supra,Classic Cars,product_revenue_rank,110.0,1,7733.0,0.0,0.0,0.0,0.0,,,,stock_rank,26.0,"Product-level evidence separates high stock, high demand, and healthy pricing conversion."
product_inventory_conversion,product,1948 Porsche 356-A Roadster,Classic Cars,product_revenue_rank,77.0,1,8826.0,972.0,0.1101,66455.62,14064.82,0.2116,0.89,0.2714,stock_rank,12.0,"Product-level evidence separates high stock, high demand, and healthy pricing conversion."
product_inventory_conversion,product,1962 LanciaA Delta 16V,Classic Cars,product_revenue_rank,16.0,1,6791.0,932.0,0.1372,123123.01,26735.57,0.2171,0.8921,0.2745,stock_rank,40.0,"Product-level evidence separates high stock, high demand, and healthy pricing conversion."
product_inventory_conversion,product,1956 Porsche 356A Coupe,Classic Cars,product_revenue_rank,11.0,1,6600.0,1052.0,0.1594,134240.71,30829.11,0.2297,0.9133,0.3048,stock_rank,44.0,"Product-level evidence separates high stock, high demand, and healthy pricing conversion."
product_inventory_conversion,product,America West Airlines B757-200,Planes,product_revenue_rank,47.0,1,9653.0,984.0,0.1019,89347.8,21648.6,0.2423,0.9061,0.3133,stock_rank,3.0,"Product-level evidence separates high stock, high demand, and healthy pricing conversion."
product_inventory_conversion,product,1997 BMW F650 ST,Motorcycles,product_revenue_rank,46.0,1,178.0,1014.0,5.6966,89364.89,21508.01,0.2407,0.8879,0.3253,stock_rank,107.0,"Product-level evidence separates high stock, high demand, and healthy pricing conversion."
product_inventory_conversion,product,F/A 18 Hornet 1/72,Planes,product_revenue_rank,61.0,1,551.0,1047.0,1.9002,76618.4,19661.6,0.2566,0.9129,0.3424,stock_rank,103.0,"Product-level evidence separates high stock, high demand, and healthy pricing conversion."
product_inventory_conversion,product,18th century schooner,Ships,product_revenue_rank,26.0,1,1898.0,1011.0,0.5327,112427.12,29181.38,0.2596,0.9026,0.3471,stock_rank,90.0,"Product-level evidence separates high stock, high demand, and healthy pricing conversion."
product_inventory_conversion,product,1970 Chevy Chevelle SS 454,Classic Cars,product_revenue_rank,89.0,1,1005.0,803.0,0.799,53236.67,13696.95,0.2573,0.9072,0.354,stock_rank,98.0,"Product-level evidence separates high stock, high demand, and healthy pricing conversion."
product_inventory_conversion,product,1995 Honda Civic,Classic Cars,product_revenue_rank,21.0,1,9772.0,917.0,0.0938,119050.95,32953.82,0.2768,0.9096,0.3782,stock_rank,2.0,"Product-level evidence separates high stock, high demand, and healthy pricing conversion."
product_inventory_conversion,product,1970 Triumph Spitfire,Classic Cars,product_revenue_rank,17.0,1,5545.0,945.0,0.1704,122254.75,35390.35,0.2895,0.8985,0.4039,stock_rank,55.0,"Product-level evidence separates high stock, high demand, and healthy pricing conversion."
product_inventory_conversion,product,1968 Dodge Charger,Classic Cars,product_revenue_rank,40.0,1,9123.0,925.0,0.1014,98718.76,29195.76,0.2957,0.9081,0.419,stock_rank,9.0,"Product-level evidence separates high stock, high demand, and healthy pricing conversion."
product_inventory_conversion,product,1998 Chrysler Plymouth Prowler,Classic Cars,product_revenue_rank,8.0,1,4724.0,986.0,0.2087,142530.63,42441.77,0.2978,0.8804,0.42,stock_rank,60.0,"Product-level evidence separates high stock, high demand, and healthy pricing conversion."
product_inventory_conversion,product,1962 City of Detroit Streetcar,Trains,product_revenue_rank,92.0,1,1645.0,966.0,0.5872,52123.81,15908.47,0.3052,0.9185,0.4352,stock_rank,92.0,"Product-level evidence separates high stock, high demand, and healthy pricing conversion."
product_inventory_conversion,product,1972 Alfa Romeo GTA,Classic Cars,product_revenue_rank,15.0,1,3252.0,1030.0,0.3167,127924.32,39673.92,0.3101,0.9136,0.4501,stock_rank,73.0,"Product-level evidence separates high stock, high demand, and healthy pricing conversion."
product_inventory_conversion,product,1952 Citroen-15CV,Classic Cars,product_revenue_rank,43.0,1,1452.0,873.0,0.6012,94248.67,30676.81,0.3255,0.9196,0.483,stock_rank,94.0,"Product-level evidence separates high stock, high demand, and healthy pricing conversion."
product_inventory_conversion,product,Pont Yacht,Ships,product_revenue_rank,96.0,1,414.0,958.0,2.314,47550.4,15649.0,0.3291,0.9048,0.4836,stock_rank,106.0,"Product-level evidence separates high stock, high demand, and healthy pricing conversion."
