evidence_block,grain,item,item_2,rank_label,rank_value,order_lines,orders,customers,products,quantity,revenue,gross_margin_proxy,gross_margin_rate,weighted_msrp_realization,weighted_discount_rate,avg_line_quantity,share_value,share_label,notes
overall_price_realization_baseline,overall,all_order_lines,,,,2996,326,98,109,105516.0,9604190.61,3825880.25,0.3984,0.8994,0.1006,35.219,,not_applicable,Start from a price-realization baseline before treating lower realized prices as either growth-positive or margin-negative.
price_realization_bucket_summary,price_realization_bucket,near_msrp_95pct_plus,,bucket_revenue_rank,1.0,793,267,94,109,27922.0,2771103.11,1230199.95,0.4439,0.9774,0.0226,35.2106,0.2885,revenue_share,"Compare volume, revenue, and margin proxy across realized-price buckets rather than reading concessions in isolation."
price_realization_bucket_summary,price_realization_bucket,deepest_concession_below_85pct,,bucket_revenue_rank,2.0,786,272,98,109,27594.0,2297462.03,798021.7,0.3473,0.8222,0.1778,35.1069,0.2392,revenue_share,"Compare volume, revenue, and margin proxy across realized-price buckets rather than reading concessions in isolation."
price_realization_bucket_summary,price_realization_bucket,moderate_concession_90_95pct,,bucket_revenue_rank,3.0,690,261,95,109,24314.0,2280290.88,943091.73,0.4136,0.9249,0.0751,35.2377,0.2374,revenue_share,"Compare volume, revenue, and margin proxy across realized-price buckets rather than reading concessions in isolation."
price_realization_bucket_summary,price_realization_bucket,deeper_concession_85_90pct,,bucket_revenue_rank,4.0,727,264,96,109,25686.0,2255334.59,854566.87,0.3789,0.8728,0.1272,35.3315,0.2348,revenue_share,"Compare volume, revenue, and margin proxy across realized-price buckets rather than reading concessions in isolation."
product_line_price_quality,product_line,Trains,,product_line_revenue_rank,7.0,81,47,36,3,2818.0,188532.92,65341.02,0.3466,0.9099,0.0901,34.7901,0.0196,revenue_share,Product-line decomposition identifies whether pricing pressure is broad or concentrated in specific lines.
product_line_price_quality,product_line,Planes,,product_line_revenue_rank,5.0,336,66,52,12,11872.0,954637.54,365960.71,0.3834,0.8972,0.1028,35.3333,0.0994,revenue_share,Product-line decomposition identifies whether pricing pressure is broad or concentrated in specific lines.
product_line_price_quality,product_line,Trucks and Buses,,product_line_revenue_rank,4.0,308,75,50,11,11001.0,1024113.57,400553.22,0.3911,0.8976,0.1024,35.7175,0.1066,revenue_share,Product-line decomposition identifies whether pricing pressure is broad or concentrated in specific lines.
product_line_price_quality,product_line,Ships,,product_line_revenue_rank,6.0,245,68,51,9,8532.0,663998.34,261289.47,0.3935,0.8986,0.1014,34.8245,0.0691,revenue_share,Product-line decomposition identifies whether pricing pressure is broad or concentrated in specific lines.
product_line_price_quality,product_line,Classic Cars,,product_line_revenue_rank,1.0,1010,209,94,37,35582.0,3853922.49,1526212.2,0.396,0.9001,0.0999,35.2297,0.4013,revenue_share,Product-line decomposition identifies whether pricing pressure is broad or concentrated in specific lines.
product_line_price_quality,product_line,Vintage Cars,,product_line_revenue_rank,2.0,657,187,90,24,22933.0,1797559.63,737268.33,0.4101,0.9014,0.0986,34.9056,0.1872,revenue_share,Product-line decomposition identifies whether pricing pressure is broad or concentrated in specific lines.
product_line_price_quality,product_line,Motorcycles,,product_line_revenue_rank,3.0,359,79,55,13,12778.0,1121426.12,469255.3,0.4184,0.8958,0.1042,35.5933,0.1168,revenue_share,Product-line decomposition identifies whether pricing pressure is broad or concentrated in specific lines.
product_price_pressure_examples,product,1993 Mazda RX-7,Classic Cars,low_realization_rank,1.0,27,27,25,1,947.0,114648.12,35564.15,0.3102,0.8553,0.1447,35.0741,0.0366,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,1957 Corvette Convertible,Classic Cars,product_revenue_rank,14.0,27,27,21,1,1013.0,130749.31,59910.22,0.4582,0.8674,0.1326,37.5185,0.0418,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,Corsair F4U ( Bird Cage),Planes,low_realization_rank,3.0,28,28,26,1,1051.0,62269.67,31433.33,0.5048,0.8682,0.1318,37.5357,0.0199,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,1960 BSA Gold Star DBD34,Motorcycles,low_realization_rank,4.0,28,28,25,1,1015.0,67193.49,29313.69,0.4363,0.8691,0.1309,36.25,0.0215,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,1936 Harley Davidson El Knucklehead,Motorcycles,low_realization_rank,5.0,28,28,25,1,945.0,49992.72,27095.37,0.542,0.8734,0.1266,33.75,0.016,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,2002 Suzuki XREO,Motorcycles,product_revenue_rank,10.0,28,28,25,1,1028.0,135767.03,67641.47,0.4982,0.8768,0.1232,36.7143,0.0434,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,1969 Dodge Super Bee,Classic Cars,low_realization_rank,7.0,27,27,21,1,974.0,68783.93,21009.23,0.3054,0.8782,0.1218,36.0741,0.022,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,1957 Chevy Pickup,Trucks and Buses,low_realization_rank,8.0,28,28,21,1,1056.0,109946.21,51127.01,0.465,0.8786,0.1214,37.7143,0.0351,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,1939 Cadillac Limousine,Vintage Cars,low_realization_rank,9.0,28,28,23,1,995.0,44037.84,21013.54,0.4772,0.8797,0.1203,35.5357,0.0141,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,1936 Mercedes Benz 500k Roadster,Vintage Cars,low_realization_rank,10.0,25,25,21,1,824.0,29763.39,11841.39,0.3979,0.8803,0.1197,32.96,0.0095,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,1912 Ford Model T Delivery Wagon,Vintage Cars,low_realization_rank,11.0,27,27,25,1,991.0,77239.92,30752.11,0.3981,0.8806,0.1194,36.7037,0.0247,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,1971 Alpine Renault 1600s,Classic Cars,low_realization_rank,12.0,27,27,22,1,969.0,52339.53,14955.51,0.2857,0.8821,0.1179,35.8889,0.0167,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,1997 BMW F650 ST,Motorcycles,low_realization_rank,13.0,28,28,24,1,1014.0,89364.89,21508.01,0.2407,0.8823,0.1177,36.2143,0.0286,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,1998 Chrysler Plymouth Prowler,Classic Cars,product_revenue_rank,8.0,28,28,21,1,986.0,142530.63,42441.77,0.2978,0.8829,0.1171,35.2143,0.0455,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
product_price_pressure_examples,product,1980s Black Hawk Helicopter,Planes,product_revenue_rank,7.0,28,28,26,1,1040.0,144959.91,64599.11,0.4456,0.8839,0.1161,37.1429,0.0463,selected_product_revenue_share,Selected product rows support whether price pressure is tied to important products or only tail items.
