evidence_block,grain,item,item_2,rank_label,rank_value,customers,orders,order_lines,products,product_lines,revenue,gross_margin_proxy,gross_margin_rate,payment_amount,payment_coverage,credit_limit,credit_utilization_proxy,avg_orders_per_customer,share_value,share_label,notes
repeat_lifecycle_bucket_summary,order_count_bucket,three_to_four_orders,,bucket_revenue_rank,1.0,60,197,1761,1624,267,5637881.47,2249511.64,0.399,5021758.37,0.8907,4898600.0,1.1509,3.2833,0.587,revenue_share,Compare order-frequency buckets before assuming repeat behavior improves customer quality.
repeat_lifecycle_bucket_summary,order_count_bucket,five_plus_orders,,bucket_revenue_rank,2.0,7,68,660,370,41,2160043.37,857763.83,0.3971,2025815.09,0.9379,911700.0,2.3692,9.7143,0.2249,revenue_share,Compare order-frequency buckets before assuming repeat behavior improves customer quality.
repeat_lifecycle_bucket_summary,order_count_bucket,two_orders,,bucket_revenue_rank,3.0,30,60,561,524,117,1774955.68,705571.43,0.3975,1774955.68,1.0,2367100.0,0.7498,2.0,0.1848,revenue_share,Compare order-frequency buckets before assuming repeat behavior improves customer quality.
repeat_lifecycle_bucket_summary,order_count_bucket,one_order,,bucket_revenue_rank,4.0,1,1,14,14,3,31310.09,13033.35,0.4163,31310.09,1.0,77000.0,0.4066,1.0,0.0033,revenue_share,Compare order-frequency buckets before assuming repeat behavior improves customer quality.
repeat_lifecycle_bucket_summary,order_count_bucket,no_observed_orders,,bucket_revenue_rank,5.0,24,0,0,0,0,0.0,0.0,,0.0,,0.0,,0.0,0.0,revenue_share,Compare order-frequency buckets before assuming repeat behavior improves customer quality.
first_order_cohort_summary,first_order_year,2003,,cohort_revenue_rank,1.0,74,263,2392,1980,328,7674830.05,3055472.91,0.3981,7184819.68,0.9362,6241400.0,1.2297,3.5541,0.7991,revenue_share,First-order cohort helps separate older customer accumulation from current quality.
first_order_cohort_summary,first_order_year,2004,,cohort_revenue_rank,2.0,24,63,604,552,100,1929360.56,770407.34,0.3993,1669019.55,0.8651,2013000.0,0.9585,2.625,0.2009,revenue_share,First-order cohort helps separate older customer accumulation from current quality.
first_order_cohort_summary,first_order_year,no_observed_orders,,cohort_revenue_rank,3.0,24,0,0,0,0,0.0,0.0,,0.0,,0.0,,0.0,0.0,revenue_share,First-order cohort helps separate older customer accumulation from current quality.
repeat_customer_examples,customer,Gifts4AllAges.com,USA,low_coverage_rank,1.0,1,3,26,21,5,84340.32,32549.53,0.3859,33533.47,0.3976,41900.0,2.0129,3.0,0.0162,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,The Sharp Gifts Warehouse,USA,repeat_rank,11.0,1,4,40,39,5,143536.27,55931.37,0.3897,59551.38,0.4149,77600.0,1.8497,4.0,0.0276,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
repeat_customer_examples,customer,Tekni Collectables Inc.,USA,low_coverage_rank,3.0,1,3,21,21,4,81806.55,32240.57,0.3941,38281.51,0.468,43000.0,1.9025,3.0,0.0158,selected_customer_revenue_share,Customer rows reveal whether high repeat depth coincides with payment coverage and margin quality.
