evidence_block,grain,item,item_2,rank_label,rank_value,products,ordered_products,orders,order_lines,quantity,inventory,revenue,gross_margin_proxy,gross_margin_rate,stock_turnover_proxy,weighted_msrp_realization,share_value,share_label,notes
vendor_portfolio_baseline,vendor,Gearbox Collectibles,,vendor_revenue_rank,3.0,9,9,242,242,8352.0,60495.0,828013.76,338223.61,0.4085,0.1381,0.8991,0.0862,revenue_share,"Vendor baseline separates supplier scale, inventory exposure, and margin proxy."
vendor_portfolio_baseline,vendor,Min Lin Diecast,,vendor_revenue_rank,9.0,8,8,220,220,7729.0,50089.0,680657.99,232423.67,0.3415,0.1543,0.896,0.0709,revenue_share,"Vendor baseline separates supplier scale, inventory exposure, and margin proxy."
vendor_portfolio_baseline,vendor,Welly Diecast Productions,,vendor_revenue_rank,6.0,8,8,216,216,7580.0,45095.0,776165.33,298897.1,0.3851,0.1681,0.8996,0.0808,revenue_share,"Vendor baseline separates supplier scale, inventory exposure, and margin proxy."
vendor_portfolio_baseline,vendor,Studio M Art Models,,vendor_revenue_rank,13.0,8,8,217,217,7552.0,42253.0,474426.49,215328.96,0.4539,0.1787,0.8966,0.0494,revenue_share,"Vendor baseline separates supplier scale, inventory exposure, and margin proxy."
vendor_portfolio_baseline,vendor,Second Gear Diecast,,vendor_revenue_rank,4.0,8,8,220,220,7845.0,42865.0,803892.06,338067.07,0.4205,0.183,0.903,0.0837,revenue_share,"Vendor baseline separates supplier scale, inventory exposure, and margin proxy."
vendor_portfolio_baseline,vendor,Red Start Diecast,,vendor_revenue_rank,12.0,7,7,189,189,6619.0,35046.0,655487.61,296073.05,0.4517,0.1889,0.893,0.0683,revenue_share,"Vendor baseline separates supplier scale, inventory exposure, and margin proxy."
vendor_portfolio_baseline,vendor,Exoto Designs,,vendor_revenue_rank,5.0,9,9,240,240,8604.0,44166.0,793392.31,282537.09,0.3561,0.1948,0.8966,0.0826,revenue_share,"Vendor baseline separates supplier scale, inventory exposure, and margin proxy."
vendor_portfolio_baseline,vendor,Motor City Art Classics,,vendor_revenue_rank,8.0,9,9,249,249,8873.0,43105.0,704806.89,205178.19,0.2911,0.2058,0.9019,0.0734,revenue_share,"Vendor baseline separates supplier scale, inventory exposure, and margin proxy."
vendor_portfolio_baseline,vendor,Highway 66 Mini Classics,,vendor_revenue_rank,11.0,9,8,222,222,7808.0,37520.0,664508.39,245747.35,0.3698,0.2081,0.8886,0.0692,revenue_share,"Vendor baseline separates supplier scale, inventory exposure, and margin proxy."
vendor_portfolio_baseline,vendor,Classic Metal Creations,,vendor_revenue_rank,1.0,10,10,270,270,9678.0,45408.0,934554.42,384438.06,0.4114,0.2131,0.9005,0.0973,revenue_share,"Vendor baseline separates supplier scale, inventory exposure, and margin proxy."
vendor_portfolio_baseline,vendor,Carousel DieCast Legends,,vendor_revenue_rank,10.0,9,9,246,246,8735.0,40805.0,667190.0,251702.34,0.3773,0.2141,0.9052,0.0695,revenue_share,"Vendor baseline separates supplier scale, inventory exposure, and margin proxy."
vendor_portfolio_baseline,vendor,Unimax Art Galleries,,vendor_revenue_rank,2.0,8,8,244,244,8439.0,38191.0,884167.33,392337.39,0.4437,0.221,0.9055,0.0921,revenue_share,"Vendor baseline separates supplier scale, inventory exposure, and margin proxy."
vendor_portfolio_baseline,vendor,Autoart Studio Design,,vendor_revenue_rank,7.0,8,8,221,221,7702.0,30093.0,736928.03,344926.37,0.4681,0.2559,0.9024,0.0767,revenue_share,"Vendor baseline separates supplier scale, inventory exposure, and margin proxy."
scale_portfolio_baseline,product_scale,1:12,,scale_revenue_rank,3.0,9,9,246,246,8790.0,44546.0,1136048.18,510371.78,0.4493,0.1973,0.8961,0.1183,revenue_share,Scale rows check whether model-size mix explains portfolio quality beyond product line.
scale_portfolio_baseline,product_scale,1:700,,scale_revenue_rank,5.0,10,10,275,275,9533.0,51682.0,767652.91,319438.1,0.4161,0.1845,0.898,0.0799,revenue_share,Scale rows check whether model-size mix explains portfolio quality beyond product line.
scale_portfolio_baseline,product_scale,1:10,,scale_revenue_rank,4.0,6,6,168,168,5964.0,37488.0,811907.88,322366.78,0.397,0.1591,0.9077,0.0845,revenue_share,Scale rows check whether model-size mix explains portfolio quality beyond product line.
scale_portfolio_baseline,product_scale,1:18,,scale_revenue_rank,1.0,42,41,1137,1137,40243.0,245047.0,4071043.35,1611869.32,0.3959,0.1642,0.8974,0.4239,revenue_share,Scale rows check whether model-size mix explains portfolio quality beyond product line.
