evidence_block,grain,item,item_2,rank_label,rank_value,orders,customers,order_lines,products,product_lines,quantity,revenue,gross_margin_proxy,gross_margin_rate,weighted_msrp_realization,avg_days_to_ship,late_orders,non_shipped_orders,share_value,share_label,notes
line_count_complexity_summary,line_count_bucket,11+ lines,,bucket_revenue_rank,1.0,134,75,1908,1908,361,66380.0,5963834.36,2364643.38,0.3965,0.8989,3.9365,1,11,0.621,revenue_share,Line-count buckets test whether larger orders actually carry stronger margin and fulfillment quality.
line_count_complexity_summary,line_count_bucket,7-10 lines,,bucket_revenue_rank,2.0,78,58,671,671,191,23828.0,2217933.97,887178.18,0.4,0.9,3.5455,0,4,0.2309,revenue_share,Line-count buckets test whether larger orders actually carry stronger margin and fulfillment quality.
line_count_complexity_summary,line_count_bucket,4-6 lines,,bucket_revenue_rank,3.0,61,44,314,314,110,11555.0,1087009.75,439979.66,0.4048,0.9028,3.569,0,5,0.1132,revenue_share,Line-count buckets test whether larger orders actually carry stronger margin and fulfillment quality.
line_count_complexity_summary,line_count_bucket,1-3 lines,,bucket_revenue_rank,4.0,53,43,103,103,69,3753.0,335412.53,134079.03,0.3997,0.892,3.8431,0,3,0.0349,revenue_share,Line-count buckets test whether larger orders actually carry stronger margin and fulfillment quality.
product_line_count_summary,product_line_count_bucket,three_plus_product_lines,,bucket_revenue_rank,1.0,132,76,1538,1538,440,54020.0,4883333.24,1914876.76,0.3921,0.901,4.128,1,11,0.5085,revenue_share,Product-line count distinguishes multi-line breadth from simple order size.
product_line_count_summary,product_line_count_bucket,two_product_lines,,bucket_revenue_rank,2.0,97,60,911,911,194,31894.0,2854525.01,1156884.5,0.4053,0.8998,3.4839,0,6,0.2972,revenue_share,Product-line count distinguishes multi-line breadth from simple order size.
product_line_count_summary,product_line_count_bucket,single_product_line,,bucket_revenue_rank,3.0,97,68,547,547,97,19602.0,1866332.36,754118.99,0.4041,0.8946,3.5319,0,6,0.1943,revenue_share,Product-line count distinguishes multi-line breadth from simple order size.
complex_order_examples,order,10387,"Dragon Souveniers, Ltd.",weak_margin_rank,1.0,1,1,1,1,1,44.0,3516.04,571.56,0.1626,0.8,4.0,0,0,0.002,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10323,"Blauer See Auto, Co.",weak_margin_rank,2.0,1,1,2,2,2,80.0,7466.32,1583.78,0.2121,0.8329,4.0,0,0,0.0042,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
complex_order_examples,order,10376,Boards & Toys Co.,weak_margin_rank,3.0,1,1,1,1,1,35.0,3452.75,822.15,0.2381,0.84,5.0,0,0,0.0019,selected_order_revenue_share,"Order examples connect complexity to specific margin, pricing, and fulfillment outcomes."
