evidence_block,grain,item,item_2,item_3,rank_label,rank_value,release_year,start_year,end_year,games,game_platforms,platforms,publishers,genres,regions,reported_sales_volume,sales_share,avg_sales_per_game_platform,secondary_value,secondary_label,notes
genre_global_baseline,genre,Action,,,genre_sales_rank,1.0,,,,1894,3245,24,229,1,4,1713.23,0.1943,0.528,,not_applicable,Start with global genre scale before judging whether a genre travels broadly.
genre_global_baseline,genre,Sports,,,genre_sales_rank,2.0,,,,1361,2298,25,161,1,4,1306.2,0.1481,0.5684,,not_applicable,Start with global genre scale before judging whether a genre travels broadly.
genre_global_baseline,genre,Shooter,,,genre_sales_rank,3.0,,,,804,1281,25,150,1,4,1021.54,0.1158,0.7975,,not_applicable,Start with global genre scale before judging whether a genre travels broadly.
genre_global_baseline,genre,Role-Playing,,,genre_sales_rank,4.0,,,,1197,1462,26,159,1,4,920.31,0.1044,0.6295,,not_applicable,Start with global genre scale before judging whether a genre travels broadly.
genre_global_baseline,genre,Platform,,,genre_sales_rank,5.0,,,,580,876,26,98,1,4,828.82,0.094,0.9461,,not_applicable,Start with global genre scale before judging whether a genre travels broadly.
genre_global_baseline,genre,Misc,,,genre_sales_rank,6.0,,,,1308,1703,24,209,1,4,794.06,0.09,0.4663,,not_applicable,Start with global genre scale before judging whether a genre travels broadly.
genre_global_baseline,genre,Racing,,,genre_sales_rank,7.0,,,,755,1218,25,128,1,4,728.29,0.0826,0.5979,,not_applicable,Start with global genre scale before judging whether a genre travels broadly.
genre_global_baseline,genre,Fighting,,,genre_sales_rank,8.0,,,,605,836,24,99,1,4,444.08,0.0504,0.5312,,not_applicable,Start with global genre scale before judging whether a genre travels broadly.
genre_global_baseline,genre,Simulation,,,genre_sales_rank,9.0,,,,713,850,23,151,1,4,389.58,0.0442,0.4583,,not_applicable,Start with global genre scale before judging whether a genre travels broadly.
genre_global_baseline,genre,Puzzle,,,genre_sales_rank,10.0,,,,490,569,22,115,1,4,240.98,0.0273,0.4235,,not_applicable,Start with global genre scale before judging whether a genre travels broadly.
genre_global_baseline,genre,Adventure,,,genre_sales_rank,11.0,,,,1032,1265,26,207,1,4,234.16,0.0266,0.1851,,not_applicable,Start with global genre scale before judging whether a genre travels broadly.
genre_global_baseline,genre,Strategy,,,genre_sales_rank,12.0,,,,578,671,23,120,1,4,173.26,0.0196,0.2582,,not_applicable,Start with global genre scale before judging whether a genre travels broadly.
genre_global_baseline,genre,Unknown Genre,,,genre_sales_rank,13.0,,,,43,52,14,20,1,4,24.59,0.0028,0.4729,,not_applicable,Start with global genre scale before judging whether a genre travels broadly.
genre_regional_specialization,genre,Action,North America,,genre_sales_rank,1.0,,,,,,,,1,,1713.23,0.1943,,0.5001,dominant_region_share,A genre can be globally large but still region-dependent; dominant-region share is the key anchor.
genre_regional_specialization,genre,Sports,North America,,genre_sales_rank,2.0,,,,,,,,1,,1306.2,0.1481,,0.5118,dominant_region_share,A genre can be globally large but still region-dependent; dominant-region share is the key anchor.
genre_regional_specialization,genre,Shooter,North America,,genre_sales_rank,3.0,,,,,,,,1,,1021.54,0.1158,,0.5607,dominant_region_share,A genre can be globally large but still region-dependent; dominant-region share is the key anchor.
genre_regional_specialization,genre,Role-Playing,Japan,,genre_sales_rank,4.0,,,,,,,,1,,920.31,0.1044,,0.3792,dominant_region_share,A genre can be globally large but still region-dependent; dominant-region share is the key anchor.
genre_regional_specialization,genre,Platform,North America,,genre_sales_rank,5.0,,,,,,,,1,,828.82,0.094,,0.5381,dominant_region_share,A genre can be globally large but still region-dependent; dominant-region share is the key anchor.
genre_regional_specialization,genre,Misc,North America,,genre_sales_rank,6.0,,,,,,,,1,,794.06,0.09,,0.5048,dominant_region_share,A genre can be globally large but still region-dependent; dominant-region share is the key anchor.
genre_regional_specialization,genre,Racing,North America,,genre_sales_rank,7.0,,,,,,,,1,,728.29,0.0826,,0.4911,dominant_region_share,A genre can be globally large but still region-dependent; dominant-region share is the key anchor.
genre_regional_specialization,genre,Fighting,North America,,genre_sales_rank,8.0,,,,,,,,1,,444.08,0.0504,,0.4971,dominant_region_share,A genre can be globally large but still region-dependent; dominant-region share is the key anchor.
genre_regional_specialization,genre,Simulation,North America,,genre_sales_rank,9.0,,,,,,,,1,,389.58,0.0442,,0.4666,dominant_region_share,A genre can be globally large but still region-dependent; dominant-region share is the key anchor.
genre_regional_specialization,genre,Puzzle,North America,,genre_sales_rank,10.0,,,,,,,,1,,240.98,0.0273,,0.5046,dominant_region_share,A genre can be globally large but still region-dependent; dominant-region share is the key anchor.
genre_regional_specialization,genre,Adventure,North America,,genre_sales_rank,11.0,,,,,,,,1,,234.16,0.0266,,0.4359,dominant_region_share,A genre can be globally large but still region-dependent; dominant-region share is the key anchor.
genre_regional_specialization,genre,Strategy,North America,,genre_sales_rank,12.0,,,,,,,,1,,173.26,0.0196,,0.3918,dominant_region_share,A genre can be globally large but still region-dependent; dominant-region share is the key anchor.
genre_regional_specialization,genre,Unknown Genre,North America,,genre_sales_rank,13.0,,,,,,,,1,,24.59,0.0028,,0.5287,dominant_region_share,A genre can be globally large but still region-dependent; dominant-region share is the key anchor.
region_genre_leaders,region_genre,North America,Action,,genre_rank_in_region,1.0,,,,1894,3245,,,1,1,856.72,0.1976,0.264,,not_applicable,Regional leaders reveal local demand structure that a global genre ranking can miss.
region_genre_leaders,region_genre,North America,Sports,,genre_rank_in_region,2.0,,,,1361,2298,,,1,1,668.53,0.1542,0.2909,,not_applicable,Regional leaders reveal local demand structure that a global genre ranking can miss.
region_genre_leaders,region_genre,North America,Shooter,,genre_rank_in_region,3.0,,,,804,1281,,,1,1,572.79,0.1321,0.4471,,not_applicable,Regional leaders reveal local demand structure that a global genre ranking can miss.
region_genre_leaders,region_genre,Other,Action,,genre_rank_in_region,1.0,,,,1894,3245,,,1,1,184.07,0.2332,0.0567,,not_applicable,Regional leaders reveal local demand structure that a global genre ranking can miss.
region_genre_leaders,region_genre,Other,Sports,,genre_rank_in_region,2.0,,,,1361,2298,,,1,1,132.55,0.1679,0.0577,,not_applicable,Regional leaders reveal local demand structure that a global genre ranking can miss.
region_genre_leaders,region_genre,Other,Shooter,,genre_rank_in_region,3.0,,,,804,1281,,,1,1,101.75,0.1289,0.0794,,not_applicable,Regional leaders reveal local demand structure that a global genre ranking can miss.
region_genre_leaders,region_genre,Japan,Role-Playing,,genre_rank_in_region,1.0,,,,1197,1462,,,1,1,349.02,0.2718,0.2387,,not_applicable,Regional leaders reveal local demand structure that a global genre ranking can miss.
region_genre_leaders,region_genre,Japan,Action,,genre_rank_in_region,2.0,,,,1894,3245,,,1,1,158.76,0.1236,0.0489,,not_applicable,Regional leaders reveal local demand structure that a global genre ranking can miss.
region_genre_leaders,region_genre,Japan,Sports,,genre_rank_in_region,3.0,,,,1361,2298,,,1,1,134.51,0.1047,0.0585,,not_applicable,Regional leaders reveal local demand structure that a global genre ranking can miss.
