evidence_block,grain,item,item_2,item_3,rank_label,rank_value,release_year,start_year,end_year,games,game_platforms,platforms,publishers,genres,regions,reported_sales_volume,sales_share,avg_sales_per_game_platform,secondary_value,secondary_label,notes
publisher_scale_baseline,publisher,Nintendo,,,publisher_sales_rank,1.0,,,,662,696,10,1,13,4,1784.23,0.2023,2.5635,2.6952,sales_per_game,Scale baseline separates publisher size from portfolio quality.
publisher_scale_baseline,publisher,Electronic Arts,,,publisher_sales_rank,2.0,,,,605,1338,19,1,13,4,1096.45,0.1243,0.8195,1.8123,sales_per_game,Scale baseline separates publisher size from portfolio quality.
publisher_scale_baseline,publisher,Activision,,,publisher_sales_rank,3.0,,,,414,966,20,1,13,4,721.06,0.0818,0.7464,1.7417,sales_per_game,Scale baseline separates publisher size from portfolio quality.
publisher_scale_baseline,publisher,Sony Computer Entertainment,,,publisher_sales_rank,4.0,,,,621,682,6,1,12,4,607.27,0.0689,0.8904,0.9779,sales_per_game,Scale baseline separates publisher size from portfolio quality.
publisher_scale_baseline,publisher,Ubisoft,,,publisher_sales_rank,5.0,,,,571,918,19,1,13,4,473.33,0.0537,0.5156,0.8289,sales_per_game,Scale baseline separates publisher size from portfolio quality.
publisher_scale_baseline,publisher,Take-Two Interactive,,,publisher_sales_rank,6.0,,,,201,412,17,1,12,4,399.45,0.0453,0.9695,1.9873,sales_per_game,Scale baseline separates publisher size from portfolio quality.
publisher_scale_baseline,publisher,THQ,,,publisher_sales_rank,7.0,,,,406,712,15,1,13,4,340.32,0.0386,0.478,0.8382,sales_per_game,Scale baseline separates publisher size from portfolio quality.
publisher_scale_baseline,publisher,Konami Digital Entertainment,,,publisher_sales_rank,8.0,,,,634,823,23,1,12,4,278.37,0.0316,0.3382,0.4391,sales_per_game,Scale baseline separates publisher size from portfolio quality.
publisher_scale_baseline,publisher,Sega,,,publisher_sales_rank,9.0,,,,477,632,21,1,12,4,270.68,0.0307,0.4283,0.5675,sales_per_game,Scale baseline separates publisher size from portfolio quality.
publisher_scale_baseline,publisher,Namco Bandai Games,,,publisher_sales_rank,10.0,,,,774,928,23,1,13,4,253.47,0.0287,0.2731,0.3275,sales_per_game,Scale baseline separates publisher size from portfolio quality.
publisher_scale_baseline,publisher,Microsoft Game Studios,,,publisher_sales_rank,11.0,,,,179,189,5,1,12,4,245.78,0.0279,1.3004,1.3731,sales_per_game,Scale baseline separates publisher size from portfolio quality.
publisher_scale_baseline,publisher,Capcom,,,publisher_sales_rank,12.0,,,,274,376,23,1,13,4,199.81,0.0227,0.5314,0.7292,sales_per_game,Scale baseline separates publisher size from portfolio quality.
publisher_scale_baseline,publisher,Atari,,,publisher_sales_rank,13.0,,,,267,347,13,1,13,4,146.46,0.0166,0.4221,0.5485,sales_per_game,Scale baseline separates publisher size from portfolio quality.
publisher_scale_baseline,publisher,Square Enix,,,publisher_sales_rank,14.0,,,,160,231,13,1,9,4,144.79,0.0164,0.6268,0.9049,sales_per_game,Scale baseline separates publisher size from portfolio quality.
publisher_scale_baseline,publisher,Warner Bros. Interactive Entertainment,,,publisher_sales_rank,15.0,,,,73,217,13,1,9,4,142.34,0.0161,0.6559,1.9499,sales_per_game,Scale baseline separates publisher size from portfolio quality.
