evidence_block,grain,item,item_2,item_3,rank_label,rank_value,release_year,start_year,end_year,games,game_platforms,platforms,publishers,genres,regions,reported_sales_volume,sales_share,avg_sales_per_game_platform,secondary_value,secondary_label,notes
platform_scope_summary,platform_scope_bucket,single_platform_games,,,bucket_sales_rank,1.0,,,,9213,9213,9213,,,19772,4503.6,0.5107,0.4888,0.4888,sales_per_game,Platform-scope baseline quantifies whether multi-platform games dominate sales or only add catalogue complexity.
platform_scope_summary,platform_scope_bucket,three_to_four_platform_games,,,bucket_sales_rank,2.0,,,,898,2951,2951,,,2847,1807.02,0.2049,0.6123,2.0123,sales_per_game,Platform-scope baseline quantifies whether multi-platform games dominate sales or only add catalogue complexity.
platform_scope_summary,platform_scope_bucket,two_platform_games,,,bucket_sales_rank,3.0,,,,1375,2750,2750,,,3847,1398.06,0.1585,0.5084,1.0168,sales_per_game,Platform-scope baseline quantifies whether multi-platform games dominate sales or only add catalogue complexity.
platform_scope_summary,platform_scope_bucket,five_plus_platform_games,,,bucket_sales_rank,4.0,,,,246,1412,1410,,,842,1110.42,0.1259,0.7864,4.5139,sales_per_game,Platform-scope baseline quantifies whether multi-platform games dominate sales or only add catalogue complexity.
top_game_platform_scope_examples,game,Wii Sports,Nintendo,Sports,game_sales_rank,1.0,,,,1,1,1,1,1,4,82.74,0.0094,82.74,1.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,Grand Theft Auto V,Take-Two Interactive,Action,game_sales_rank,2.0,,,,1,5,5,1,1,4,55.92,0.0063,11.184,5.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,Super Mario Bros.,Nintendo,Platform,game_sales_rank,3.0,,,,1,2,2,1,1,4,45.31,0.0051,22.655,2.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,Tetris,Nintendo,Puzzle,game_sales_rank,4.0,,,,1,2,2,1,1,4,35.84,0.0041,17.92,2.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,Mario Kart Wii,Nintendo,Racing,game_sales_rank,5.0,,,,1,1,1,1,1,4,35.83,0.0041,35.83,1.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,Wii Sports Resort,Nintendo,Sports,game_sales_rank,6.0,,,,1,1,1,1,1,4,33.0,0.0037,33.0,1.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,Pokemon Red/Pokemon Blue,Nintendo,Role-Playing,game_sales_rank,7.0,,,,1,1,1,1,1,4,31.38,0.0036,31.38,1.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,Call of Duty: Modern Warfare 3,Activision,Shooter,game_sales_rank,8.0,,,,1,4,4,1,1,4,30.84,0.0035,7.71,4.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,New Super Mario Bros.,Nintendo,Platform,game_sales_rank,9.0,,,,1,1,1,1,1,4,30.01,0.0034,30.01,1.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,Call of Duty: Black Ops II,Activision,Shooter,game_sales_rank,10.0,,,,1,4,4,1,1,4,29.73,0.0034,7.4325,4.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,Call of Duty: Black Ops,Activision,Shooter,game_sales_rank,11.0,,,,1,4,4,1,1,4,29.41,0.0033,7.3525,4.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,Wii Play,Nintendo,Misc,game_sales_rank,12.0,,,,1,1,1,1,1,4,29.01,0.0033,29.01,1.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,New Super Mario Bros. Wii,Nintendo,Platform,game_sales_rank,13.0,,,,1,1,1,1,1,4,28.61,0.0032,28.61,1.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,Duck Hunt,Nintendo,Shooter,game_sales_rank,14.0,,,,1,1,1,1,1,4,28.31,0.0032,28.31,1.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,Call of Duty: Ghosts,Activision,Shooter,game_sales_rank,15.0,,,,1,6,6,1,1,4,27.37,0.0031,4.5617,6.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,Super Mario World,Nintendo,Platform,game_sales_rank,16.0,,,,1,2,2,1,1,4,26.09,0.003,13.045,2.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,Call of Duty: Black Ops 3,Activision,Shooter,game_sales_rank,17.0,,,,1,5,5,1,1,4,25.3,0.0029,5.06,5.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,Call of Duty: Modern Warfare 2,Activision,Shooter,game_sales_rank,18.0,,,,1,3,3,1,1,4,25.1,0.0028,8.3667,3.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,Nintendogs,Nintendo,Simulation,game_sales_rank,19.0,,,,1,1,1,1,1,4,24.75,0.0028,24.75,1.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,Grand Theft Auto: San Andreas,Take-Two Interactive,Action,game_sales_rank,20.0,,,,1,4,4,1,1,4,23.86,0.0027,5.965,4.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,Mario Kart DS,Nintendo,Racing,game_sales_rank,21.0,,,,1,1,1,1,1,4,23.43,0.0027,23.43,1.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,Pokemon Gold/Pokemon Silver,Nintendo,Role-Playing,game_sales_rank,22.0,,,,1,1,1,1,1,4,23.09,0.0026,23.09,1.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,Wii Fit,Nintendo,Sports,game_sales_rank,23.0,,,,1,1,1,1,1,4,22.72,0.0026,22.72,1.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,Grand Theft Auto IV,Take-Two Interactive,Action,game_sales_rank,24.0,,,,1,3,3,1,1,4,22.49,0.0026,7.4967,3.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
top_game_platform_scope_examples,game,Super Mario Bros. 3,Nintendo,Platform,game_sales_rank,25.0,,,,1,2,2,1,1,4,22.49,0.0026,11.245,2.0,platform_count,Top games reveal whether the largest hits are single-platform or genuinely multi-platform.
game_region_balance_by_platform_scope,game_region_balance,Wii Sports,North America,1,game_sales_rank,1.0,,,,1,,1,1,1,4,82.74,0.0094,82.74,0.5015,dominant_region_share,"More platforms can broaden access, but regional concentration can remain high."
game_region_balance_by_platform_scope,game_region_balance,Grand Theft Auto V,North America,5,game_sales_rank,5.0,,,,1,,5,1,1,4,55.92,0.0063,11.184,0.4195,dominant_region_share,"More platforms can broaden access, but regional concentration can remain high."
game_region_balance_by_platform_scope,game_region_balance,Super Mario Bros.,North America,2,game_sales_rank,9.0,,,,1,,2,1,1,4,45.31,0.0051,22.655,0.7168,dominant_region_share,"More platforms can broaden access, but regional concentration can remain high."
game_region_balance_by_platform_scope,game_region_balance,Tetris,North America,2,game_sales_rank,13.0,,,,1,,2,1,1,4,35.84,0.0041,17.92,0.7302,dominant_region_share,"More platforms can broaden access, but regional concentration can remain high."
game_region_balance_by_platform_scope,game_region_balance,Mario Kart Wii,North America,1,game_sales_rank,17.0,,,,1,,1,1,1,4,35.83,0.0041,35.83,0.4424,dominant_region_share,"More platforms can broaden access, but regional concentration can remain high."
game_region_balance_by_platform_scope,game_region_balance,Wii Sports Resort,North America,1,game_sales_rank,21.0,,,,1,,1,1,1,4,33.0,0.0037,33.0,0.4773,dominant_region_share,"More platforms can broaden access, but regional concentration can remain high."
game_region_balance_by_platform_scope,game_region_balance,Pokemon Red/Pokemon Blue,North America,1,game_sales_rank,25.0,,,,1,,1,1,1,4,31.38,0.0036,31.38,0.3591,dominant_region_share,"More platforms can broaden access, but regional concentration can remain high."
game_region_balance_by_platform_scope,game_region_balance,Call of Duty: Modern Warfare 3,North America,4,game_sales_rank,29.0,,,,1,,4,1,1,4,30.84,0.0035,7.71,0.5052,dominant_region_share,"More platforms can broaden access, but regional concentration can remain high."
