evidence_block,grain,item,item_2,item_3,rank_label,rank_value,release_year,start_year,end_year,games,game_platforms,platforms,publishers,genres,regions,reported_sales_volume,sales_share,avg_sales_per_game_platform,secondary_value,secondary_label,notes
genre_platform_market_baseline,genre_platform_pair,Action,PS3,,genre_platform_sales_rank,1.0,,,,372,372,1,43,1,4,302.85,0.0343,0.8141,,not_applicable,Rank genre-platform pairings before interpreting genre or platform strength in isolation.
genre_platform_market_baseline,genre_platform_pair,Sports,Wii,,genre_platform_sales_rank,2.0,,,,254,254,1,55,1,4,289.86,0.0329,1.1412,,not_applicable,Rank genre-platform pairings before interpreting genre or platform strength in isolation.
genre_platform_market_baseline,genre_platform_pair,Shooter,X360,,genre_platform_sales_rank,3.0,,,,197,197,1,42,1,4,277.14,0.0314,1.4068,,not_applicable,Rank genre-platform pairings before interpreting genre or platform strength in isolation.
genre_platform_market_baseline,genre_platform_pair,Action,PS2,,genre_platform_sales_rank,4.0,,,,345,345,1,50,1,4,272.0,0.0308,0.7884,,not_applicable,Rank genre-platform pairings before interpreting genre or platform strength in isolation.
genre_platform_market_baseline,genre_platform_pair,Sports,PS2,,genre_platform_sales_rank,5.0,,,,391,391,1,42,1,4,262.67,0.0298,0.6718,,not_applicable,Rank genre-platform pairings before interpreting genre or platform strength in isolation.
genre_platform_market_baseline,genre_platform_pair,Action,X360,,genre_platform_sales_rank,6.0,,,,318,318,1,44,1,4,238.19,0.027,0.749,,not_applicable,Rank genre-platform pairings before interpreting genre or platform strength in isolation.
genre_platform_market_baseline,genre_platform_pair,Misc,Wii,,genre_platform_sales_rank,7.0,,,,271,271,1,49,1,4,217.08,0.0246,0.801,,not_applicable,Rank genre-platform pairings before interpreting genre or platform strength in isolation.
genre_platform_market_baseline,genre_platform_pair,Shooter,PS3,,genre_platform_sales_rank,8.0,,,,155,155,1,33,1,4,195.79,0.0222,1.2632,,not_applicable,Rank genre-platform pairings before interpreting genre or platform strength in isolation.
genre_platform_market_baseline,genre_platform_pair,Racing,PS2,,genre_platform_sales_rank,9.0,,,,210,210,1,48,1,4,153.78,0.0174,0.7323,,not_applicable,Rank genre-platform pairings before interpreting genre or platform strength in isolation.
genre_platform_market_baseline,genre_platform_pair,Sports,X360,,genre_platform_sales_rank,10.0,,,,215,215,1,38,1,4,137.33,0.0156,0.6387,,not_applicable,Rank genre-platform pairings before interpreting genre or platform strength in isolation.
genre_platform_market_baseline,genre_platform_pair,Misc,DS,,genre_platform_sales_rank,11.0,,,,385,385,1,91,1,4,136.83,0.0155,0.3554,,not_applicable,Rank genre-platform pairings before interpreting genre or platform strength in isolation.
genre_platform_market_baseline,genre_platform_pair,Sports,PS3,,genre_platform_sales_rank,12.0,,,,209,209,1,34,1,4,135.01,0.0153,0.646,,not_applicable,Rank genre-platform pairings before interpreting genre or platform strength in isolation.
genre_platform_market_baseline,genre_platform_pair,Simulation,DS,,genre_platform_sales_rank,13.0,,,,280,280,1,63,1,4,131.54,0.0149,0.4698,,not_applicable,Rank genre-platform pairings before interpreting genre or platform strength in isolation.
genre_platform_market_baseline,genre_platform_pair,Role-Playing,DS,,genre_platform_sales_rank,14.0,,,,196,196,1,46,1,4,126.49,0.0143,0.6454,,not_applicable,Rank genre-platform pairings before interpreting genre or platform strength in isolation.
genre_platform_market_baseline,genre_platform_pair,Action,PS,,genre_platform_sales_rank,15.0,,,,153,153,1,47,1,4,124.78,0.0141,0.8156,,not_applicable,Rank genre-platform pairings before interpreting genre or platform strength in isolation.
genre_platform_market_baseline,genre_platform_pair,Sports,PS,,genre_platform_sales_rank,16.0,,,,220,220,1,51,1,4,119.09,0.0135,0.5413,,not_applicable,Rank genre-platform pairings before interpreting genre or platform strength in isolation.
genre_platform_market_baseline,genre_platform_pair,Action,DS,,genre_platform_sales_rank,17.0,,,,334,334,1,67,1,4,113.56,0.0129,0.34,,not_applicable,Rank genre-platform pairings before interpreting genre or platform strength in isolation.
genre_platform_market_baseline,genre_platform_pair,Action,Wii,,genre_platform_sales_rank,18.0,,,,229,229,1,49,1,4,109.74,0.0124,0.4792,,not_applicable,Rank genre-platform pairings before interpreting genre or platform strength in isolation.
genre_platform_market_baseline,genre_platform_pair,Shooter,PS2,,genre_platform_sales_rank,19.0,,,,158,158,1,46,1,4,108.2,0.0123,0.6848,,not_applicable,Rank genre-platform pairings before interpreting genre or platform strength in isolation.
genre_platform_market_baseline,genre_platform_pair,Racing,PS,,genre_platform_sales_rank,20.0,,,,143,143,1,52,1,4,102.38,0.0116,0.7159,,not_applicable,Rank genre-platform pairings before interpreting genre or platform strength in isolation.
genre_dominant_platform,genre,Shooter,X360,,dominant_platform_share_within_genre,,,,,804,,1,,1,,1021.54,0.2713,,277.14,dominant_platform_sales,Quantify whether a genre is broadly portable or led by one platform.
genre_dominant_platform,genre,Action,PS3,,dominant_platform_share_within_genre,,,,,1894,,1,,1,,1713.23,0.1768,,302.85,dominant_platform_sales,Quantify whether a genre is broadly portable or led by one platform.
genre_dominant_platform,genre,Sports,Wii,,dominant_platform_share_within_genre,,,,,1361,,1,,1,,1306.2,0.2219,,289.86,dominant_platform_sales,Quantify whether a genre is broadly portable or led by one platform.
genre_dominant_platform,genre,Platform,NES,,dominant_platform_share_within_genre,,,,,580,,1,,1,,828.82,0.1156,,95.78,dominant_platform_sales,Quantify whether a genre is broadly portable or led by one platform.
genre_dominant_platform,genre,Adventure,DS,,dominant_platform_share_within_genre,,,,,1032,,1,,1,,234.16,0.2014,,47.16,dominant_platform_sales,Quantify whether a genre is broadly portable or led by one platform.
genre_dominant_platform,genre,Simulation,DS,,dominant_platform_share_within_genre,,,,,713,,1,,1,,389.58,0.3376,,131.54,dominant_platform_sales,Quantify whether a genre is broadly portable or led by one platform.
genre_dominant_platform,genre,Puzzle,DS,,dominant_platform_share_within_genre,,,,,490,,1,,1,,240.98,0.3437,,82.83,dominant_platform_sales,Quantify whether a genre is broadly portable or led by one platform.
genre_dominant_platform,genre,Fighting,PS2,,dominant_platform_share_within_genre,,,,,605,,1,,1,,444.08,0.2009,,89.2,dominant_platform_sales,Quantify whether a genre is broadly portable or led by one platform.
genre_dominant_platform,genre,Unknown Genre,PS,,dominant_platform_share_within_genre,,,,,43,,1,,1,,24.59,0.2058,,5.06,dominant_platform_sales,Quantify whether a genre is broadly portable or led by one platform.
genre_dominant_platform,genre,Misc,Wii,,dominant_platform_share_within_genre,,,,,1308,,1,,1,,794.06,0.2734,,217.08,dominant_platform_sales,Quantify whether a genre is broadly portable or led by one platform.
genre_dominant_platform,genre,Role-Playing,DS,,dominant_platform_share_within_genre,,,,,1197,,1,,1,,920.31,0.1374,,126.49,dominant_platform_sales,Quantify whether a genre is broadly portable or led by one platform.
genre_dominant_platform,genre,Racing,PS2,,dominant_platform_share_within_genre,,,,,755,,1,,1,,728.29,0.2112,,153.78,dominant_platform_sales,Quantify whether a genre is broadly portable or led by one platform.
genre_dominant_platform,genre,Strategy,PC,,dominant_platform_share_within_genre,,,,,578,,1,,1,,173.26,0.2629,,45.55,dominant_platform_sales,Quantify whether a genre is broadly portable or led by one platform.
platform_dominant_genre,platform,GG,Platform,,dominant_genre_share_within_platform,,,,,1,,1,,1,,0.04,1.0,,0.04,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,SCD,Platform,,dominant_genre_share_within_platform,,,,,6,,1,,1,,1.86,0.8065,,1.5,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,PSV,Action,,dominant_genre_share_within_platform,,,,,412,,1,,1,,61.64,0.3243,,19.99,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,WiiU,Platform,,dominant_genre_share_within_platform,,,,,143,,1,,1,,81.79,0.2599,,21.26,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,PS3,Action,,dominant_genre_share_within_platform,,,,,1303,,1,,1,,949.38,0.319,,302.85,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,GC,Action,,dominant_genre_share_within_platform,,,,,542,,1,,1,,196.73,0.1886,,37.11,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,WS,Role-Playing,,dominant_genre_share_within_platform,,,,,6,,1,,1,,1.42,0.8592,,1.22,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,N64,Racing,,dominant_genre_share_within_platform,,,,,316,,1,,1,,218.01,0.1835,,40.01,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,DS,Misc,,dominant_genre_share_within_platform,,,,,2133,,1,,1,,817.94,0.1673,,136.83,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,GBA,Platform,,dominant_genre_share_within_platform,,,,,811,,1,,1,,312.88,0.2493,,77.99,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,GB,Role-Playing,,dominant_genre_share_within_platform,,,,,97,,1,,1,,254.43,0.3468,,88.24,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,PS2,Action,,dominant_genre_share_within_platform,,,,,2127,,1,,1,,1233.56,0.2205,,272.0,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,TG16,Adventure,,dominant_genre_share_within_platform,,,,,2,,1,,1,,0.16,0.875,,0.14,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,Wii,Sports,,dominant_genre_share_within_platform,,,,,1290,,1,,1,,909.2,0.3188,,289.86,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,DC,Sports,,dominant_genre_share_within_platform,,,,,52,,1,,1,,15.95,0.2288,,3.65,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,X360,Shooter,,dominant_genre_share_within_platform,,,,,1234,,1,,1,,972.18,0.2851,,277.14,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,PC,Simulation,,dominant_genre_share_within_platform,,,,,942,,1,,1,,254.62,0.2023,,51.51,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,PSP,Action,,dominant_genre_share_within_platform,,,,,1197,,1,,1,,291.66,0.2152,,62.77,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,NES,Platform,,dominant_genre_share_within_platform,,,,,98,,1,,1,,251.05,0.3815,,95.78,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,PCFX,Role-Playing,,dominant_genre_share_within_platform,,,,,1,,1,,1,,0.03,1.0,,0.03,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,PS,Action,,dominant_genre_share_within_platform,,,,,1189,,1,,1,,727.56,0.1715,,124.78,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,3DS,Role-Playing,,dominant_genre_share_within_platform,,,,,500,,1,,1,,246.18,0.3075,,75.69,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,SAT,Fighting,,dominant_genre_share_within_platform,,,,,173,,1,,1,,33.59,0.2539,,8.53,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,SNES,Platform,,dominant_genre_share_within_platform,,,,,239,,1,,1,,200.04,0.3282,,65.65,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,3DO,Adventure,,dominant_genre_share_within_platform,,,,,3,,1,,1,,0.1,0.6,,0.06,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,PS4,Action,,dominant_genre_share_within_platform,,,,,336,,1,,1,,278.16,0.3131,,87.08,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,NG,Fighting,,dominant_genre_share_within_platform,,,,,12,,1,,1,,1.44,0.9861,,1.42,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,GEN,Platform,,dominant_genre_share_within_platform,,,,,27,,1,,1,,28.35,0.5446,,15.44,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,2600,Action,,dominant_genre_share_within_platform,,,,,116,,1,,1,,86.48,0.3042,,26.31,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,XB,Shooter,,dominant_genre_share_within_platform,,,,,803,,1,,1,,251.57,0.247,,62.13,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
platform_dominant_genre,platform,XOne,Shooter,,dominant_genre_share_within_platform,,,,,213,,1,,1,,141.1,0.3656,,51.59,dominant_genre_sales,Identify whether platform performance is diversified across genres or dominated by one content type.
regional_genre_platform_leaders,region_genre_platform_pair,North America,Shooter,X360,rank_within_region,1.0,,,,197,,1,,1,1,173.37,0.04,,,not_applicable,Expose regional exceptions in which a different genre-platform pairing leads.
regional_genre_platform_leaders,region_genre_platform_pair,North America,Sports,Wii,rank_within_region,2.0,,,,254,,1,,1,1,149.86,0.0346,,,not_applicable,Expose regional exceptions in which a different genre-platform pairing leads.
regional_genre_platform_leaders,region_genre_platform_pair,North America,Action,X360,rank_within_region,3.0,,,,318,,1,,1,1,138.8,0.032,,,not_applicable,Expose regional exceptions in which a different genre-platform pairing leads.
regional_genre_platform_leaders,region_genre_platform_pair,Other,Action,PS2,rank_within_region,1.0,,,,345,,1,,1,1,47.35,0.06,,,not_applicable,Expose regional exceptions in which a different genre-platform pairing leads.
regional_genre_platform_leaders,region_genre_platform_pair,Other,Action,PS3,rank_within_region,2.0,,,,372,,1,,1,1,45.8,0.058,,,not_applicable,Expose regional exceptions in which a different genre-platform pairing leads.
regional_genre_platform_leaders,region_genre_platform_pair,Other,Sports,PS2,rank_within_region,3.0,,,,391,,1,,1,1,43.18,0.0547,,,not_applicable,Expose regional exceptions in which a different genre-platform pairing leads.
regional_genre_platform_leaders,region_genre_platform_pair,Japan,Role-Playing,DS,rank_within_region,1.0,,,,196,,1,,1,1,54.29,0.0423,,,not_applicable,Expose regional exceptions in which a different genre-platform pairing leads.
regional_genre_platform_leaders,region_genre_platform_pair,Japan,Role-Playing,PS,rank_within_region,2.0,,,,97,,1,,1,1,40.95,0.0319,,,not_applicable,Expose regional exceptions in which a different genre-platform pairing leads.
regional_genre_platform_leaders,region_genre_platform_pair,Japan,Role-Playing,3DS,rank_within_region,3.0,,,,85,,1,,1,1,39.58,0.0308,,,not_applicable,Expose regional exceptions in which a different genre-platform pairing leads.
regional_genre_platform_leaders,region_genre_platform_pair,Europe,Action,PS3,rank_within_region,1.0,,,,372,,1,,1,1,108.74,0.0451,,,not_applicable,Expose regional exceptions in which a different genre-platform pairing leads.
regional_genre_platform_leaders,region_genre_platform_pair,Europe,Sports,Wii,rank_within_region,2.0,,,,254,,1,,1,1,94.86,0.0394,,,not_applicable,Expose regional exceptions in which a different genre-platform pairing leads.
regional_genre_platform_leaders,region_genre_platform_pair,Europe,Shooter,X360,rank_within_region,3.0,,,,197,,1,,1,1,76.29,0.0317,,,not_applicable,Expose regional exceptions in which a different genre-platform pairing leads.
genre_platform_region_coverage,coverage_bucket,one_region_genre_platform_pairs,,,coverage_bucket,,,,,203,203,,,,,32.44,0.0037,,39.0,genre_platform_pairs,Separate strong local pairings from pairings that travel across regions.
genre_platform_region_coverage,coverage_bucket,four_region_genre_platform_pairs,,,coverage_bucket,,,,,15027,15028,,,,,8427.11,0.9556,,225.0,genre_platform_pairs,Separate strong local pairings from pairings that travel across regions.
genre_platform_region_coverage,coverage_bucket,three_region_genre_platform_pairs,,,coverage_bucket,,,,,1047,1048,,,,,339.83,0.0385,,33.0,genre_platform_pairs,Separate strong local pairings from pairings that travel across regions.
genre_platform_region_coverage,coverage_bucket,two_region_genre_platform_pairs,,,coverage_bucket,,,,,47,47,,,,,19.72,0.0022,,10.0,genre_platform_pairs,Separate strong local pairings from pairings that travel across regions.
