evidence_block,grain,item,item_2,item_3,rank_label,rank_value,release_year,start_year,end_year,games,game_platforms,platforms,publishers,genres,regions,reported_sales_volume,sales_share,avg_sales_per_game_platform,secondary_value,secondary_label,notes
era_sales_release_baseline,release_era,2000s,,,era_sales_share,,,2000,2009,6521,9208,15,,13,,4642.17,0.5264,0.5041,,not_applicable,Establish whether era shifts are driven by release supply or sales conversion.
era_sales_release_baseline,release_era,pre_1990,,,era_sales_share,,,1980,1989,193,205,5,,12,,376.48,0.0427,1.8365,,not_applicable,Establish whether era shifts are driven by release supply or sales conversion.
era_sales_release_baseline,release_era,2010s_plus,,,era_sales_share,,,2010,2020,3209,5144,12,,13,,2521.72,0.2859,0.4902,,not_applicable,Establish whether era shifts are driven by release supply or sales conversion.
era_sales_release_baseline,release_era,1990s,,,era_sales_share,,,1990,1999,1636,1769,16,,13,,1278.73,0.145,0.7229,,not_applicable,Establish whether era shifts are driven by release supply or sales conversion.
era_genre_leaders,era_genre,2000s,Action,,rank_within_era,1.0,,,,940,1576,,,1,,849.9,0.1831,0.5393,,not_applicable,Identify the leading genres within each release era.
era_genre_leaders,era_genre,2000s,Sports,,rank_within_era,2.0,,,,820,1407,,,1,,805.31,0.1735,0.5724,,not_applicable,Identify the leading genres within each release era.
era_genre_leaders,era_genre,2000s,Misc,,rank_within_era,3.0,,,,793,1019,,,1,,484.25,0.1043,0.4752,,not_applicable,Identify the leading genres within each release era.
era_genre_leaders,era_genre,pre_1990,Platform,,rank_within_era,1.0,,,,29,33,,,1,,122.26,0.3247,3.7048,,not_applicable,Identify the leading genres within each release era.
era_genre_leaders,era_genre,pre_1990,Puzzle,,rank_within_era,2.0,,,,16,19,,,1,,62.75,0.1667,3.3026,,not_applicable,Identify the leading genres within each release era.
era_genre_leaders,era_genre,pre_1990,Shooter,,rank_within_era,3.0,,,,29,29,,,1,,58.77,0.1561,2.0266,,not_applicable,Identify the leading genres within each release era.
era_genre_leaders,era_genre,2010s_plus,Action,,rank_within_era,1.0,,,,776,1441,,,1,,672.97,0.2669,0.467,,not_applicable,Identify the leading genres within each release era.
era_genre_leaders,era_genre,2010s_plus,Shooter,,rank_within_era,2.0,,,,188,395,,,1,,462.64,0.1835,1.1712,,not_applicable,Identify the leading genres within each release era.
era_genre_leaders,era_genre,2010s_plus,Sports,,rank_within_era,3.0,,,,258,566,,,1,,324.58,0.1287,0.5735,,not_applicable,Identify the leading genres within each release era.
era_genre_leaders,era_genre,1990s,Platform,,rank_within_era,1.0,,,,119,125,,,1,,208.87,0.1633,1.671,,not_applicable,Identify the leading genres within each release era.
era_genre_leaders,era_genre,1990s,Role-Playing,,rank_within_era,2.0,,,,164,172,,,1,,184.62,0.1444,1.0734,,not_applicable,Identify the leading genres within each release era.
era_genre_leaders,era_genre,1990s,Racing,,rank_within_era,3.0,,,,174,183,,,1,,150.33,0.1176,0.8215,,not_applicable,Identify the leading genres within each release era.
genre_dominant_era,genre,Shooter,2010s_plus,,dominant_era_share_within_genre,,,,,188,,,,1,,462.64,0.4529,,,not_applicable,Show whether each genre is concentrated in one era or spread across time.
genre_dominant_era,genre,Platform,2000s,,dominant_era_share_within_genre,,,,,358,,,,1,,376.94,0.4548,,,not_applicable,Show whether each genre is concentrated in one era or spread across time.
genre_dominant_era,genre,Simulation,2000s,,dominant_era_share_within_genre,,,,,466,,,,1,,265.72,0.6821,,,not_applicable,Show whether each genre is concentrated in one era or spread across time.
