evidence_block,grain,item,item_2,item_3,rank_label,rank_value,release_year,start_year,end_year,games,game_platforms,platforms,publishers,genres,regions,reported_sales_volume,sales_share,avg_sales_per_game_platform,secondary_value,secondary_label,notes
publisher_breadth_profile,publisher,Nintendo,North America,Platform,publisher_sales_rank,1.0,,,,662,696,10,1,13,4,1784.23,0.2023,2.5635,0.4572,dominant_region_share,Compare publisher scale with portfolio breadth and regional dependence.
publisher_breadth_profile,publisher,Electronic Arts,North America,Sports,publisher_sales_rank,2.0,,,,605,1338,19,1,13,4,1096.45,0.1243,0.8195,0.5343,dominant_region_share,Compare publisher scale with portfolio breadth and regional dependence.
publisher_breadth_profile,publisher,Activision,North America,Shooter,publisher_sales_rank,3.0,,,,414,966,20,1,13,4,721.06,0.0818,0.7464,0.5908,dominant_region_share,Compare publisher scale with portfolio breadth and regional dependence.
publisher_breadth_profile,publisher,Sony Computer Entertainment,North America,Racing,publisher_sales_rank,4.0,,,,621,682,6,1,12,4,607.27,0.0689,0.8904,0.4367,dominant_region_share,Compare publisher scale with portfolio breadth and regional dependence.
publisher_breadth_profile,publisher,Ubisoft,North America,Action,publisher_sales_rank,5.0,,,,571,918,19,1,13,4,473.33,0.0537,0.5156,0.5341,dominant_region_share,Compare publisher scale with portfolio breadth and regional dependence.
publisher_breadth_profile,publisher,Take-Two Interactive,North America,Action,publisher_sales_rank,6.0,,,,201,412,17,1,12,4,399.45,0.0453,0.9695,0.5519,dominant_region_share,Compare publisher scale with portfolio breadth and regional dependence.
publisher_breadth_profile,publisher,THQ,North America,Action,publisher_sales_rank,7.0,,,,406,712,15,1,13,4,340.32,0.0386,0.478,0.613,dominant_region_share,Compare publisher scale with portfolio breadth and regional dependence.
publisher_breadth_profile,publisher,Konami Digital Entertainment,Japan,Sports,publisher_sales_rank,8.0,,,,634,823,23,1,12,4,278.37,0.0316,0.3382,0.3267,dominant_region_share,Compare publisher scale with portfolio breadth and regional dependence.
publisher_breadth_profile,publisher,Sega,North America,Sports,publisher_sales_rank,9.0,,,,477,632,21,1,12,4,270.68,0.0307,0.4283,0.4019,dominant_region_share,Compare publisher scale with portfolio breadth and regional dependence.
publisher_breadth_profile,publisher,Namco Bandai Games,Japan,Fighting,publisher_sales_rank,10.0,,,,774,928,23,1,13,4,253.47,0.0287,0.2731,0.5004,dominant_region_share,Compare publisher scale with portfolio breadth and regional dependence.
publisher_breadth_profile,publisher,Microsoft Game Studios,North America,Shooter,publisher_sales_rank,11.0,,,,179,189,5,1,12,4,245.78,0.0279,1.3004,0.6321,dominant_region_share,Compare publisher scale with portfolio breadth and regional dependence.
publisher_breadth_profile,publisher,Capcom,North America,Action,publisher_sales_rank,12.0,,,,274,376,23,1,13,4,199.81,0.0227,0.5314,0.3926,dominant_region_share,Compare publisher scale with portfolio breadth and regional dependence.
publisher_breadth_profile,publisher,Atari,North America,Fighting,publisher_sales_rank,13.0,,,,267,347,13,1,13,4,146.46,0.0166,0.4221,0.6912,dominant_region_share,Compare publisher scale with portfolio breadth and regional dependence.
publisher_breadth_profile,publisher,Square Enix,Japan,Role-Playing,publisher_sales_rank,14.0,,,,160,231,13,1,9,4,144.79,0.0164,0.6268,0.3439,dominant_region_share,Compare publisher scale with portfolio breadth and regional dependence.
publisher_breadth_profile,publisher,Warner Bros. Interactive Entertainment,North America,Action,publisher_sales_rank,15.0,,,,73,217,13,1,9,4,142.34,0.0161,0.6559,0.5293,dominant_region_share,Compare publisher scale with portfolio breadth and regional dependence.
publisher_breadth_profile,publisher,Disney Interactive Studios,North America,Action,publisher_sales_rank,16.0,,,,109,214,15,1,10,4,118.51,0.0134,0.5538,0.5944,dominant_region_share,Compare publisher scale with portfolio breadth and regional dependence.
publisher_breadth_profile,publisher,Eidos Interactive,North America,Action,publisher_sales_rank,17.0,,,,123,196,13,1,12,4,96.71,0.011,0.4934,0.4948,dominant_region_share,Compare publisher scale with portfolio breadth and regional dependence.
publisher_breadth_profile,publisher,LucasArts,North America,Action,publisher_sales_rank,18.0,,,,42,89,13,1,7,4,84.91,0.0096,0.954,0.5704,dominant_region_share,Compare publisher scale with portfolio breadth and regional dependence.
publisher_breadth_profile,publisher,Bethesda Softworks,North America,Role-Playing,publisher_sales_rank,19.0,,,,29,69,8,1,7,4,81.45,0.0092,1.1804,0.4841,dominant_region_share,Compare publisher scale with portfolio breadth and regional dependence.
publisher_breadth_profile,publisher,Midway Games,North America,Sports,publisher_sales_rank,20.0,,,,106,196,12,1,10,4,69.13,0.0078,0.3527,0.6524,dominant_region_share,Compare publisher scale with portfolio breadth and regional dependence.
