evidence_block,grain,item,item_2,item_3,rank_label,rank_value,release_year,start_year,end_year,games,game_platforms,platforms,publishers,genres,regions,reported_sales_volume,sales_share,avg_sales_per_game_platform,secondary_value,secondary_label,notes
global_game_sales_bucket_concentration,sales_bucket,bottom_80_percent_games,,,game_sales_bucket,,,,,9088,,11211,,,,1821.59,0.2066,0.2004,2.0626,avg_regions_per_game,Quantify blockbuster concentration before describing the long tail.
global_game_sales_bucket_concentration,sales_bucket,top_1_to_5_percent_games,,,game_sales_bucket,,,,,454,,1313,,,,2316.17,0.2626,5.1017,3.7137,avg_regions_per_game,Quantify blockbuster concentration before describing the long tail.
global_game_sales_bucket_concentration,sales_bucket,top_5_to_20_percent_games,,,game_sales_bucket,,,,,1704,,3459,,,,2727.45,0.3093,1.6006,3.3515,avg_regions_per_game,Quantify blockbuster concentration before describing the long tail.
global_game_sales_bucket_concentration,sales_bucket,top_1_percent_games,,,game_sales_bucket,,,,,114,,341,,,,1953.89,0.2216,17.1394,3.9298,avg_regions_per_game,Quantify blockbuster concentration before describing the long tail.
genre_blockbuster_dependency,genre,Role-Playing,Pokemon Red/Pokemon Blue,,top10pct_game_share_within_genre,,,,,1197,,,,1,,920.31,0.6476,,0.0341,top_game_share_within_genre,Measure whether each genre is hit-driven or has a broader long tail.
genre_blockbuster_dependency,genre,Puzzle,Tetris,,top10pct_game_share_within_genre,,,,,490,,,,1,,240.98,0.662,,0.1487,top_game_share_within_genre,Measure whether each genre is hit-driven or has a broader long tail.
genre_blockbuster_dependency,genre,Simulation,Nintendogs,,top10pct_game_share_within_genre,,,,,713,,,,1,,389.58,0.5962,,0.0635,top_game_share_within_genre,Measure whether each genre is hit-driven or has a broader long tail.
genre_blockbuster_dependency,genre,Racing,Mario Kart Wii,,top10pct_game_share_within_genre,,,,,755,,,,1,,728.29,0.5844,,0.0492,top_game_share_within_genre,Measure whether each genre is hit-driven or has a broader long tail.
genre_blockbuster_dependency,genre,Strategy,Pokemon Stadium,,top10pct_game_share_within_genre,,,,,578,,,,1,,173.26,0.5506,,0.0315,top_game_share_within_genre,Measure whether each genre is hit-driven or has a broader long tail.
genre_blockbuster_dependency,genre,Adventure,Assassin's Creed,,top10pct_game_share_within_genre,,,,,1032,,,,1,,234.16,0.6303,,0.0483,top_game_share_within_genre,Measure whether each genre is hit-driven or has a broader long tail.
genre_blockbuster_dependency,genre,Shooter,Call of Duty: Modern Warfare 3,,top10pct_game_share_within_genre,,,,,804,,,,1,,1021.54,0.6365,,0.0302,top_game_share_within_genre,Measure whether each genre is hit-driven or has a broader long tail.
genre_blockbuster_dependency,genre,Fighting,Super Smash Bros. Brawl,,top10pct_game_share_within_genre,,,,,605,,,,1,,444.08,0.554,,0.0294,top_game_share_within_genre,Measure whether each genre is hit-driven or has a broader long tail.
genre_blockbuster_dependency,genre,Unknown Genre,Unknown Game,,top10pct_game_share_within_genre,,,,,43,,,,1,,24.59,0.5449,,0.159,top_game_share_within_genre,Measure whether each genre is hit-driven or has a broader long tail.
genre_blockbuster_dependency,genre,Misc,Wii Play,,top10pct_game_share_within_genre,,,,,1308,,,,1,,794.06,0.6416,,0.0365,top_game_share_within_genre,Measure whether each genre is hit-driven or has a broader long tail.
genre_blockbuster_dependency,genre,Sports,Wii Sports,,top10pct_game_share_within_genre,,,,,1361,,,,1,,1306.2,0.5979,,0.0633,top_game_share_within_genre,Measure whether each genre is hit-driven or has a broader long tail.
genre_blockbuster_dependency,genre,Action,Grand Theft Auto V,,top10pct_game_share_within_genre,,,,,1894,,,,1,,1713.23,0.6179,,0.0326,top_game_share_within_genre,Measure whether each genre is hit-driven or has a broader long tail.
genre_blockbuster_dependency,genre,Platform,Super Mario Bros.,,top10pct_game_share_within_genre,,,,,580,,,,1,,828.82,0.5836,,0.0547,top_game_share_within_genre,Measure whether each genre is hit-driven or has a broader long tail.
platform_blockbuster_dependency,platform,PC,The Sims 3,,top10pct_game_share_within_platform,,,,,942,,1,,,,254.62,0.6892,,0.0319,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,DC,Sonic Adventure,,top10pct_game_share_within_platform,,,,,52,,1,,,,15.95,0.553,,0.1511,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,Wii,Wii Sports,,top10pct_game_share_within_platform,,,,,1290,,1,,,,909.2,0.6595,,0.091,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,X360,Kinect Adventures!,,top10pct_game_share_within_platform,,,,,1234,,1,,,,972.18,0.5506,,0.0224,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,NG,Samurai Shodown II,,top10pct_game_share_within_platform,,,,,12,,1,,,,1.44,0.3333,,0.1736,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,PS4,Call of Duty: Black Ops 3,,top10pct_game_share_within_platform,,,,,336,,1,,,,278.16,0.5719,,0.0512,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,NES,Super Mario Bros.,,top10pct_game_share_within_platform,,,,,98,,1,,,,251.05,0.4896,,0.1603,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,PCFX,Blue Breaker: Ken Yorimo Hohoemi o,,top10pct_game_share_within_platform,,,,,1,,1,,,,0.03,1.0,,1.0,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,PSP,Grand Theft Auto: Liberty City Stories,,top10pct_game_share_within_platform,,,,,1197,,1,,,,291.66,0.5534,,0.0265,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,GC,Super Smash Bros. Melee,,top10pct_game_share_within_platform,,,,,542,,1,,,,196.73,0.525,,0.0359,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,PS3,Grand Theft Auto V,,top10pct_game_share_within_platform,,,,,1303,,1,,,,949.38,0.5216,,0.0225,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,WS,Final Fantasy,,top10pct_game_share_within_platform,,,,,6,,1,,,,1.42,0.3592,,0.3592,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,WiiU,Mario Kart 8,,top10pct_game_share_within_platform,,,,,143,,1,,,,81.79,0.5649,,0.0851,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,2600,Pac-Man,,top10pct_game_share_within_platform,,,,,116,,1,,,,86.48,0.3889,,0.0903,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,GEN,Sonic the Hedgehog 2,,top10pct_game_share_within_platform,,,,,27,,1,,,,28.35,0.4593,,0.2123,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,XB,Halo 2,,top10pct_game_share_within_platform,,,,,803,,1,,,,251.57,0.464,,0.0337,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,XOne,Call of Duty: Black Ops 3,,top10pct_game_share_within_platform,,,,,213,,1,,,,141.1,0.5004,,0.0517,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,3DS,Pokemon X/Pokemon Y,,top10pct_game_share_within_platform,,,,,500,,1,,,,246.18,0.6672,,0.0583,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,PS,Gran Turismo,,top10pct_game_share_within_platform,,,,,1189,,1,,,,727.56,0.4963,,0.0151,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,SAT,Virtua Fighter 2,,top10pct_game_share_within_platform,,,,,173,,1,,,,33.59,0.3504,,0.0575,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,3DO,Policenauts,,top10pct_game_share_within_platform,,,,,3,,1,,,,0.1,0.6,,0.6,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,SNES,Super Mario World,,top10pct_game_share_within_platform,,,,,239,,1,,,,200.04,0.5641,,0.1031,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,GG,Sonic the Hedgehog 2 (8-bit),,top10pct_game_share_within_platform,,,,,1,,1,,,,0.04,1.0,,1.0,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,PSV,Minecraft,,top10pct_game_share_within_platform,,,,,412,,1,,,,61.64,0.4994,,0.0367,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,SCD,Sonic CD,,top10pct_game_share_within_platform,,,,,6,,1,,,,1.86,0.8065,,0.8065,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
platform_blockbuster_dependency,platform,DS,New Super Mario Bros.,,top10pct_game_share_within_platform,,,,,2133,,1,,,,817.94,0.6544,,0.0367,top_game_share_within_platform,Measure whether platform sales are hit-driven or distributed across a broader catalog.
