evidence_block,grain,item,item_2,item_3,rank_label,rank_value,transactions,customers,brands,reviews,revenue,gross_margin_proxy,gross_margin_proxy_rate_pct,avg_rating,transaction_share_pct,review_share_pct,notes
customer_brand_preference,customer_brand,448739,IBC,5,customer_transaction_rank,1.0,29,1,16,2,81.0,51.6,63.7037,3.5,0.4594,0.2805,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,739669,Dad's,5,customer_transaction_rank,2.0,27,1,13,1,81.0,51.7,63.8272,1.0,0.4278,0.1403,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,373200,Dad's,4,customer_transaction_rank,3.0,24,1,11,1,70.0,43.78,62.5429,1.0,0.3802,0.1403,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,344702,Captain Eli's,3,customer_transaction_rank,4.0,23,1,13,1,67.0,41.31,61.6567,4.0,0.3644,0.1403,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,407605,Bedfords,4,customer_transaction_rank,5.0,22,1,12,4,64.0,40.92,63.9375,4.5,0.3485,0.561,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,612681,Sparky's Fresh Draft,4,customer_transaction_rank,6.0,22,1,10,0,66.0,40.18,60.8788,,0.3485,0.0,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,905670,Gales,3,customer_transaction_rank,7.0,22,1,14,3,60.0,35.18,58.6333,2.0,0.3485,0.4208,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,147216,Bedfords,5,customer_transaction_rank,8.0,21,1,11,2,63.0,40.57,64.3968,2.5,0.3327,0.2805,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,175940,Captain Eli's,3,customer_transaction_rank,9.0,21,1,10,3,63.0,41.38,65.6825,3.3333,0.3327,0.4208,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,242720,Bundaberg,3,customer_transaction_rank,10.0,21,1,13,4,61.0,38.87,63.7213,3.75,0.3327,0.561,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,433442,Abita,2,customer_transaction_rank,11.0,21,1,13,1,63.0,40.14,63.7143,3.0,0.3327,0.1403,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,611848,IBC,6,customer_transaction_rank,12.0,21,1,10,0,63.0,42.08,66.7937,,0.3327,0.0,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,730305,Fitz's,4,customer_transaction_rank,13.0,21,1,12,0,63.0,40.64,64.5079,,0.3327,0.0,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,796796,Bulldog,3,customer_transaction_rank,14.0,21,1,12,2,63.0,42.45,67.381,4.5,0.3327,0.2805,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,927518,IBC,5,customer_transaction_rank,15.0,21,1,10,0,63.0,39.92,63.3651,,0.3327,0.0,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,938417,Barq's,3,customer_transaction_rank,16.0,21,1,12,1,61.0,40.64,66.623,2.0,0.3327,0.1403,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,110363,Abita,4,customer_transaction_rank,17.0,20,1,14,2,60.0,40.54,67.5667,4.0,0.3169,0.2805,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,304344,Fitz's,4,customer_transaction_rank,18.0,20,1,11,0,56.0,35.58,63.5357,,0.3169,0.0,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,325263,Dad's,3,customer_transaction_rank,19.0,20,1,10,3,56.0,36.77,65.6607,2.3333,0.3169,0.4208,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,378374,Dog n Suds,3,customer_transaction_rank,20.0,20,1,13,2,58.0,36.91,63.6379,3.0,0.3169,0.2805,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,404678,Gales,3,customer_transaction_rank,21.0,20,1,13,2,60.0,38.24,63.7333,3.0,0.3169,0.2805,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,498970,A.J. Stephans,3,customer_transaction_rank,22.0,20,1,12,1,56.0,34.65,61.875,1.0,0.3169,0.1403,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,736500,Gales,4,customer_transaction_rank,23.0,20,1,11,0,58.0,36.86,63.5517,,0.3169,0.0,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,932618,Sparky's Fresh Draft,4,customer_transaction_rank,24.0,20,1,13,1,56.0,33.33,59.5179,3.0,0.3169,0.1403,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,999915,Dog n Suds,3,customer_transaction_rank,25.0,20,1,13,1,60.0,38.98,64.9667,5.0,0.3169,0.1403,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,193914,IBC,4,customer_transaction_rank,26.0,19,1,11,1,57.0,36.07,63.2807,2.0,0.301,0.1403,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,305005,Mug,4,customer_transaction_rank,27.0,19,1,10,3,55.0,37.12,67.4909,4.3333,0.301,0.4208,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,346006,Fitz's,3,customer_transaction_rank,28.0,19,1,12,4,55.0,34.44,62.6182,2.0,0.301,0.561,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,422951,Abita,3,customer_transaction_rank,29.0,19,1,11,2,57.0,36.13,63.386,3.5,0.301,0.2805,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,441628,A.J. Stephans,2,customer_transaction_rank,30.0,19,1,14,3,57.0,38.25,67.1053,2.3333,0.301,0.4208,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,500828,Sparky's Fresh Draft,4,customer_transaction_rank,31.0,19,1,10,2,55.0,33.48,60.8727,3.5,0.301,0.2805,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,548800,Dad's,3,customer_transaction_rank,32.0,19,1,14,0,55.0,34.25,62.2727,,0.301,0.0,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,575041,IBC,4,customer_transaction_rank,33.0,19,1,13,5,53.0,34.13,64.3962,3.4,0.301,0.7013,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,689877,Fitz's,3,customer_transaction_rank,34.0,19,1,11,0,57.0,35.84,62.8772,,0.301,0.0,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,744648,IBC,5,customer_transaction_rank,35.0,19,1,9,1,55.0,34.96,63.5636,4.0,0.301,0.1403,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,912671,A&W,3,customer_transaction_rank,36.0,19,1,12,0,51.0,35.24,69.098,,0.301,0.0,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,994185,IBC,5,customer_transaction_rank,37.0,19,1,10,1,55.0,34.35,62.4545,4.0,0.301,0.1403,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,116934,Gales,3,customer_transaction_rank,38.0,18,1,13,1,50.0,32.41,64.82,2.0,0.2852,0.1403,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,143878,Gales,3,customer_transaction_rank,39.0,18,1,11,3,52.0,35.65,68.5577,2.3333,0.2852,0.4208,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,157695,Gales,3,customer_transaction_rank,40.0,18,1,10,2,50.0,30.25,60.5,2.5,0.2852,0.2805,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,194680,Dog n Suds,4,customer_transaction_rank,41.0,18,1,11,2,52.0,33.38,64.1923,3.0,0.2852,0.2805,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,220206,Sparky's Fresh Draft,3,customer_transaction_rank,42.0,18,1,13,2,54.0,34.85,64.537,3.5,0.2852,0.2805,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,296353,Dominion,3,customer_transaction_rank,43.0,18,1,13,0,52.0,32.09,61.7115,,0.2852,0.0,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,371731,Bundaberg,3,customer_transaction_rank,44.0,18,1,11,0,52.0,34.19,65.75,,0.2852,0.0,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,396166,Dominion,3,customer_transaction_rank,45.0,18,1,10,1,52.0,31.66,60.8846,5.0,0.2852,0.1403,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,412544,Abita,2,customer_transaction_rank,46.0,18,1,12,2,52.0,33.9,65.1923,5.0,0.2852,0.2805,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,442254,Captain Eli's,5,customer_transaction_rank,47.0,18,1,10,3,50.0,30.63,61.26,3.0,0.2852,0.4208,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,465275,Bundaberg,4,customer_transaction_rank,48.0,18,1,9,1,54.0,33.57,62.1667,5.0,0.2852,0.1403,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,491380,Bulldog,2,customer_transaction_rank,49.0,18,1,11,2,54.0,35.75,66.2037,3.0,0.2852,0.2805,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,649551,Sparky's Fresh Draft,4,customer_transaction_rank,50.0,18,1,13,1,54.0,34.05,63.0556,3.0,0.2852,0.1403,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,720602,IBC,3,customer_transaction_rank,51.0,18,1,13,1,52.0,34.63,66.5962,1.0,0.2852,0.1403,Identify top customers and their leading brand preference.
customer_brand_preference,customer_brand,757780,Abita,2,customer_transaction_rank,52.0,18,1,13,2,52.0,33.52,64.4615,4.0,0.2852,0.2805,Identify top customers and their leading brand preference.
