evidence_block,grain,item,item_2,item_3,rank_label,rank_value,transactions,customers,brands,reviews,revenue,gross_margin_proxy,gross_margin_proxy_rate_pct,avg_rating,transaction_share_pct,review_share_pct,notes
brand_age_demand_comparison,brand_age_group,heritage_pre_1950,,,transactions,2756.0,2756,1982,9,244,8062.0,5540.5,68.7236,3.0,,,Test whether older brand groups actually carry more demand.
brand_age_demand_comparison,brand_age_group,mid_age_1950_1989,,,transactions,1844.0,1844,1373,7,193,5422.0,3365.9,62.0786,3.1347,,,Test whether older brand groups actually carry more demand.
brand_age_demand_comparison,brand_age_group,newer_1990_plus,,,transactions,1712.0,1712,1192,7,276,5012.0,2978.73,59.432,3.1014,,,Test whether older brand groups actually carry more demand.
brand_age_group_baseline,brand_age_group,heritage_pre_1950,,,brands_in_group,9.0,2756,1982,9,244,8062.0,5540.5,68.7236,3.0,,,Establish brand-age groups before interpreting heritage.
brand_age_group_baseline,brand_age_group,mid_age_1950_1989,,,brands_in_group,7.0,1844,1373,7,193,5422.0,3365.9,62.0786,3.1347,,,Establish brand-age groups before interpreting heritage.
brand_age_group_baseline,brand_age_group,newer_1990_plus,,,brands_in_group,7.0,1712,1192,7,276,5012.0,2978.73,59.432,3.1014,,,Establish brand-age groups before interpreting heritage.
brand_age_rating_comparison,brand_age_group,mid_age_1950_1989,,,weighted_avg_rating,3.134715025906736,1844,1373,7,193,5422.0,3365.9,62.0786,3.1347,,,Test whether older brand groups also have stronger review acceptance.
brand_age_rating_comparison,brand_age_group,newer_1990_plus,,,weighted_avg_rating,3.101449275362319,1712,1192,7,276,5012.0,2978.73,59.432,3.1014,,,Test whether older brand groups also have stronger review acceptance.
brand_age_rating_comparison,brand_age_group,heritage_pre_1950,,,weighted_avg_rating,3.0,2756,1982,9,244,8062.0,5540.5,68.7236,3.0,,,Test whether older brand groups also have stronger review acceptance.
brand_lifecycle_exception,brand,Frostie,heritage_pre_1950,1939,transaction_rank,23.0,1,1,1,86,3.0,1.91,63.6667,3.0349,,,Identify brands that contradict broad age-group averages.
brand_lifecycle_exception,brand,Diet Stewarts,newer_1990_plus,1990,transaction_rank,22.0,1,1,1,0,3.0,1.72,57.3333,,,,Identify brands that contradict broad age-group averages.
brand_lifecycle_exception,brand,Virgil's,mid_age_1950_1989,1989,transaction_rank,21.0,2,2,1,57,6.0,3.48,58.0,3.0877,,,Identify brands that contradict broad age-group averages.
brand_lifecycle_exception,brand,River City,newer_1990_plus,2009,transaction_rank,20.0,2,2,1,132,6.0,3.82,63.6667,3.1515,,,Identify brands that contradict broad age-group averages.
brand_lifecycle_exception,brand,Thomas Kemper,newer_1990_plus,1990,transaction_rank,19.0,7,7,1,55,21.0,13.37,63.6667,3.2182,,,Identify brands that contradict broad age-group averages.
brand_lifecycle_exception,brand,Sprecher,mid_age_1950_1989,1985,transaction_rank,18.0,19,19,1,52,57.0,36.29,63.6667,3.2115,,,Identify brands that contradict broad age-group averages.
brand_lifecycle_exception,brand,A&W,heritage_pre_1950,1919,transaction_rank,17.0,147,129,1,8,411.0,349.26,84.9781,3.25,,,Identify brands that contradict broad age-group averages.
