evidence_block,grain,item,item_2,item_3,rank_label,rank_value,transactions,customers,brands,reviews,revenue,gross_margin_proxy,gross_margin_proxy_rate_pct,avg_rating,transaction_share_pct,review_share_pct,notes
city_market_baseline,customer_city,Galt,,,transaction_rank,22.0,9,1,6,3,27.0,18.55,68.7037,3.3333,0.1426,0.4208,Establish customer geography scale before interpreting local reach.
city_market_baseline,customer_city,Elverta,,,transaction_rank,14.0,48,5,17,7,144.0,96.63,67.1042,3.1429,0.7605,0.9818,Establish customer geography scale before interpreting local reach.
city_market_baseline,customer_city,Orangevale,,,transaction_rank,9.0,74,7,18,7,218.0,143.39,65.7752,2.2857,1.1724,0.9818,Establish customer geography scale before interpreting local reach.
city_market_baseline,customer_city,Rancho Cordova,,,transaction_rank,3.0,131,10,20,6,373.0,244.72,65.6086,3.0,2.0754,0.8415,Establish customer geography scale before interpreting local reach.
city_market_baseline,customer_city,Rancho Murieta,,,transaction_rank,12.0,59,4,16,5,175.0,114.7,65.5429,3.6,0.9347,0.7013,Establish customer geography scale before interpreting local reach.
city_market_baseline,customer_city,McClellan,,,transaction_rank,15.0,46,4,14,3,134.0,87.72,65.4627,3.3333,0.7288,0.4208,Establish customer geography scale before interpreting local reach.
city_market_baseline,customer_city,Carmichael,,,transaction_rank,6.0,112,10,18,16,334.0,217.83,65.2186,3.4375,1.7744,2.244,Establish customer geography scale before interpreting local reach.
city_market_baseline,customer_city,Mather,,,transaction_rank,13.0,52,3,17,3,152.0,98.66,64.9079,3.3333,0.8238,0.4208,Establish customer geography scale before interpreting local reach.
city_market_baseline,customer_city,Folsom,,,transaction_rank,5.0,127,12,17,9,369.0,239.38,64.8726,3.2222,2.012,1.2623,Establish customer geography scale before interpreting local reach.
city_market_baseline,customer_city,Walnut Grove,,,transaction_rank,21.0,33,2,14,5,99.0,63.9,64.5455,2.4,0.5228,0.7013,Establish customer geography scale before interpreting local reach.
city_market_baseline,customer_city,Courtland,,,transaction_rank,20.0,35,3,14,2,101.0,65.12,64.4752,3.0,0.5545,0.2805,Establish customer geography scale before interpreting local reach.
city_market_baseline,customer_city,Elk Grove,,,transaction_rank,2.0,184,18,18,12,536.0,344.48,64.2687,3.0833,2.9151,1.683,Establish customer geography scale before interpreting local reach.
city_market_baseline,customer_city,Sacramento,,,transaction_rank,1.0,4797,423,23,564,14049.0,9021.15,64.212,3.0762,75.9981,79.1024,Establish customer geography scale before interpreting local reach.
city_market_baseline,customer_city,Ryde,,,transaction_rank,7.0,96,8,17,9,284.0,181.81,64.0176,4.1111,1.5209,1.2623,Establish customer geography scale before interpreting local reach.
city_market_baseline,customer_city,North Highlands,,,transaction_rank,8.0,84,6,16,16,246.0,156.78,63.7317,2.75,1.3308,2.244,Establish customer geography scale before interpreting local reach.
city_market_baseline,customer_city,Herald,,,transaction_rank,18.0,38,4,14,2,114.0,72.29,63.4123,3.0,0.602,0.2805,Establish customer geography scale before interpreting local reach.
city_market_baseline,customer_city,Citrus Heights,,,transaction_rank,4.0,130,11,18,12,380.0,240.6,63.3158,3.3333,2.0596,1.683,Establish customer geography scale before interpreting local reach.
city_market_baseline,customer_city,Fair Oaks,,,transaction_rank,11.0,64,5,16,4,192.0,121.18,63.1146,3.25,1.0139,0.561,Establish customer geography scale before interpreting local reach.
city_market_baseline,customer_city,Wilton,,,transaction_rank,19.0,37,4,16,1,109.0,68.56,62.8991,1.0,0.5862,0.1403,Establish customer geography scale before interpreting local reach.
city_market_baseline,customer_city,Isleton,,,transaction_rank,17.0,43,4,14,8,127.0,79.5,62.5984,2.625,0.6812,1.122,Establish customer geography scale before interpreting local reach.
city_market_baseline,customer_city,Antelope,,,transaction_rank,10.0,69,6,15,12,201.0,125.73,62.5522,2.8333,1.0932,1.683,Establish customer geography scale before interpreting local reach.
city_market_baseline,customer_city,Rio Linda,,,transaction_rank,16.0,44,4,14,7,132.0,82.45,62.4621,2.7143,0.6971,0.9818,Establish customer geography scale before interpreting local reach.
city_transaction_concentration,portfolio,top_5_customer_cities_by_transactions,22,,top5_city_transaction_share,,5369,,22,,,,,,85.0602,,Check whether customer geography is broad or concentrated in a few cities.
city_location_affinity,customer_city_location,Courtland,Sac State American River Courtyard,1,location_rank_in_city,1.0,24,3,11,,68.0,44.11,64.8676,,,,Test whether customer cities lean toward different selling locations.
city_location_affinity,customer_city_location,Courtland,Sac State Union,2,location_rank_in_city,2.0,11,3,8,,33.0,21.01,63.6667,,,,Test whether customer cities lean toward different selling locations.
city_location_affinity,customer_city_location,Sacramento,Sac State Union,1,location_rank_in_city,1.0,2425,412,22,,7101.0,4566.65,64.31,,,,Test whether customer cities lean toward different selling locations.
city_location_affinity,customer_city_location,Sacramento,Sac State American River Courtyard,2,location_rank_in_city,2.0,2372,414,20,,6948.0,4454.5,64.112,,,,Test whether customer cities lean toward different selling locations.
city_location_affinity,customer_city_location,Orangevale,Sac State American River Courtyard,1,location_rank_in_city,1.0,45,7,18,,131.0,85.19,65.0305,,,,Test whether customer cities lean toward different selling locations.
city_location_affinity,customer_city_location,Orangevale,Sac State Union,2,location_rank_in_city,2.0,29,7,14,,87.0,58.2,66.8966,,,,Test whether customer cities lean toward different selling locations.
