evidence_block,grain,item,item_2,item_3,rank_label,rank_value,transactions,customers,brands,reviews,revenue,gross_margin_proxy,gross_margin_proxy_rate_pct,avg_rating,transaction_share_pct,review_share_pct,notes
payment_method_baseline,credit_card_type,Discover,,,transaction_rank,3.0,1108,97,19,,3256.0,2089.3,64.1677,3.0227,17.5539,,Establish payment-method transaction scale before interpreting behavior.
payment_method_baseline,credit_card_type,American Express,,,transaction_rank,4.0,965,91,19,,2829.0,1809.64,63.9675,3.0211,15.2883,,Establish payment-method transaction scale before interpreting behavior.
payment_method_baseline,credit_card_type,Visa,,,transaction_rank,1.0,2152,189,20,,6304.0,4051.14,64.263,3.0173,34.0938,,Establish payment-method transaction scale before interpreting behavior.
payment_method_baseline,credit_card_type,MasterCard,,,transaction_rank,2.0,2087,177,23,,6107.0,3935.05,64.4351,3.0168,33.064,,Establish payment-method transaction scale before interpreting behavior.
payment_repeat_intensity,credit_card_type,Discover,3,2,transactions_per_customer_rank,2.0,1108,97,19,,3256.0,2089.3,64.1677,3.0227,11.4227,,Check whether high-volume payment methods also represent repeat-heavy customers.
payment_repeat_intensity,credit_card_type,American Express,4,4,transactions_per_customer_rank,4.0,965,91,19,,2829.0,1809.64,63.9675,3.0211,10.6044,,Check whether high-volume payment methods also represent repeat-heavy customers.
payment_repeat_intensity,credit_card_type,Visa,1,3,transactions_per_customer_rank,3.0,2152,189,20,,6304.0,4051.14,64.263,3.0173,11.3862,,Check whether high-volume payment methods also represent repeat-heavy customers.
payment_repeat_intensity,credit_card_type,MasterCard,2,1,transactions_per_customer_rank,1.0,2087,177,23,,6107.0,3935.05,64.4351,3.0168,11.791,,Check whether high-volume payment methods also represent repeat-heavy customers.
payment_location_mix,card_location,American Express,Sac State Union,1,location_rank_in_card,1.0,513,88,19,,1505.0,963.62,64.0279,,,,Test whether payment-method differences are partly location mix.
payment_location_mix,card_location,American Express,Sac State American River Courtyard,2,location_rank_in_card,2.0,452,86,19,,1324.0,846.02,63.8988,,,,Test whether payment-method differences are partly location mix.
payment_location_mix,card_location,MasterCard,Sac State Union,1,location_rank_in_card,1.0,1050,173,22,,3066.0,1975.3,64.426,,,,Test whether payment-method differences are partly location mix.
payment_location_mix,card_location,MasterCard,Sac State American River Courtyard,2,location_rank_in_card,2.0,1037,174,20,,3041.0,1959.75,64.4443,,,,Test whether payment-method differences are partly location mix.
payment_location_mix,card_location,Discover,Sac State Union,1,location_rank_in_card,1.0,584,94,18,,1714.0,1093.51,63.7987,,,,Test whether payment-method differences are partly location mix.
payment_location_mix,card_location,Discover,Sac State American River Courtyard,2,location_rank_in_card,2.0,524,94,19,,1542.0,995.79,64.5778,,,,Test whether payment-method differences are partly location mix.
payment_location_mix,card_location,Visa,Sac State American River Courtyard,1,location_rank_in_card,1.0,1083,184,19,,3161.0,2020.34,63.9146,,,,Test whether payment-method differences are partly location mix.
