evidence_block,grain,item,item_2,item_3,rank_label,rank_value,transactions,customers,brands,reviews,revenue,gross_margin_proxy,gross_margin_proxy_rate_pct,avg_rating,transaction_share_pct,review_share_pct,notes
origin_group_baseline,origin_group,california_brewery,,,transaction_rank,2.0,1192,491,5,202,3482.0,2262.41,64.9744,3.0668,1.0,,"Compare local, other-US, and non-US brewery origins on demand scale."
origin_group_baseline,origin_group,other_us_brewery,,,transaction_rank,1.0,4787,554,17,496,14015.0,9006.67,64.2645,3.0547,1.0588,,"Compare local, other-US, and non-US brewery origins on demand scale."
origin_group_baseline,origin_group,non_us_brewery,,,transaction_rank,3.0,333,241,1,15,999.0,616.05,61.6667,2.8,1.0,,"Compare local, other-US, and non-US brewery origins on demand scale."
origin_quality_comparison,origin_group,california_brewery,2,1/1,origin_rating_margin_rank,1.0,1192,491,5,202,3482.0,2262.41,64.9744,3.0668,1.0,,"Check whether brewery origin strength is demand, rating, or margin-proxy strength."
origin_quality_comparison,origin_group,other_us_brewery,1,2/2,origin_rating_margin_rank,1.0,4787,554,17,496,14015.0,9006.67,64.2645,3.0547,1.0588,,"Check whether brewery origin strength is demand, rating, or margin-proxy strength."
origin_quality_comparison,origin_group,non_us_brewery,3,3/3,origin_rating_margin_rank,0.0,333,241,1,15,999.0,616.05,61.6667,2.8,1.0,,"Check whether brewery origin strength is demand, rating, or margin-proxy strength."
brewery_state_concentration,brewery_state,IL,,,state_transaction_rank,1.0,1292,498,3,59,3642.0,2293.56,62.9753,2.8801,,,Inspect whether brewery state origin is concentrated in a few states.
brewery_state_concentration,brewery_state,CA,,,state_transaction_rank,2.0,1192,491,5,202,3482.0,2262.41,64.9744,3.0668,,,Inspect whether brewery state origin is concentrated in a few states.
brewery_state_concentration,brewery_state,MO,,,state_transaction_rank,3.0,1023,466,2,56,3069.0,1996.89,65.0665,3.0677,,,Inspect whether brewery state origin is concentrated in a few states.
brewery_state_concentration,brewery_state,LA,,,state_transaction_rank,4.0,618,368,2,37,1800.0,1308.98,72.7211,2.7061,,,Inspect whether brewery state origin is concentrated in a few states.
brewery_state_concentration,brewery_state,ME,,,state_transaction_rank,5.0,419,293,1,22,1257.0,800.29,63.6667,3.0,,,Inspect whether brewery state origin is concentrated in a few states.
brewery_state_concentration,brewery_state,DE,,,state_transaction_rank,6.0,394,298,1,17,1182.0,669.8,56.6667,3.7059,,,Inspect whether brewery state origin is concentrated in a few states.
brewery_state_concentration,brewery_state,OR,,,state_transaction_rank,7.0,385,279,1,18,1155.0,716.1,62.0,3.1111,,,Inspect whether brewery state origin is concentrated in a few states.
brewery_state_concentration,brewery_state,WA,,,state_transaction_rank,8.0,354,264,2,74,1062.0,672.28,63.3032,3.1027,,,Inspect whether brewery state origin is concentrated in a few states.
brewery_state_concentration,brewery_state,QLD,,,state_transaction_rank,9.0,333,241,1,15,999.0,616.05,61.6667,2.8,,,Inspect whether brewery state origin is concentrated in a few states.
