evidence_block,grain,item,item_2,item_3,rank_label,rank_value,inspections,establishments,violations,critical_violations,serious_violations,minor_violations,total_fine,inspections_with_violations,pass_count,conditional_count,fail_count,other_count,pass_rate_pct,conditional_rate_pct,fail_rate_pct,issue_rate_pct,avg_violations_per_inspection,avg_fine_per_inspection,notes
result_baseline,inspection_result,pass,,,inspection_volume_rank,1.0,84683,25834,299936,6377,0,0,24497000.0,76087,84683,0,0,0,100.0,0.0,0.0,0.0,3.5419,289.2788,Establish the outcome baseline before explaining weak inspection results.
result_baseline,inspection_result,fail,,,inspection_volume_rank,2.0,27809,15441,153430,15388,0,0,25438200.0,25039,0,0,27809,0,0.0,0.0,100.0,100.0,5.5173,914.747,Establish the outcome baseline before explaining weak inspection results.
result_baseline,inspection_result,other_result,,,inspection_volume_rank,3.0,17640,14818,1505,60,0,0,190100.0,310,0,0,0,17640,0.0,0.0,0.0,0.0,0.0853,10.7766,Establish the outcome baseline before explaining weak inspection results.
result_baseline,inspection_result,conditional_pass,,,inspection_volume_rank,4.0,13560,8196,70405,11609,0,0,12340800.0,13454,0,13560,0,0,0.0,100.0,0.0,100.0,5.1921,910.0885,Establish the outcome baseline before explaining weak inspection results.
risk_result_profile,risk_level,1,,,inspection_volume_rank,1.0,99760,17116,389201,24658,0,0,46360150.0,83746,61102,10217,18892,9549,61.249,10.2416,18.9374,29.179,3.9014,464.7168,Test whether facility risk level actually aligns with weaker outcomes.
risk_result_profile,risk_level,2,,,inspection_volume_rank,2.0,30080,6538,104114,6188,0,0,12416200.0,23607,17359,3008,5834,3879,57.7094,10.0,19.3949,29.3949,3.4612,412.7726,Test whether facility risk level actually aligns with weaker outcomes.
risk_result_profile,risk_level,3,,,inspection_volume_rank,3.0,13825,7967,31957,2588,0,0,3689350.0,7535,6218,335,3071,4201,44.9765,2.4231,22.2134,24.6365,2.3115,266.8608,Test whether facility risk level actually aligns with weaker outcomes.
risk_result_profile,risk_level,unknown,,,inspection_volume_rank,4.0,27,21,4,0,0,0,400.0,2,4,0,12,11,14.8148,0.0,44.4444,44.4444,0.1481,14.8148,Test whether facility risk level actually aligns with weaker outcomes.
facility_type_result_profile,facility_type,Restaurant,,,inspection_volume_rank,1.0,94494,16149,364009,23612,0,0,43673300.0,78112,56345,10524,17640,9985,59.6281,11.1372,18.6679,29.8051,3.8522,462.1807,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,Grocery Store,,,inspection_volume_rank,2.0,19547,5315,78749,5108,0,0,9240700.0,15789,11132,1626,4709,2080,56.9499,8.3184,24.0907,32.4091,4.0287,472.7426,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,School,,,inspection_volume_rank,3.0,8978,1118,31455,1143,0,0,3552900.0,8367,6568,479,1637,294,73.1566,5.3353,18.2335,23.5687,3.5036,395.734,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,unknown,,,inspection_volume_rank,4.0,4357,4105,337,44,0,0,46400.0,106,250,19,322,3766,5.7379,0.4361,7.3904,7.8265,0.0773,10.6495,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,Daycare (2 - 6 Years),,,inspection_volume_rank,5.0,2315,627,6582,290,0,0,709900.0,1818,1552,65,460,238,67.041,2.8078,19.8704,22.6782,2.8432,306.6523,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,Bakery,,,inspection_volume_rank,6.0,2110,410,8662,402,0,0,945050.0,1743,1299,141,446,224,61.564,6.6825,21.1374,27.8199,4.1052,447.891,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,Daycare Above and Under 2 Years,,,inspection_volume_rank,7.0,1576,448,4954,323,0,0,590200.0,1318,1120,82,285,89,71.066,5.203,18.0838,23.2868,3.1434,374.4924,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,Children's Services Facility,,,inspection_volume_rank,8.0,1440,419,4332,322,0,0,507950.0,1198,1057,58,261,64,73.4028,4.0278,18.125,22.1528,3.0083,352.7431,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,Long Term Care,,,inspection_volume_rank,9.0,836,242,3571,200,0,0,406700.0,764,533,96,162,45,63.756,11.4833,19.378,30.8612,4.2715,486.4833,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,Catering,,,inspection_volume_rank,10.0,829,177,2647,144,0,0,301900.0,599,498,62,141,128,60.0724,7.4789,17.0084,24.4873,3.193,364.1737,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,Daycare Combo 1586,,,inspection_volume_rank,11.0,779,216,2446,178,0,0,286850.0,603,465,39,185,90,59.6919,5.0064,23.7484,28.7548,3.1399,368.2285,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,Mobile Food Dispenser,,,inspection_volume_rank,12.0,705,394,878,319,0,0,160500.0,313,413,19,220,53,58.5816,2.695,31.2057,33.9007,1.2454,227.6596,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,Liquor,,,inspection_volume_rank,13.0,676,321,2082,204,0,0,256500.0,464,355,10,250,61,52.5148,1.4793,36.9822,38.4615,3.0799,379.4379,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,Wholesale,,,inspection_volume_rank,14.0,506,257,1743,150,0,0,209500.0,381,297,6,173,30,58.6957,1.1858,34.1897,35.3755,3.4447,414.0316,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,Golden Diner,,,inspection_volume_rank,15.0,403,73,1039,74,0,0,137500.0,343,260,46,68,29,64.5161,11.4144,16.8734,28.2878,2.5782,341.1911,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,Hospital,,,inspection_volume_rank,16.0,365,91,1230,62,0,0,140550.0,290,258,33,56,18,70.6849,9.0411,15.3425,24.3836,3.3699,385.0685,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,Mobile Food Preparer,,,inspection_volume_rank,17.0,295,92,736,165,0,0,114450.0,216,151,6,101,37,51.1864,2.0339,34.2373,36.2712,2.4949,387.9661,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,TAVERN,,,inspection_volume_rank,18.0,198,94,788,59,0,0,91550.0,147,97,7,70,24,48.9899,3.5354,35.3535,38.8889,3.9798,462.3737,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,Daycare (Under 2 Years),,,inspection_volume_rank,19.0,188,53,562,47,0,0,66950.0,147,123,6,36,23,65.4255,3.1915,19.1489,22.3404,2.9894,356.117,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,Shared Kitchen User (Long Term),,,inspection_volume_rank,20.0,157,149,30,4,0,0,4400.0,9,151,1,5,0,96.1783,0.6369,3.1847,3.8217,0.1911,28.0255,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,BANQUET HALL,,,inspection_volume_rank,21.0,103,21,299,20,0,0,34050.0,57,47,2,26,28,45.6311,1.9417,25.2427,27.1845,2.9029,330.5825,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,GAS STATION,,,inspection_volume_rank,22.0,97,41,417,23,0,0,49450.0,81,49,8,30,10,50.5155,8.2474,30.9278,39.1753,4.299,509.7938,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,Special Event,,,inspection_volume_rank,23.0,83,28,194,29,0,0,24100.0,52,52,2,20,9,62.6506,2.4096,24.0964,26.506,2.3373,290.3614,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,Shared Kitchen,,,inspection_volume_rank,24.0,54,13,141,3,0,0,14300.0,42,38,2,8,6,70.3704,3.7037,14.8148,18.5185,2.6111,264.8148,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
facility_type_result_profile,facility_type,Shelter,,,inspection_volume_rank,25.0,53,11,193,6,0,0,21650.0,47,44,2,4,3,83.0189,3.7736,7.5472,11.3208,3.6415,408.4906,Identify high-volume facility types whose outcomes or severity burden diverge from the baseline.
