evidence_block,grain,item,item_2,item_3,rank_label,rank_value,inspections,establishments,violations,critical_violations,serious_violations,minor_violations,total_fine,violation_share_pct,fine_share_pct,avg_fine_per_violation,notes
severity_level_baseline,point_level,Minor   ,,,fine_rank,1.0,111615,22906,424224,0,0,0,37573600.0,80.7621,60.1504,88.5702,Separate violation volume from severity burden by point level.
severity_level_baseline,point_level,Critical,,,fine_rank,2.0,23504,10489,33434,33434,0,0,13407500.0,6.365,21.4636,401.0139,Separate violation volume from severity burden by point level.
severity_level_baseline,point_level,Serious ,,,fine_rank,3.0,48230,14382,67618,0,0,0,11485000.0,12.8729,18.386,169.8512,Separate violation volume from severity burden by point level.
category_burden_profile,violation_category,Food Maintenance,,,violation_rank,1.0,106521,22451,286467,0,0,0,25302900.0,54.5365,40.5066,88.3275,Identify which violation categories carry the main burden.
category_burden_profile,violation_category,Food Protection,,,violation_rank,2.0,88759,20162,160413,17193,0,0,21092850.0,30.5388,33.7669,131.4909,Identify which violation categories carry the main burden.
category_burden_profile,violation_category,Insect and Rodent Control,,,violation_rank,3.0,29725,10042,32681,0,0,0,5282500.0,6.2217,8.4566,161.6383,Identify which violation categories carry the main burden.
category_burden_profile,violation_category,Toilet and Hand Washing Facilities for Staff,,,violation_rank,6.0,7022,4068,7327,7327,0,0,2757000.0,1.3949,4.4136,376.2795,Identify which violation categories carry the main burden.
category_burden_profile,violation_category,Personnel,,,violation_rank,5.0,9676,5125,9676,0,0,0,2062250.0,1.8421,3.3014,213.1304,Identify which violation categories carry the main burden.
category_burden_profile,violation_category,Compliance,,,violation_rank,4.0,10097,4143,10504,1748,0,0,1428500.0,1.9997,2.2868,135.9958,Identify which violation categories carry the main burden.
category_burden_profile,violation_category,Food Equipment and Utensil Sanitation,,,violation_rank,9.0,2908,1942,2913,2913,0,0,1237000.0,0.5546,1.9803,424.6481,Identify which violation categories carry the main burden.
category_burden_profile,violation_category,Wash and Waste Water Disposal,,,violation_rank,8.0,3344,1858,3491,3491,0,0,1209000.0,0.6646,1.9354,346.3191,Identify which violation categories carry the main burden.
category_burden_profile,violation_category,Food Equipment and Utensil,,,violation_rank,7.0,5995,2836,6080,0,0,0,978250.0,1.1575,1.566,160.8964,Identify which violation categories carry the main burden.
category_burden_profile,violation_category,Toilet / Hand Washing Facilities For Customers,,,violation_rank,10.0,2711,1327,2757,0,0,0,457250.0,0.5249,0.732,165.8506,Identify which violation categories carry the main burden.
category_burden_profile,violation_category,Display of Inspection Report Summary,,,violation_rank,11.0,1254,1048,1254,0,0,0,288500.0,0.2387,0.4619,230.0638,Identify which violation categories carry the main burden.
category_burden_profile,violation_category,Compliance Insect and Rodent Control,,,violation_rank,12.0,762,333,762,762,0,0,271500.0,0.1451,0.4346,356.2992,Identify which violation categories carry the main burden.
category_burden_profile,violation_category,No Smoking Regulations,,,violation_rank,13.0,728,464,728,0,0,0,55100.0,0.1386,0.0882,75.6868,Identify which violation categories carry the main burden.
category_burden_profile,violation_category,Toxic Items,,,violation_rank,14.0,223,152,223,0,0,0,43500.0,0.0425,0.0696,195.0673,Identify which violation categories carry the main burden.
inspection_point_concentration,portfolio,top_10_inspection_points,46,,top10_point_violation_share,,,,410344,,,,42095550.0,78.1197,67.3894,,Check whether severity is broad-based or concentrated in a small set of inspection points.
inspection_point_profile,inspection_point,34,Food Maintenance,Minor   ,violation_rank,1.0,69102,18193,69102,0,0,0,6159500.0,13.1554,9.8605,89.1363,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,33,Food Protection,Minor   ,violation_rank,2.0,61179,16469,61179,0,0,0,5454400.0,11.647,8.7318,89.1548,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,35,Food Maintenance,Minor   ,violation_rank,3.0,60882,17511,60882,0,0,0,5435000.0,11.5905,8.7007,89.271,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,38,Food Maintenance,Minor   ,violation_rank,4.0,51781,16900,51781,0,0,0,4574200.0,9.8579,7.3227,88.3374,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,32,Food Protection,Minor   ,violation_rank,5.0,50535,15585,50535,0,0,0,4516300.0,9.6207,7.23,89.3697,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,18,Insect and Rodent Control,Serious ,violation_rank,7.0,26207,9071,26207,0,0,0,4242750.0,4.9892,6.7921,161.8938,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,3,Food Protection,Critical,violation_rank,16.0,7481,4808,7481,7481,0,0,3653000.0,1.4242,5.848,488.3037,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,41,Food Maintenance,Minor   ,violation_rank,6.0,33647,13175,33647,0,0,0,2928100.0,6.4056,4.6875,87.0241,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,2,Food Protection,Critical,violation_rank,17.0,7070,4267,7070,7070,0,0,2862000.0,1.346,4.5817,404.8091,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,36,Food Maintenance,Minor   ,violation_rank,8.0,25786,10635,25786,0,0,0,2270300.0,4.909,3.6345,88.0439,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,21,Personnel,Serious ,violation_rank,12.0,9676,5125,9676,0,0,0,2062250.0,1.8421,3.3014,213.1304,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,11,Toilet and Hand Washing Facilities for Staff,Critical,violation_rank,23.0,4329,2426,4329,4329,0,0,1540000.0,0.8241,2.4653,355.7404,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,30,Food Protection,Minor   ,violation_rank,10.0,15378,6878,15378,0,0,0,1373000.0,2.9276,2.198,89.2834,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,40,Food Maintenance,Minor   ,violation_rank,9.0,15847,8027,15847,0,0,0,1351800.0,3.0169,2.1641,85.3032,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,29,Compliance,Serious ,violation_rank,13.0,8756,3622,8756,0,0,0,1254000.0,1.6669,2.0075,143.2161,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,12,Toilet and Hand Washing Facilities for Staff,Critical,violation_rank,24.0,2998,2066,2998,2998,0,0,1217000.0,0.5707,1.9483,405.9373,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,8,Food Equipment and Utensil Sanitation,Critical,violation_rank,25.0,2766,1854,2766,2766,0,0,1177500.0,0.5266,1.885,425.705,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,16,Food Protection,Serious ,violation_rank,20.0,6085,3131,6085,0,0,0,1093500.0,1.1584,1.7505,179.7042,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,19,Insect and Rodent Control,Serious ,violation_rank,19.0,6301,2936,6301,0,0,0,1013000.0,1.1996,1.6217,160.7681,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,31,Food Protection,Minor   ,violation_rank,11.0,9937,5233,9937,0,0,0,871900.0,1.8918,1.3958,87.7428,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,9,Wash and Waste Water Disposal,Critical,violation_rank,26.0,2315,1293,2315,2315,0,0,796000.0,0.4407,1.2743,343.8445,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,24,Food Equipment and Utensil,Serious ,violation_rank,22.0,4907,2337,4907,0,0,0,776500.0,0.9342,1.2431,158.2433,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,43,Food Maintenance,Minor   ,violation_rank,14.0,7976,4274,7976,0,0,0,700900.0,1.5184,1.122,87.8761,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,6,Food Protection,Critical,violation_rank,29.0,1425,1222,1425,1425,0,0,693500.0,0.2713,1.1102,486.6667,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,37,Food Maintenance,Minor   ,violation_rank,15.0,7865,4482,7865,0,0,0,650200.0,1.4973,1.0409,82.6701,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,45,Food Maintenance,Minor   ,violation_rank,21.0,6030,4055,6030,0,0,0,576300.0,1.148,0.9226,95.5721,Retain point-level evidence for named severe or high-volume requirements.
inspection_point_profile,inspection_point,42,Food Maintenance,Minor   ,violation_rank,18.0,6470,3780,6470,0,0,0,566600.0,1.2317,0.9071,87.5734,Retain point-level evidence for named severe or high-volume requirements.
result_severity_profile,inspection_result,pass,,,violation_rank,1.0,76087,22455,299936,6377,0,0,24497000.0,57.1006,39.2165,81.6741,Connect violation severity back to inspection outcomes.
result_severity_profile,inspection_result,fail,,,violation_rank,2.0,25039,13924,153430,15388,0,0,25438200.0,29.2094,40.7232,165.7968,Connect violation severity back to inspection outcomes.
result_severity_profile,inspection_result,conditional_pass,,,violation_rank,3.0,13454,8147,70405,11609,0,0,12340800.0,13.4034,19.756,175.283,Connect violation severity back to inspection outcomes.
result_severity_profile,inspection_result,other_result,,,violation_rank,4.0,310,283,1505,60,0,0,190100.0,0.2865,0.3043,126.3123,Connect violation severity back to inspection outcomes.
risk_category_profile,risk_level_category,3,Food Maintenance,,category_rank_in_risk,1.0,6720,3335,18140,0,0,0,1474400.0,3.4534,2.3603,81.2789,Check whether risk levels differ in the kinds of violations they carry.
risk_category_profile,risk_level_category,3,Food Protection,,category_rank_in_risk,2.0,4766,2453,6993,965,0,0,875900.0,1.3313,1.4022,125.2538,Check whether risk levels differ in the kinds of violations they carry.
risk_category_profile,risk_level_category,3,Insect and Rodent Control,,category_rank_in_risk,3.0,3186,1422,3796,0,0,0,605250.0,0.7227,0.9689,159.4442,Check whether risk levels differ in the kinds of violations they carry.
risk_category_profile,risk_level_category,3,Toilet and Hand Washing Facilities for Staff,,category_rank_in_risk,4.0,726,393,777,777,0,0,261000.0,0.1479,0.4178,335.9073,Check whether risk levels differ in the kinds of violations they carry.
risk_category_profile,risk_level_category,3,Wash and Waste Water Disposal,,category_rank_in_risk,5.0,524,273,566,566,0,0,181500.0,0.1078,0.2906,320.6714,Check whether risk levels differ in the kinds of violations they carry.
risk_category_profile,risk_level_category,2,Food Maintenance,,category_rank_in_risk,1.0,21646,5129,58023,0,0,0,5149600.0,11.0462,8.2438,88.751,Check whether risk levels differ in the kinds of violations they carry.
risk_category_profile,risk_level_category,2,Food Protection,,category_rank_in_risk,2.0,17266,4652,28202,2819,0,0,3602650.0,5.369,5.7674,127.7445,Check whether risk levels differ in the kinds of violations they carry.
risk_category_profile,risk_level_category,2,Insect and Rodent Control,,category_rank_in_risk,3.0,6427,2258,7166,0,0,0,1162250.0,1.3642,1.8606,162.1895,Check whether risk levels differ in the kinds of violations they carry.
risk_category_profile,risk_level_category,2,Personnel,,category_rank_in_risk,4.0,3348,1699,3348,0,0,0,722750.0,0.6374,1.157,215.8751,Check whether risk levels differ in the kinds of violations they carry.
risk_category_profile,risk_level_category,2,Toilet and Hand Washing Facilities for Staff,,category_rank_in_risk,5.0,1676,941,1738,1738,0,0,642000.0,0.3309,1.0278,369.3901,Check whether risk levels differ in the kinds of violations they carry.
risk_category_profile,risk_level_category,unknown,Food Maintenance,,category_rank_in_risk,1.0,1,1,2,0,0,0,200.0,0.0004,0.0003,100.0,Check whether risk levels differ in the kinds of violations they carry.
risk_category_profile,risk_level_category,unknown,Food Protection,,category_rank_in_risk,2.0,2,2,2,0,0,0,200.0,0.0004,0.0003,100.0,Check whether risk levels differ in the kinds of violations they carry.
risk_category_profile,risk_level_category,1,Food Maintenance,,category_rank_in_risk,1.0,78154,13986,210302,0,0,0,18678700.0,40.0365,29.9021,88.8185,Check whether risk levels differ in the kinds of violations they carry.
risk_category_profile,risk_level_category,1,Food Protection,,category_rank_in_risk,2.0,66725,13055,125216,13409,0,0,16614100.0,23.8381,26.597,132.6835,Check whether risk levels differ in the kinds of violations they carry.
risk_category_profile,risk_level_category,1,Insect and Rodent Control,,category_rank_in_risk,3.0,20112,6362,21719,0,0,0,3515000.0,4.1348,5.6271,161.8399,Check whether risk levels differ in the kinds of violations they carry.
risk_category_profile,risk_level_category,1,Compliance,,category_rank_in_risk,4.0,8135,3235,8460,1278,0,0,1160500.0,1.6106,1.8578,137.1749,Check whether risk levels differ in the kinds of violations they carry.
