evidence_block,grain,item,item_2,item_3,rank_label,rank_value,inspections,establishments,violations,critical_violations,serious_violations,minor_violations,total_fine,pass_count,conditional_count,fail_count,parent_violations,parent_total_fine,avg_violation_change,avg_fine_change,pass_rate_pct,issue_rate_pct,notes
followup_baseline,followup_status,not_followup,,,inspection_volume_rank,1.0,117058,31642,383292,24195,0,0,53604450.0,61980,12096,25650,,,,,52.9481,32.2456,Compare follow-up activity with non-follow-up inspections before inferring recovery.
followup_baseline,followup_status,followup,,,inspection_volume_rank,2.0,26634,14316,141984,9239,0,0,8861650.0,22703,1464,2159,,,,,85.2407,13.6029,Compare follow-up activity with non-follow-up inspections before inferring recovery.
parent_child_result_transition,parent_to_child_result,conditional_pass,pass,,child_result_rank_within_parent_result,1.0,1475,1352,5535,345,0,0,393250.0,,,,8089.0,1671800.0,,,,,"Audit whether follow-up outcomes improve, remain conditional, or fail."
parent_child_result_transition,parent_to_child_result,conditional_pass,conditional_pass,,child_result_rank_within_parent_result,2.0,158,151,723,54,0,0,86000.0,,,,1019.0,203450.0,,,,,"Audit whether follow-up outcomes improve, remain conditional, or fail."
parent_child_result_transition,parent_to_child_result,conditional_pass,fail,,child_result_rank_within_parent_result,3.0,18,18,97,11,0,0,12950.0,,,,128.0,22050.0,,,,,"Audit whether follow-up outcomes improve, remain conditional, or fail."
parent_child_result_transition,parent_to_child_result,conditional_pass,other_result,,child_result_rank_within_parent_result,4.0,11,11,25,0,0,0,2650.0,,,,65.0,11300.0,,,,,"Audit whether follow-up outcomes improve, remain conditional, or fail."
parent_child_result_transition,parent_to_child_result,other_result,pass,,child_result_rank_within_parent_result,1.0,154,153,806,35,0,0,44850.0,,,,449.0,61150.0,,,,,"Audit whether follow-up outcomes improve, remain conditional, or fail."
parent_child_result_transition,parent_to_child_result,other_result,other_result,,child_result_rank_within_parent_result,2.0,41,36,85,1,0,0,9700.0,,,,151.0,20400.0,,,,,"Audit whether follow-up outcomes improve, remain conditional, or fail."
parent_child_result_transition,parent_to_child_result,other_result,fail,,child_result_rank_within_parent_result,3.0,25,25,175,31,0,0,22900.0,,,,105.0,17900.0,,,,,"Audit whether follow-up outcomes improve, remain conditional, or fail."
parent_child_result_transition,parent_to_child_result,other_result,conditional_pass,,child_result_rank_within_parent_result,4.0,13,13,103,10,0,0,10900.0,,,,72.0,10650.0,,,,,"Audit whether follow-up outcomes improve, remain conditional, or fail."
parent_child_result_transition,parent_to_child_result,pass,pass,,child_result_rank_within_parent_result,1.0,339,313,1133,51,0,0,75400.0,,,,1320.0,135250.0,,,,,"Audit whether follow-up outcomes improve, remain conditional, or fail."
parent_child_result_transition,parent_to_child_result,pass,fail,,child_result_rank_within_parent_result,2.0,32,32,123,8,0,0,13800.0,,,,143.0,11700.0,,,,,"Audit whether follow-up outcomes improve, remain conditional, or fail."
