evidence_block,grain,item,item_2,item_3,rank_label,rank_value,inspections,establishments,violations,critical_violations,serious_violations,minor_violations,total_fine,pass_count,conditional_count,fail_count,issue_rate_pct,avg_violations_per_inspection,avg_fine_per_inspection,notes
annual_result_trend,year,2016,,,inspection_volume_rank,1.0,22740,13353,82206,5768,12793,63645,10212800.0,12889,2631,4281,30.3958,3.615,449.1117,Establish whether inspection weakness changes over calendar years.
annual_result_trend,year,2014,,,inspection_volume_rank,2.0,21479,13291,76881,4946,9481,62454,9408750.0,12561,2306,3702,27.9715,3.5794,438.0441,Establish whether inspection weakness changes over calendar years.
annual_result_trend,year,2013,,,inspection_volume_rank,3.0,20900,14314,69866,3951,8973,56942,8293350.0,11940,1751,3337,24.3445,3.3429,396.811,Establish whether inspection weakness changes over calendar years.
annual_result_trend,year,2015,,,inspection_volume_rank,4.0,20852,13527,75414,4917,9713,60784,9130600.0,12093,2148,3595,27.5417,3.6166,437.8765,Establish whether inspection weakness changes over calendar years.
annual_result_trend,year,2012,,,inspection_volume_rank,5.0,18732,12778,68038,4101,8536,55401,8059500.0,10768,1526,3610,27.4183,3.6322,430.253,Establish whether inspection weakness changes over calendar years.
annual_result_trend,year,2011,,,inspection_volume_rank,6.0,18640,11357,75791,4457,8918,62416,8462050.0,11649,1509,4335,31.3519,4.066,453.9726,Establish whether inspection weakness changes over calendar years.
annual_result_trend,year,2010,,,inspection_volume_rank,7.0,17956,11140,68085,4689,7894,55502,7770450.0,11387,1420,4468,32.7913,3.7918,432.7495,Establish whether inspection weakness changes over calendar years.
annual_result_trend,year,2017,,,inspection_volume_rank,8.0,2393,1876,8995,605,1310,7080,1128600.0,1396,269,481,31.3414,3.7589,471.6256,Establish whether inspection weakness changes over calendar years.
quarter_seasonality_profile,year_quarter,2010,Q3,,quarter_volume_rank_within_year,1.0,4758,3571,18853,1370,2347,15136,2192000.0,2857,386,1195,33.2282,3.9624,460.6978,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2010,Q2,,quarter_volume_rank_within_year,2.0,4692,3521,17849,1277,2007,14565,2035050.0,3081,371,1228,34.0793,3.8041,433.7276,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2010,Q4,,quarter_volume_rank_within_year,3.0,4370,3298,16311,1099,1899,13313,1840250.0,2647,347,1030,31.5103,3.7325,421.1098,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2010,Q1,,quarter_volume_rank_within_year,4.0,4136,3135,15072,943,1641,12488,1703150.0,2802,316,1015,32.1809,3.6441,411.7868,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2011,Q2,,quarter_volume_rank_within_year,1.0,5035,3799,20466,1202,2241,17023,2302150.0,3183,404,1121,30.288,4.0647,457.2294,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2011,Q3,,quarter_volume_rank_within_year,2.0,4574,3313,19147,1360,2377,15410,2194200.0,2741,377,1202,34.5212,4.1861,479.7114,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2011,Q4,,quarter_volume_rank_within_year,3.0,4572,3394,18233,943,2456,14834,1951300.0,2834,329,1100,31.2555,3.988,426.7935,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2011,Q1,,quarter_volume_rank_within_year,4.0,4459,3369,17945,952,1844,15149,2014400.0,2891,399,912,29.4012,4.0244,451.7605,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2017,Q1,,quarter_volume_rank_within_year,1.0,2393,1876,8995,605,1310,7080,1128600.0,1396,269,481,31.3414,3.7589,471.6256,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2013,Q3,,quarter_volume_rank_within_year,1.0,5502,4283,18576,1248,2508,14820,2292700.0,2958,461,941,25.4816,3.3762,416.703,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2013,Q2,,quarter_volume_rank_within_year,2.0,5333,4275,19048,1112,2336,15600,2258500.0,3170,497,887,25.9516,3.5717,423.4952,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2013,Q4,,quarter_volume_rank_within_year,3.0,5303,4227,15106,833,2066,12207,1790650.0,2882,402,722,21.1955,2.8486,337.6674,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2013,Q1,,quarter_volume_rank_within_year,4.0,4762,3848,17136,758,2063,14315,1951500.0,2930,391,787,24.7375,3.5985,409.8068,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2012,Q3,,quarter_volume_rank_within_year,1.0,4922,3783,18261,1223,2473,14565,2207200.0,2647,420,993,28.7078,3.7101,448.4356,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2012,Q2,,quarter_volume_rank_within_year,2.0,4919,3881,17568,1074,2193,14301,2092900.0,2943,368,983,27.4649,3.5715,425.4727,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2012,Q4,,quarter_volume_rank_within_year,3.0,4612,3641,15789,885,2052,12852,1828350.0,2630,371,778,24.9133,3.4235,396.4332,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2012,Q1,,quarter_volume_rank_within_year,4.0,4279,3376,16420,919,1818,13683,1931050.0,2548,367,856,28.5814,3.8373,451.2853,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2016,Q2,,quarter_volume_rank_within_year,1.0,6201,4646,23419,1754,3508,18157,2941900.0,3526,708,1182,30.479,3.7766,474.4235,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2016,Q3,,quarter_volume_rank_within_year,2.0,6046,4442,21309,1565,3434,16310,2674200.0,3270,706,1158,30.8303,3.5245,442.309,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2016,Q4,,quarter_volume_rank_within_year,3.0,5340,4055,17440,1056,2927,13457,2097150.0,3151,518,936,27.2285,3.2659,392.7247,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2016,Q1,,quarter_volume_rank_within_year,4.0,5153,3903,20038,1393,2924,15721,2499550.0,2942,699,1005,33.0681,3.8886,485.067,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2014,Q3,,quarter_volume_rank_within_year,1.0,5889,4456,21272,1497,2846,16929,2672850.0,3234,689,1099,30.3617,3.6122,453.8716,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2014,Q2,,quarter_volume_rank_within_year,2.0,5624,4389,21389,1491,2489,17409,2636750.0,3327,681,984,29.6053,3.8032,468.8389,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2014,Q4,,quarter_volume_rank_within_year,3.0,5529,4472,17453,901,2266,14286,2023550.0,3278,435,870,23.6028,3.1566,365.9884,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2014,Q1,,quarter_volume_rank_within_year,4.0,4437,3536,16767,1057,1880,13830,2075600.0,2722,501,749,28.1722,3.7789,467.7936,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2015,Q3,,quarter_volume_rank_within_year,1.0,5573,4203,19942,1450,2538,15954,2471900.0,3133,559,950,27.077,3.5783,443.5493,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2015,Q4,,quarter_volume_rank_within_year,2.0,5549,4321,18146,1050,2638,14458,2135850.0,3186,504,873,24.8153,3.2701,384.9072,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2015,Q2,,quarter_volume_rank_within_year,3.0,5040,3888,19268,1305,2386,15577,2354050.0,3038,544,877,28.1944,3.823,467.0734,Check whether seasonal volume and weak outcomes move together.
quarter_seasonality_profile,year_quarter,2015,Q1,,quarter_volume_rank_within_year,4.0,4690,3659,18058,1112,2151,14795,2168800.0,2736,541,895,30.6183,3.8503,462.4307,Check whether seasonal volume and weak outcomes move together.
year_facility_type_shift,year_facility_type,2010,Restaurant,,facility_volume_rank_within_year,1.0,10742,6403,44387,3306,4996,36085,5204850.0,6928,1098,2530,33.774,4.1321,484.5327,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2010,Grocery Store,,facility_volume_rank_within_year,2.0,2573,1514,10644,705,1442,8497,1153850.0,1563,162,793,37.1162,4.1368,448.4454,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2010,School,,facility_volume_rank_within_year,3.0,1333,862,4912,135,401,4376,524050.0,1083,62,186,18.6047,3.6849,393.1358,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2010,unknown,,facility_volume_rank_within_year,4.0,809,789,36,5,7,24,4400.0,157,2,232,28.9246,0.0445,5.4388,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2010,Daycare (2 - 6 Years),,facility_volume_rank_within_year,5.0,469,268,1473,60,188,1225,146100.0,323,10,134,30.7036,3.1407,311.5139,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2010,Daycare Above and Under 2 Years,,facility_volume_rank_within_year,6.0,235,161,712,47,81,584,73150.0,177,4,53,24.2553,3.0298,311.2766,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2010,Bakery,,facility_volume_rank_within_year,7.0,224,148,982,61,106,815,104150.0,153,7,62,30.8036,4.3839,464.9554,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2010,Wholesale,,facility_volume_rank_within_year,8.0,160,99,546,31,86,429,56100.0,94,2,63,40.625,3.4125,350.625,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2010,Mobile Food Dispenser,,facility_volume_rank_within_year,9.0,155,117,64,24,0,40,11700.0,105,0,49,31.6129,0.4129,75.4839,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2010,Long Term Care,,facility_volume_rank_within_year,10.0,150,90,681,43,53,585,77300.0,99,20,31,34.0,4.54,515.3333,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2011,Restaurant,,facility_volume_rank_within_year,1.0,11305,6615,48148,2911,5414,39823,5416050.0,7223,1154,2505,32.3662,4.259,479.0845,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2011,Grocery Store,,facility_volume_rank_within_year,2.0,2886,1636,13545,807,1862,10876,1490150.0,1692,180,914,37.9071,4.6933,516.3375,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2011,School,,facility_volume_rank_within_year,3.0,1392,900,5403,136,524,4743,587650.0,1073,59,235,21.1207,3.8815,422.1624,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2011,unknown,,facility_volume_rank_within_year,4.0,586,563,80,13,13,54,12000.0,17,3,46,8.3618,0.1365,20.4778,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2011,Daycare (2 - 6 Years),,facility_volume_rank_within_year,5.0,406,269,1364,44,170,1150,144700.0,292,14,87,24.8768,3.3596,356.4039,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2011,Bakery,,facility_volume_rank_within_year,6.0,296,201,1408,75,155,1178,150400.0,201,19,68,29.3919,4.7568,508.1081,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2011,Daycare Above and Under 2 Years,,facility_volume_rank_within_year,7.0,228,168,740,30,67,643,79950.0,175,14,35,21.4912,3.2456,350.6579,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2011,Daycare Combo 1586,,facility_volume_rank_within_year,8.0,178,103,729,60,136,533,81350.0,105,9,55,35.9551,4.0955,457.0225,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2011,Mobile Food Dispenser,,facility_volume_rank_within_year,9.0,174,106,284,128,14,142,48750.0,95,0,77,44.2529,1.6322,280.1724,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2011,Children's Services Facility,,facility_volume_rank_within_year,10.0,159,96,516,35,66,415,57000.0,121,5,30,22.0126,3.2453,358.4906,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2017,Restaurant,,facility_volume_rank_within_year,1.0,1726,1359,6587,435,897,5255,822450.0,988,220,325,31.5759,3.8163,476.5064,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2017,School,,facility_volume_rank_within_year,2.0,239,190,821,44,143,634,102600.0,160,21,54,31.3808,3.4351,429.2887,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2017,Grocery Store,,facility_volume_rank_within_year,3.0,198,150,865,50,140,675,109500.0,109,18,50,34.3434,4.3687,553.0303,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2017,Children's Services Facility,,facility_volume_rank_within_year,4.0,46,32,152,24,30,98,22200.0,25,4,12,34.7826,3.3043,482.6087,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2017,Bakery,,facility_volume_rank_within_year,5.0,21,17,93,4,13,76,9200.0,12,2,5,33.3333,4.4286,438.0952,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2017,Long Term Care,,facility_volume_rank_within_year,6.0,20,14,107,2,25,80,11050.0,11,2,6,40.0,5.35,552.5,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2017,Daycare (2 - 6 Years),,facility_volume_rank_within_year,7.0,16,16,27,0,0,27,2700.0,16,0,0,0.0,1.6875,168.75,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2017,Mobile Prepared Food Vendor,,facility_volume_rank_within_year,8.0,15,15,15,0,0,15,1500.0,15,0,0,0.0,1.0,100.0,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2017,Mobile Food Dispenser,,facility_volume_rank_within_year,9.0,12,7,22,9,4,9,5900.0,6,0,6,50.0,1.8333,491.6667,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2017,Mobile Food Preparer,,facility_volume_rank_within_year,10.0,12,7,36,8,10,18,4900.0,5,0,4,33.3333,3.0,408.3333,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2013,Restaurant,,facility_volume_rank_within_year,1.0,13944,9130,48781,2768,5990,40023,5819950.0,8203,1356,2173,25.3084,3.4984,417.3802,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2013,Grocery Store,,facility_volume_rank_within_year,2.0,2972,2000,11315,697,1679,8939,1343500.0,1690,249,613,29.004,3.8072,452.0525,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2013,School,,facility_volume_rank_within_year,3.0,1218,939,4127,115,481,3531,450350.0,904,47,191,19.5402,3.3883,369.7455,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2013,unknown,,facility_volume_rank_within_year,4.0,859,851,39,4,3,32,5200.0,9,3,5,0.9313,0.0454,6.0536,Separate time movement from facility-type mix changes.
year_facility_type_shift,year_facility_type,2013,Bakery,,facility_volume_rank_within_year,5.0,294,227,1064,32,109,923,112700.0,177,16,47,21.4286,3.619,383.3333,Separate time movement from facility-type mix changes.
