evidence_block,grain,item,item_2,item_3,rank_label,rank_value,inspections,establishments,violations,critical_violations,serious_violations,minor_violations,total_fine,pass_count,conditional_count,fail_count,issue_rate_pct,avg_violations_per_inspection,avg_fine_per_inspection,notes
inspection_type_baseline,inspection_type,Canvass,,,inspection_volume_rank,1.0,76656,24776,246225,12997,21747,211481,33083350.0,39817,8296,12688,27.3742,3.2121,431.582,Establish the volume and outcome baseline for each inspection type.
inspection_type_baseline,inspection_type,License,,,inspection_volume_rank,2.0,18207,14980,45104,4266,6262,34576,7156100.0,9979,354,6952,40.1274,2.4773,393.0411,Establish the volume and outcome baseline for each inspection type.
inspection_type_baseline,inspection_type,Canvass Re-Inspection,,,inspection_volume_rank,3.0,14391,8516,77832,3291,16489,58052,5010100.0,12426,935,823,12.216,5.4084,348.1412,Establish the volume and outcome baseline for each inspection type.
inspection_type_baseline,inspection_type,Complaint,,,inspection_volume_rank,4.0,12821,6795,62045,5207,7139,49699,9358150.0,6069,2188,4162,49.5281,4.8393,729.908,Establish the volume and outcome baseline for each inspection type.
inspection_type_baseline,inspection_type,License Re-Inspection,,,inspection_volume_rank,5.0,6804,5804,32842,4401,6721,21720,1707950.0,5799,77,886,14.1534,4.8269,251.0215,Establish the volume and outcome baseline for each inspection type.
inspection_type_baseline,inspection_type,Short Form Complaint,,,inspection_volume_rank,6.0,5498,3196,18104,650,1410,16044,2281900.0,3987,728,709,26.1368,3.2928,415.0418,Establish the volume and outcome baseline for each inspection type.
inspection_type_baseline,inspection_type,Complaint Re-Inspection,,,inspection_volume_rank,7.0,5270,3288,30495,1552,6493,22450,2063300.0,4344,438,433,16.5275,5.7865,391.518,Establish the volume and outcome baseline for each inspection type.
inspection_type_baseline,inspection_type,Suspected Food Poisoning,,,inspection_volume_rank,8.0,682,620,3252,382,294,2576,522100.0,346,162,170,48.6804,4.7683,765.5425,Establish the volume and outcome baseline for each inspection type.
inspection_type_baseline,inspection_type,Consultation,,,inspection_volume_rank,9.0,641,585,1715,93,171,1451,234350.0,406,120,102,34.6334,2.6755,365.6006,Establish the volume and outcome baseline for each inspection type.
inspection_type_baseline,inspection_type,License-Task Force,,,inspection_volume_rank,10.0,605,590,1634,209,294,1131,291100.0,236,0,367,60.6612,2.7008,481.157,Establish the volume and outcome baseline for each inspection type.
