evidence_block,grain,item,item_2,item_3,rank_label,rank_value,inspections,establishments,violations,critical_violations,serious_violations,minor_violations,total_fine,pass_count,conditional_count,fail_count,issue_rate_pct,avg_violations_per_inspection,avg_fine_per_inspection,notes
inspection_fine_bucket,inspection_fine_bucket,low_fine,,,bucket_volume_rank,1.0,64118,20383,209576,2942,17006,189628,19111800.0,57411,2454,4107,10.2327,3.2686,298.0723,"Separate no-fine, low-fine, and high-fine inspections before interpreting penalty burden."
inspection_fine_bucket,inspection_fine_bucket,medium_fine,,,bucket_volume_rank,2.0,36916,14907,223750,15572,32869,175309,31784850.0,10609,9599,16573,70.8961,6.0611,861.0047,"Separate no-fine, low-fine, and high-fine inspections before interpreting penalty burden."
inspection_fine_bucket,inspection_fine_bucket,no_recorded_fine,,,bucket_volume_rank,3.0,36834,24045,36544,3101,8299,25144,0.0,16504,144,2841,8.1039,0.9921,0.0,"Separate no-fine, low-fine, and high-fine inspections before interpreting penalty burden."
inspection_fine_bucket,inspection_fine_bucket,high_fine,,,bucket_volume_rank,4.0,5824,4201,55406,11819,9444,34143,11569450.0,159,1363,4288,97.0295,9.5134,1986.5127,"Separate no-fine, low-fine, and high-fine inspections before interpreting penalty burden."
fine_amount_profile,violation_fine_amount,100,,,fine_burden_rank,1.0,375736,22872,375736,0,0,375736,37573600.0,224690,48503,101467,39.9137,1.0,100.0,Check how recorded fine amounts map to violation volume and severity.
fine_amount_profile,violation_fine_amount,500,,,fine_burden_rank,2.0,26815,10259,26815,26815,0,0,13407500.0,1494,11012,14258,94.2383,1.0,500.0,Check how recorded fine amounts map to violation volume and severity.
fine_amount_profile,violation_fine_amount,250,,,fine_burden_rank,3.0,45940,14352,45940,0,45940,0,11485000.0,5124,7938,32650,88.35,1.0,250.0,Check how recorded fine amounts map to violation volume and severity.
fine_amount_profile,violation_fine_amount,0,,,fine_burden_rank,4.0,76785,12739,76785,6619,21678,48488,0.0,68628,2952,5055,10.4278,1.0,0.0,Check how recorded fine amounts map to violation volume and severity.
category_fine_efficiency,violation_category,Food Maintenance,,,fine_burden_rank,1.0,286467,22451,286467,0,0,286467,25302900.0,181020,32699,71962,36.5351,1.0,88.3275,Identify categories where fine burden is larger or smaller than simple violation frequency suggests.
category_fine_efficiency,violation_category,Food Protection,,,fine_burden_rank,2.0,160413,20162,160413,17193,6191,137029,21092850.0,91671,26315,42046,42.6156,1.0,131.4909,Identify categories where fine burden is larger or smaller than simple violation frequency suggests.
category_fine_efficiency,violation_category,Insect and Rodent Control,,,fine_burden_rank,3.0,32681,10042,32681,0,32681,0,5282500.0,13648,1323,17570,57.8103,1.0,161.6383,Identify categories where fine burden is larger or smaller than simple violation frequency suggests.
category_fine_efficiency,violation_category,Toilet and Hand Washing Facilities for Staff,,,fine_burden_rank,4.0,7327,4068,7327,7327,0,0,2757000.0,1949,1480,3869,73.004,1.0,376.2795,Identify categories where fine burden is larger or smaller than simple violation frequency suggests.
category_fine_efficiency,violation_category,Personnel,,,fine_burden_rank,5.0,9676,5125,9676,0,9676,0,2062250.0,1879,4377,3379,80.1571,1.0,213.1304,Identify categories where fine burden is larger or smaller than simple violation frequency suggests.
category_fine_efficiency,violation_category,Compliance,,,fine_burden_rank,6.0,10504,4143,10504,1748,8756,0,1428500.0,4025,1199,5217,61.0815,1.0,135.9958,Identify categories where fine burden is larger or smaller than simple violation frequency suggests.
