evidence_block,grain,item,item_2,item_3,rank_label,rank_value,inspections,establishments,violations,critical_violations,serious_violations,minor_violations,total_fine,pass_count,conditional_count,fail_count,issue_rate_pct,avg_violations_per_inspection,avg_fine_per_inspection,notes
city_baseline,city,CHICAGO,,,inspection_volume_rank,1.0,143205,31498,524020,33341,67451,423228,62315550.0,84380,13537,27706,28.8,3.6592,435.1493,Start with city-level exposure and outcome differences.
city_baseline,city,Chicago,,,inspection_volume_rank,2.0,244,52,708,44,83,581,85750.0,153,17,39,22.9508,2.9016,351.4344,Start with city-level exposure and outcome differences.
city_baseline,city,unknown,,,inspection_volume_rank,3.0,115,49,270,24,48,198,29700.0,62,2,36,33.0435,2.3478,258.2609,Start with city-level exposure and outcome differences.
city_baseline,city,chicago,,,inspection_volume_rank,4.0,73,12,211,5,25,181,22900.0,56,2,11,17.8082,2.8904,313.6986,Start with city-level exposure and outcome differences.
city_baseline,city,MAYWOOD,,,inspection_volume_rank,5.0,12,11,4,2,0,2,600.0,9,0,1,8.3333,0.3333,50.0,Start with city-level exposure and outcome differences.
city_baseline,city,CHicago,,,inspection_volume_rank,6.0,10,1,25,3,6,16,4000.0,6,1,3,40.0,2.5,400.0,Start with city-level exposure and outcome differences.
city_baseline,city,SKOKIE ,,,inspection_volume_rank,7.0,8,3,17,2,4,11,1950.0,4,0,2,25.0,2.125,243.75,Start with city-level exposure and outcome differences.
city_baseline,city,CICERO ,,,inspection_volume_rank,8.0,6,5,2,1,0,1,600.0,4,1,1,33.3333,0.3333,100.0,Start with city-level exposure and outcome differences.
city_baseline,city,WORTH  ,,,inspection_volume_rank,9.0,5,1,4,4,0,0,2000.0,1,0,4,80.0,0.8,400.0,Start with city-level exposure and outcome differences.
city_baseline,city,SUMMIT ,,,inspection_volume_rank,10.0,4,2,5,3,1,1,1350.0,1,0,3,75.0,1.25,337.5,Start with city-level exposure and outcome differences.
city_baseline,city,ALSIP  ,,,inspection_volume_rank,11.0,3,2,0,0,0,0,0.0,2,0,1,33.3333,0.0,0.0,Start with city-level exposure and outcome differences.
city_baseline,city,BERWYN ,,,inspection_volume_rank,12.0,2,1,6,4,0,2,1100.0,1,0,1,50.0,3.0,550.0,Start with city-level exposure and outcome differences.
city_baseline,city,BURNHAM,,,inspection_volume_rank,13.0,1,1,0,0,0,0,0.0,1,0,0,0.0,0.0,0.0,Start with city-level exposure and outcome differences.
city_baseline,city,GLENCOE,,,inspection_volume_rank,14.0,1,1,0,0,0,0,0.0,1,0,0,0.0,0.0,0.0,Start with city-level exposure and outcome differences.
city_baseline,city,JUSTICE,,,inspection_volume_rank,15.0,1,1,0,0,0,0,0.0,1,0,0,0.0,0.0,0.0,Start with city-level exposure and outcome differences.
city_baseline,city,LOMBARD,,,inspection_volume_rank,16.0,1,1,0,0,0,0,0.0,1,0,0,0.0,0.0,0.0,Start with city-level exposure and outcome differences.
city_baseline,city,Maywood,,,inspection_volume_rank,17.0,1,1,4,1,0,3,600.0,0,0,1,100.0,4.0,600.0,Start with city-level exposure and outcome differences.
zip_baseline,zip_code,60614,,,inspection_volume_rank,1.0,5329,1138,22095,1819,3101,17175,2766100.0,2697,808,1104,35.8792,4.1462,519.0655,Use zip-level rows to detect within-city concentration.
zip_baseline,zip_code,60647,,,inspection_volume_rank,2.0,5065,1257,17796,967,2399,14430,2005600.0,2864,441,929,27.0484,3.5135,395.9724,Use zip-level rows to detect within-city concentration.
zip_baseline,zip_code,60657,,,inspection_volume_rank,3.0,4903,1132,17628,1348,2492,13788,2159350.0,2677,525,978,30.6547,3.5953,440.414,Use zip-level rows to detect within-city concentration.
zip_baseline,zip_code,60622,,,inspection_volume_rank,4.0,4630,916,17770,1153,2617,14000,2121000.0,2646,362,1073,30.9935,3.838,458.0994,Use zip-level rows to detect within-city concentration.
zip_baseline,zip_code,60611,,,inspection_volume_rank,5.0,4598,997,13404,1023,1595,10786,1723300.0,2944,565,750,28.5994,2.9152,374.7934,Use zip-level rows to detect within-city concentration.
zip_baseline,zip_code,60618,,,inspection_volume_rank,6.0,4440,1108,16167,892,1631,13644,1807750.0,2688,362,655,22.9054,3.6412,407.1509,Use zip-level rows to detect within-city concentration.
zip_baseline,zip_code,60608,,,inspection_volume_rank,7.0,4261,1095,15392,915,2121,12356,1772950.0,2476,303,877,27.693,3.6123,416.0878,Use zip-level rows to detect within-city concentration.
zip_baseline,zip_code,60625,,,inspection_volume_rank,8.0,3834,1030,15652,897,1702,13053,1744100.0,2138,316,689,26.2128,4.0824,454.9035,Use zip-level rows to detect within-city concentration.
zip_baseline,zip_code,60639,,,inspection_volume_rank,9.0,3767,877,14589,808,1797,11984,1634300.0,2195,310,754,28.2453,3.8728,433.8466,Use zip-level rows to detect within-city concentration.
zip_baseline,zip_code,60623,,,inspection_volume_rank,10.0,3645,883,16313,952,1992,13369,1888150.0,2048,303,790,29.9863,4.4754,518.011,Use zip-level rows to detect within-city concentration.
zip_baseline,zip_code,60640,,,inspection_volume_rank,11.0,3636,825,13848,1139,1842,10867,1672000.0,1933,415,825,34.1034,3.8086,459.846,Use zip-level rows to detect within-city concentration.
zip_baseline,zip_code,60607,,,inspection_volume_rank,12.0,3532,728,13475,1004,1782,10689,1721250.0,2139,392,695,30.7758,3.8151,487.3301,Use zip-level rows to detect within-city concentration.
zip_baseline,zip_code,60632,,,inspection_volume_rank,13.0,3512,730,13275,849,1829,10597,1582550.0,2051,380,732,31.6629,3.7799,450.6122,Use zip-level rows to detect within-city concentration.
zip_baseline,zip_code,60616,,,inspection_volume_rank,14.0,3477,645,13564,935,1646,10983,1565250.0,2130,310,718,29.5657,3.9011,450.1726,Use zip-level rows to detect within-city concentration.
zip_baseline,zip_code,60609,,,inspection_volume_rank,15.0,3217,770,10028,581,1365,8082,1179250.0,1971,218,614,25.8626,3.1172,366.5682,Use zip-level rows to detect within-city concentration.
zip_baseline,zip_code,60610,,,inspection_volume_rank,16.0,3136,627,10713,958,1625,8130,1463550.0,1652,497,628,35.8737,3.4161,466.6932,Use zip-level rows to detect within-city concentration.
zip_baseline,zip_code,60613,,,inspection_volume_rank,17.0,3072,638,9648,876,1281,7491,1213050.0,1742,369,530,29.2643,3.1406,394.873,Use zip-level rows to detect within-city concentration.
