evidence_block,grain,item,item_2,item_3,rank_label,rank_value,inspections,inspectors,violations,critical_violations,serious_violations,minor_violations,total_fine,pass_count,conditional_count,fail_count,issue_rate_pct,avg_violations_per_inspection,avg_fine_per_inspection,notes
supervisor_baseline,supervisor,Kathryn Hopper,,,inspection_volume_rank,1.0,43703,7,160518,10309,20533,129676,19042350.0,26022,4025,8606,28.9019,3.6729,435.7218,Establish whether supervisor groups differ materially before interpreting team quality.
supervisor_baseline,supervisor,Darlisha Jacobs,,,inspection_volume_rank,2.0,27470,5,100940,6352,12597,81991,11930300.0,16190,2512,5352,28.6276,3.6746,434.3029,Establish whether supervisor groups differ materially before interpreting team quality.
supervisor_baseline,supervisor,Vincent Rosario,,,inspection_volume_rank,3.0,26001,4,93494,5882,12337,75275,11192100.0,15211,2596,4826,28.5451,3.5958,430.4488,Establish whether supervisor groups differ materially before interpreting team quality.
supervisor_baseline,supervisor,Donald Mathews,,,inspection_volume_rank,4.0,19021,5,68077,4511,9082,54484,8268650.0,10972,1937,3526,28.7209,3.579,434.7116,Establish whether supervisor groups differ materially before interpreting team quality.
supervisor_baseline,supervisor,Gregory Cardenas,,,inspection_volume_rank,5.0,17065,3,63114,3939,8127,51048,7464200.0,10069,1593,3303,28.6903,3.6984,437.3982,Establish whether supervisor groups differ materially before interpreting team quality.
supervisor_baseline,supervisor,Melanie Ingram,,,inspection_volume_rank,6.0,10316,3,38718,2422,4890,31406,4521000.0,6147,884,2179,29.6917,3.7532,438.2513,Establish whether supervisor groups differ materially before interpreting team quality.
salary_band_profile,salary_band,middle_salary_band,,,inspection_volume_rank,1.0,94178,18,344315,22136,44264,277915,40949000.0,55586,8853,18335,28.8687,3.656,434.8043,Check whether staff compensation bands explain observed outcome differences.
salary_band_profile,salary_band,higher_salary_band,,,inspection_volume_rank,2.0,49398,9,180546,11279,23302,145965,21469600.0,29025,4694,9457,28.6469,3.6549,434.6249,Check whether staff compensation bands explain observed outcome differences.
supervisor_facility_mix,supervisor_facility_type,Vincent Rosario,Restaurant,,facility_rank_within_supervisor,1.0,17324,4,65409,4162,8201,53046,7883150.0,10213,2029,3090,29.5486,3.7756,455.0421,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Vincent Rosario,Grocery Store,,facility_rank_within_supervisor,2.0,3595,4,13877,908,2029,10940,1641200.0,2058,305,794,30.5702,3.8601,456.5229,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Vincent Rosario,School,,facility_rank_within_supervisor,3.0,1610,4,5588,199,797,4592,637700.0,1141,92,322,25.7143,3.4708,396.087,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Vincent Rosario,unknown,,facility_rank_within_supervisor,4.0,631,4,64,7,10,47,8150.0,38,1,42,6.8146,0.1014,12.916,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Vincent Rosario,Bakery,,facility_rank_within_supervisor,5.0,406,4,1521,55,200,1266,168300.0,257,28,81,26.8473,3.7463,414.532,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Vincent Rosario,Daycare (2 - 6 Years),,facility_rank_within_supervisor,6.0,335,4,832,43,126,663,92900.0,225,6,58,19.1045,2.4836,277.3134,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Vincent Rosario,Children's Services Facility,,facility_rank_within_supervisor,7.0,293,4,859,63,130,666,101350.0,209,16,52,23.2082,2.9317,345.9044,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Vincent Rosario,Daycare Above and Under 2 Years,,facility_rank_within_supervisor,8.0,286,4,870,68,128,674,105250.0,190,17,56,25.5245,3.042,368.007,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Donald Mathews,Restaurant,,facility_rank_within_supervisor,1.0,12819,5,48462,3276,6214,38972,5939250.0,7450,1511,2315,29.8463,3.7805,463.3162,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Donald Mathews,Grocery Store,,facility_rank_within_supervisor,2.0,2471,5,9569,655,1397,7517,1150800.0,1343,223,565,31.8899,3.8725,465.7224,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Donald Mathews,School,,facility_rank_within_supervisor,3.0,1100,4,3720,150,530,3040,429350.0,796,58,214,24.7273,3.3818,390.3182,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Donald Mathews,unknown,,facility_rank_within_supervisor,4.0,493,4,75,13,12,50,11250.0,27,6,27,6.6937,0.1521,22.8195,Separate team outcome differences from facility assignment mix.
supervisor_facility_mix,supervisor_facility_type,Donald Mathews,Bakery,,facility_rank_within_supervisor,5.0,286,4,1015,38,131,846,110900.0,167,30,46,26.5734,3.549,387.7622,Separate team outcome differences from facility assignment mix.
