evidence_block,grain,item,item_2,item_3,rank_label,rank_value,orders,customers,stores,products,sales_teams,net_sales_proxy,gross_margin_proxy,gross_margin_proxy_rate_pct,avg_discount_pct,avg_delivery_days,share_pct,notes
overall_conversion_baseline,portfolio,all_orders,,,overall,,7991,50,367,47,28,73143379.745,27291388.3047,37.3122,11.4394,20.6729,,Establish overall sales-to-gross-margin proxy conversion before diagnosing regional gaps.
region_conversion_quality,store_region,Midwest,3,1,sales_rank,3.0,1665,50,78,47,28,15483007.0525,5814355.0785,37.5531,11.509,20.6246,21.168,Compare regional scale with gross-margin proxy conversion and discount exposure.
region_conversion_quality,store_region,West,1,2,sales_rank,1.0,2784,50,127,47,28,25713559.49,9622222.6555,37.4208,11.4377,20.4759,35.155,Compare regional scale with gross-margin proxy conversion and discount exposure.
region_conversion_quality,store_region,Northeast,4,3,sales_rank,4.0,970,50,46,47,28,8472470.4275,3157844.5907,37.2718,11.9536,20.8186,11.5834,Compare regional scale with gross-margin proxy conversion and discount exposure.
region_conversion_quality,store_region,South,2,4,sales_rank,2.0,2572,50,116,47,28,23474342.775,8696965.98,37.0488,11.2024,20.8624,32.0936,Compare regional scale with gross-margin proxy conversion and discount exposure.
region_channel_mix,store_region_channel,Midwest,In-Store,1,channel_rank_in_region,1.0,684,50,,47,,6333888.215,2403678.0103,37.9495,11.769,,,Check whether regional conversion is partly explained by channel mix.
region_channel_mix,store_region_channel,Midwest,Online,2,channel_rank_in_region,2.0,506,50,,47,,4709216.4375,1756082.89,37.2903,11.7836,,,Check whether regional conversion is partly explained by channel mix.
region_channel_mix,store_region_channel,Midwest,Distributor,3,channel_rank_in_region,3.0,285,50,,46,,2691376.265,1009012.5383,37.4906,11.0088,,,Check whether regional conversion is partly explained by channel mix.
region_channel_mix,store_region_channel,South,In-Store,1,channel_rank_in_region,1.0,1069,50,,47,,9965202.455,3611058.9775,36.2367,11.0734,,,Check whether regional conversion is partly explained by channel mix.
region_channel_mix,store_region_channel,South,Online,2,channel_rank_in_region,2.0,764,50,,47,,6851049.3225,2579798.5883,37.6555,11.4202,,,Check whether regional conversion is partly explained by channel mix.
region_channel_mix,store_region_channel,South,Distributor,3,channel_rank_in_region,3.0,461,50,,47,,4237363.2425,1564799.6713,36.9286,10.8677,,,Check whether regional conversion is partly explained by channel mix.
region_channel_mix,store_region_channel,West,In-Store,1,channel_rank_in_region,1.0,1150,50,,47,,10360135.1275,3904448.583,37.6872,11.4696,,,Check whether regional conversion is partly explained by channel mix.
region_channel_mix,store_region_channel,West,Online,2,channel_rank_in_region,2.0,864,50,,47,,7778551.26,2859386.8848,36.7599,11.3889,,,Check whether regional conversion is partly explained by channel mix.
region_channel_mix,store_region_channel,West,Distributor,3,channel_rank_in_region,3.0,462,50,,47,,4759492.2325,1792533.681,37.6623,11.5855,,,Check whether regional conversion is partly explained by channel mix.
region_channel_mix,store_region_channel,Northeast,In-Store,1,channel_rank_in_region,1.0,395,50,,47,,3443678.8975,1330785.4553,38.6443,11.3038,,,Check whether regional conversion is partly explained by channel mix.
region_channel_mix,store_region_channel,Northeast,Online,2,channel_rank_in_region,2.0,291,50,,47,,2359741.8425,817427.7155,34.6406,12.7491,,,Check whether regional conversion is partly explained by channel mix.
region_channel_mix,store_region_channel,Northeast,Distributor,3,channel_rank_in_region,3.0,167,47,,46,,1480915.9075,543505.7108,36.7006,12.1257,,,Check whether regional conversion is partly explained by channel mix.
region_discount_exposure,store_region_discount_bucket,Midwest,mid_discount,,discount_bucket,,499,,,,,4358325.21,1623876.892,37.2592,12.0641,,,Test whether discount intensity changes gross-margin proxy conversion inside regions.
region_discount_exposure,store_region_discount_bucket,South,mid_discount,,discount_bucket,,730,,,,,6264625.29,2312577.717,36.9149,12.1164,,,Test whether discount intensity changes gross-margin proxy conversion inside regions.
region_discount_exposure,store_region_discount_bucket,West,low_discount,,discount_bucket,,1515,,,,,15042851.39,5612622.004,37.3109,6.1766,,,Test whether discount intensity changes gross-margin proxy conversion inside regions.
region_discount_exposure,store_region_discount_bucket,Midwest,high_discount,,discount_bucket,,286,,,,,2276858.32,844449.472,37.0884,27.2727,,,Test whether discount intensity changes gross-margin proxy conversion inside regions.
region_discount_exposure,store_region_discount_bucket,Northeast,low_discount,,discount_bucket,,529,,,,,4775650.9575,1800872.0317,37.7095,6.087,,,Test whether discount intensity changes gross-margin proxy conversion inside regions.
region_discount_exposure,store_region_discount_bucket,South,high_discount,,discount_bucket,,413,,,,,3076668.14,1137308.368,36.9656,26.9007,,,Test whether discount intensity changes gross-margin proxy conversion inside regions.
region_discount_exposure,store_region_discount_bucket,South,low_discount,,discount_bucket,,1429,,,,,14133049.345,5247079.895,37.1263,6.1984,,,Test whether discount intensity changes gross-margin proxy conversion inside regions.
region_discount_exposure,store_region_discount_bucket,West,mid_discount,,discount_bucket,,811,,,,,6980084.79,2567110.9605,36.7776,12.016,,,Test whether discount intensity changes gross-margin proxy conversion inside regions.
region_discount_exposure,store_region_discount_bucket,Northeast,high_discount,,discount_bucket,,176,,,,,1270310.62,454343.566,35.7663,29.2045,,,Test whether discount intensity changes gross-margin proxy conversion inside regions.
region_discount_exposure,store_region_discount_bucket,Midwest,low_discount,,discount_bucket,,880,,,,,8847823.5225,3346028.7145,37.8175,6.071,,,Test whether discount intensity changes gross-margin proxy conversion inside regions.
region_discount_exposure,store_region_discount_bucket,West,high_discount,,discount_bucket,,458,,,,,3690623.31,1442489.691,39.0853,27.8166,,,Test whether discount intensity changes gross-margin proxy conversion inside regions.
region_discount_exposure,store_region_discount_bucket,Northeast,mid_discount,,discount_bucket,,265,,,,,2426508.85,902628.993,37.1987,12.2075,,,Test whether discount intensity changes gross-margin proxy conversion inside regions.
region_product_mix,store_region_product,Midwest,Accessories,1,product_rank_in_region,1.0,43,,,,,488008.57,198645.981,40.7054,,,,Identify top product contributors inside each region to separate mix from regional effects.
region_product_mix,store_region_product,Midwest,Platters,2,product_rank_in_region,2.0,48,,,,,458259.23,163517.0128,35.6822,,,,Identify top product contributors inside each region to separate mix from regional effects.
region_product_mix,store_region_product,Midwest,TV and video,3,product_rank_in_region,3.0,46,,,,,456970.6525,181101.4435,39.6309,,,,Identify top product contributors inside each region to separate mix from regional effects.
region_product_mix,store_region_product,Midwest,Collectibles,4,product_rank_in_region,4.0,40,,,,,440713.1025,165234.9717,37.4926,,,,Identify top product contributors inside each region to separate mix from regional effects.
region_product_mix,store_region_product,Midwest,Mirrors,5,product_rank_in_region,5.0,37,,,,,413887.14,143068.3075,34.567,,,,Identify top product contributors inside each region to separate mix from regional effects.
