evidence_block,grain,item,item_2,item_3,rank_label,rank_value,orders,customers,stores,products,warehouses,net_sales_proxy,gross_margin_proxy,gross_margin_proxy_rate_pct,avg_discount_pct,avg_delivery_days,share_pct,notes
channel_business_quality,sales_channel,Wholesale,4,1,sales_rank,4.0,893,50,333,47,,8172768.54,3118869.599,38.1617,11.3186,20.4076,11.1736,"Compare channel scale with margin proxy, discount, and delivery signals."
channel_business_quality,sales_channel,In-Store,1,2,sales_rank,1.0,3298,50,367,47,,30102904.695,11249971.026,37.3717,11.3834,20.5139,41.156,"Compare channel scale with margin proxy, discount, and delivery signals."
channel_business_quality,sales_channel,Distributor,3,3,sales_rank,3.0,1375,50,354,47,,13169147.6475,4909851.6013,37.283,11.2909,20.872,18.0046,"Compare channel scale with margin proxy, discount, and delivery signals."
channel_business_quality,sales_channel,Online,2,4,sales_rank,2.0,2425,50,366,47,,21698558.8625,8012696.0785,36.9273,11.6443,20.8738,29.6658,"Compare channel scale with margin proxy, discount, and delivery signals."
channel_discount_mix,sales_channel_discount_bucket,Online,low_discount,,discount_bucket,,1302,,,,,12502923.0975,4670629.143,37.3563,6.154,,,Check whether channel quality is explained by discount exposure.
channel_discount_mix,sales_channel_discount_bucket,Distributor,low_discount,,discount_bucket,,772,,,,,7815123.7125,2918019.5103,37.3381,6.1464,,,Check whether channel quality is explained by discount exposure.
channel_discount_mix,sales_channel_discount_bucket,In-Store,low_discount,,discount_bucket,,1798,,,,,17625721.49,6544577.67,37.1308,6.1499,,,Check whether channel quality is explained by discount exposure.
channel_discount_mix,sales_channel_discount_bucket,Wholesale,mid_discount,,discount_bucket,,282,,,,,2368901.245,902549.9,38.0999,12.2518,,,Check whether channel quality is explained by discount exposure.
channel_discount_mix,sales_channel_discount_bucket,Wholesale,high_discount,,discount_bucket,,130,,,,,948260.38,342943.377,36.1655,28.3846,,,Check whether channel quality is explained by discount exposure.
channel_discount_mix,sales_channel_discount_bucket,Wholesale,low_discount,,discount_bucket,,481,,,,,4855606.915,1873376.322,38.5817,6.159,,,Check whether channel quality is explained by discount exposure.
channel_discount_mix,sales_channel_discount_bucket,Distributor,mid_discount,,discount_bucket,,366,,,,,3588378.965,1316589.201,36.6904,11.9399,,,Check whether channel quality is explained by discount exposure.
channel_discount_mix,sales_channel_discount_bucket,In-Store,mid_discount,,discount_bucket,,950,,,,,8022850.345,3004693.708,37.4517,12.0789,,,Check whether channel quality is explained by discount exposure.
channel_discount_mix,sales_channel_discount_bucket,Online,mid_discount,,discount_bucket,,707,,,,,6049413.585,2182361.7535,36.0756,12.0863,,,Check whether channel quality is explained by discount exposure.
channel_discount_mix,sales_channel_discount_bucket,In-Store,high_discount,,discount_bucket,,550,,,,,4454332.86,1700699.648,38.1808,27.2909,,,Check whether channel quality is explained by discount exposure.
channel_discount_mix,sales_channel_discount_bucket,Online,high_discount,,discount_bucket,,416,,,,,3146222.18,1159705.182,36.8602,28.0769,,,Check whether channel quality is explained by discount exposure.
channel_discount_mix,sales_channel_discount_bucket,Distributor,high_discount,,discount_bucket,,237,,,,,1765644.97,675242.89,38.2434,27.0464,,,Check whether channel quality is explained by discount exposure.
channel_delivery_mix,sales_channel_delivery_bucket,Online,slow_21_plus_days,,delivery_bucket,,1244,,,,,11093031.88,4079043.9118,36.7712,,27.7613,,Separate fulfillment speed from channel sales quality.
channel_delivery_mix,sales_channel_delivery_bucket,Distributor,slow_21_plus_days,,delivery_bucket,,726,,,,,6787225.625,2579274.7617,38.0019,,27.6694,,Separate fulfillment speed from channel sales quality.
channel_delivery_mix,sales_channel_delivery_bucket,In-Store,slow_21_plus_days,,delivery_bucket,,1672,,,,,15342381.59,5723939.6148,37.308,,27.4127,,Separate fulfillment speed from channel sales quality.
channel_delivery_mix,sales_channel_delivery_bucket,Wholesale,medium_11_20_days,,delivery_bucket,,323,,,,,2963017.5475,1107729.6577,37.3852,,15.7523,,Separate fulfillment speed from channel sales quality.
channel_delivery_mix,sales_channel_delivery_bucket,Wholesale,fast_0_10_days,,delivery_bucket,,120,,,,,1163635.7325,461688.3837,39.6764,,7.4083,,Separate fulfillment speed from channel sales quality.
channel_delivery_mix,sales_channel_delivery_bucket,Wholesale,slow_21_plus_days,,delivery_bucket,,450,,,,,4046115.26,1549451.5575,38.2948,,27.2156,,Separate fulfillment speed from channel sales quality.
channel_delivery_mix,sales_channel_delivery_bucket,In-Store,medium_11_20_days,,delivery_bucket,,1183,,,,,10539940.515,3937167.9177,37.3547,,15.5545,,Separate fulfillment speed from channel sales quality.
channel_delivery_mix,sales_channel_delivery_bucket,Online,medium_11_20_days,,delivery_bucket,,871,,,,,7670526.155,2851136.1765,37.17,,15.7049,,Separate fulfillment speed from channel sales quality.
channel_delivery_mix,sales_channel_delivery_bucket,Distributor,medium_11_20_days,,delivery_bucket,,472,,,,,4820125.5575,1779638.1085,36.921,,15.3919,,Separate fulfillment speed from channel sales quality.
channel_delivery_mix,sales_channel_delivery_bucket,Online,fast_0_10_days,,delivery_bucket,,310,,,,,2935000.8275,1082515.9903,36.883,,7.7581,,Separate fulfillment speed from channel sales quality.
channel_delivery_mix,sales_channel_delivery_bucket,Distributor,fast_0_10_days,,delivery_bucket,,177,,,,,1561796.465,550938.731,35.276,,7.6045,,Separate fulfillment speed from channel sales quality.
channel_delivery_mix,sales_channel_delivery_bucket,In-Store,fast_0_10_days,,delivery_bucket,,443,,,,,4220582.59,1588863.4935,37.6456,,7.7201,,Separate fulfillment speed from channel sales quality.
