evidence_block,grain,item,item_2,item_3,rank_label,rank_value,orders,customers,stores,products,regions,net_sales_proxy,gross_margin_proxy,gross_margin_proxy_rate_pct,avg_population,avg_median_income,share_pct,notes
store_region_market_quality,store_region,Midwest,3,1,sales_rank,3.0,1665,50,78,47,,15483007.0525,5814355.0785,37.5531,227339.6174,51382.0781,21.168,Establish whether store geography changes demand scale and conversion quality.
store_region_market_quality,store_region,West,1,2,sales_rank,1.0,2784,50,127,47,,25713559.49,9622222.6555,37.4208,270906.352,61659.1372,35.155,Establish whether store geography changes demand scale and conversion quality.
store_region_market_quality,store_region,Northeast,4,3,sales_rank,4.0,970,50,46,47,,8472470.4275,3157844.5907,37.2718,520420.5381,55334.2825,11.5834,Establish whether store geography changes demand scale and conversion quality.
store_region_market_quality,store_region,South,2,4,sales_rank,2.0,2572,50,116,47,,23474342.775,8696965.98,37.0488,275401.5377,50907.3639,32.0936,Establish whether store geography changes demand scale and conversion quality.
state_sales_concentration,store_region_state,Midwest,Illinois,1,state_rank_in_region,1.0,621,,30,,,5767218.295,2174320.5313,37.7014,211521.6296,64169.0032,,Check whether regional demand is concentrated in a few states.
state_sales_concentration,store_region_state,Midwest,Indiana,2,state_rank_in_region,2.0,282,,13,,,2719222.9725,1053051.5317,38.7262,173975.8972,39790.6596,,Check whether regional demand is concentrated in a few states.
state_sales_concentration,store_region_state,Midwest,Michigan,3,state_rank_in_region,3.0,131,,6,,,1345931.6775,512057.475,38.0448,255851.4885,43634.374,,Check whether regional demand is concentrated in a few states.
state_sales_concentration,store_region_state,Midwest,Ohio,4,state_rank_in_region,4.0,146,,6,,,1131234.1975,437109.9318,38.6401,350145.5342,33883.3082,,Check whether regional demand is concentrated in a few states.
state_sales_concentration,store_region_state,Midwest,Kansas,5,state_rank_in_region,5.0,98,,5,,,936308.0825,334100.976,35.6828,196183.0204,55671.5816,,Check whether regional demand is concentrated in a few states.
state_sales_concentration,store_region_state,South,Texas,1,state_rank_in_region,1.0,812,,38,,,7388856.145,2726945.6018,36.9062,346875.8337,56419.1823,,Check whether regional demand is concentrated in a few states.
state_sales_concentration,store_region_state,South,Florida,2,state_rank_in_region,2.0,566,,25,,,5419058.49,2037141.5072,37.5922,185786.2527,45383.8251,,Check whether regional demand is concentrated in a few states.
state_sales_concentration,store_region_state,South,North Carolina,3,state_rank_in_region,3.0,207,,9,,,2001351.975,739882.716,36.9691,301637.5411,52370.7391,,Check whether regional demand is concentrated in a few states.
state_sales_concentration,store_region_state,South,Virginia,4,state_rank_in_region,4.0,192,,8,,,1665001.59,621783.2628,37.3443,224262.2396,66578.8438,,Check whether regional demand is concentrated in a few states.
state_sales_concentration,store_region_state,South,Tennessee,5,state_rank_in_region,5.0,139,,6,,,1244511.4325,497540.6543,39.9788,326539.0072,40969.1942,,Check whether regional demand is concentrated in a few states.
state_sales_concentration,store_region_state,West,California,1,state_rank_in_region,1.0,1665,,74,,,15186331.0525,5654944.2387,37.2371,265145.0583,64866.2126,,Check whether regional demand is concentrated in a few states.
state_sales_concentration,store_region_state,West,Colorado,2,state_rank_in_region,2.0,295,,13,,,2907773.7025,1120278.3098,38.527,224200.461,62446.3898,,Check whether regional demand is concentrated in a few states.
state_sales_concentration,store_region_state,West,Washington,3,state_rank_in_region,3.0,173,,8,,,1702163.475,634939.5113,37.3019,216236.1156,58752.5838,,Check whether regional demand is concentrated in a few states.
state_sales_concentration,store_region_state,West,Arizona,4,state_rank_in_region,4.0,202,,10,,,1618917.4825,579411.9445,35.7901,482347.5396,58628.0594,,Check whether regional demand is concentrated in a few states.
state_sales_concentration,store_region_state,West,Nevada,5,state_rank_in_region,5.0,155,,8,,,1506215.4425,557035.6803,36.9825,267895.0387,51543.4065,,Check whether regional demand is concentrated in a few states.
state_sales_concentration,store_region_state,Northeast,New York,1,state_rank_in_region,1.0,405,,20,,,3540055.3825,1336465.2295,37.7527,936222.9185,64445.7926,,Check whether regional demand is concentrated in a few states.
state_sales_concentration,store_region_state,Northeast,Connecticut,2,state_rank_in_region,2.0,199,,10,,,1583886.5325,574065.7348,36.2441,128390.7839,45682.4171,,Check whether regional demand is concentrated in a few states.
state_sales_concentration,store_region_state,Northeast,New Jersey,3,state_rank_in_region,3.0,148,,6,,,1400508.035,525945.6383,37.5539,181526.5676,54197.2297,,Check whether regional demand is concentrated in a few states.
state_sales_concentration,store_region_state,Northeast,Massachusetts,4,state_rank_in_region,4.0,109,,5,,,1013750.2,376849.759,37.1738,229072.8624,53343.5872,,Check whether regional demand is concentrated in a few states.
state_sales_concentration,store_region_state,Northeast,Pennsylvania,5,state_rank_in_region,5.0,60,,3,,,572998.07,215626.299,37.6312,691203.65,38717.8,,Check whether regional demand is concentrated in a few states.
store_type_quality,store_type,Consolidated Government,,,store_type,,25,,1,,,169824.3975,62801.432,36.9802,201793.0,39464.0,,Compare store type with sales and margin proxy quality.
store_type_quality,store_type,Township,,,store_type,,696,,33,,,6441321.375,2477152.6752,38.4572,126142.6279,58942.4641,,Compare store type with sales and margin proxy quality.
store_type_quality,store_type,City,,,store_type,,6382,,292,,,58923129.9,21905568.4115,37.1765,297659.3541,53487.8641,,Compare store type with sales and margin proxy quality.
store_type_quality,store_type,CDP,,,store_type,,316,,14,,,2884907.6075,1060257.9093,36.7519,153326.0253,68728.038,,Compare store type with sales and margin proxy quality.
store_type_quality,store_type,Urban County ,,,store_type,,24,,1,,,143804.6125,57093.4082,39.7021,314488.0,49778.0,,Compare store type with sales and margin proxy quality.
store_type_quality,store_type,Other,,,store_type,,32,,1,,,247000.3575,75597.3947,30.6062,153515.0,36568.0,,Compare store type with sales and margin proxy quality.
store_type_quality,store_type,Town,,,store_type,,364,,18,,,3071668.265,1140988.9072,37.1456,232924.9286,77207.8791,,Compare store type with sales and margin proxy quality.
store_type_quality,store_type,Borough,,,store_type,,105,,5,,,899186.7325,360384.396,40.0789,1800743.8762,41465.8952,,Compare store type with sales and margin proxy quality.
store_type_quality,store_type,Unified Government,,,store_type,,24,,1,,,172997.5175,66684.371,38.5464,123912.0,39464.0,,Compare store type with sales and margin proxy quality.
store_type_quality,store_type,Metropolitan Government,,,store_type,,23,,1,,,189538.98,84859.3995,44.7715,678889.0,41759.0,,Compare store type with sales and margin proxy quality.
income_bucket_quality,median_income_bucket,mid_income,,,income_bucket,,2690,,126,,,25285221.79,9480626.612,37.4947,,58451.6346,,Check whether local income bands align with healthier conversion.
income_bucket_quality,median_income_bucket,high_income,,,income_bucket,,1460,,66,,,13211383.7775,4900356.4525,37.0919,,87349.6979,,Check whether local income bands align with healthier conversion.
income_bucket_quality,median_income_bucket,lower_income,,,income_bucket,,3841,,175,,,34646774.1775,12910405.2402,37.2629,,40888.502,,Check whether local income bands align with healthier conversion.
population_bucket_quality,population_bucket,large_population,,,population_bucket,,864,,39,,,7681349.67,2894580.16,37.6832,1255715.8345,,,Check whether city population scale is a demand or quality driver.
population_bucket_quality,population_bucket,smaller_population,,,population_bucket,,5168,,237,,,47850321.4675,17960170.5235,37.5341,133098.5457,,,Check whether city population scale is a demand or quality driver.
population_bucket_quality,population_bucket,mid_population,,,population_bucket,,1959,,91,,,17611708.6075,6436637.6213,36.5475,292533.2614,,,Check whether city population scale is a demand or quality driver.
city_store_pockets,city_state,Wayne,Indiana,Midwest,city_sales_rank,1.0,41,,2,,,441792.1375,173559.6992,39.2854,125408.1707,34174.0,,Expose city-level pockets that may be hidden by state or regional averages.
city_store_pockets,city_state,Broken Arrow,Oklahoma,South,city_sales_rank,2.0,35,,1,,,435626.295,171627.3613,39.3978,106563.0,67131.0,,Expose city-level pockets that may be hidden by state or regional averages.
city_store_pockets,city_state,Costa Mesa,California,West,city_sales_rank,3.0,38,,1,,,398257.38,143327.0935,35.9886,113204.0,66459.0,,Expose city-level pockets that may be hidden by state or regional averages.
city_store_pockets,city_state,Fargo,North Dakota,Midwest,city_sales_rank,4.0,25,,1,,,366587.15,124068.643,33.8442,118523.0,46175.0,,Expose city-level pockets that may be hidden by state or regional averages.
city_store_pockets,city_state,Naperville,Illinois,Midwest,city_sales_rank,5.0,30,,1,,,350985.6975,140586.9788,40.0549,147100.0,109468.0,,Expose city-level pockets that may be hidden by state or regional averages.
city_store_pockets,city_state,Escondido,California,West,city_sales_rank,6.0,29,,1,,,345229.895,126197.5625,36.5546,151451.0,50899.0,,Expose city-level pockets that may be hidden by state or regional averages.
city_store_pockets,city_state,West Jordan,Utah,West,city_sales_rank,7.0,24,,1,,,344516.1775,133413.6805,38.7249,111946.0,68442.0,,Expose city-level pockets that may be hidden by state or regional averages.
city_store_pockets,city_state,Pueblo,Colorado,West,city_sales_rank,8.0,24,,1,,,337706.6325,133535.1635,39.5418,109412.0,34550.0,,Expose city-level pockets that may be hidden by state or regional averages.
city_store_pockets,city_state,Knoxville,Tennessee,South,city_sales_rank,9.0,33,,1,,,337427.745,118861.7193,35.2258,185291.0,34226.0,,Expose city-level pockets that may be hidden by state or regional averages.
city_store_pockets,city_state,Hollywood,Florida,South,city_sales_rank,10.0,26,,1,,,329662.9475,156803.953,47.5649,149728.0,46791.0,,Expose city-level pockets that may be hidden by state or regional averages.
city_store_pockets,city_state,Lubbock,Texas,South,city_sales_rank,11.0,30,,1,,,328356.1125,111991.7685,34.1068,249042.0,44648.0,,Expose city-level pockets that may be hidden by state or regional averages.
city_store_pockets,city_state,Cary,North Carolina,South,city_sales_rank,12.0,29,,1,,,327206.3925,132230.7078,40.412,159769.0,91579.0,,Expose city-level pockets that may be hidden by state or regional averages.
city_store_pockets,city_state,West Palm Beach,Florida,South,city_sales_rank,13.0,29,,1,,,324923.0325,125884.9343,38.743,106779.0,45800.0,,Expose city-level pockets that may be hidden by state or regional averages.
city_store_pockets,city_state,Vallejo,California,West,city_sales_rank,14.0,28,,1,,,318435.0875,137690.1668,43.2396,121253.0,57028.0,,Expose city-level pockets that may be hidden by state or regional averages.
city_store_pockets,city_state,El Cajon,California,West,city_sales_rank,15.0,26,,1,,,317932.5875,113841.858,35.8069,103679.0,45925.0,,Expose city-level pockets that may be hidden by state or regional averages.
city_store_pockets,city_state,Arlington,Virginia,South,city_sales_rank,16.0,34,,1,,,317439.3,105173.6683,33.1319,220173.0,105763.0,,Expose city-level pockets that may be hidden by state or regional averages.
city_store_pockets,city_state,Midland,Texas,South,city_sales_rank,17.0,25,,1,,,315567.1525,104766.9405,33.1996,132950.0,69173.0,,Expose city-level pockets that may be hidden by state or regional averages.
city_store_pockets,city_state,Cedar Rapids,Iowa,Midwest,city_sales_rank,18.0,24,,1,,,315105.02,120317.0783,38.1832,130405.0,53581.0,,Expose city-level pockets that may be hidden by state or regional averages.
city_store_pockets,city_state,St. Petersburg,Florida,South,city_sales_rank,19.0,25,,1,,,312280.3,98605.383,31.5759,257083.0,45748.0,,Expose city-level pockets that may be hidden by state or regional averages.
city_store_pockets,city_state,Winston-Salem,North Carolina,South,city_sales_rank,20.0,23,,1,,,309927.26,109001.861,35.1701,241218.0,39882.0,,Expose city-level pockets that may be hidden by state or regional averages.
timezone_mix,time_zone,America/New York,3,,time_zone,,2486,,111,,3,22015550.435,8212675.5985,37.304,,,,"Use time zone as a coarse geography-mix check, not as a causal driver."
timezone_mix,time_zone,America/Phoenix,1,,time_zone,,202,,10,,1,1618917.4825,579411.9445,35.7901,,,,"Use time zone as a coarse geography-mix check, not as a causal driver."
timezone_mix,time_zone,America/Indiana/Indianapolis,1,,time_zone,,211,,10,,1,2064761.11,792205.1093,38.3679,,,,"Use time zone as a coarse geography-mix check, not as a causal driver."
timezone_mix,time_zone,America/Los Angeles,1,,time_zone,,2098,,95,,1,19487785.49,7291094.34,37.4137,,,,"Use time zone as a coarse geography-mix check, not as a causal driver."
timezone_mix,time_zone,America/Denver,2,,time_zone,,464,,21,,2,4522224.1275,1752426.4445,38.7514,,,,"Use time zone as a coarse geography-mix check, not as a causal driver."
timezone_mix,time_zone,America/Boise,1,,time_zone,,21,,1,,1,192574.08,60620.0085,31.4788,,,,"Use time zone as a coarse geography-mix check, not as a causal driver."
timezone_mix,time_zone,America/Chicago,2,,time_zone,,2357,,112,,2,21752635.2325,8045447.4105,36.9861,,,,"Use time zone as a coarse geography-mix check, not as a causal driver."
timezone_mix,time_zone,Pacific/Honolulu,1,,time_zone,,21,,1,,1,143000.11,45449.974,31.7832,,,,"Use time zone as a coarse geography-mix check, not as a causal driver."
timezone_mix,time_zone,America/Detroit,1,,time_zone,,131,,6,,1,1345931.6775,512057.475,38.0448,,,,"Use time zone as a coarse geography-mix check, not as a causal driver."
