evidence_block,grain,item,item_2,item_3,rank_label,rank_value,orders,customers,stores,products,channels,net_sales_proxy,gross_margin_proxy,gross_margin_proxy_rate_pct,avg_discount_pct,avg_delivery_days,share_pct,notes
product_sales_concentration,portfolio,top_10_products_by_sales,47,,top10_product_sales_share,,,,,47,,18177470.6775,,,,,24.8518,Check whether product demand is broad or top-heavy.
product_performance_baseline,product,Cocktail Glasses,9,1,product_sales_rank,9.0,195,50,155,,4,1720609.245,693945.0155,40.3314,12.7821,19.8359,2.3524,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Ornaments,16,2,product_sales_rank,16.0,182,48,143,,4,1648318.255,648718.888,39.3564,12.239,20.9945,2.2535,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Floor Lamps,41,3,product_sales_rank,41.0,164,48,131,,4,1339534.1825,527048.714,39.3457,11.7835,19.7744,1.8314,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,TV and video,20,4,product_sales_rank,20.0,180,47,140,,4,1608852.91,626789.2445,38.9588,12.2778,19.9833,2.1996,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Photo Frames,7,5,product_sales_rank,7.0,173,50,137,,4,1775222.285,689608.0895,38.8463,11.5751,21.1734,2.427,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Dinnerware,28,6,product_sales_rank,28.0,166,49,132,,4,1536014.3625,593525.2707,38.6406,10.9036,20.1867,2.1,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Candles,36,7,product_sales_rank,36.0,158,48,132,,4,1408047.3775,542872.4373,38.555,11.4715,20.5759,1.9251,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Accessories,1,8,product_sales_rank,1.0,194,49,144,,4,2101201.5725,809515.1447,38.5263,11.134,20.5052,2.8727,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Cookware,43,9,product_sales_rank,43.0,162,45,128,,4,1269278.3175,486109.1483,38.2981,10.8642,20.7531,1.7353,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Mirrors,12,10,product_sales_rank,12.0,163,50,127,,4,1675033.835,640228.6738,38.2218,11.6564,19.9755,2.2901,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Vases,44,11,product_sales_rank,44.0,145,47,118,,4,1255641.8075,478521.5438,38.1097,11.3103,20.8069,1.7167,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Wine Storage,27,12,product_sales_rank,27.0,168,48,132,,4,1544518.6725,587859.0673,38.061,11.131,20.7619,2.1116,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Table Lamps,19,13,product_sales_rank,19.0,172,49,144,,4,1612535.3975,613681.7992,38.057,10.814,21.3081,2.2046,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Blankets,15,14,product_sales_rank,15.0,168,49,139,,4,1650902.2775,627751.6913,38.0248,12.1577,21.006,2.2571,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Bedroom Furniture,45,15,product_sales_rank,45.0,152,50,126,,4,1237191.6825,469135.1098,37.9194,11.2336,20.2697,1.6915,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Vanities,24,16,product_sales_rank,24.0,164,48,131,,4,1586896.5075,599739.6755,37.7932,11.0976,20.4634,2.1696,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Serveware,6,17,product_sales_rank,6.0,200,49,150,,4,1787987.795,675606.6762,37.7859,12.5625,20.105,2.4445,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Stemware,13,18,product_sales_rank,13.0,177,50,135,,4,1674013.425,631198.591,37.7057,10.8333,22.2994,2.2887,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Festive,26,19,product_sales_rank,26.0,165,48,135,,4,1577215.6775,593715.4012,37.6433,10.4091,19.9879,2.1563,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Floral,17,20,product_sales_rank,17.0,168,48,130,,4,1633697.3475,613667.0395,37.5631,11.2054,21.5179,2.2336,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Sculptures,21,21,product_sales_rank,21.0,182,49,146,,4,1595510.195,598103.038,37.4866,11.6758,21.467,2.1813,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Bar Tools,22,22,product_sales_rank,22.0,170,46,135,,4,1594396.4875,597383.2785,37.4677,12.0735,20.8412,2.1798,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Baseball,34,23,product_sales_rank,34.0,170,49,140,,4,1447155.11,541420.108,37.4127,11.8824,20.8235,1.9785,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Table Linens,8,24,product_sales_rank,8.0,168,50,138,,4,1765169.94,659986.8932,37.3894,11.6815,20.8393,2.4133,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Computers,42,25,product_sales_rank,42.0,154,47,121,,4,1272748.2475,475269.6278,37.342,10.211,22.0974,1.7401,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Collectibles,4,26,product_sales_rank,4.0,179,50,138,,4,1809669.33,674746.7218,37.2856,11.3687,21.5587,2.4741,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Bathroom Furniture,5,27,product_sales_rank,5.0,173,49,129,,4,1804941.81,672946.7575,37.2836,10.1734,19.7977,2.4677,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Outdoor Decor,39,28,product_sales_rank,39.0,166,48,134,,4,1363547.6525,507525.9418,37.221,10.512,21.2229,1.8642,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Furniture Cushions,10,29,product_sales_rank,10.0,178,47,146,,4,1714489.465,636214.8618,37.1081,11.4607,20.6067,2.344,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Wall Frames,23,30,product_sales_rank,23.0,163,49,129,,4,1590446.67,588953.784,37.0307,11.273,18.865,2.1744,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Wreaths,25,31,product_sales_rank,25.0,190,48,157,,4,1583174.825,584569.9445,36.9239,11.6053,21.2421,2.1645,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Basketball,32,32,product_sales_rank,32.0,156,47,121,,4,1465287.32,540162.6093,36.8639,11.6026,20.4038,2.0033,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Bean Bags,46,33,product_sales_rank,46.0,147,49,129,,4,1170521.49,430875.1675,36.8105,12.517,20.3265,1.6003,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Wall Coverings,40,34,product_sales_rank,40.0,156,49,137,,4,1357710.2775,499081.1915,36.759,11.9071,20.8782,1.8562,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Phones,31,35,product_sales_rank,31.0,178,48,144,,4,1487598.655,544389.08,36.5952,11.9101,20.4101,2.0338,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Pillows,47,36,product_sales_rank,47.0,126,45,100,,4,1141562.75,416813.2867,36.5125,10.496,19.9762,1.5607,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Rugs,2,37,product_sales_rank,2.0,184,49,144,,4,1868085.1225,677984.7203,36.293,11.5489,21.0598,2.554,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Dining Furniture,18,38,product_sales_rank,18.0,181,49,146,,4,1624594.225,589528.4643,36.2877,11.5746,21.2155,2.2211,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Platters,3,39,product_sales_rank,3.0,200,49,160,,4,1830094.1125,661194.1513,36.129,10.5875,21.205,2.5021,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Audio,38,40,product_sales_rank,38.0,152,50,126,,4,1368399.1225,491719.0883,35.9339,11.3651,20.6447,1.8708,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Wardrobes,14,41,product_sales_rank,14.0,183,47,137,,4,1669422.92,599849.577,35.9316,10.6967,20.6284,2.2824,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Home Fragrances,29,42,product_sales_rank,29.0,172,46,143,,4,1521847.5475,545726.8743,35.8595,11.8169,19.6047,2.0806,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Clocks,30,43,product_sales_rank,30.0,170,49,136,,4,1508051.41,540309.782,35.8283,11.4265,21.6471,2.0618,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Candleholders,37,44,product_sales_rank,37.0,169,48,132,,4,1378742.75,493914.8337,35.8236,11.4349,19.7811,1.885,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Bakeware,33,45,product_sales_rank,33.0,175,49,143,,4,1458502.7325,504434.4292,34.5858,11.5143,20.5371,1.994,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Outdoor Furniture,35,46,product_sales_rank,35.0,157,49,131,,4,1422543.4975,489568.2128,34.415,12.0064,20.9299,1.9449,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_performance_baseline,product,Pendants,11,47,product_sales_rank,11.0,176,49,137,,4,1686453.1475,579478.659,34.3608,11.3636,20.3864,2.3057,"Compare product demand scale with margin proxy quality, discount, and breadth."
product_channel_mix,product_channel,Bar Tools,In-Store,1,channel_rank_in_product,1.0,60,,,,,528733.85,212062.1827,40.1075,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Bar Tools,Online,2,channel_rank_in_product,2.0,51,,,,,517465.79,183149.2143,35.3935,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Bar Tools,Distributor,3,channel_rank_in_product,3.0,41,,,,,385276.2975,126632.847,32.8681,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Sculptures,In-Store,1,channel_rank_in_product,1.0,82,,,,,683813.2225,246047.806,35.9817,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Sculptures,Online,2,channel_rank_in_product,2.0,51,,,,,444070.64,164482.3657,37.0397,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Sculptures,Distributor,3,channel_rank_in_product,3.0,31,,,,,313233.375,134840.0425,43.0478,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Table Linens,In-Store,1,channel_rank_in_product,1.0,69,,,,,736529.66,274587.22,37.2812,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Table Linens,Distributor,2,channel_rank_in_product,2.0,31,,,,,434209.0775,165168.6103,38.039,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Table Linens,Online,3,channel_rank_in_product,3.0,47,,,,,399112.97,156804.4163,39.2882,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Wall Frames,In-Store,1,channel_rank_in_product,1.0,64,,,,,626977.7925,246454.97,39.3084,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Wall Frames,Online,2,channel_rank_in_product,2.0,51,,,,,508549.765,183494.6298,36.0819,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Wall Frames,Distributor,3,channel_rank_in_product,3.0,33,,,,,338085.8525,119697.9015,35.4046,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Candles,In-Store,1,channel_rank_in_product,1.0,69,,,,,633243.8,228863.7732,36.1415,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Candles,Distributor,2,channel_rank_in_product,2.0,30,,,,,279848.1125,99539.885,35.5693,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Candles,Wholesale,3,channel_rank_in_product,3.0,22,,,,,259406.58,118026.4688,45.4986,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Festive,In-Store,1,channel_rank_in_product,1.0,74,,,,,751457.93,284548.9112,37.8662,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Festive,Online,2,channel_rank_in_product,2.0,52,,,,,402224.9525,155986.092,38.7808,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Festive,Distributor,3,channel_rank_in_product,3.0,22,,,,,215643.855,71366.0527,33.0944,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Furniture Cushions,In-Store,1,channel_rank_in_product,1.0,85,,,,,860970.435,295042.8475,34.2686,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Furniture Cushions,Online,2,channel_rank_in_product,2.0,50,,,,,425045.4875,170454.5943,40.1027,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Furniture Cushions,Distributor,3,channel_rank_in_product,3.0,27,,,,,274653.6025,106531.1075,38.7874,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Vases,In-Store,1,channel_rank_in_product,1.0,59,,,,,509384.92,196352.6065,38.547,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Vases,Distributor,2,channel_rank_in_product,2.0,32,,,,,337475.1475,136137.6035,40.34,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Vases,Online,3,channel_rank_in_product,3.0,40,,,,,281219.2675,104691.2758,37.2276,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Wreaths,In-Store,1,channel_rank_in_product,1.0,88,,,,,725589.565,252289.343,34.7703,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Wreaths,Online,2,channel_rank_in_product,2.0,54,,,,,387553.46,147246.5637,37.9939,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Wreaths,Distributor,3,channel_rank_in_product,3.0,26,,,,,284580.3225,110538.181,38.8425,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Home Fragrances,In-Store,1,channel_rank_in_product,1.0,73,,,,,568470.7125,197309.58,34.7088,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Home Fragrances,Online,2,channel_rank_in_product,2.0,46,,,,,475121.12,173444.0785,36.5052,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Home Fragrances,Distributor,3,channel_rank_in_product,3.0,30,,,,,278046.315,95688.8533,34.4147,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Dinnerware,Online,1,channel_rank_in_product,1.0,57,,,,,536949.2225,210403.6605,39.185,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Dinnerware,In-Store,2,channel_rank_in_product,2.0,64,,,,,536941.5175,197219.4003,36.7301,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Dinnerware,Distributor,3,channel_rank_in_product,3.0,25,,,,,272839.5775,109142.723,40.0025,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Platters,In-Store,1,channel_rank_in_product,1.0,96,,,,,755983.445,292642.5023,38.7102,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Platters,Online,2,channel_rank_in_product,2.0,44,,,,,450256.415,145864.0268,32.3958,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Platters,Distributor,3,channel_rank_in_product,3.0,35,,,,,337293.745,130648.2217,38.7343,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Clocks,In-Store,1,channel_rank_in_product,1.0,63,,,,,550975.6725,199850.4705,36.2721,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Clocks,Online,2,channel_rank_in_product,2.0,48,,,,,468294.9925,165833.548,35.4122,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Clocks,Wholesale,3,channel_rank_in_product,3.0,29,,,,,251803.2525,89508.8888,35.5472,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Table Lamps,In-Store,1,channel_rank_in_product,1.0,72,,,,,661127.6925,265555.651,40.1671,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Table Lamps,Online,2,channel_rank_in_product,2.0,55,,,,,466070.5925,165527.2637,35.5155,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Table Lamps,Distributor,3,channel_rank_in_product,3.0,26,,,,,334433.6825,115779.3155,34.6195,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Vanities,In-Store,1,channel_rank_in_product,1.0,69,,,,,694150.9875,275157.9025,39.6395,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Vanities,Online,2,channel_rank_in_product,2.0,49,,,,,471969.9425,186601.703,39.5368,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Vanities,Distributor,3,channel_rank_in_product,3.0,23,,,,,250436.955,89444.3485,35.7153,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Bedroom Furniture,In-Store,1,channel_rank_in_product,1.0,64,,,,,567530.3675,202933.956,35.7574,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Bedroom Furniture,Online,2,channel_rank_in_product,2.0,55,,,,,482800.4925,189059.4223,39.1589,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Bedroom Furniture,Distributor,3,channel_rank_in_product,3.0,22,,,,,140968.335,58336.031,41.3824,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Serveware,In-Store,1,channel_rank_in_product,1.0,89,,,,,826530.2575,314758.7958,38.0819,,,,Check whether product performance is tied to specific sales channels.
product_channel_mix,product_channel,Serveware,Online,2,channel_rank_in_product,2.0,58,,,,,530759.4275,196562.159,37.0341,,,,Check whether product performance is tied to specific sales channels.
