evidence_block,grain,item,item_2,item_3,rank_label,rank_value,orders,customers,stores,products,channels,net_sales_proxy,gross_margin_proxy,gross_margin_proxy_rate_pct,avg_discount_pct,avg_order_to_ship_days,avg_ship_to_delivery_days,avg_order_to_delivery_days,share_pct,notes
monthly_demand_quality,order_month,2020-05,10,1,month_sales_rank,10.0,263,50,188,47,4,2464346.095,954223.3745,38.7212,11.4639,16.0875,5.0837,21.1711,3.3692,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2019-10,23,2,month_sales_rank,23.0,235,50,165,46,4,2183725.1375,840406.7892,38.485,11.9043,16.0723,5.617,21.6894,2.9855,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2019-02,30,3,month_sales_rank,30.0,232,50,177,47,4,1940231.3925,742981.7655,38.2935,10.9052,15.319,5.4095,20.7284,2.6526,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2019-03,31,4,month_sales_rank,31.0,213,48,164,47,4,1936393.13,740590.6138,38.2459,11.2324,14.4695,5.6573,20.1268,2.6474,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2019-05,11,5,month_sales_rank,11.0,279,50,201,47,4,2459157.615,936069.9448,38.0647,11.4695,14.4086,4.8781,19.2867,3.3621,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2020-06,26,6,month_sales_rank,26.0,245,50,168,47,4,2093988.3525,796612.2893,38.0428,11.9898,16.2245,5.5918,21.8163,2.8629,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2019-08,15,7,month_sales_rank,15.0,261,50,184,47,4,2401218.025,910165.8135,37.9043,10.7663,14.6628,5.6552,20.318,3.2829,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2020-08,22,8,month_sales_rank,22.0,251,49,177,47,4,2189760.33,829735.3177,37.8916,11.3446,15.1474,5.9641,21.1116,2.9938,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2019-07,29,9,month_sales_rank,29.0,253,50,187,47,4,2011770.81,761237.312,37.8392,11.413,14.6285,5.4625,20.0909,2.7504,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2020-04,21,10,month_sales_rank,21.0,262,49,186,46,4,2211513.555,831187.8627,37.5846,11.5076,15.1565,5.4389,20.5954,3.0235,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2019-04,8,11,month_sales_rank,8.0,271,50,190,47,4,2491884.6025,934351.953,37.4958,12.3616,15.583,5.6384,21.2214,3.4068,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2020-09,25,12,month_sales_rank,25.0,254,50,189,46,4,2094787.9975,784869.47,37.4677,11.624,15.5551,5.7913,21.3465,2.8639,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2019-11,5,13,month_sales_rank,5.0,262,50,182,47,4,2702456.39,1011638.4817,37.434,11.6985,15.2863,5.6183,20.9046,3.6947,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2019-09,18,14,month_sales_rank,18.0,237,50,170,47,4,2305869.99,862341.7495,37.3977,11.1181,15.1646,5.2616,20.4262,3.1525,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2018-07,16,15,month_sales_rank,16.0,261,50,186,47,4,2396750.8,896113.698,37.3887,11.3027,15.7854,5.5172,21.3027,3.2768,Compare demand seasonality with conversion quality and fulfillment timing.
monthly_demand_quality,order_month,2020-11,19,16,month_sales_rank,19.0,262,50,187,47,4,2299601.6375,858494.297,37.3323,12.2042,15.0916,5.5763,20.6679,3.144,Compare demand seasonality with conversion quality and fulfillment timing.
