evidence_block,grain,item,item_2,item_3,rank_label,rank_value,orders,customers,stores,products,channels,warehouses,net_sales_proxy,gross_margin_proxy,gross_margin_proxy_rate_pct,avg_procure_to_order_days,avg_order_to_ship_days,avg_ship_to_delivery_days,avg_order_to_delivery_days,share_pct,notes
overall_cycle_baseline,portfolio,all_orders,,,overall,,7991,50,367,47,4,6,73143379.745,27291388.3047,37.3122,109.2431,15.1689,5.5039,20.6729,,Establish end-to-end operating-cycle baseline before diagnosing slow lanes.
channel_cycle_quality,sales_channel,Online,1,,slowest_channel_rank,1.0,2425,50,366,47,,6,21698558.8625,8012696.0785,36.9273,109.7155,15.327,5.5468,20.8738,,Compare channel cycle length with conversion quality.
channel_cycle_quality,sales_channel,Distributor,2,,slowest_channel_rank,2.0,1375,50,354,47,,6,13169147.6475,4909851.6013,37.283,108.5927,15.2524,5.6196,20.872,,Compare channel cycle length with conversion quality.
channel_cycle_quality,sales_channel,In-Store,3,,slowest_channel_rank,3.0,3298,50,367,47,,6,30102904.695,11249971.026,37.3717,109.5139,15.0779,5.436,20.5139,,Compare channel cycle length with conversion quality.
channel_cycle_quality,sales_channel,Wholesale,4,,slowest_channel_rank,4.0,893,50,333,47,,6,8172768.54,3118869.599,38.1617,107.9619,14.9474,5.4602,20.4076,,Compare channel cycle length with conversion quality.
warehouse_cycle_quality,warehouse,WARE-NMK1003,1,,slowest_warehouse_rank,1.0,2505,50,117,47,4,,23136974.1575,8646499.4045,37.3709,109.4699,15.4539,5.5094,20.9633,,Check whether slow fulfillment concentrates in specific warehouses.
warehouse_cycle_quality,warehouse,WARE-UHY1004,2,,slowest_warehouse_rank,2.0,1265,50,59,47,4,,11985686.1125,4409461.6572,36.7894,108.7336,15.2672,5.4964,20.7636,,Check whether slow fulfillment concentrates in specific warehouses.
warehouse_cycle_quality,warehouse,WARE-NBV1002,3,,slowest_warehouse_rank,3.0,691,50,30,47,4,,6096532.1725,2297042.8977,37.6779,109.8148,15.2692,5.3777,20.6469,,Check whether slow fulfillment concentrates in specific warehouses.
warehouse_cycle_quality,warehouse,WARE-PUJ1005,4,,slowest_warehouse_rank,4.0,1451,50,69,47,4,,13056173.42,4939300.4435,37.8311,109.5127,14.9711,5.5844,20.5555,,Check whether slow fulfillment concentrates in specific warehouses.
warehouse_cycle_quality,warehouse,WARE-XYS1001,5,,slowest_warehouse_rank,5.0,1222,50,58,47,4,,11054894.14,4072345.3053,36.8375,109.3568,14.811,5.5851,20.3961,,Check whether slow fulfillment concentrates in specific warehouses.
warehouse_cycle_quality,warehouse,WARE-MKL1006,6,,slowest_warehouse_rank,6.0,857,50,39,47,4,,7813119.7425,2926738.5965,37.4593,108.2532,14.9557,5.3489,20.3046,,Check whether slow fulfillment concentrates in specific warehouses.
region_cycle_quality,store_region,South,1,,slowest_region_rank,1.0,2572,50,116,47,4,5,23474342.775,8696965.98,37.0488,108.479,15.3534,5.5089,20.8624,,Check whether geographic demand also carries different cycle risk.
region_cycle_quality,store_region,Northeast,2,,slowest_region_rank,2.0,970,50,46,47,4,3,8472470.4275,3157844.5907,37.2718,109.9299,15.2845,5.534,20.8186,,Check whether geographic demand also carries different cycle risk.
region_cycle_quality,store_region,Midwest,3,,slowest_region_rank,3.0,1665,50,78,47,4,4,15483007.0525,5814355.0785,37.5531,108.8282,15.0973,5.5273,20.6246,,Check whether geographic demand also carries different cycle risk.
region_cycle_quality,store_region,West,4,,slowest_region_rank,4.0,2784,50,127,47,4,6,25713559.49,9622222.6555,37.4208,109.958,15.0011,5.4749,20.4759,,Check whether geographic demand also carries different cycle risk.
delivery_bucket_quality,delivery_bucket,slow_21_plus_days,,,delivery_bucket,,4092,50,367,47,4,6,37268754.355,13931709.8457,37.3817,108.8832,21.466,6.0765,27.5425,,"Compare fast, medium, and slow delivery buckets with conversion quality."
delivery_bucket_quality,delivery_bucket,medium_11_20_days,,,delivery_bucket,,2849,50,367,47,4,6,25993609.775,9675671.8605,37.2233,109.6648,10.145,5.451,15.596,,"Compare fast, medium, and slow delivery buckets with conversion quality."
delivery_bucket_quality,delivery_bucket,fast_0_10_days,,,delivery_bucket,,1050,50,343,47,4,6,9881015.615,3684006.5985,37.2837,109.5019,4.26,3.4162,7.6762,,"Compare fast, medium, and slow delivery buckets with conversion quality."
slow_lane_product_mix,slow_delivery_product,Collectibles,1,,product_rank_in_slow_bucket,1.0,102,45,88,,4,6,1066953.7275,403235.0145,37.7931,106.3235,21.5588,6.2451,27.8039,,Identify products that dominate the slow-delivery revenue pool.
slow_lane_product_mix,slow_delivery_product,Stemware,2,,product_rank_in_slow_bucket,2.0,104,45,89,,4,6,1054391.395,401550.0118,38.0836,104.5769,21.7115,6.4038,28.1154,,Identify products that dominate the slow-delivery revenue pool.
slow_lane_product_mix,slow_delivery_product,Platters,3,,product_rank_in_slow_bucket,3.0,111,45,96,,4,6,1009187.5,367937.1725,36.4588,112.8468,21.3694,5.7477,27.1171,,Identify products that dominate the slow-delivery revenue pool.
slow_lane_product_mix,slow_delivery_product,Rugs,4,,product_rank_in_slow_bucket,4.0,96,42,88,,4,6,1003287.145,378430.238,37.719,113.9375,21.4479,6.375,27.8229,,Identify products that dominate the slow-delivery revenue pool.
slow_lane_product_mix,slow_delivery_product,Accessories,5,,product_rank_in_slow_bucket,5.0,97,44,82,,4,6,996040.5925,391761.817,39.3319,107.7216,21.7938,5.8351,27.6289,,Identify products that dominate the slow-delivery revenue pool.
slow_lane_product_mix,slow_delivery_product,Pendants,6,,product_rank_in_slow_bucket,6.0,89,44,77,,4,6,979496.785,312919.9705,31.947,101.9775,21.7416,5.4719,27.2135,,Identify products that dominate the slow-delivery revenue pool.
