evidence_block,grain,item,item_2,item_3,rank_label,rank_value,orders,customers,stores,products,channels,regions,net_sales_proxy,gross_margin_proxy,gross_margin_proxy_rate_pct,avg_discount_pct,avg_delivery_days,share_pct,notes
warehouse_sales_concentration,warehouse_portfolio,top_2_warehouses_by_sales,6,,top2_warehouse_sales_share,,,,,,,,36193147.5775,,,,,49.4825,Check whether warehouse dependence is concentrated in a small head.
warehouse_performance_profile,warehouse,WARE-NMK1003,1,4,warehouse_sales_rank,1.0,2505,50,117,47,4,4,23136974.1575,8646499.4045,37.3709,11.2804,20.9633,31.6324,"Compare warehouse scale, breadth, conversion quality, and slow-delivery exposure."
warehouse_performance_profile,warehouse,WARE-UHY1004,3,6,warehouse_sales_rank,3.0,1265,50,59,47,4,4,11985686.1125,4409461.6572,36.7894,11.5613,20.7636,16.3866,"Compare warehouse scale, breadth, conversion quality, and slow-delivery exposure."
warehouse_performance_profile,warehouse,WARE-MKL1006,5,3,warehouse_sales_rank,5.0,857,50,39,47,4,3,7813119.7425,2926738.5965,37.4593,10.9277,20.3046,10.6819,"Compare warehouse scale, breadth, conversion quality, and slow-delivery exposure."
warehouse_performance_profile,warehouse,WARE-PUJ1005,2,1,warehouse_sales_rank,2.0,1451,50,69,47,4,4,13056173.42,4939300.4435,37.8311,11.6954,20.5555,17.8501,"Compare warehouse scale, breadth, conversion quality, and slow-delivery exposure."
warehouse_performance_profile,warehouse,WARE-NBV1002,6,2,warehouse_sales_rank,6.0,691,50,30,47,4,1,6096532.1725,2297042.8977,37.6779,11.6823,20.6469,8.335,"Compare warehouse scale, breadth, conversion quality, and slow-delivery exposure."
warehouse_performance_profile,warehouse,WARE-XYS1001,4,5,warehouse_sales_rank,4.0,1222,50,58,47,4,2,11054894.14,4072345.3053,36.8375,11.5569,20.3961,15.114,"Compare warehouse scale, breadth, conversion quality, and slow-delivery exposure."
warehouse_slow_exposure,warehouse,WARE-NMK1003,1,,slow_sales_share_rank,1.0,2505,50,117,47,4,4,23136974.1575,8646499.4045,37.3709,11.2804,20.9633,51.8035,Rank warehouses by the share of sales tied to slow delivery.
warehouse_slow_exposure,warehouse,WARE-UHY1004,2,,slow_sales_share_rank,2.0,1265,50,59,47,4,4,11985686.1125,4409461.6572,36.7894,11.5613,20.7636,51.6699,Rank warehouses by the share of sales tied to slow delivery.
warehouse_slow_exposure,warehouse,WARE-MKL1006,3,,slow_sales_share_rank,3.0,857,50,39,47,4,3,7813119.7425,2926738.5965,37.4593,10.9277,20.3046,51.3753,Rank warehouses by the share of sales tied to slow delivery.
warehouse_slow_exposure,warehouse,WARE-PUJ1005,4,,slow_sales_share_rank,4.0,1451,50,69,47,4,4,13056173.42,4939300.4435,37.8311,11.6954,20.5555,50.3625,Rank warehouses by the share of sales tied to slow delivery.
warehouse_slow_exposure,warehouse,WARE-NBV1002,5,,slow_sales_share_rank,5.0,691,50,30,47,4,1,6096532.1725,2297042.8977,37.6779,11.6823,20.6469,49.9859,Rank warehouses by the share of sales tied to slow delivery.
