evidence_block,grain,item,item_2,item_3,rank_label,rank_value,orders,customers,stores,products,channels,warehouses,net_sales_proxy,gross_margin_proxy,gross_margin_proxy_rate_pct,avg_discount_pct,avg_delivery_days,share_pct,notes
discount_bucket_baseline,discount_bucket,low_discount,,,discount_bucket,,4353,50,367,47,4,6,42799375.215,16006602.6452,37.3992,6.1515,20.8146,,"Establish whether discount tiers differ in scale, breadth, and conversion quality."
discount_bucket_baseline,discount_bucket,mid_discount,,,discount_bucket,,2305,50,367,47,4,6,20029544.14,7406194.5625,36.9764,12.0803,20.6759,,"Establish whether discount tiers differ in scale, breadth, and conversion quality."
discount_bucket_baseline,discount_bucket,high_discount,,,discount_bucket,,1333,50,357,47,4,6,10314460.39,3878591.097,37.6034,27.5994,20.2048,,"Establish whether discount tiers differ in scale, breadth, and conversion quality."
product_discount_pockets,discount_product,mid_discount,Photo Frames,1,product_rank_in_discount_bucket,1.0,57,34,51,,4,6,600799.05,236623.182,39.3847,12.2807,20.9298,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,mid_discount,Platters,2,product_rank_in_discount_bucket,2.0,68,38,62,,4,6,583984.73,213295.283,36.5241,12.1324,22.4118,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,mid_discount,Ornaments,3,product_rank_in_discount_bucket,3.0,62,38,55,,4,6,572125.06,220666.0505,38.5695,12.1774,21.871,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,mid_discount,Mirrors,4,product_rank_in_discount_bucket,4.0,52,32,46,,4,6,567193.19,198593.4885,35.0134,11.7308,21.6731,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,mid_discount,Collectibles,5,product_rank_in_discount_bucket,5.0,51,31,48,,4,6,539906.1,213655.8005,39.5728,11.5686,21.5098,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,mid_discount,Bathroom Furniture,6,product_rank_in_discount_bucket,6.0,56,35,50,,4,6,532703.935,187583.618,35.2135,12.3214,20.2679,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,mid_discount,Accessories,7,product_rank_in_discount_bucket,7.0,50,29,45,,4,6,517358.925,208806.099,40.36,12.2,20.9,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,mid_discount,Wine Storage,8,product_rank_in_discount_bucket,8.0,53,36,48,,4,6,516531.81,200530.065,38.8224,12.6415,20.1509,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,low_discount,Accessories,1,product_rank_in_discount_bucket,1.0,111,42,97,,4,6,1295101.4575,482910.3268,37.2875,6.1261,20.5586,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,low_discount,Table Linens,2,product_rank_in_discount_bucket,2.0,97,44,87,,4,6,1134134.795,426280.8392,37.5864,5.9536,20.9072,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,low_discount,Rugs,3,product_rank_in_discount_bucket,3.0,103,46,90,,4,6,1130329.3625,415211.1068,36.7336,6.165,21.5243,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,low_discount,Pendants,4,product_rank_in_discount_bucket,4.0,105,46,90,,4,6,1098449.4225,357811.92,32.5743,6.381,21.3905,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,low_discount,Stemware,5,product_rank_in_discount_bucket,5.0,96,45,89,,4,6,1074644.49,394248.625,36.6864,6.0677,22.3958,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,low_discount,Platters,6,product_rank_in_discount_bucket,6.0,107,43,97,,4,6,1071401.5225,387522.5722,36.1697,6.285,21.1402,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,low_discount,Bathroom Furniture,7,product_rank_in_discount_bucket,7.0,97,42,81,,4,6,1059443.865,399097.4645,37.6705,5.8763,19.5052,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,low_discount,Wall Frames,8,product_rank_in_discount_bucket,8.0,94,38,79,,4,6,1031706.87,394000.8565,38.1892,6.0904,18.2766,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,high_discount,Serveware,1,product_rank_in_discount_bucket,1.0,46,31,41,,4,6,416047.89,152567.731,36.6707,26.3043,21.2391,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,high_discount,Basketball,2,product_rank_in_discount_bucket,2.0,27,20,26,,4,6,319358.18,127608.386,39.9578,29.6296,20.3704,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,high_discount,Sculptures,3,product_rank_in_discount_bucket,3.0,32,22,32,,4,6,315156.61,139598.959,44.2951,27.8125,21.1563,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,high_discount,Rugs,4,product_rank_in_discount_bucket,4.0,31,22,31,,4,6,304176.65,93059.54,30.5939,28.7097,19.6129,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,high_discount,Ornaments,5,product_rank_in_discount_bucket,5.0,36,21,36,,4,6,292360.53,109242.06,37.3655,26.3889,20.7222,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,high_discount,Candleholders,6,product_rank_in_discount_bucket,6.0,33,24,33,,4,5,292152.16,90557.271,30.9966,27.5758,19.0303,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,high_discount,Collectibles,7,product_rank_in_discount_bucket,7.0,34,27,31,,4,6,291064.08,101546.357,34.888,25.5882,21.6471,,Identify products that dominate each discount tier.
product_discount_pockets,discount_product,high_discount,Bar Tools,8,product_rank_in_discount_bucket,8.0,34,23,33,,4,6,291044.65,105619.558,36.2898,26.7647,20.1765,,Identify products that dominate each discount tier.
customer_discount_pockets,discount_customer,high_discount,OHTA'S Corp,1,customer_rank_in_discount_bucket,1.0,42,,40,27,4,6,376468.31,142490.072,37.8492,28.8095,18.0952,,Identify customers that dominate each discount tier.
customer_discount_pockets,discount_customer,high_discount,"Apotheca, Ltd",2,customer_rank_in_discount_bucket,2.0,30,,30,20,4,6,307085.79,113132.743,36.8408,27.3333,19.8,,Identify customers that dominate each discount tier.
