evidence_block,grain,item,item_2,item_3,rank_label,rank_value,orders,customers,stores,products,channels,warehouses,sales_teams,units,avg_unit_price,net_sales_proxy,gross_margin_proxy,gross_margin_proxy_rate_pct,avg_discount_pct,avg_delivery_days,share_pct,notes
quantity_bucket_quality,quantity_bucket,medium_3_5_units,,,quantity_bucket,,2987,50,367,47,4,6,28,11911,2289.61,24078012.6075,8868455.8018,36.8322,11.3626,20.4416,,"Compare order-size buckets by demand scale, breadth, conversion quality, and fulfillment."
quantity_bucket_quality,quantity_bucket,large_6_8_units,,,quantity_bucket,,3028,50,367,47,4,6,28,21313,2293.3759,43176962.9275,16195287.5137,37.5091,11.43,20.7137,,"Compare order-size buckets by demand scale, breadth, conversion quality, and fulfillment."
quantity_bucket_quality,quantity_bucket,small_1_2_units,,,quantity_bucket,,1976,50,367,47,4,6,28,2938,2263.3217,5888404.21,2227644.9892,37.831,11.5701,20.96,,"Compare order-size buckets by demand scale, breadth, conversion quality, and fulfillment."
large_order_region_channel_mix,large_order_region_channel,South,In-Store,1,lane_rank_in_large_orders,1.0,409,50,111,47,,5,12,2859,2383.9059,6068494.18,2185591.0665,36.0154,10.6296,21.3741,,Identify region-channel lanes that dominate large-order demand.
large_order_region_channel_mix,large_order_region_channel,West,In-Store,2,lane_rank_in_large_orders,2.0,414,50,122,47,,6,12,2896,2299.8802,5856017.5825,2282179.172,38.9715,11.9143,20.1787,,Identify region-channel lanes that dominate large-order demand.
large_order_region_channel_mix,large_order_region_channel,West,Online,3,lane_rank_in_large_orders,3.0,323,49,121,47,,6,9,2282,2271.8186,4524303.8075,1649470.3557,36.458,11.8189,20.709,,Identify region-channel lanes that dominate large-order demand.
large_order_region_channel_mix,large_order_region_channel,South,Online,4,lane_rank_in_large_orders,4.0,287,50,105,47,,5,9,2028,2245.8774,4041438.1575,1537446.2218,38.0421,11.0889,20.7003,,Identify region-channel lanes that dominate large-order demand.
large_order_region_channel_mix,large_order_region_channel,Midwest,In-Store,5,lane_rank_in_large_orders,5.0,261,50,77,47,,4,12,1822,2311.9107,3733896.6,1447320.198,38.7617,11.7912,19.8927,,Identify region-channel lanes that dominate large-order demand.
large_order_region_channel_mix,large_order_region_channel,West,Distributor,6,lane_rank_in_large_orders,6.0,185,50,96,46,,6,6,1305,2528.073,2923894.07,1098718.393,37.5772,10.8784,20.9081,,Identify region-channel lanes that dominate large-order demand.
large_order_region_channel_mix,large_order_region_channel,Midwest,Online,7,lane_rank_in_large_orders,7.0,197,49,70,47,,4,9,1399,2278.5782,2737522.85,1015638.9133,37.1007,12.6777,20.8426,,Identify region-channel lanes that dominate large-order demand.
large_order_region_channel_mix,large_order_region_channel,South,Distributor,8,lane_rank_in_large_orders,8.0,190,50,94,47,,5,6,1328,2268.8316,2693853.925,996557.632,36.9938,10.8158,21.1105,,Identify region-channel lanes that dominate large-order demand.
large_order_region_channel_mix,large_order_region_channel,Northeast,In-Store,9,lane_rank_in_large_orders,9.0,148,48,45,44,,3,12,1057,2191.8054,2025774.815,785722.7787,38.7863,11.402,20.1284,,Identify region-channel lanes that dominate large-order demand.
large_order_region_channel_mix,large_order_region_channel,West,Wholesale,10,lane_rank_in_large_orders,10.0,124,46,82,47,,6,4,872,2164.4242,1674797.66,643806.191,38.4408,10.5847,21.129,,Identify region-channel lanes that dominate large-order demand.
large_order_region_channel_mix,large_order_region_channel,Midwest,Distributor,11,lane_rank_in_large_orders,11.0,109,46,61,42,,4,6,767,2383.9092,1652024.695,622635.663,37.6892,10.3211,20.367,,Identify region-channel lanes that dominate large-order demand.
large_order_region_channel_mix,large_order_region_channel,South,Wholesale,12,lane_rank_in_large_orders,12.0,113,45,68,42,,5,4,811,2071.0115,1457553.6775,562383.077,38.584,12.1903,19.4425,,Identify region-channel lanes that dominate large-order demand.
large_order_product_mix,large_order_product,Accessories,1,,product_rank_in_large_orders,1.0,84,40,73,,4,6,27,594,2541.294,1361317.39,515255.1107,37.8497,10.744,20.3095,,Check which products explain large-order demand.
large_order_product_mix,large_order_product,Bathroom Furniture,2,,product_rank_in_large_orders,2.0,71,39,60,,4,6,27,515,2705.5732,1234908.3225,465172.7842,37.6686,9.8944,19.8028,,Check which products explain large-order demand.
large_order_product_mix,large_order_product,Rugs,3,,product_rank_in_large_orders,3.0,74,42,67,,4,6,26,516,2667.1432,1200410.86,434502.5338,36.1962,11.1824,21.6486,,Check which products explain large-order demand.
large_order_product_mix,large_order_product,Mirrors,4,,product_rank_in_large_orders,4.0,66,36,61,,4,6,26,468,2747.203,1120129.6175,421912.71,37.6664,12.8409,20.9242,,Check which products explain large-order demand.
large_order_product_mix,large_order_product,Cocktail Glasses,5,,product_rank_in_large_orders,5.0,79,40,71,,4,6,25,549,2294.6228,1100673.655,449494.1265,40.8381,12.5,21.2911,,Check which products explain large-order demand.
large_order_product_mix,large_order_product,Table Linens,6,,product_rank_in_large_orders,6.0,66,36,62,,4,6,25,464,2647.8197,1079670.495,407983.9243,37.7878,11.2121,21.4091,,Check which products explain large-order demand.
large_order_product_mix,large_order_product,Stemware,7,,product_rank_in_large_orders,7.0,73,41,62,,4,6,27,506,2239.2685,1050258.835,400994.3863,38.1805,9.7603,22.3014,,Check which products explain large-order demand.
large_order_product_mix,large_order_product,Photo Frames,8,,product_rank_in_large_orders,8.0,72,42,63,,4,6,24,503,2372.4514,1048679.1425,412551.8233,39.3401,12.8125,21.1944,,Check which products explain large-order demand.
large_order_product_mix,large_order_product,Pendants,9,,product_rank_in_large_orders,9.0,71,37,63,,4,6,25,492,2388.031,1044560.3175,355777.6595,34.06,11.162,21.0986,,Check which products explain large-order demand.
large_order_product_mix,large_order_product,Furniture Cushions,10,,product_rank_in_large_orders,10.0,66,36,61,,4,6,26,468,2508.7439,1038818.0825,386518.9058,37.2076,10.9848,21.3939,,Check which products explain large-order demand.
large_order_customer_mix,large_order_customer,Medline ,1,,customer_rank_in_large_orders,1.0,76,,70,41,4,6,24,548,2191.1645,1104023.655,432280.1478,39.155,9.6382,21.1579,,Check whether large orders are customer-concentrated or broadly distributed.
large_order_customer_mix,large_order_customer,Trigen ,2,,customer_rank_in_large_orders,2.0,67,,58,31,4,6,27,477,2571.3,1103852.47,408713.154,37.0261,11.8657,22.7313,,Check whether large orders are customer-concentrated or broadly distributed.
large_order_customer_mix,large_order_customer,Victory Ltd,3,,customer_rank_in_large_orders,3.0,79,,72,38,4,6,27,547,2232.7962,1069150.9925,399360.4118,37.353,10.9177,20.2405,,Check whether large orders are customer-concentrated or broadly distributed.
large_order_customer_mix,large_order_customer,"Apotheca, Ltd",4,,customer_rank_in_large_orders,4.0,66,,62,33,4,6,25,470,2628.8364,1062551.8275,421507.2002,39.6693,11.7803,20.5606,,Check whether large orders are customer-concentrated or broadly distributed.
large_order_customer_mix,large_order_customer,Ole Group,5,,customer_rank_in_large_orders,5.0,63,,61,36,4,6,25,442,2657.1349,1060489.2325,348194.4013,32.8334,9.4841,19.3016,,Check whether large orders are customer-concentrated or broadly distributed.
large_order_customer_mix,large_order_customer,Ohio ,6,,customer_rank_in_large_orders,6.0,74,,66,38,4,6,26,511,2341.0162,1038595.9775,376705.6623,36.2707,13.3446,20.7568,,Check whether large orders are customer-concentrated or broadly distributed.
large_order_customer_mix,large_order_customer,Ei ,7,,customer_rank_in_large_orders,7.0,71,,67,37,4,6,26,507,2303.8563,1027811.155,413278.2503,40.2096,11.0915,20.1127,,Check whether large orders are customer-concentrated or broadly distributed.
large_order_customer_mix,large_order_customer,Qualitest ,8,,customer_rank_in_large_orders,8.0,72,,68,38,4,6,28,506,2254.3639,1024810.7275,378794.0593,36.9623,10.0347,21.1528,,Check whether large orders are customer-concentrated or broadly distributed.
large_order_customer_mix,large_order_customer,ETUDE Ltd,9,,customer_rank_in_large_orders,9.0,69,,62,38,4,6,26,485,2348.787,1021382.505,438492.4538,42.9313,10.2536,19.6812,,Check whether large orders are customer-concentrated or broadly distributed.
large_order_customer_mix,large_order_customer,Pure Group,10,,customer_rank_in_large_orders,10.0,66,,62,38,4,6,23,468,2394.1333,1017934.685,381713.9503,37.4989,10.7197,21.1364,,Check whether large orders are customer-concentrated or broadly distributed.
large_order_team_mix,large_order_sales_team,Donald Reynolds,South,1,team_rank_in_large_orders,1.0,122,45,106,39,1,6,,863,2405.0254,1849043.7225,688788.5885,37.2511,11.0451,19.0328,,Check whether large-order performance is concentrated in specific teams.
large_order_team_mix,large_order_sales_team,Joshua Little,South,2,team_rank_in_large_orders,2.0,113,44,98,41,1,6,,798,2506.3336,1771070.1275,694067.1775,39.1891,11.2389,20.9027,,Check whether large-order performance is concentrated in specific teams.
large_order_team_mix,large_order_sales_team,Adam Hernandez,Northeast,3,team_rank_in_large_orders,3.0,115,45,98,44,1,6,,808,2528.347,1757616.695,662572.6383,37.6972,13.1957,21.2261,,Check whether large-order performance is concentrated in specific teams.
large_order_team_mix,large_order_sales_team,George Lewis,West,4,team_rank_in_large_orders,4.0,127,47,115,43,1,6,,873,2211.0528,1722016.4125,665102.809,38.6235,11.5551,20.7638,,Check whether large-order performance is concentrated in specific teams.
large_order_team_mix,large_order_sales_team,Samuel Fowler,Midwest,5,team_rank_in_large_orders,5.0,126,43,105,42,1,6,,878,2151.5508,1683423.24,631634.0918,37.5208,11.0714,20.4286,,Check whether large-order performance is concentrated in specific teams.
large_order_team_mix,large_order_sales_team,Joe Price,Northeast,6,team_rank_in_large_orders,6.0,110,43,92,41,1,6,,762,2435.0236,1659735.5575,618648.6267,37.2739,10.2273,21.8182,,Check whether large-order performance is concentrated in specific teams.
large_order_team_mix,large_order_sales_team,Nicholas Cunningham,South,7,team_rank_in_large_orders,7.0,104,44,88,41,1,6,,729,2568.8702,1653951.7825,578219.0233,34.9598,11.6106,19.9231,,Check whether large-order performance is concentrated in specific teams.
large_order_team_mix,large_order_sales_team,Shawn Wallace,South,8,team_rank_in_large_orders,8.0,134,49,112,43,1,6,,940,1991.25,1651388.3625,614315.713,37.2,11.7724,20.5149,,Check whether large-order performance is concentrated in specific teams.
large_order_team_mix,large_order_sales_team,Anthony Berry,West,9,team_rank_in_large_orders,9.0,112,48,101,42,1,6,,812,2264.0018,1636956.5625,588247.0562,35.9354,11.6741,21.6607,,Check whether large-order performance is concentrated in specific teams.
large_order_team_mix,large_order_sales_team,Carl Nguyen,Midwest,10,team_rank_in_large_orders,10.0,112,45,100,43,2,6,,800,2353.0759,1622757.9225,589880.0225,36.3505,12.4107,20.1429,,Check whether large-order performance is concentrated in specific teams.
quantity_price_band_quality,quantity_price_band,small_1_2_units,higher_unit_price,,unit_price_band,,713,50,309,47,4,6,28,1068,4108.8948,3850794.6825,1461015.7783,37.9406,11.953,20.756,,Test whether large-order quality is tied to unit-price bands.
quantity_price_band_quality,quantity_price_band,medium_3_5_units,higher_unit_price,,unit_price_band,,1085,50,353,47,4,6,28,4296,4183.869,15931391.99,5828642.7685,36.5859,11.4101,20.3069,,Test whether large-order quality is tied to unit-price bands.
quantity_price_band_quality,quantity_price_band,large_6_8_units,mid_unit_price,,unit_price_band,,1219,50,351,47,4,6,28,8583,1550.5911,11757590.475,4422134.4167,37.6109,11.7207,20.8409,,Test whether large-order quality is tied to unit-price bands.
quantity_price_band_quality,quantity_price_band,small_1_2_units,lower_unit_price,,unit_price_band,,402,50,257,47,4,6,28,596,540.25,283041.3325,105058.342,37.1177,11.7164,21.1169,,Test whether large-order quality is tied to unit-price bands.
quantity_price_band_quality,quantity_price_band,medium_3_5_units,mid_unit_price,,unit_price_band,,1256,50,361,47,4,6,28,5030,1544.6061,6878815.1275,2567369.3085,37.3228,11.1664,20.6529,,Test whether large-order quality is tied to unit-price bands.
quantity_price_band_quality,quantity_price_band,large_6_8_units,higher_unit_price,,unit_price_band,,1132,50,353,47,4,6,28,7962,4122.2875,28979511.34,10885282.9833,37.562,11.4996,20.6723,,Test whether large-order quality is tied to unit-price bands.
quantity_price_band_quality,quantity_price_band,medium_3_5_units,lower_unit_price,,unit_price_band,,646,50,297,47,4,6,28,2585,556.5667,1267805.49,472443.7248,37.2647,11.6641,20.257,,Test whether large-order quality is tied to unit-price bands.
quantity_price_band_quality,quantity_price_band,small_1_2_units,mid_unit_price,,unit_price_band,,861,50,340,47,4,6,28,1274,1539.4904,1754568.195,661570.869,37.7056,11.1847,21.0557,,Test whether large-order quality is tied to unit-price bands.
quantity_price_band_quality,quantity_price_band,large_6_8_units,lower_unit_price,,unit_price_band,,677,50,313,47,4,6,28,4768,572.7362,2439861.1125,887870.1138,36.3902,10.7903,20.5539,,Test whether large-order quality is tied to unit-price bands.
