evidence_block,grain,item,item_2,item_3,rank_label,rank_value,complaints,clients,districts,states,calls,avg_priority,avg_service_seconds,avg_sent_delay_days,disputed_count,untimely_count,relief_count,no_relief_count,explanation_count,dispute_rate_pct,untimely_rate_pct,no_relief_rate_pct,share_pct,notes
overall_complaint_baseline,portfolio,all_complaints,,,overall,,23419,5284,77,4,2504,0.7971,698.649,2.595,4454,371,759,672,14337,19.0187,1.5842,2.8695,100.0,"Establish complaint volume, dispute, response, relief, and handling baseline."
product_outcome_quality,product,Bank account or service,,,product_volume_rank,1.0,14091,4966,77,4,1805,0.8033,698.4305,2.4648,2322,153,306,202,8405,16.4786,1.0858,1.4335,60.1691,Compare complaint volume with dispute and relief quality by product.
product_outcome_quality,product,Credit card,,,product_volume_rank,2.0,9328,4406,77,4,699,0.7811,699.2132,2.7916,2132,218,453,470,5932,22.8559,2.337,5.0386,39.8309,Compare complaint volume with dispute and relief quality by product.
issue_outcome_quality,issue,"Account opening, closing, or management",,,issue_volume_rank,1.0,5884,3577,77,4,857,0.8051,695.6569,2.7039,1067,65,130,77,3857,18.1339,1.1047,1.3086,25.1249,Identify issue types that dominate weak complaint journeys.
issue_outcome_quality,issue,Deposits and withdrawals,,,issue_volume_rank,2.0,3788,2710,77,4,569,0.833,703.42,2.6183,602,50,80,65,2332,15.8923,1.32,1.7159,16.1749,Identify issue types that dominate weak complaint journeys.
issue_outcome_quality,issue,Problems caused by my funds being low,,,issue_volume_rank,3.0,2041,1689,77,4,161,0.7019,725.2174,1.8721,233,8,54,22,657,11.416,0.392,1.0779,8.7151,Identify issue types that dominate weak complaint journeys.
issue_outcome_quality,issue,Billing disputes,,,issue_volume_rank,4.0,1560,1351,77,4,138,0.8551,688.6812,2.9295,414,30,57,68,988,26.5385,1.9231,4.359,6.6613,Identify issue types that dominate weak complaint journeys.
issue_outcome_quality,issue,"Making/receiving payments, sending money",,,issue_volume_rank,5.0,1246,1122,77,4,120,0.8167,688.2833,2.6581,227,23,26,23,836,18.2183,1.8459,1.8459,5.3205,Identify issue types that dominate weak complaint journeys.
issue_outcome_quality,issue,Using a debit or ATM card,,,issue_volume_rank,6.0,1132,1028,77,4,98,0.7653,662.1327,1.5645,193,7,16,15,723,17.0495,0.6184,1.3251,4.8337,Identify issue types that dominate weak complaint journeys.
issue_outcome_quality,issue,Other,,,issue_volume_rank,7.0,978,887,77,4,83,0.8193,688.5542,2.4898,243,15,26,29,723,24.8466,1.5337,2.9652,4.1761,Identify issue types that dominate weak complaint journeys.
issue_outcome_quality,issue,Identity theft / Fraud / Embezzlement,,,issue_volume_rank,8.0,841,778,77,4,61,0.6557,732.8361,3.1986,198,24,21,38,568,23.5434,2.8537,4.5184,3.5911,Identify issue types that dominate weak complaint journeys.
issue_outcome_quality,issue,Closing/Cancelling account,,,issue_volume_rank,9.0,834,764,77,4,61,0.7705,643.8852,2.3046,165,23,34,45,567,19.7842,2.7578,5.3957,3.5612,Identify issue types that dominate weak complaint journeys.
issue_outcome_quality,issue,APR or interest rate,,,issue_volume_rank,10.0,493,472,77,4,47,1.0,717.7447,3.5112,94,13,42,33,293,19.0669,2.6369,6.6937,2.1051,Identify issue types that dominate weak complaint journeys.
issue_outcome_quality,issue,Customer service / Customer relations,,,issue_volume_rank,11.0,373,363,76,4,37,0.7297,607.5405,3.5094,81,3,14,9,249,21.7158,0.8043,2.4129,1.5927,Identify issue types that dominate weak complaint journeys.
issue_outcome_quality,issue,Other fee,,,issue_volume_rank,12.0,347,338,77,4,12,0.9167,626.4167,3.0605,49,6,28,14,153,14.121,1.7291,4.0346,1.4817,Identify issue types that dominate weak complaint journeys.
issue_outcome_quality,issue,Transaction issue,,,issue_volume_rank,13.0,346,335,77,4,19,0.5263,817.4211,1.7312,85,4,15,12,216,24.5665,1.1561,3.4682,1.4774,Identify issue types that dominate weak complaint journeys.
issue_outcome_quality,issue,Late fee,,,issue_volume_rank,14.0,344,330,75,4,19,0.4211,679.0,2.4331,52,7,19,6,157,15.1163,2.0349,1.7442,1.4689,Identify issue types that dominate weak complaint journeys.
issue_outcome_quality,issue,Credit card protection / Debt protection,,,issue_volume_rank,15.0,318,312,74,4,22,0.6364,764.0909,2.2421,98,15,21,24,189,30.8176,4.717,7.5472,1.3579,Identify issue types that dominate weak complaint journeys.
submission_channel_quality,submitted_via,Web,,,channel_volume_rank,1.0,13235,4909,77,4,0,,,1.4472,2781,158,350,312,7981,21.0125,1.1938,2.3574,56.5139,Check whether intake channel changes outcome quality.
submission_channel_quality,submitted_via,Referral,,,channel_volume_rank,2.0,6303,3690,77,4,0,,,4.3586,959,149,295,255,3711,15.215,2.364,4.0457,26.914,Check whether intake channel changes outcome quality.
submission_channel_quality,submitted_via,Phone,,,channel_volume_rank,3.0,2504,2019,77,4,2504,0.7971,698.649,3.1138,412,47,85,84,1649,16.4537,1.877,3.3546,10.6922,Check whether intake channel changes outcome quality.
submission_channel_quality,submitted_via,Postal mail,,,channel_volume_rank,4.0,1071,979,77,4,0,,,4.3679,212,13,20,17,780,19.7946,1.2138,1.5873,4.5732,Check whether intake channel changes outcome quality.
submission_channel_quality,submitted_via,Fax,,,channel_volume_rank,5.0,298,291,75,4,0,,,5.2953,90,4,5,1,215,30.2013,1.3423,0.3356,1.2725,Check whether intake channel changes outcome quality.
submission_channel_quality,submitted_via,Email,,,channel_volume_rank,6.0,8,8,8,4,0,,,11.625,0,0,4,3,1,0.0,0.0,37.5,0.0342,Check whether intake channel changes outcome quality.
company_response_quality,company_response,Closed with explanation,,,response_volume_rank,1.0,14337,4991,77,4,1649,0.7987,695.2401,2.8175,3331,153,0,0,14337,23.2336,1.0672,0.0,61.2195,Separate formal response outcomes from dispute and timing signals.
company_response_quality,company_response,Closed with monetary relief,,,response_volume_rank,2.0,5267,3355,77,4,439,0.7904,702.5581,1.8739,474,41,0,0,0,8.9994,0.7784,0.0,22.4903,Separate formal response outcomes from dispute and timing signals.
company_response_quality,company_response,Closed with non-monetary relief,,,response_volume_rank,3.0,1934,1636,77,4,194,0.8557,708.2474,2.8407,310,31,0,0,0,16.029,1.6029,0.0,8.2583,Separate formal response outcomes from dispute and timing signals.
company_response_quality,company_response,Closed with relief,,,response_volume_rank,4.0,759,704,77,4,85,0.7529,678.3412,2.4401,99,52,759,0,0,13.0435,6.8511,0.0,3.241,Separate formal response outcomes from dispute and timing signals.
company_response_quality,company_response,Closed without relief,,,response_volume_rank,5.0,672,624,77,4,84,0.75,700.5357,2.6741,168,50,0,672,0,25.0,7.4405,100.0,2.8695,Separate formal response outcomes from dispute and timing signals.
company_response_quality,company_response,Closed,,,response_volume_rank,6.0,266,259,75,4,37,0.8649,818.1351,4.1165,72,12,0,0,0,27.0677,4.5113,0.0,1.1358,Separate formal response outcomes from dispute and timing signals.
company_response_quality,company_response,In progress,,,response_volume_rank,7.0,152,147,59,4,13,0.5385,620.8462,0.9013,0,0,0,0,0,0.0,0.0,0.0,0.649,Separate formal response outcomes from dispute and timing signals.
company_response_quality,company_response,Untimely response,,,response_volume_rank,8.0,32,32,27,4,3,0.0,765.6667,4.125,0,32,0,0,0,0.0,100.0,0.0,0.1366,Separate formal response outcomes from dispute and timing signals.
product_issue_risk_pockets,product_issue,Bank account or service,"Account opening, closing, or management",,product_issue_volume_rank,1.0,5884,3577,77,4,857,0.8051,695.6569,2.7039,1067,65,130,77,3857,18.1339,1.1047,1.3086,25.1249,Find product and issue intersections that may explain weak outcomes.
product_issue_risk_pockets,product_issue,Bank account or service,Deposits and withdrawals,,product_issue_volume_rank,2.0,3788,2710,77,4,569,0.833,703.42,2.6183,602,50,80,65,2332,15.8923,1.32,1.7159,16.1749,Find product and issue intersections that may explain weak outcomes.
product_issue_risk_pockets,product_issue,Bank account or service,Problems caused by my funds being low,,product_issue_volume_rank,3.0,2041,1689,77,4,161,0.7019,725.2174,1.8721,233,8,54,22,657,11.416,0.392,1.0779,8.7151,Find product and issue intersections that may explain weak outcomes.
product_issue_risk_pockets,product_issue,Credit card,Billing disputes,,product_issue_volume_rank,4.0,1560,1351,77,4,138,0.8551,688.6812,2.9295,414,30,57,68,988,26.5385,1.9231,4.359,6.6613,Find product and issue intersections that may explain weak outcomes.
product_issue_risk_pockets,product_issue,Bank account or service,"Making/receiving payments, sending money",,product_issue_volume_rank,5.0,1246,1122,77,4,120,0.8167,688.2833,2.6581,227,23,26,23,836,18.2183,1.8459,1.8459,5.3205,Find product and issue intersections that may explain weak outcomes.
product_issue_risk_pockets,product_issue,Bank account or service,Using a debit or ATM card,,product_issue_volume_rank,6.0,1132,1028,77,4,98,0.7653,662.1327,1.5645,193,7,16,15,723,17.0495,0.6184,1.3251,4.8337,Find product and issue intersections that may explain weak outcomes.
product_issue_risk_pockets,product_issue,Credit card,Other,,product_issue_volume_rank,7.0,978,887,77,4,83,0.8193,688.5542,2.4898,243,15,26,29,723,24.8466,1.5337,2.9652,4.1761,Find product and issue intersections that may explain weak outcomes.
product_issue_risk_pockets,product_issue,Credit card,Identity theft / Fraud / Embezzlement,,product_issue_volume_rank,8.0,841,778,77,4,61,0.6557,732.8361,3.1986,198,24,21,38,568,23.5434,2.8537,4.5184,3.5911,Find product and issue intersections that may explain weak outcomes.
product_issue_risk_pockets,product_issue,Credit card,Closing/Cancelling account,,product_issue_volume_rank,9.0,834,764,77,4,61,0.7705,643.8852,2.3046,165,23,34,45,567,19.7842,2.7578,5.3957,3.5612,Find product and issue intersections that may explain weak outcomes.
