evidence_block,grain,item,item_2,item_3,rank_label,rank_value,complaints,clients,districts,states,calls,reviews,avg_stars,avg_priority,avg_service_seconds,avg_sent_delay_days,dispute_rate_pct,untimely_rate_pct,no_relief_rate_pct,complaint_share_pct,review_share_pct,notes
region_complaint_quality,region,Northeast,,,region_volume_rank,1.0,10957,2468,32,8,1200,,,0.8217,715.9467,2.5646,18.7916,1.7432,3.1943,46.7868,,Compare regional complaint volume with weak outcome and handling signals.
region_complaint_quality,region,South,,,region_volume_rank,2.0,4468,1005,17,16,460,,,0.8065,709.2239,2.5723,19.4942,1.2757,2.4396,19.0785,,Compare regional complaint volume with weak outcome and handling signals.
region_complaint_quality,region,West,,,region_volume_rank,3.0,3769,860,13,12,398,,,0.7513,676.8995,2.4062,19.2624,1.6981,2.6798,16.0938,,Compare regional complaint volume with weak outcome and handling signals.
region_complaint_quality,region,Midwest,,,region_volume_rank,4.0,3490,788,12,12,360,,,0.7556,670.6389,2.9201,18.4814,1.3181,2.6361,14.9024,,Compare regional complaint volume with weak outcome and handling signals.
region_complaint_quality,region,unknown,,,region_volume_rank,5.0,735,163,3,3,86,,,0.7907,618.6279,2.6109,20.8163,1.7687,2.7211,3.1385,,Compare regional complaint volume with weak outcome and handling signals.
state_complaint_quality,state,Northeast,NY,,state_volume_rank,1.0,3934,874,5,1,417,,,0.8369,718.8561,2.6286,18.2511,1.4489,2.9741,16.7983,,Identify states where complaint scale and outcome quality diverge.
state_complaint_quality,state,Northeast,MA,,state_volume_rank,2.0,3185,713,13,1,346,,,0.8208,706.0,2.5633,19.3721,2.0408,3.2025,13.6001,,Identify states where complaint scale and outcome quality diverge.
state_complaint_quality,state,Northeast,CT,,state_volume_rank,3.0,1573,356,6,1,166,,,0.8614,741.6084,2.6173,18.2454,1.7165,3.4329,6.7168,,Identify states where complaint scale and outcome quality diverge.
state_complaint_quality,state,West,CA,,state_volume_rank,4.0,1002,240,2,1,100,,,0.75,700.27,2.6597,18.9621,1.497,2.5948,4.2786,,Identify states where complaint scale and outcome quality diverge.
state_complaint_quality,state,Northeast,RI,,state_volume_rank,5.0,934,217,3,1,113,,,0.9469,695.9381,2.4668,19.2719,1.7131,2.8908,3.9882,,Identify states where complaint scale and outcome quality diverge.
state_complaint_quality,state,South,TX,,state_volume_rank,6.0,932,206,2,1,84,,,0.8214,767.631,2.4345,19.9571,1.2876,2.5751,3.9797,,Identify states where complaint scale and outcome quality diverge.
state_complaint_quality,state,Midwest,IL,,state_volume_rank,7.0,797,179,1,1,76,,,0.8026,713.8158,3.409,18.6951,1.6311,1.8821,3.4032,,Identify states where complaint scale and outcome quality diverge.
state_complaint_quality,state,West,AZ,,state_volume_rank,8.0,475,108,1,1,49,,,0.8163,726.7959,2.2758,16.8421,0.8421,1.8947,2.0283,,Identify states where complaint scale and outcome quality diverge.
state_complaint_quality,state,Northeast,PA,,state_volume_rank,9.0,446,103,1,1,56,,,0.5714,700.4643,2.7152,16.3677,1.7937,3.139,1.9044,,Identify states where complaint scale and outcome quality diverge.
state_complaint_quality,state,Northeast,NH,,state_volume_rank,10.0,422,100,2,1,52,,,0.7885,721.3846,2.2559,19.9052,1.6588,4.2654,1.802,,Identify states where complaint scale and outcome quality diverge.
state_complaint_quality,state,South,DC,,state_volume_rank,11.0,333,68,1,1,27,,,0.8148,632.9259,2.7357,22.2222,2.4024,2.4024,1.4219,,Identify states where complaint scale and outcome quality diverge.
state_complaint_quality,state,Midwest,OH,,state_volume_rank,12.0,294,63,1,1,28,,,1.0,560.9286,1.8639,18.3673,1.0204,2.7211,1.2554,,Identify states where complaint scale and outcome quality diverge.
state_complaint_quality,state,unknown,WV,,state_volume_rank,13.0,291,63,1,1,30,,,0.9667,685.8333,3.1168,21.6495,1.3746,3.4364,1.2426,,Identify states where complaint scale and outcome quality diverge.
state_complaint_quality,state,South,GA,,state_volume_rank,14.0,288,63,1,1,28,,,0.8214,576.9286,1.9965,20.1389,0.6944,3.125,1.2298,,Identify states where complaint scale and outcome quality diverge.
state_complaint_quality,state,Midwest,IN,,state_volume_rank,15.0,280,69,1,1,41,,,0.4878,711.9024,3.1679,16.0714,1.7857,2.1429,1.1956,,Identify states where complaint scale and outcome quality diverge.
state_complaint_quality,state,South,KY,,state_volume_rank,16.0,277,63,1,1,31,,,0.7097,770.6452,2.4801,22.7437,2.1661,0.722,1.1828,,Identify states where complaint scale and outcome quality diverge.
state_complaint_quality,state,Midwest,IA,,state_volume_rank,17.0,272,58,1,1,20,,,1.1,615.35,2.7757,19.1176,0.0,2.9412,1.1615,,Identify states where complaint scale and outcome quality diverge.
