evidence_block,grain,item,item_2,item_3,rank_label,rank_value,complaints,clients,calls,avg_priority,avg_service_seconds,avg_sent_delay_days,disputed_count,untimely_count,no_relief_count,relief_count,dispute_rate_pct,untimely_rate_pct,no_relief_rate_pct,share_pct,notes
delay_bucket_quality,sent_delay_bucket,same_day,,,delay_bucket_volume_rank,1.0,10792,4662,742,0.7844,693.5458,-0.0178,2145,92,216,228,19.8758,0.8525,2.0015,46.0822,Compare company-sent delay buckets with dispute and relief outcomes.
delay_bucket_quality,sent_delay_bucket,one_to_two_days,,,delay_bucket_volume_rank,2.0,5969,3597,932,0.8004,694.4388,1.3646,1068,143,290,346,17.8924,2.3957,4.8584,25.4879,Compare company-sent delay buckets with dispute and relief outcomes.
delay_bucket_quality,sent_delay_bucket,three_to_seven_days,,,delay_bucket_volume_rank,3.0,5555,3454,725,0.8069,700.4124,4.4198,1027,85,134,144,18.4878,1.5302,2.4122,23.7201,Compare company-sent delay buckets with dispute and relief outcomes.
delay_bucket_quality,sent_delay_bucket,over_seven_days,,,delay_bucket_volume_rank,4.0,1103,1000,105,0.7905,759.9048,25.6274,214,51,32,41,19.4016,4.6238,2.9012,4.7099,Compare company-sent delay buckets with dispute and relief outcomes.
priority_quality,priority,unknown_priority,,,priority_volume_rank,1.0,20915,5241,0,,,2.5329,4042,324,588,674,19.3258,1.5491,2.8114,89.3078,Check whether priority level corresponds to harder complaint journeys.
priority_quality,priority,0,,,priority_volume_rank,2.0,1306,1161,1306,0.0,669.6784,2.9709,209,23,46,45,16.0031,1.7611,3.5222,5.5767,Check whether priority level corresponds to harder complaint journeys.
priority_quality,priority,2,,,priority_volume_rank,3.0,798,756,798,2.0,706.2769,2.891,136,15,25,24,17.0426,1.8797,3.1328,3.4075,Check whether priority level corresponds to harder complaint journeys.
priority_quality,priority,1,,,priority_volume_rank,4.0,400,385,400,1.0,778.02,4.025,67,9,13,16,16.75,2.25,3.25,1.708,Check whether priority level corresponds to harder complaint journeys.
service_time_quality,service_time_bucket,unknown_service_time,,,service_time_volume_rank,1.0,20915,5241,0,,,2.5329,4042,324,588,674,19.3258,1.5491,2.8114,89.3078,Test whether longer service time is a complexity signal or only volume noise.
service_time_quality,service_time_bucket,long_10_20_min,,,service_time_volume_rank,2.0,1194,1071,1194,0.8049,895.5528,2.9606,194,22,36,39,16.2479,1.8425,3.0151,5.0984,Test whether longer service time is a complexity signal or only volume noise.
service_time_quality,service_time_bucket,medium_3_10_min,,,service_time_volume_rank,3.0,748,702,748,0.7433,407.7166,3.3382,124,10,32,22,16.5775,1.3369,4.2781,3.194,Test whether longer service time is a complexity signal or only volume noise.
service_time_quality,service_time_bucket,short_0_3_min,,,service_time_volume_rank,4.0,312,303,312,0.7724,88.9968,3.4327,47,4,7,14,15.0641,1.2821,2.2436,1.3323,Test whether longer service time is a complexity signal or only volume noise.
service_time_quality,service_time_bucket,very_long_20_plus_min,,,service_time_volume_rank,5.0,250,243,250,0.952,1389.552,2.776,47,11,9,10,18.8,4.4,3.6,1.0675,Test whether longer service time is a complexity signal or only volume noise.
call_type_quality,call_type,PS,,,call_type_volume_rank,1.0,1723,1482,1723,0.9008,704.8056,2.9565,283,36,59,57,16.4248,2.0894,3.4243,7.3573,Separate call handling type from formal complaint result quality.
call_type_quality,call_type,NW,,,call_type_volume_rank,2.0,424,409,424,0.1745,670.4481,3.9387,70,6,11,20,16.5094,1.4151,2.5943,1.8105,Separate call handling type from formal complaint result quality.
call_type_quality,call_type,NE,,,call_type_volume_rank,3.0,234,232,234,1.1325,686.3376,2.6026,37,4,10,2,15.812,1.7094,4.2735,0.9992,Separate call handling type from formal complaint result quality.
call_type_quality,call_type,TT,,,call_type_volume_rank,4.0,85,81,85,0.9765,673.0,2.9059,14,0,3,3,16.4706,0.0,3.5294,0.363,Separate call handling type from formal complaint result quality.
call_type_quality,call_type,IN,,,call_type_volume_rank,5.0,21,21,21,0.1905,775.9524,1.9048,7,0,1,1,33.3333,0.0,4.7619,0.0897,Separate call handling type from formal complaint result quality.
call_type_quality,call_type,PE,,,call_type_volume_rank,6.0,17,17,17,1.0588,980.2353,8.0588,1,1,0,2,5.8824,5.8824,0.0,0.0726,Separate call handling type from formal complaint result quality.
call_outcome_quality,call_outcome,AGENT,,,call_outcome_volume_rank,1.0,2504,2019,2504,0.7971,698.649,3.1138,412,47,84,85,16.4537,1.877,3.3546,10.6922,Compare call outcome labels with downstream complaint quality.
server_workload_quality,server,KAZAV,,,server_volume_rank,1.0,181,179,181,1.0608,745.0884,3.1547,30,4,10,8,16.5746,2.2099,5.5249,0.7729,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,TOVA,,,server_volume_rank,2.0,179,175,179,0.7039,727.1397,1.8492,21,0,7,6,11.7318,0.0,3.9106,0.7643,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,IDIT,,,server_volume_rank,3.0,167,166,167,0.6527,662.5269,2.7545,25,2,10,3,14.9701,1.1976,5.988,0.7131,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,SHARON,,,server_volume_rank,4.0,158,156,158,0.9114,697.0886,3.1772,30,2,6,6,18.9873,1.2658,3.7975,0.6747,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,YIFAT,,,server_volume_rank,5.0,154,153,154,0.7013,696.8961,3.4416,28,0,1,5,18.1818,0.0,0.6494,0.6576,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,AVNI,,,server_volume_rank,6.0,148,143,148,0.7432,619.6554,2.9662,25,7,3,5,16.8919,4.7297,2.027,0.632,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,YITZ,,,server_volume_rank,7.0,143,140,143,0.8601,660.5385,3.3007,27,4,6,4,18.8811,2.7972,4.1958,0.6106,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,MIKI,,,server_volume_rank,8.0,128,127,128,0.7734,759.7969,3.8359,18,5,3,5,14.0625,3.9063,2.3438,0.5466,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,MORIAH,,,server_volume_rank,9.0,120,119,120,1.0083,737.0417,3.4333,20,2,3,3,16.6667,1.6667,2.5,0.5124,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,MICHAL,,,server_volume_rank,10.0,115,114,115,0.6261,706.1565,2.9478,23,1,3,5,20.0,0.8696,2.6087,0.4911,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,STEREN,,,server_volume_rank,11.0,107,105,107,0.8972,665.1963,2.1682,19,3,6,4,17.757,2.8037,5.6075,0.4569,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,BASCH,,,server_volume_rank,12.0,105,103,105,0.6857,718.0857,2.4952,18,1,3,3,17.1429,0.9524,2.8571,0.4484,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,DORIT,,,server_volume_rank,13.0,103,102,103,0.767,704.4854,2.5631,15,0,1,4,14.5631,0.0,0.9709,0.4398,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,ANAT,,,server_volume_rank,14.0,100,99,100,0.75,729.71,8.77,16,2,5,4,16.0,2.0,5.0,0.427,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,AVIDAN,,,server_volume_rank,15.0,100,100,100,0.97,716.8,2.3,12,2,3,1,12.0,2.0,3.0,0.427,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,BENSION,,,server_volume_rank,16.0,100,100,100,0.55,765.59,2.51,21,5,4,4,21.0,5.0,4.0,0.427,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,ZOHARI,,,server_volume_rank,17.0,86,85,86,0.8488,567.0581,3.9884,11,3,4,4,12.7907,3.4884,4.6512,0.3672,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,GILI,,,server_volume_rank,18.0,75,73,75,0.8533,763.6933,2.12,16,2,1,1,21.3333,2.6667,1.3333,0.3203,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,SHLOMO,,,server_volume_rank,19.0,55,55,55,0.6364,697.9091,2.4727,9,0,1,4,16.3636,0.0,1.8182,0.2349,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,NO_SERVER,,,server_volume_rank,20.0,50,50,50,0.62,704.06,3.66,10,1,1,3,20.0,2.0,2.0,0.2135,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,ELI,,,server_volume_rank,21.0,46,45,46,0.8478,670.1522,2.1739,8,1,2,1,17.3913,2.1739,4.3478,0.1964,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,DARMON,,,server_volume_rank,22.0,43,43,43,1.093,634.186,2.093,9,0,1,1,20.9302,0.0,2.3256,0.1836,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,NAAMA,,,server_volume_rank,23.0,31,31,31,0.6452,606.2903,3.3871,1,0,0,1,3.2258,0.0,0.0,0.1324,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,GELBER,,,server_volume_rank,24.0,7,7,7,1.2857,713.7143,1.5714,0,0,0,0,0.0,0.0,0.0,0.0299,Identify whether handler workload differs from outcome quality.
server_workload_quality,server,PINHAS,,,server_volume_rank,25.0,3,3,3,0.0,451.3333,2.3333,0,0,0,0,0.0,0.0,0.0,0.0128,Identify whether handler workload differs from outcome quality.
