evidence_block,grain,item,item_2,item_3,rank_label,rank_value,complaints,clients,districts,regions,avg_age,avg_priority,avg_service_seconds,avg_sent_delay_days,disputed_count,untimely_count,no_relief_count,relief_count,dispute_rate_pct,untimely_rate_pct,no_relief_rate_pct,share_pct,notes
age_group_quality,age_group,age_45_64,,,age_group_volume_rank,1.0,8208,1837,77,5,54.0867,0.7939,700.6678,2.5152,1539,122,238,269,18.75,1.4864,2.8996,35.0485,Compare complaint outcome quality across age groups without using names or contact fields.
age_group_quality,age_group,age_30_44,,,age_group_volume_rank,2.0,6217,1420,77,5,37.0031,0.7605,698.7994,2.6124,1179,110,171,209,18.9641,1.7693,2.7505,26.5468,Compare complaint outcome quality across age groups without using names or contact fields.
age_group_quality,age_group,under_30,,,age_group_volume_rank,3.0,5196,1161,77,5,23.4969,0.8154,700.138,2.7685,1006,87,147,152,19.361,1.6744,2.8291,22.1871,Compare complaint outcome quality across age groups without using names or contact fields.
age_group_quality,age_group,age_65_plus,,,age_group_volume_rank,4.0,3798,866,77,5,73.1617,0.8443,691.0738,2.5016,730,52,116,129,19.2206,1.3691,3.0542,16.2176,Compare complaint outcome quality across age groups without using names or contact fields.
sex_quality,sex,Male,,,sex_volume_rank,1.0,11864,2681,77,5,46.2649,0.7733,691.1321,2.5669,2252,196,317,382,18.9818,1.6521,2.6719,50.6597,Check whether broad customer sex groups differ after reviewing outcome and mix signals.
sex_quality,sex,Female,,,sex_volume_rank,2.0,11555,2603,77,5,45.4403,0.8212,706.2261,2.6238,2202,175,355,377,19.0567,1.5145,3.0723,49.3403,Check whether broad customer sex groups differ after reviewing outcome and mix signals.
age_product_mix,age_product,age_45_64,Bank account or service,,product_rank_in_age_group,1.0,4931,1724,77,5,54.0333,0.7979,708.523,2.3076,786,45,65,107,15.94,0.9126,1.3182,21.0556,Separate age-group differences from product mix.
age_product_mix,age_product,age_45_64,Credit card,,product_rank_in_age_group,2.0,3277,1547,77,5,54.1672,0.7824,678.5481,2.8276,753,77,173,162,22.9783,2.3497,5.2792,13.9929,Separate age-group differences from product mix.
age_product_mix,age_product,age_65_plus,Bank account or service,,product_rank_in_age_group,1.0,2295,814,77,5,73.1481,0.8375,705.5451,2.4418,378,21,44,57,16.4706,0.915,1.9172,9.7997,Separate age-group differences from product mix.
age_product_mix,age_product,age_65_plus,Credit card,,product_rank_in_age_group,2.0,1503,716,77,5,73.1823,0.8652,646.0337,2.5928,352,31,72,72,23.4198,2.0625,4.7904,6.4179,Separate age-group differences from product mix.
age_product_mix,age_product,under_30,Bank account or service,,product_rank_in_age_group,1.0,3159,1100,77,5,23.5214,0.8346,673.3281,2.7214,536,41,45,59,16.9674,1.2979,1.4245,13.489,Separate age-group differences from product mix.
age_product_mix,age_product,under_30,Credit card,,product_rank_in_age_group,2.0,2037,954,77,5,23.459,0.774,757.8475,2.8414,470,46,102,93,23.0731,2.2582,5.0074,8.6981,Separate age-group differences from product mix.
age_product_mix,age_product,age_30_44,Bank account or service,,product_rank_in_age_group,1.0,3706,1328,77,5,37.0426,0.7658,700.1203,2.4695,622,46,48,83,16.7836,1.2412,1.2952,15.8248,Separate age-group differences from product mix.
age_product_mix,age_product,age_30_44,Credit card,,product_rank_in_age_group,2.0,2511,1189,77,5,36.9446,0.7474,695.5722,2.8232,557,64,123,126,22.1824,2.5488,4.8984,10.7221,Separate age-group differences from product mix.
age_issue_mix,age_issue,under_30,"Account opening, closing, or management",,issue_rank_in_age_group,1.0,1290,770,77,5,23.4891,0.8276,684.9195,3.2868,245,23,19,25,18.9922,1.7829,1.4729,5.5083,Separate age-group differences from issue mix.
age_issue_mix,age_issue,under_30,Deposits and withdrawals,,issue_rank_in_age_group,2.0,882,626,76,5,23.7132,0.8443,643.9262,2.5873,142,12,10,14,16.0998,1.3605,1.1338,3.7662,Separate age-group differences from issue mix.
age_issue_mix,age_issue,under_30,Problems caused by my funds being low,,issue_rank_in_age_group,3.0,453,377,76,5,23.0618,0.8108,705.1351,1.989,52,1,5,12,11.479,0.2208,1.1038,1.9343,Separate age-group differences from issue mix.
age_issue_mix,age_issue,under_30,Billing disputes,,issue_rank_in_age_group,4.0,331,280,74,5,23.2931,0.6774,787.2258,2.4773,96,5,16,15,29.003,1.5106,4.8338,1.4134,Separate age-group differences from issue mix.
age_issue_mix,age_issue,under_30,"Making/receiving payments, sending money",,issue_rank_in_age_group,5.0,272,242,72,5,23.7426,0.8333,661.0,2.8971,49,5,2,4,18.0147,1.8382,0.7353,1.1615,Separate age-group differences from issue mix.
age_issue_mix,age_issue,age_45_64,"Account opening, closing, or management",,issue_rank_in_age_group,1.0,2051,1268,77,5,54.1258,0.7948,699.6938,2.4729,366,15,25,45,17.845,0.7314,1.2189,8.7578,Separate age-group differences from issue mix.
age_issue_mix,age_issue,age_45_64,Deposits and withdrawals,,issue_rank_in_age_group,2.0,1337,940,77,5,53.8504,0.8318,716.9206,2.5408,191,17,25,30,14.2857,1.2715,1.8699,5.709,Separate age-group differences from issue mix.
age_issue_mix,age_issue,age_45_64,Problems caused by my funds being low,,issue_rank_in_age_group,3.0,688,566,77,5,53.9157,0.8197,772.7049,1.7791,80,4,6,21,11.6279,0.5814,0.8721,2.9378,Separate age-group differences from issue mix.
age_issue_mix,age_issue,age_45_64,Billing disputes,,issue_rank_in_age_group,4.0,546,479,76,5,54.1648,0.9767,663.0698,3.2894,142,10,20,12,26.0073,1.8315,3.663,2.3314,Separate age-group differences from issue mix.
age_issue_mix,age_issue,age_45_64,"Making/receiving payments, sending money",,issue_rank_in_age_group,5.0,461,412,74,5,54.5531,0.7917,714.0833,2.4403,83,3,7,7,18.0043,0.6508,1.5184,1.9685,Separate age-group differences from issue mix.
age_issue_mix,age_issue,age_30_44,"Account opening, closing, or management",,issue_rank_in_age_group,1.0,1620,966,77,5,37.0914,0.7839,686.8898,2.5593,297,21,18,39,18.3333,1.2963,1.1111,6.9175,Separate age-group differences from issue mix.
age_issue_mix,age_issue,age_30_44,Deposits and withdrawals,,issue_rank_in_age_group,2.0,936,702,77,5,36.7724,0.8322,716.7852,2.7233,154,13,11,20,16.453,1.3889,1.1752,3.9968,Separate age-group differences from issue mix.
age_issue_mix,age_issue,age_30_44,Problems caused by my funds being low,,issue_rank_in_age_group,3.0,545,455,77,5,37.2587,0.4634,734.5854,2.0073,59,2,6,12,10.8257,0.367,1.1009,2.3272,Separate age-group differences from issue mix.
age_issue_mix,age_issue,age_30_44,Billing disputes,,issue_rank_in_age_group,4.0,406,357,76,5,36.9163,0.7632,686.4211,2.8916,105,8,18,16,25.8621,1.9704,4.4335,1.7336,Separate age-group differences from issue mix.
age_issue_mix,age_issue,age_30_44,"Making/receiving payments, sending money",,issue_rank_in_age_group,5.0,319,289,72,5,37.1034,0.7143,673.1071,2.6458,62,10,10,11,19.4357,3.1348,3.1348,1.3621,Separate age-group differences from issue mix.
age_issue_mix,age_issue,age_65_plus,"Account opening, closing, or management",,issue_rank_in_age_group,1.0,923,573,77,5,73.0303,0.8357,714.9286,2.6566,159,6,15,21,17.2264,0.6501,1.6251,3.9412,Separate age-group differences from issue mix.
age_issue_mix,age_issue,age_65_plus,Deposits and withdrawals,,issue_rank_in_age_group,2.0,633,442,75,5,73.1548,0.8214,731.7262,2.6698,115,8,19,16,18.1675,1.2638,3.0016,2.7029,Separate age-group differences from issue mix.
age_issue_mix,age_issue,age_65_plus,Problems caused by my funds being low,,issue_rank_in_age_group,3.0,355,291,71,5,73.1972,0.6364,609.8636,1.6958,42,1,5,9,11.831,0.2817,1.4085,1.5159,Separate age-group differences from issue mix.
age_issue_mix,age_issue,age_65_plus,Billing disputes,,issue_rank_in_age_group,4.0,277,235,67,5,73.2816,1.0,616.8462,2.8159,71,7,14,14,25.6318,2.5271,5.0542,1.1828,Separate age-group differences from issue mix.
age_issue_mix,age_issue,age_65_plus,"Making/receiving payments, sending money",,issue_rank_in_age_group,5.0,194,179,62,5,73.3763,1.0,680.35,2.8608,33,5,4,4,17.0103,2.5773,2.0619,0.8284,Separate age-group differences from issue mix.
age_region_mix,age_region,under_30,Northeast,,region_rank_in_age_group,1.0,2466,544,32,1,23.5255,0.8221,724.1352,3.0385,465,40,78,79,18.8564,1.6221,3.163,10.5299,Check whether customer exposure differs by age group and region together.
age_region_mix,age_region,under_30,South,,region_rank_in_age_group,2.0,996,222,17,1,23.8655,0.835,685.835,2.4378,196,18,20,23,19.6787,1.8072,2.008,4.253,Check whether customer exposure differs by age group and region together.
age_region_mix,age_region,under_30,West,,region_rank_in_age_group,3.0,818,188,13,1,23.2616,0.7474,692.0316,2.3875,173,15,23,26,21.1491,1.8337,2.8117,3.4929,Check whether customer exposure differs by age group and region together.
age_region_mix,age_region,under_30,Midwest,,region_rank_in_age_group,4.0,784,177,12,1,23.2487,0.7727,680.0303,2.824,143,12,23,22,18.2398,1.5306,2.9337,3.3477,Check whether customer exposure differs by age group and region together.
age_region_mix,age_region,age_45_64,Northeast,,region_rank_in_age_group,1.0,3875,876,32,1,54.0121,0.82,712.0433,2.3982,732,73,128,125,18.8903,1.8839,3.3032,16.5464,Check whether customer exposure differs by age group and region together.
age_region_mix,age_region,age_45_64,South,,region_rank_in_age_group,2.0,1509,332,17,1,54.1769,0.8708,724.6798,2.4546,286,17,35,55,18.9529,1.1266,2.3194,6.4435,Check whether customer exposure differs by age group and region together.
age_region_mix,age_region,age_45_64,West,,region_rank_in_age_group,3.0,1347,301,13,1,54.2279,0.7042,675.2817,2.735,246,15,38,56,18.2628,1.1136,2.8211,5.7517,Check whether customer exposure differs by age group and region together.
age_region_mix,age_region,age_45_64,Midwest,,region_rank_in_age_group,4.0,1225,272,12,1,54.111,0.7068,655.8045,2.6841,227,14,30,30,18.5306,1.1429,2.449,5.2308,Check whether customer exposure differs by age group and region together.
age_region_mix,age_region,age_30_44,Northeast,,region_rank_in_age_group,1.0,2840,653,32,1,37.0239,0.8032,717.0839,2.4792,542,54,87,91,19.0845,1.9014,3.0634,12.1269,Check whether customer exposure differs by age group and region together.
age_region_mix,age_region,age_30_44,South,,region_rank_in_age_group,2.0,1267,284,17,1,36.9179,0.704,714.992,2.8887,240,15,35,37,18.9424,1.1839,2.7624,5.4101,Check whether customer exposure differs by age group and region together.
age_region_mix,age_region,age_30_44,West,,region_rank_in_age_group,3.0,973,228,13,1,36.6526,0.7083,664.8021,2.0987,174,20,21,41,17.8828,2.0555,2.1583,4.1547,Check whether customer exposure differs by age group and region together.
age_region_mix,age_region,age_30_44,Midwest,,region_rank_in_age_group,4.0,893,201,12,1,37.3427,0.7732,686.9485,3.1825,176,14,21,30,19.7088,1.5677,2.3516,3.8131,Check whether customer exposure differs by age group and region together.
age_region_mix,age_region,age_65_plus,Northeast,,region_rank_in_age_group,1.0,1776,395,32,1,72.7157,0.8588,710.4176,2.406,320,24,57,58,18.018,1.3514,3.2095,7.5836,Check whether customer exposure differs by age group and region together.
age_region_mix,age_region,age_65_plus,South,,region_rank_in_age_group,2.0,696,167,17,1,73.3276,0.7778,689.537,2.444,149,7,19,23,21.408,1.0057,2.7299,2.9719,Check whether customer exposure differs by age group and region together.
age_region_mix,age_region,age_65_plus,West,,region_rank_in_age_group,3.0,631,143,13,1,73.9857,0.9231,676.1846,2.2029,133,14,19,22,21.0777,2.2187,3.0111,2.6944,Check whether customer exposure differs by age group and region together.
age_region_mix,age_region,age_65_plus,Midwest,,region_rank_in_age_group,4.0,588,138,12,1,73.4609,0.8125,667.0625,3.1412,99,6,18,24,16.8367,1.0204,3.0612,2.5108,Check whether customer exposure differs by age group and region together.
repeat_client_quality,repeat_client_bucket,four_plus_complaints,,,repeat_bucket_volume_rank,1.0,18990,3395,77,5,45.7797,0.8022,701.4535,2.5775,3588,310,546,630,18.8942,1.6324,2.8752,81.088,Compare single-complaint and repeat-complaint customer journeys.
repeat_client_quality,repeat_client_bucket,two_to_three_complaints,,,repeat_bucket_volume_rank,2.0,4138,1598,77,5,46.3091,0.7859,692.1341,2.6994,798,56,117,123,19.2847,1.3533,2.8275,17.6694,Compare single-complaint and repeat-complaint customer journeys.
repeat_client_quality,repeat_client_bucket,single_complaint_client,,,repeat_bucket_volume_rank,3.0,291,291,74,5,44.5601,0.6486,618.7027,2.2509,68,5,9,6,23.3677,1.7182,3.0928,1.2426,Compare single-complaint and repeat-complaint customer journeys.
high_repeat_client_profile,anonymous_client,C00003954,age_30_44,Male,client_complaint_volume_rank,1.0,14,1,1,1,42.0,2.0,1169.0,1.8571,3,0,0,2,21.4286,0.0,0.0,0.0598,Use anonymous client identifiers only to test repeat-complaint concentration.
high_repeat_client_profile,anonymous_client,C00004400,age_30_44,Female,client_complaint_volume_rank,2.0,14,1,1,1,40.0,0.0,454.0,2.3571,1,0,2,0,7.1429,0.0,14.2857,0.0598,Use anonymous client identifiers only to test repeat-complaint concentration.
high_repeat_client_profile,anonymous_client,C00001237,age_65_plus,Male,client_complaint_volume_rank,3.0,13,1,1,1,76.0,0.5,738.5,5.6154,4,0,0,0,30.7692,0.0,0.0,0.0555,Use anonymous client identifiers only to test repeat-complaint concentration.
high_repeat_client_profile,anonymous_client,C00002762,age_45_64,Female,client_complaint_volume_rank,4.0,13,1,1,1,46.0,0.5,517.5,1.0769,5,0,0,1,38.4615,0.0,0.0,0.0555,Use anonymous client identifiers only to test repeat-complaint concentration.
high_repeat_client_profile,anonymous_client,C00008726,age_45_64,Male,client_complaint_volume_rank,5.0,13,1,1,1,46.0,,,3.2308,2,1,1,0,15.3846,7.6923,7.6923,0.0555,Use anonymous client identifiers only to test repeat-complaint concentration.
high_repeat_client_profile,anonymous_client,C00011943,age_30_44,Male,client_complaint_volume_rank,6.0,13,1,1,1,38.0,,,1.3077,1,1,0,0,7.6923,7.6923,0.0,0.0555,Use anonymous client identifiers only to test repeat-complaint concentration.
high_repeat_client_profile,anonymous_client,C00000189,age_65_plus,Male,client_complaint_volume_rank,7.0,12,1,1,1,80.0,0.0,149.0,1.5833,1,0,0,0,8.3333,0.0,0.0,0.0512,Use anonymous client identifiers only to test repeat-complaint concentration.
