evidence_block,grain,item,item_2,item_3,rank_label,rank_value,complaints,clients,reviews,districts,avg_stars,avg_sent_delay_days,dispute_rate_pct,untimely_rate_pct,no_relief_rate_pct,complaint_share_pct,review_share_pct,notes
review_product_baseline,review_product,Eagle National Mortgage,,,review_product_volume_rank,1.0,,,212,72,4.533,,,,,,56.2334,Describe review-side product signal without assuming it matches complaint product names.
review_product_baseline,review_product,Eagle National Bank,,,review_product_volume_rank,2.0,,,153,69,4.0654,,,,,,40.5836,Describe review-side product signal without assuming it matches complaint product names.
review_product_baseline,review_product,Eagle Capital,,,review_product_volume_rank,3.0,,,12,9,5.0,,,,,,3.183,Describe review-side product signal without assuming it matches complaint product names.
complaint_product_baseline,complaint_product,Bank account or service,,,complaint_product_volume_rank,1.0,14091,4966,,77,,2.4648,16.4786,1.0858,1.4335,60.1691,,Describe formal complaint product mix and weak outcome signals.
complaint_product_baseline,complaint_product,Credit card,,,complaint_product_volume_rank,2.0,9328,4406,,77,,2.7916,22.8559,2.337,5.0386,39.8309,,Describe formal complaint product mix and weak outcome signals.
district_review_signal,district_review,17,Milwaukee,Midwest,low_rating_rank,1.0,,,2,1,1.0,,,,,,0.5305,Identify local review satisfaction pockets.
district_review_signal,district_review,72,Philadelphia,Northeast,low_rating_rank,2.0,,,2,1,1.0,,,,,,0.5305,Identify local review satisfaction pockets.
district_review_signal,district_review,41,Manchester,Northeast,low_rating_rank,3.0,,,1,1,1.0,,,,,,0.2653,Identify local review satisfaction pockets.
district_review_signal,district_review,63,Norwalk,Northeast,low_rating_rank,4.0,,,5,1,2.6,,,,,,1.3263,Identify local review satisfaction pockets.
district_review_signal,district_review,9,Boston,Northeast,low_rating_rank,5.0,,,6,1,3.0,,,,,,1.5915,Identify local review satisfaction pockets.
district_review_signal,district_review,4,Charlotte,South,low_rating_rank,6.0,,,8,1,3.125,,,,,,2.122,Identify local review satisfaction pockets.
district_review_signal,district_review,60,Lynn,Northeast,low_rating_rank,7.0,,,9,1,3.2222,,,,,,2.3873,Identify local review satisfaction pockets.
district_review_signal,district_review,68,Cranston,Northeast,low_rating_rank,8.0,,,5,1,3.4,,,,,,1.3263,Identify local review satisfaction pockets.
district_review_signal,district_review,20,Kansas City,Midwest,low_rating_rank,9.0,,,6,1,3.6667,,,,,,1.5915,Identify local review satisfaction pockets.
district_review_signal,district_review,24,New Orleans,South,low_rating_rank,10.0,,,6,1,3.6667,,,,,,1.5915,Identify local review satisfaction pockets.
district_review_signal,district_review,69,Lawrence,Northeast,low_rating_rank,11.0,,,6,1,3.6667,,,,,,1.5915,Identify local review satisfaction pockets.
district_review_signal,district_review,23,Minneapolis,Midwest,low_rating_rank,12.0,,,3,1,3.6667,,,,,,0.7958,Identify local review satisfaction pockets.
district_review_signal,district_review,26,Honolulu,West,low_rating_rank,13.0,,,3,1,3.6667,,,,,,0.7958,Identify local review satisfaction pockets.
district_review_signal,district_review,30,Boise,West,low_rating_rank,14.0,,,3,1,3.6667,,,,,,0.7958,Identify local review satisfaction pockets.
district_review_signal,district_review,33,Salt Lake City,West,low_rating_rank,15.0,,,3,1,3.6667,,,,,,0.7958,Identify local review satisfaction pockets.
district_review_signal,district_review,77,Syracuse,Northeast,low_rating_rank,16.0,,,3,1,3.6667,,,,,,0.7958,Identify local review satisfaction pockets.
district_review_signal,district_review,13,Oklahoma City,South,low_rating_rank,17.0,,,7,1,3.8571,,,,,,1.8568,Identify local review satisfaction pockets.
district_review_signal,district_review,15,Louisville,South,low_rating_rank,18.0,,,7,1,3.8571,,,,,,1.8568,Identify local review satisfaction pockets.
district_review_signal,district_review,73,New Britain,Northeast,low_rating_rank,19.0,,,7,1,3.8571,,,,,,1.8568,Identify local review satisfaction pockets.
district_review_signal,district_review,59,Quincy,Northeast,low_rating_rank,20.0,,,8,1,4.0,,,,,,2.122,Identify local review satisfaction pockets.
district_review_signal,district_review,66,Warwick,Northeast,low_rating_rank,21.0,,,8,1,4.0,,,,,,2.122,Identify local review satisfaction pockets.
