evidence_block,grain,item,item_2,item_3,rank_label,rank_value,complaints,clients,calls,reviews,avg_stars,avg_sent_delay_days,avg_service_seconds,dispute_rate_pct,untimely_rate_pct,no_relief_rate_pct,narrative_rate_pct,share_pct,notes
yearly_complaint_baseline,year,2011,,,year_order,1.0,164,161,8,,,8.8537,738.125,20.7317,16.4634,42.6829,0.0,0.7003,Track complaint volume and outcome rates by year.
yearly_complaint_baseline,year,2012,,,year_order,2.0,4122,2915,522,,,4.9694,695.0517,19.2625,7.2052,14.6046,0.0,17.6011,Track complaint volume and outcome rates by year.
yearly_complaint_baseline,year,2013,,,year_order,3.0,3693,2659,492,,,2.6231,681.8699,18.4944,0.5416,0.0,0.0,15.7692,Track complaint volume and outcome rates by year.
yearly_complaint_baseline,year,2014,,,year_order,4.0,3760,2695,411,,,2.7364,726.3698,18.3245,0.3723,0.0,0.0,16.0553,Track complaint volume and outcome rates by year.
yearly_complaint_baseline,year,2015,,,year_order,5.0,4871,3208,472,,,1.7748,698.5445,20.6528,0.0821,0.0,35.1878,20.7994,Track complaint volume and outcome rates by year.
yearly_complaint_baseline,year,2016,,,year_order,6.0,5432,3482,478,,,1.5477,692.3828,19.919,0.1657,0.0,41.4948,23.1948,Track complaint volume and outcome rates by year.
yearly_complaint_baseline,year,2017,,,year_order,7.0,1377,1203,121,,,1.313,710.7851,12.0552,0.0,0.0,36.2382,5.8798,Track complaint volume and outcome rates by year.
yearly_product_mix,year_product,2013,Bank account or service,,product_rank_in_year,1.0,2195,1797,362,,,2.7449,693.1188,15.4442,0.6378,0.0,0.0,9.3727,Show whether product mix changes over time.
yearly_product_mix,year_product,2013,Credit card,,product_rank_in_year,2.0,1498,1293,130,,,2.4446,650.5462,22.964,0.4005,0.0,0.0,6.3965,Show whether product mix changes over time.
yearly_product_mix,year_product,2017,Bank account or service,,product_rank_in_year,1.0,885,819,88,,,1.3537,693.7727,11.6384,0.0,0.0,36.1582,3.779,Show whether product mix changes over time.
