evidence_block,grain,item,item_2,item_3,rank_label,rank_value,complaints,clients,districts,regions,calls,avg_sent_delay_days,narrative_count,tagged_count,consent_count,narrative_rate_pct,tagged_rate_pct,consent_rate_pct,dispute_rate_pct,untimely_rate_pct,no_relief_rate_pct,share_pct,notes
narrative_coverage_baseline,narrative_bucket,no_narrative,,,bucket_volume_rank,1.0,18952,5217,77,5,2504,3.0041,0,2549,2405,0.0,13.4498,12.69,18.3305,1.9312,3.5458,80.9257,Compare complaints with and without written narratives.
narrative_coverage_baseline,narrative_bucket,has_narrative,,,bucket_volume_rank,2.0,4467,3039,77,5,0,0.8592,4467,727,4467,100.0,16.2749,100.0,21.9387,0.1119,0.0,19.0743,Compare complaints with and without written narratives.
product_visibility,product,Bank account or service,,,product_volume_rank,1.0,14091,4966,77,5,1805,2.4648,2691,1805,4049,19.0973,12.8096,28.7347,16.4786,1.0858,1.4335,60.1691,Compare visibility by product.
product_visibility,product,Credit card,,,product_volume_rank,2.0,9328,4406,77,5,699,2.7916,1776,1471,2823,19.0395,15.7697,30.2637,22.8559,2.337,5.0386,39.8309,Compare visibility by product.
issue_visibility,issue,"Account opening, closing, or management",,,issue_volume_rank,1.0,5884,3577,77,5,857,2.7039,977,813,1535,16.6044,13.8171,26.0877,18.1339,1.1047,1.3086,25.1249,Compare visibility by issue type.
issue_visibility,issue,Deposits and withdrawals,,,issue_volume_rank,2.0,3788,2710,77,5,569,2.6183,619,503,958,16.3411,13.2788,25.2904,15.8923,1.32,1.7159,16.1749,Compare visibility by issue type.
issue_visibility,issue,Problems caused by my funds being low,,,issue_volume_rank,3.0,2041,1689,77,5,161,1.8721,497,167,689,24.3508,8.1823,33.758,11.416,0.392,1.0779,8.7151,Compare visibility by issue type.
issue_visibility,issue,Billing disputes,,,issue_volume_rank,4.0,1560,1351,77,5,138,2.9295,284,295,473,18.2051,18.9103,30.3205,26.5385,1.9231,4.359,6.6613,Compare visibility by issue type.
issue_visibility,issue,"Making/receiving payments, sending money",,,issue_volume_rank,5.0,1246,1122,77,5,120,2.6581,263,180,399,21.1075,14.4462,32.0225,18.2183,1.8459,1.8459,5.3205,Compare visibility by issue type.
issue_visibility,issue,Using a debit or ATM card,,,issue_volume_rank,6.0,1132,1028,77,5,98,1.5645,335,142,468,29.5936,12.5442,41.3428,17.0495,0.6184,1.3251,4.8337,Compare visibility by issue type.
issue_visibility,issue,Other,,,issue_volume_rank,7.0,978,887,77,5,83,2.4898,175,152,336,17.8937,15.5419,34.3558,24.8466,1.5337,2.9652,4.1761,Compare visibility by issue type.
issue_visibility,issue,Identity theft / Fraud / Embezzlement,,,issue_volume_rank,8.0,841,778,77,5,61,3.1986,161,149,273,19.1439,17.717,32.4614,23.5434,2.8537,4.5184,3.5911,Compare visibility by issue type.
issue_visibility,issue,Closing/Cancelling account,,,issue_volume_rank,9.0,834,764,77,5,61,2.3046,169,120,228,20.2638,14.3885,27.3381,19.7842,2.7578,5.3957,3.5612,Compare visibility by issue type.
issue_visibility,issue,APR or interest rate,,,issue_volume_rank,10.0,493,472,77,5,47,3.5112,76,68,113,15.4158,13.7931,22.9209,19.0669,2.6369,6.6937,2.1051,Compare visibility by issue type.
issue_visibility,issue,Customer service / Customer relations,,,issue_volume_rank,11.0,373,363,76,5,37,3.5094,89,77,126,23.8606,20.6434,33.7802,21.7158,0.8043,2.4129,1.5927,Compare visibility by issue type.
