evidence_block,grain,item,item_2,item_3,rank_label,rank_value,complaints,clients,districts,regions,calls,avg_priority,avg_service_seconds,avg_sent_delay_days,dispute_rate_pct,untimely_rate_pct,no_relief_rate_pct,share_pct,notes
subproduct_baseline,product_subproduct,Bank account or service,Checking account,,subproduct_volume_rank,1.0,10005,4532,77,5,1317,0.8125,693.2764,2.2741,15.8321,1.0595,1.5392,42.7217,Compare product categories with sub-product detail.
subproduct_baseline,product_subproduct,Credit card,unknown_sub_product,,subproduct_volume_rank,2.0,9328,4406,77,5,699,0.7811,699.2132,2.7916,22.8559,2.337,5.0386,39.8309,Compare product categories with sub-product detail.
subproduct_baseline,product_subproduct,Bank account or service,Other bank product/service,,subproduct_volume_rank,3.0,2794,2151,77,5,268,0.7724,720.1978,2.8472,17.8239,1.0021,0.68,11.9305,Compare product categories with sub-product detail.
subproduct_baseline,product_subproduct,Bank account or service,Savings account,,subproduct_volume_rank,4.0,791,737,77,5,128,0.7344,717.6484,2.9267,17.5727,1.0114,1.7699,3.3776,Compare product categories with sub-product detail.
subproduct_baseline,product_subproduct,Bank account or service,(CD) Certificate of deposit,,subproduct_volume_rank,5.0,376,362,75,5,71,0.8732,676.9155,3.9548,22.3404,2.6596,2.6596,1.6055,Compare product categories with sub-product detail.
subproduct_baseline,product_subproduct,Bank account or service,Cashing a check without an account,,subproduct_volume_rank,6.0,125,123,57,5,21,0.8095,699.4762,1.784,13.6,0.8,4.0,0.5338,Compare product categories with sub-product detail.
subproduct_issue_mix,subproduct_issue,Bank account or service,Cashing a check without an account,Deposits and withdrawals,issue_rank_in_subproduct,1.0,54,54,37,5,13,0.8462,722.0769,1.9074,12.963,1.8519,0.0,0.2306,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,Cashing a check without an account,"Account opening, closing, or management",issue_rank_in_subproduct,2.0,33,32,24,4,2,1.0,463.0,1.5455,21.2121,0.0,6.0606,0.1409,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,Cashing a check without an account,"Making/receiving payments, sending money",issue_rank_in_subproduct,3.0,33,33,26,4,6,0.6667,729.3333,1.5455,9.0909,0.0,9.0909,0.1409,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,Cashing a check without an account,Using a debit or ATM card,issue_rank_in_subproduct,4.0,3,3,3,3,0,,,3.6667,0.0,0.0,0.0,0.0128,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,Cashing a check without an account,Problems caused by my funds being low,issue_rank_in_subproduct,5.0,2,2,2,1,0,,,3.5,0.0,0.0,0.0,0.0085,Show leading issues inside each sub-product.
subproduct_issue_mix,subproduct_issue,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",issue_rank_in_subproduct,1.0,262,254,71,5,43,1.0465,674.3721,3.9084,22.1374,2.6718,2.2901,1.1187,Show leading issues inside each sub-product.
