evidence_block,grain,item,item_2,item_3,rank_label,rank_value,complaints,clients,districts,regions,calls,avg_priority,avg_service_seconds,avg_sent_delay_days,dispute_rate_pct,untimely_rate_pct,no_relief_rate_pct,call_link_rate_pct,share_pct,notes
channel_baseline,submitted_via,Web,,,channel_volume_rank,1.0,13235,4909,77,5,0,,,1.4472,21.0125,1.1938,2.3574,0.0,56.5139,Compare intake channels by scale and outcomes.
channel_baseline,submitted_via,Referral,,,channel_volume_rank,2.0,6303,3690,77,5,0,,,4.3586,15.215,2.364,4.0457,0.0,26.914,Compare intake channels by scale and outcomes.
channel_baseline,submitted_via,Phone,,,channel_volume_rank,3.0,2504,2019,77,5,2504,0.7971,698.649,3.1138,16.4537,1.877,3.3546,100.0,10.6922,Compare intake channels by scale and outcomes.
channel_baseline,submitted_via,Postal mail,,,channel_volume_rank,4.0,1071,979,77,5,0,,,4.3679,19.7946,1.2138,1.5873,0.0,4.5732,Compare intake channels by scale and outcomes.
channel_baseline,submitted_via,Fax,,,channel_volume_rank,5.0,298,291,75,5,0,,,5.2953,30.2013,1.3423,0.3356,0.0,1.2725,Compare intake channels by scale and outcomes.
channel_baseline,submitted_via,Email,,,channel_volume_rank,6.0,8,8,8,5,0,,,11.625,0.0,0.0,37.5,0.0,0.0342,Compare intake channels by scale and outcomes.
channel_product_mix,channel_product,Postal mail,Bank account or service,,product_rank_in_channel,1.0,566,544,77,5,0,,,4.1767,19.9647,0.7067,0.7067,0.0,2.4168,Show product mix inside each channel.
channel_product_mix,channel_product,Postal mail,Credit card,,product_rank_in_channel,2.0,505,487,77,5,0,,,4.5822,19.604,1.7822,2.5743,0.0,2.1564,Show product mix inside each channel.
channel_product_mix,channel_product,Phone,Bank account or service,,product_rank_in_channel,1.0,1805,1542,77,5,1805,0.8033,698.4305,2.7208,14.5152,1.2742,2.4377,100.0,7.7074,Show product mix inside each channel.
channel_product_mix,channel_product,Phone,Credit card,,product_rank_in_channel,2.0,699,648,77,5,699,0.7811,699.2132,4.1288,21.4592,3.4335,5.7225,100.0,2.9848,Show product mix inside each channel.
channel_product_mix,channel_product,Web,Bank account or service,,product_rank_in_channel,1.0,7194,3967,77,5,0,,,1.2011,18.0428,0.7228,0.8757,0.0,30.7186,Show product mix inside each channel.
channel_product_mix,channel_product,Web,Credit card,,product_rank_in_channel,2.0,6041,3585,77,5,0,,,1.7403,24.5489,1.7547,4.1218,0.0,25.7953,Show product mix inside each channel.
channel_product_mix,channel_product,Fax,Bank account or service,,product_rank_in_channel,1.0,204,201,67,5,0,,,5.6225,28.9216,0.4902,0.0,0.0,0.8711,Show product mix inside each channel.
channel_product_mix,channel_product,Fax,Credit card,,product_rank_in_channel,2.0,94,93,48,5,0,,,4.5851,32.9787,3.1915,1.0638,0.0,0.4014,Show product mix inside each channel.
channel_product_mix,channel_product,Referral,Bank account or service,,product_rank_in_channel,1.0,4317,2965,77,5,0,,,4.091,13.6669,1.691,2.0848,0.0,18.4338,Show product mix inside each channel.
channel_product_mix,channel_product,Referral,Credit card,,product_rank_in_channel,2.0,1986,1639,77,5,0,,,4.9401,18.5801,3.8268,8.3082,0.0,8.4803,Show product mix inside each channel.
channel_product_mix,channel_product,Email,Bank account or service,,product_rank_in_channel,1.0,5,5,5,3,0,,,1.6,0.0,0.0,20.0,0.0,0.0214,Show product mix inside each channel.
