evidence_block,grain,item,item_2,item_3,rank_label,rank_value,calls,linked_complaints,clients,districts,regions,avg_priority,avg_service_seconds,avg_sent_delay_days,dispute_rate_pct,untimely_rate_pct,no_relief_rate_pct,linked_rate_pct,share_pct,notes
call_linkage_baseline,call_linkage,linked_to_complaint,,,linkage_volume_rank,1.0,2504,2504,2019,77,5,0.7971,698.649,3.1138,16.4537,1.877,3.3546,100.0,62.6157,Compare calls that do and do not join to formal complaints.
call_linkage_baseline,call_linkage,not_linked_to_complaint,,,linkage_volume_rank,2.0,1495,0,0,0,1,0.4658,450.9719,,,,,0.0,37.3843,Compare calls that do and do not join to formal complaints.
call_type_routing,call_type,PS,,,call_type_volume_rank,1.0,1996,1723,1482,77,5,0.8778,623.9364,2.9565,16.4248,2.0894,3.4243,86.3226,49.9125,Compare call types by scale and linkage.
call_type_routing,call_type,unknown_type,,,call_type_volume_rank,2.0,984,0,0,0,1,,635.7104,,,,,0.0,24.6062,Compare call types by scale and linkage.
call_type_routing,call_type,NW,,,call_type_volume_rank,3.0,624,424,409,77,5,0.1202,474.0369,3.9387,16.5094,1.4151,2.5943,67.9487,15.6039,Compare call types by scale and linkage.
call_type_routing,call_type,NE,,,call_type_volume_rank,4.0,254,234,232,68,5,1.1535,650.9882,2.6026,15.812,1.7094,4.2735,92.126,6.3516,Compare call types by scale and linkage.
call_type_routing,call_type,TT,,,call_type_volume_rank,5.0,94,85,81,45,5,0.9574,619.9468,2.9059,16.4706,0.0,3.5294,90.4255,2.3506,Compare call types by scale and linkage.
call_type_routing,call_type,IN,,,call_type_volume_rank,6.0,28,21,21,19,5,0.1429,582.6786,1.9048,33.3333,0.0,4.7619,75.0,0.7002,Compare call types by scale and linkage.
call_type_routing,call_type,PE,,,call_type_volume_rank,7.0,19,17,17,17,5,1.0526,892.8421,8.0588,5.8824,5.8824,0.0,89.4737,0.4751,Compare call types by scale and linkage.
priority_routing,priority,0,,,priority_volume_rank,1.0,1656,1306,1161,77,5,0.0,548.4771,2.9709,16.0031,1.7611,3.5222,78.8647,41.4104,Compare priority buckets by call linkage and outcomes.
priority_routing,priority,unknown_priority,,,priority_volume_rank,2.0,984,0,0,0,1,,635.7104,,,,,0.0,24.6062,Compare priority buckets by call linkage and outcomes.
priority_routing,priority,2,,,priority_volume_rank,3.0,875,798,756,77,5,2.0,656.5657,2.891,17.0426,1.8797,3.1328,91.2,21.8805,Compare priority buckets by call linkage and outcomes.
priority_routing,priority,1,,,priority_volume_rank,4.0,484,400,385,77,5,1.0,651.4628,4.025,16.75,2.25,3.25,82.6446,12.103,Compare priority buckets by call linkage and outcomes.
line_routing,vru_line,unknown_line,,,line_volume_rank,1.0,984,0,0,0,1,,635.7104,,,,,0.0,24.6062,Compare line routing patterns.
line_routing,vru_line,AA0213,,,line_volume_rank,2.0,183,159,157,65,5,0.6885,657.7596,2.8931,18.239,2.5157,3.7736,86.8852,4.5761,Compare line routing patterns.
line_routing,vru_line,AA0106,,,line_volume_rank,3.0,169,131,130,59,5,0.6627,569.7811,4.3893,13.7405,1.5267,3.0534,77.5148,4.2261,Compare line routing patterns.
line_routing,vru_line,AA0109,,,line_volume_rank,4.0,167,143,143,66,5,0.9222,621.3772,2.5874,10.4895,2.0979,4.1958,85.6287,4.176,Compare line routing patterns.
line_routing,vru_line,AA0101,,,line_volume_rank,5.0,160,135,134,67,5,0.725,621.525,2.4444,20.0,0.7407,3.7037,84.375,4.001,Compare line routing patterns.
line_routing,vru_line,AA0202,,,line_volume_rank,6.0,158,126,124,56,5,0.8418,600.1772,2.1667,19.0476,0.0,2.381,79.7468,3.951,Compare line routing patterns.
line_routing,vru_line,AA0214,,,line_volume_rank,7.0,152,129,128,60,5,0.8289,615.3092,2.062,13.9535,1.5504,1.5504,84.8684,3.801,Compare line routing patterns.
line_routing,vru_line,AA0110,,,line_volume_rank,8.0,145,118,117,56,5,0.7448,580.0276,2.2627,21.1864,0.8475,2.5424,81.3793,3.6259,Compare line routing patterns.
line_routing,vru_line,AA0102,,,line_volume_rank,9.0,142,114,114,54,5,0.6338,540.8099,1.7807,15.7895,1.7544,1.7544,80.2817,3.5509,Compare line routing patterns.
line_routing,vru_line,AA0205,,,line_volume_rank,10.0,142,113,112,57,5,0.6761,549.9718,2.7788,17.6991,0.885,6.1947,79.5775,3.5509,Compare line routing patterns.
line_routing,vru_line,AA0115,,,line_volume_rank,11.0,141,117,117,59,5,0.6879,534.0355,8.7009,18.8034,2.5641,1.7094,82.9787,3.5259,Compare line routing patterns.
line_routing,vru_line,AA0206,,,line_volume_rank,12.0,139,108,108,51,5,0.5827,574.3597,3.8704,14.8148,2.7778,3.7037,77.6978,3.4759,Compare line routing patterns.
line_routing,vru_line,AA0210,,,line_volume_rank,13.0,139,118,118,60,5,0.9281,702.9281,2.5763,20.339,1.6949,5.0847,84.8921,3.4759,Compare line routing patterns.
line_routing,vru_line,AA0209,,,line_volume_rank,14.0,138,120,119,55,5,0.7899,623.7971,4.3,13.3333,2.5,3.3333,86.9565,3.4509,Compare line routing patterns.
line_routing,vru_line,AA0215,,,line_volume_rank,15.0,134,113,113,57,5,0.6567,652.5373,2.2743,19.469,5.3097,4.4248,84.3284,3.3508,Compare line routing patterns.
line_routing,vru_line,AA0103,,,line_volume_rank,16.0,131,106,105,51,5,0.8092,505.8626,2.783,14.1509,2.8302,0.9434,80.916,3.2758,Compare line routing patterns.
line_routing,vru_line,AA0203,,,line_volume_rank,17.0,129,102,101,49,5,0.7209,537.1473,3.9216,11.7647,0.9804,4.902,79.0698,3.2258,Compare line routing patterns.
line_routing,vru_line,AA0105,,,line_volume_rank,18.0,127,100,97,50,5,0.6693,509.8898,2.75,17.0,2.0,4.0,78.7402,3.1758,Compare line routing patterns.
line_routing,vru_line,AA0104,,,line_volume_rank,19.0,119,94,93,47,5,0.6555,502.437,2.6277,14.8936,1.0638,4.2553,78.9916,2.9757,Compare line routing patterns.
line_routing,vru_line,AA0204,,,line_volume_rank,20.0,115,108,107,57,5,0.687,691.7913,3.2778,17.5926,2.7778,1.8519,93.913,2.8757,Compare line routing patterns.
line_routing,vru_line,AA0201,,,line_volume_rank,21.0,76,64,64,39,5,0.9079,599.6842,2.5625,12.5,1.5625,3.125,84.2105,1.9005,Compare line routing patterns.
line_routing,vru_line,AA0113,,,line_volume_rank,22.0,54,49,49,28,5,0.5741,603.5185,3.1429,14.2857,2.0408,4.0816,90.7407,1.3503,Compare line routing patterns.
line_routing,vru_line,AA0107,,,line_volume_rank,23.0,53,51,49,35,5,1.1321,894.4528,2.0196,21.5686,0.0,1.9608,96.2264,1.3253,Compare line routing patterns.
line_routing,vru_line,AA0112,,,line_volume_rank,24.0,38,34,34,30,5,0.8684,716.7105,3.0,29.4118,5.8824,2.9412,89.4737,0.9502,Compare line routing patterns.
line_routing,vru_line,AA0108,,,line_volume_rank,25.0,25,22,22,14,5,1.0,507.52,3.5,4.5455,0.0,4.5455,88.0,0.6252,Compare line routing patterns.
line_routing,vru_line,AA0111,,,line_volume_rank,26.0,16,15,15,14,5,0.625,582.5,1.8,0.0,0.0,6.6667,93.75,0.4001,Compare line routing patterns.
line_routing,vru_line,AA0216,,,line_volume_rank,27.0,14,7,7,7,3,0.0,364.9286,2.4286,0.0,0.0,0.0,50.0,0.3501,Compare line routing patterns.
line_routing,vru_line,AA0116,,,line_volume_rank,28.0,9,8,8,8,5,0.0,544.6667,1.375,50.0,0.0,12.5,88.8889,0.2251,Compare line routing patterns.
server_volume_quality,server,unknown_server,,,server_volume_rank,1.0,984,0,0,0,1,,635.7104,,,,,0.0,24.6062,Compare server-level call volume and linked outcomes.
server_volume_quality,server,NO_SERVER,,,server_volume_rank,2.0,488,50,50,31,5,0.4734,77.957,3.66,20.0,2.0,2.0,10.2459,12.2031,Compare server-level call volume and linked outcomes.
server_volume_quality,server,KAZAV,,,server_volume_rank,3.0,188,181,179,70,5,1.0532,744.3989,3.1547,16.5746,2.2099,5.5249,96.2766,4.7012,Compare server-level call volume and linked outcomes.
server_volume_quality,server,TOVA,,,server_volume_rank,4.0,184,179,175,61,5,0.6957,723.1576,1.8492,11.7318,0.0,3.9106,97.2826,4.6012,Compare server-level call volume and linked outcomes.
server_volume_quality,server,IDIT,,,server_volume_rank,5.0,172,167,166,64,5,0.6512,668.0581,2.7545,14.9701,1.1976,5.988,97.093,4.3011,Compare server-level call volume and linked outcomes.
server_volume_quality,server,SHARON,,,server_volume_rank,6.0,164,158,156,63,5,0.9024,691.0915,3.1772,18.9873,1.2658,3.7975,96.3415,4.101,Compare server-level call volume and linked outcomes.
server_volume_quality,server,YIFAT,,,server_volume_rank,7.0,158,154,153,64,5,0.6962,691.6519,3.4416,18.1818,0.0,0.6494,97.4684,3.951,Compare server-level call volume and linked outcomes.
server_volume_quality,server,AVNI,,,server_volume_rank,8.0,153,148,143,57,5,0.7386,614.9281,2.9662,16.8919,4.7297,2.027,96.732,3.826,Compare server-level call volume and linked outcomes.
server_volume_quality,server,YITZ,,,server_volume_rank,9.0,144,143,140,60,5,0.8542,656.4306,3.3007,18.8811,2.7972,4.1958,99.3056,3.6009,Compare server-level call volume and linked outcomes.
server_volume_quality,server,MIKI,,,server_volume_rank,10.0,131,128,127,57,5,0.7557,758.9618,3.8359,14.0625,3.9063,2.3438,97.7099,3.2758,Compare server-level call volume and linked outcomes.
server_volume_quality,server,MORIAH,,,server_volume_rank,11.0,124,120,119,57,5,0.9758,731.9435,3.4333,16.6667,1.6667,2.5,96.7742,3.1008,Compare server-level call volume and linked outcomes.
server_volume_quality,server,MICHAL,,,server_volume_rank,12.0,118,115,114,54,5,0.6271,709.2034,2.9478,20.0,0.8696,2.6087,97.4576,2.9507,Compare server-level call volume and linked outcomes.
server_volume_quality,server,STEREN,,,server_volume_rank,13.0,110,107,105,51,5,0.9,672.7091,2.1682,17.757,2.8037,5.6075,97.2727,2.7507,Compare server-level call volume and linked outcomes.
server_volume_quality,server,BASCH,,,server_volume_rank,14.0,107,105,103,53,5,0.6729,722.3271,2.4952,17.1429,0.9524,2.8571,98.1308,2.6757,Compare server-level call volume and linked outcomes.
server_volume_quality,server,DORIT,,,server_volume_rank,15.0,105,103,102,51,5,0.7524,705.4381,2.5631,14.5631,0.0,0.9709,98.0952,2.6257,Compare server-level call volume and linked outcomes.
server_volume_quality,server,ANAT,,,server_volume_rank,16.0,104,100,99,53,5,0.75,723.4327,8.77,16.0,2.0,5.0,96.1538,2.6007,Compare server-level call volume and linked outcomes.
server_volume_quality,server,BENSION,,,server_volume_rank,17.0,104,100,100,48,5,0.5673,765.0,2.51,21.0,5.0,4.0,96.1538,2.6007,Compare server-level call volume and linked outcomes.
server_volume_quality,server,AVIDAN,,,server_volume_rank,18.0,102,100,100,55,5,0.9706,711.8431,2.3,12.0,2.0,3.0,98.0392,2.5506,Compare server-level call volume and linked outcomes.
server_volume_quality,server,ZOHARI,,,server_volume_rank,19.0,92,86,85,45,5,0.8261,571.0217,3.9884,12.7907,3.4884,4.6512,93.4783,2.3006,Compare server-level call volume and linked outcomes.
server_volume_quality,server,GILI,,,server_volume_rank,20.0,77,75,73,44,5,0.8312,754.026,2.12,21.3333,2.6667,1.3333,97.4026,1.9255,Compare server-level call volume and linked outcomes.
server_volume_quality,server,SHLOMO,,,server_volume_rank,21.0,57,55,55,36,5,0.614,687.4211,2.4727,16.3636,0.0,1.8182,96.4912,1.4254,Compare server-level call volume and linked outcomes.
server_volume_quality,server,ELI,,,server_volume_rank,22.0,47,46,45,32,5,0.8298,658.1064,2.1739,17.3913,2.1739,4.3478,97.8723,1.1753,Compare server-level call volume and linked outcomes.
