evidence_block,grain,item,item_2,item_3,rank_label,rank_value,title_count,type_count,order_count,sale_lines,sample_qty,revenue_proxy,ytd_sales,ytd_revenue_proxy,employee_count,avg_job_level,share_pct,secondary_value,notes
publisher_portfolio_baseline,publisher,Algodata Infosystems,USA,,revenue_rank,1.0,6,2,6,6,135.0,2586.95,24941.0,493437.3,10,106.4,38.7448,258.695,"Publisher-level catalog, sales, ytd demand, and staffing baseline."
publisher_portfolio_baseline,publisher,Binnet & Hardley,USA,,revenue_rank,2.0,7,4,7,7,150.0,2128.1,44219.0,364868.97,10,84.9,31.8726,212.81,"Publisher-level catalog, sales, ytd demand, and staffing baseline."
publisher_portfolio_baseline,publisher,New Moon Books,USA,,revenue_rank,3.0,5,2,8,8,208.0,1961.85,28286.0,187202.45,10,155.0,29.3826,196.185,"Publisher-level catalog, sales, ytd demand, and staffing baseline."
publisher_portfolio_baseline,publisher,Five Lakes Publishing,USA,,revenue_rank,4.0,0,0,0,0,0.0,0.0,0.0,0.0,1,198.0,0.0,0.0,"Publisher-level catalog, sales, ytd demand, and staffing baseline."
publisher_portfolio_baseline,publisher,GGG&G,Germany,,revenue_rank,5.0,0,0,0,0,0.0,0.0,0.0,0.0,1,172.0,0.0,0.0,"Publisher-level catalog, sales, ytd demand, and staffing baseline."
publisher_portfolio_baseline,publisher,Lucerne Publishing,France,,revenue_rank,6.0,0,0,0,0,0.0,0.0,0.0,0.0,7,140.5714,0.0,0.0,"Publisher-level catalog, sales, ytd demand, and staffing baseline."
publisher_portfolio_baseline,publisher,Ramona Publishers,USA,,revenue_rank,7.0,0,0,0,0,0.0,0.0,0.0,0.0,1,246.0,0.0,0.0,"Publisher-level catalog, sales, ytd demand, and staffing baseline."
publisher_portfolio_baseline,publisher,Scootney Books,USA,,revenue_rank,8.0,0,0,0,0,0.0,0.0,0.0,0.0,3,214.0,0.0,0.0,"Publisher-level catalog, sales, ytd demand, and staffing baseline."
active_publisher_conversion,publisher,Algodata Infosystems,USA,,qty_rank,3.0,6,2,6,6,135.0,2586.95,24941.0,493437.3,10,106.4,38.7448,258.695,"Compare sales quantity, revenue proxy, and staff scale among active publishers."
active_publisher_conversion,publisher,Binnet & Hardley,USA,,qty_rank,2.0,7,4,7,7,150.0,2128.1,44219.0,364868.97,10,84.9,31.8726,212.81,"Compare sales quantity, revenue proxy, and staff scale among active publishers."
active_publisher_conversion,publisher,New Moon Books,USA,,qty_rank,1.0,5,2,8,8,208.0,1961.85,28286.0,187202.45,10,155.0,29.3826,196.185,"Compare sales quantity, revenue proxy, and staff scale among active publishers."
catalog_breadth_vs_revenue,publisher,Algodata Infosystems,USA,2,type_count,2.0,6,2,6,6,135.0,2586.95,24941.0,493437.3,10,106.4,38.7448,258.695,Check whether broader publisher catalogs translate into stronger revenue proxy.
catalog_breadth_vs_revenue,publisher,Binnet & Hardley,USA,4,type_count,4.0,7,4,7,7,150.0,2128.1,44219.0,364868.97,10,84.9,31.8726,212.81,Check whether broader publisher catalogs translate into stronger revenue proxy.
catalog_breadth_vs_revenue,publisher,New Moon Books,USA,2,type_count,2.0,5,2,8,8,208.0,1961.85,28286.0,187202.45,10,155.0,29.3826,196.185,Check whether broader publisher catalogs translate into stronger revenue proxy.
ytd_vs_sample_demand,publisher,Algodata Infosystems,USA,1,ytd_revenue_rank,1.0,6,2,6,6,135.0,2586.95,24941.0,493437.3,10,106.4,38.7448,258.695,Compare current sample sales proxy with title-level ytd demand proxy.
ytd_vs_sample_demand,publisher,Binnet & Hardley,USA,2,ytd_revenue_rank,2.0,7,4,7,7,150.0,2128.1,44219.0,364868.97,10,84.9,31.8726,212.81,Compare current sample sales proxy with title-level ytd demand proxy.
ytd_vs_sample_demand,publisher,New Moon Books,USA,3,ytd_revenue_rank,3.0,5,2,8,8,208.0,1961.85,28286.0,187202.45,10,155.0,29.3826,196.185,Compare current sample sales proxy with title-level ytd demand proxy.
staff_without_active_catalog,publisher,Five Lakes Publishing,USA,1,employee_count,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,198.0,,0.0,Identify publishers that carry staffing but no linked title sales in the available tables.
staff_without_active_catalog,publisher,GGG&G,Germany,1,employee_count,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,172.0,,0.0,Identify publishers that carry staffing but no linked title sales in the available tables.
staff_without_active_catalog,publisher,Lucerne Publishing,France,7,employee_count,7.0,0,0,0,0,0.0,0.0,0.0,0.0,7,140.5714,,0.0,Identify publishers that carry staffing but no linked title sales in the available tables.
staff_without_active_catalog,publisher,Ramona Publishers,USA,1,employee_count,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,246.0,,0.0,Identify publishers that carry staffing but no linked title sales in the available tables.
staff_without_active_catalog,publisher,Scootney Books,USA,3,employee_count,3.0,0,0,0,0,0.0,0.0,0.0,0.0,3,214.0,,0.0,Identify publishers that carry staffing but no linked title sales in the available tables.
top_title_dependence,publisher_title,Algodata Infosystems,Secrets of Silicon Valley,popular_comp,title_rank_in_publisher,1.0,1,,1,1,50.0,1000.0,4095.0,81900.0,,,38.6556,2586.95,Top title share within each active publisher.
top_title_dependence,publisher_title,Algodata Infosystems,But Is It User Friendly?,popular_comp,title_rank_in_publisher,2.0,1,,1,1,30.0,688.5,8780.0,201501.0,,,26.6144,2586.95,Top title share within each active publisher.
top_title_dependence,publisher_title,Algodata Infosystems,Straight Talk About Computers,business,title_rank_in_publisher,3.0,1,,1,1,15.0,299.85,4095.0,81859.05,,,11.5909,2586.95,Top title share within each active publisher.
top_title_dependence,publisher_title,New Moon Books,Is Anger the Enemy?,psychology,title_rank_in_publisher,1.0,1,,4,4,108.0,1182.6,2045.0,22392.75,,,60.2798,1961.85,Top title share within each active publisher.
top_title_dependence,publisher_title,New Moon Books,Prolonged Data Deprivation: Four Case Studies,psychology,title_rank_in_publisher,2.0,1,,1,1,15.0,299.85,4072.0,81399.28,,,15.284,1961.85,Top title share within each active publisher.
top_title_dependence,publisher_title,New Moon Books,Emotional Security: A New Algorithm,psychology,title_rank_in_publisher,3.0,1,,1,1,25.0,199.75,3336.0,26654.64,,,10.1817,1961.85,Top title share within each active publisher.
top_title_dependence,publisher_title,Binnet & Hardley,"Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean",trad_cook,title_rank_in_publisher,1.0,1,,1,1,40.0,838.0,375.0,7856.25,,,39.3778,2128.1,Top title share within each active publisher.
top_title_dependence,publisher_title,Binnet & Hardley,Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology,title_rank_in_publisher,2.0,1,,1,1,20.0,431.8,375.0,8096.25,,,20.2904,2128.1,Top title share within each active publisher.
top_title_dependence,publisher_title,Binnet & Hardley,"Sushi, Anyone?",trad_cook,title_rank_in_publisher,3.0,1,,1,1,20.0,299.8,4095.0,61384.05,,,14.0877,2128.1,Top title share within each active publisher.
