evidence_block,grain,item,item_2,item_3,rank_label,rank_value,title_count,item_count,order_count,sale_lines,sample_qty,revenue_proxy,ytd_sales,ytd_revenue_proxy,avg_price,advance_value,royalty_value,share_pct,secondary_value,notes
type_sales_ytd_baseline,title_type,popular_comp,2,1,sample_revenue_rank,2.0,3,2,2,2,80.0,1688.5,12875.0,283401.0,21.475,7500.0,13.0,25.2887,3.0,Compare title-type current sample sales with catalog ytd demand and economics.
type_sales_ytd_baseline,title_type,business,4,2,sample_revenue_rank,4.0,4,4,5,5,90.0,1003.1,30788.0,266015.08,13.73,6281.25,13.5,15.0234,6.5,Compare title-type current sample sales with catalog ytd demand and economics.
type_sales_ytd_baseline,title_type,trad_cook,3,3,sample_revenue_rank,3.0,3,3,3,3,80.0,1376.8,19566.0,249637.5,15.9633,6333.3333,11.3333,20.6203,6.0,Compare title-type current sample sales with catalog ytd demand and economics.
type_sales_ytd_baseline,title_type,psychology,1,4,sample_revenue_rank,1.0,5,5,8,8,193.0,2289.0,9939.0,139319.92,13.504,4255.0,10.4,34.2824,3.8,Compare title-type current sample sales with catalog ytd demand and economics.
type_sales_ytd_baseline,title_type,mod_cook,5,5,sample_revenue_rank,5.0,2,2,3,3,50.0,319.5,24278.0,107135.22,11.49,7500.0,18.0,4.7852,7.0,Compare title-type current sample sales with catalog ytd demand and economics.
type_sales_ytd_baseline,title_type,UNDECIDED,6,6,sample_revenue_rank,6.0,1,0,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,Compare title-type current sample sales with catalog ytd demand and economics.
sample_vs_ytd_type_mismatch,title_type,popular_comp,2,1,rank_gap_sample_minus_ytd,1.0,3,2,2,2,80.0,1688.5,12875.0,283401.0,21.475,7500.0,13.0,25.2887,3.0,Identify type-level divergence between sample sales proxy and ytd catalog demand.
sample_vs_ytd_type_mismatch,title_type,business,4,2,rank_gap_sample_minus_ytd,2.0,4,4,5,5,90.0,1003.1,30788.0,266015.08,13.73,6281.25,13.5,15.0234,6.5,Identify type-level divergence between sample sales proxy and ytd catalog demand.
sample_vs_ytd_type_mismatch,title_type,trad_cook,3,3,rank_gap_sample_minus_ytd,0.0,3,3,3,3,80.0,1376.8,19566.0,249637.5,15.9633,6333.3333,11.3333,20.6203,6.0,Identify type-level divergence between sample sales proxy and ytd catalog demand.
sample_vs_ytd_type_mismatch,title_type,psychology,1,4,rank_gap_sample_minus_ytd,-3.0,5,5,8,8,193.0,2289.0,9939.0,139319.92,13.504,4255.0,10.4,34.2824,3.8,Identify type-level divergence between sample sales proxy and ytd catalog demand.
sample_vs_ytd_type_mismatch,title_type,mod_cook,5,5,rank_gap_sample_minus_ytd,0.0,2,2,3,3,50.0,319.5,24278.0,107135.22,11.49,7500.0,18.0,4.7852,7.0,Identify type-level divergence between sample sales proxy and ytd catalog demand.
sample_vs_ytd_type_mismatch,title_type,UNDECIDED,6,6,rank_gap_sample_minus_ytd,0.0,1,0,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,Identify type-level divergence between sample sales proxy and ytd catalog demand.
title_revenue_leaders,title,Secrets of Silicon Valley,popular_comp,Algodata Infosystems,title_revenue_rank,2.0,1,2,1,1,50.0,1000.0,4095.0,81900.0,20.0,8000.0,10.0,14.977,4.0,Highest sample revenue proxy titles and their economics.
title_revenue_leaders,title,"Sushi, Anyone?",trad_cook,Binnet & Hardley,title_revenue_rank,9.0,1,3,1,1,20.0,299.8,4095.0,61384.05,14.99,8000.0,10.0,4.4901,3.0,Highest sample revenue proxy titles and their economics.
title_revenue_leaders,title,But Is It User Friendly?,popular_comp,Algodata Infosystems,title_revenue_rank,4.0,1,1,1,1,30.0,688.5,8780.0,201501.0,22.95,7000.0,16.0,10.3117,5.0,Highest sample revenue proxy titles and their economics.
title_revenue_leaders,title,Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology,Binnet & Hardley,title_revenue_rank,5.0,1,2,1,1,20.0,431.8,375.0,8096.25,21.59,7000.0,10.0,6.4671,5.0,Highest sample revenue proxy titles and their economics.
title_revenue_leaders,title,"Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean",trad_cook,Binnet & Hardley,title_revenue_rank,3.0,1,1,1,1,40.0,838.0,375.0,7856.25,20.95,7000.0,10.0,12.5507,8.0,Highest sample revenue proxy titles and their economics.
title_revenue_leaders,title,Cooking with Computers: Surreptitious Balance Sheets,business,Algodata Infosystems,title_revenue_rank,10.0,1,2,1,1,25.0,298.75,3876.0,46318.2,11.95,5000.0,10.0,4.4744,8.0,Highest sample revenue proxy titles and their economics.
title_revenue_leaders,title,Straight Talk About Computers,business,Algodata Infosystems,title_revenue_rank,7.0,1,1,1,1,15.0,299.85,4095.0,81859.05,19.99,5000.0,10.0,4.4909,8.0,Highest sample revenue proxy titles and their economics.
title_revenue_leaders,title,The Busy Executive's Database Guide,business,Algodata Infosystems,title_revenue_rank,8.0,1,2,2,2,15.0,299.85,4095.0,81859.05,19.99,5000.0,10.0,4.4909,2.0,Highest sample revenue proxy titles and their economics.
title_revenue_leaders,title,Is Anger the Enemy?,psychology,New Moon Books,title_revenue_rank,1.0,1,2,4,4,108.0,1182.6,2045.0,22392.75,10.95,2275.0,12.0,17.7118,4.0,Highest sample revenue proxy titles and their economics.
title_revenue_leaders,title,Prolonged Data Deprivation: Four Case Studies,psychology,New Moon Books,title_revenue_rank,6.0,1,1,1,1,15.0,299.85,4072.0,81399.28,19.99,2000.0,10.0,4.4909,4.0,Highest sample revenue proxy titles and their economics.
high_advance_low_sample_sales,title,The Gourmet Microwave,mod_cook,Binnet & Hardley,advance_rank,1.0,1,2,2,2,40.0,119.6,22246.0,66515.54,2.99,15000.0,24.0,1.7913,8.0,High advance titles can have weak current sample sales proxy.
high_advance_low_sample_sales,title,You Can Combat Computer Stress!,business,New Moon Books,advance_rank,2.0,1,1,1,1,35.0,104.65,18722.0,55978.78,2.99,10125.0,24.0,1.5673,8.0,High advance titles can have weak current sample sales proxy.
high_advance_low_sample_sales,title,Secrets of Silicon Valley,popular_comp,Algodata Infosystems,advance_rank,3.0,1,2,1,1,50.0,1000.0,4095.0,81900.0,20.0,8000.0,10.0,14.977,4.0,High advance titles can have weak current sample sales proxy.
high_advance_low_sample_sales,title,"Sushi, Anyone?",trad_cook,Binnet & Hardley,advance_rank,4.0,1,3,1,1,20.0,299.8,4095.0,61384.05,14.99,8000.0,10.0,4.4901,3.0,High advance titles can have weak current sample sales proxy.
high_advance_low_sample_sales,title,But Is It User Friendly?,popular_comp,Algodata Infosystems,advance_rank,5.0,1,1,1,1,30.0,688.5,8780.0,201501.0,22.95,7000.0,16.0,10.3117,5.0,High advance titles can have weak current sample sales proxy.
high_advance_low_sample_sales,title,Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology,Binnet & Hardley,advance_rank,6.0,1,2,1,1,20.0,431.8,375.0,8096.25,21.59,7000.0,10.0,6.4671,5.0,High advance titles can have weak current sample sales proxy.
high_advance_low_sample_sales,title,"Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean",trad_cook,Binnet & Hardley,advance_rank,7.0,1,1,1,1,40.0,838.0,375.0,7856.25,20.95,7000.0,10.0,12.5507,8.0,High advance titles can have weak current sample sales proxy.
high_advance_low_sample_sales,title,Life Without Fear,psychology,New Moon Books,advance_rank,8.0,1,1,1,1,25.0,175.0,111.0,777.0,7.0,6000.0,10.0,2.621,4.0,High advance titles can have weak current sample sales proxy.
metadata_or_unsold_title_risk,title,Net Etiquette,popular_comp,Algodata Infosystems,sample_qty,0.0,1,1,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,"Titles with missing economics, undecided type, no author allocation, or no sample sales."
metadata_or_unsold_title_risk,title,The Psychology of Computer Cooking,UNDECIDED,Binnet & Hardley,sample_qty,0.0,1,0,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,"Titles with missing economics, undecided type, no author allocation, or no sample sales."
royalty_schedule_depth,title,The Gourmet Microwave,mod_cook,Binnet & Hardley,royalty_tiers,8.0,1,2,2,2,40.0,119.6,22246.0,66515.54,2.99,15000.0,24.0,1.7913,50000.0,Compare royalty schedule depth with observed sample sales.
royalty_schedule_depth,title,You Can Combat Computer Stress!,business,New Moon Books,royalty_tiers,8.0,1,1,1,1,35.0,104.65,18722.0,55978.78,2.99,10125.0,24.0,1.5673,50000.0,Compare royalty schedule depth with observed sample sales.
royalty_schedule_depth,title,Secrets of Silicon Valley,popular_comp,Algodata Infosystems,royalty_tiers,4.0,1,2,1,1,50.0,1000.0,4095.0,81900.0,20.0,8000.0,16.0,14.977,50000.0,Compare royalty schedule depth with observed sample sales.
royalty_schedule_depth,title,"Sushi, Anyone?",trad_cook,Binnet & Hardley,royalty_tiers,3.0,1,3,1,1,20.0,299.8,4095.0,61384.05,14.99,8000.0,14.0,4.4901,50000.0,Compare royalty schedule depth with observed sample sales.
royalty_schedule_depth,title,But Is It User Friendly?,popular_comp,Algodata Infosystems,royalty_tiers,5.0,1,1,1,1,30.0,688.5,8780.0,201501.0,22.95,7000.0,18.0,10.3117,50000.0,Compare royalty schedule depth with observed sample sales.
royalty_schedule_depth,title,Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology,Binnet & Hardley,royalty_tiers,5.0,1,2,1,1,20.0,431.8,375.0,8096.25,21.59,7000.0,18.0,6.4671,50000.0,Compare royalty schedule depth with observed sample sales.
royalty_schedule_depth,title,"Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean",trad_cook,Binnet & Hardley,royalty_tiers,8.0,1,1,1,1,40.0,838.0,375.0,7856.25,20.95,7000.0,24.0,12.5507,50000.0,Compare royalty schedule depth with observed sample sales.
royalty_schedule_depth,title,Life Without Fear,psychology,New Moon Books,royalty_tiers,4.0,1,1,1,1,25.0,175.0,111.0,777.0,7.0,6000.0,16.0,2.621,50000.0,Compare royalty schedule depth with observed sample sales.
royalty_schedule_depth,title,Cooking with Computers: Surreptitious Balance Sheets,business,Algodata Infosystems,royalty_tiers,8.0,1,2,1,1,25.0,298.75,3876.0,46318.2,11.95,5000.0,24.0,4.4744,50000.0,Compare royalty schedule depth with observed sample sales.
