evidence_block,grain,item,item_2,item_3,rank_label,rank_value,store_count,title_count,type_count,order_count,sale_lines,sample_qty,revenue_proxy,share_pct,secondary_value,notes
store_demand_concentration,store,Barnum's,CA,Tustin,store_revenue_rank,1.0,,2,2,2,2,125.0,1821.25,27.2769,,"Store-level concentration of order, title breadth, and revenue proxy."
store_demand_concentration,store,News & Brews,CA,Los Gatos,store_revenue_rank,2.0,,4,2,2,4,90.0,1486.3,22.2603,,"Store-level concentration of order, title breadth, and revenue proxy."
store_demand_concentration,store,Doc-U-Mat: Quality Laundry and Books,WA,Remulade,store_revenue_rank,3.0,,6,2,3,6,130.0,1400.15,20.9701,,"Store-level concentration of order, title breadth, and revenue proxy."
store_demand_concentration,store,Bookbeat,OR,Portland,store_revenue_rank,4.0,,4,3,4,4,80.0,1232.0,18.4517,,"Store-level concentration of order, title breadth, and revenue proxy."
store_demand_concentration,store,Fricative Bookshop,CA,Fremont,store_revenue_rank,5.0,,3,2,3,3,60.0,604.4,9.0521,,"Store-level concentration of order, title breadth, and revenue proxy."
store_demand_concentration,store,Eric the Read Books,WA,Seattle,store_revenue_rank,6.0,,2,2,2,2,8.0,132.8,1.9889,,"Store-level concentration of order, title breadth, and revenue proxy."
state_store_rollup,state,CA,3,,state_revenue_rank,1.0,3,8,5,7,9,275.0,3911.95,58.5893,,Roll up store demand by state.
state_store_rollup,state,WA,2,,state_revenue_rank,2.0,2,7,3,5,8,138.0,1532.95,22.959,,Roll up store demand by state.
state_store_rollup,state,OR,1,,state_revenue_rank,3.0,1,4,3,4,4,80.0,1232.0,18.4517,,Roll up store demand by state.
store_mix_breadth,store,Barnum's,CA,Tustin,type_count,2.0,,2,2,2,2,125.0,1821.25,27.2769,,Compare store demand with title and type breadth.
store_mix_breadth,store,News & Brews,CA,Los Gatos,type_count,2.0,,4,2,2,4,90.0,1486.3,22.2603,,Compare store demand with title and type breadth.
store_mix_breadth,store,Doc-U-Mat: Quality Laundry and Books,WA,Remulade,type_count,2.0,,6,2,3,6,130.0,1400.15,20.9701,,Compare store demand with title and type breadth.
store_mix_breadth,store,Bookbeat,OR,Portland,type_count,3.0,,4,3,4,4,80.0,1232.0,18.4517,,Compare store demand with title and type breadth.
store_mix_breadth,store,Fricative Bookshop,CA,Fremont,type_count,2.0,,3,2,3,3,60.0,604.4,9.0521,,Compare store demand with title and type breadth.
store_mix_breadth,store,Eric the Read Books,WA,Seattle,type_count,2.0,,2,2,2,2,8.0,132.8,1.9889,,Compare store demand with title and type breadth.
payterms_demand_quality,payterms,Net 30,4,5,payterms_revenue_rank,1.0,4,8,5,6,8,230.0,3657.8,54.7829,,Payment terms as a channel-like demand and mix signal.
payterms_demand_quality,payterms,Net 60,4,3,payterms_revenue_rank,2.0,4,8,3,6,9,128.0,1848.45,27.6843,,Payment terms as a channel-like demand and mix signal.
payterms_demand_quality,payterms,ON invoice,3,3,payterms_revenue_rank,3.0,3,4,3,4,4,135.0,1170.65,17.5328,,Payment terms as a channel-like demand and mix signal.
