evidence_block,grain,item,item_2,item_3,rank_label,rank_value,title_count,author_count,royaltyper_sum,sample_qty,revenue_proxy,share_pct,secondary_value,notes
author_contribution_rank,author,"Panteley, Sylvia",MD,0,author_revenue_rank,1.0,1,,100.0,40.0,838.0,12.5507,0.0,Author-level attributed revenue proxy based on title sales and royalty share.
author_contribution_rank,author,"Ringer, Albert",UT,0,author_revenue_rank,2.0,2,,150.0,133.0,766.3,11.4769,0.0,Author-level attributed revenue proxy based on title sales and royalty share.
author_contribution_rank,author,"Carson, Cheryl",CA,0,author_revenue_rank,3.0,1,,100.0,30.0,688.5,10.3117,0.0,Author-level attributed revenue proxy based on title sales and royalty share.
author_contribution_rank,author,"Ringer, Anne",UT,0,author_revenue_rank,4.0,2,,75.0,148.0,621.2,9.3037,0.0,Author-level attributed revenue proxy based on title sales and royalty share.
author_contribution_rank,author,"Dull, Ann",CA,0,author_revenue_rank,5.0,1,,50.0,50.0,500.0,7.4885,0.0,Author-level attributed revenue proxy based on title sales and royalty share.
author_contribution_rank,author,"Hunter, Sheryl",CA,0,author_revenue_rank,6.0,1,,50.0,50.0,500.0,7.4885,0.0,Author-level attributed revenue proxy based on title sales and royalty share.
author_contribution_rank,author,"Karsen, Livia",CA,0,author_revenue_rank,7.0,1,,75.0,20.0,323.85,4.8503,0.0,Author-level attributed revenue proxy based on title sales and royalty share.
author_contribution_rank,author,"Straight, Dean",CA,0,author_revenue_rank,8.0,1,,100.0,15.0,299.85,4.4909,0.0,Author-level attributed revenue proxy based on title sales and royalty share.
author_contribution_rank,author,"White, Johnson",CA,0,author_revenue_rank,9.0,1,,100.0,15.0,299.85,4.4909,0.0,Author-level attributed revenue proxy based on title sales and royalty share.
author_contribution_rank,author,"MacFeather, Stearns",CA,0,author_revenue_rank,10.0,2,,85.0,45.0,287.2,4.3014,0.0,Author-level attributed revenue proxy based on title sales and royalty share.
author_contribution_rank,author,"Blotchet-Halls, Reginald",OR,0,author_revenue_rank,11.0,1,,100.0,20.0,239.0,3.5795,0.0,Author-level attributed revenue proxy based on title sales and royalty share.
author_contribution_rank,author,"Green, Marjorie",CA,0,author_revenue_rank,12.0,2,,140.0,50.0,224.59,3.3637,0.0,Author-level attributed revenue proxy based on title sales and royalty share.
author_contribution_rank,author,"O'Leary, Michael",CA,0,author_revenue_rank,13.0,2,,70.0,45.0,209.44,3.1368,0.0,Author-level attributed revenue proxy based on title sales and royalty share.
author_contribution_rank,author,"del Castillo, Innes",MI,0,author_revenue_rank,14.0,1,,100.0,10.0,199.9,2.9939,0.0,Author-level attributed revenue proxy based on title sales and royalty share.
author_contribution_rank,author,"Locksley, Charlene",CA,0,author_revenue_rank,15.0,2,,200.0,25.0,199.75,2.9917,1.0,Author-level attributed revenue proxy based on title sales and royalty share.
author_contribution_rank,author,"Bennet, Abraham",CA,0,author_revenue_rank,16.0,1,,60.0,15.0,179.91,2.6945,0.0,Author-level attributed revenue proxy based on title sales and royalty share.
author_contribution_rank,author,"Yokomoto, Akiko",CA,0,author_revenue_rank,17.0,1,,40.0,20.0,119.92,1.796,0.0,Author-level attributed revenue proxy based on title sales and royalty share.
author_contribution_rank,author,"Gringlesby, Burt",CA,0,author_revenue_rank,18.0,1,,30.0,20.0,89.94,1.347,0.0,Author-level attributed revenue proxy based on title sales and royalty share.
author_contribution_rank,author,"DeFrance, Michel",IN,0,author_revenue_rank,19.0,1,,75.0,40.0,89.7,1.3434,0.0,Author-level attributed revenue proxy based on title sales and royalty share.
multi_title_author_breadth,author,"Ringer, Albert",UT,0,title_count,2.0,2,,150.0,133.0,766.3,11.4769,0.0,Check whether broader author portfolios translate into stronger attributed demand.
multi_title_author_breadth,author,"Ringer, Anne",UT,0,title_count,2.0,2,,75.0,148.0,621.2,9.3037,0.0,Check whether broader author portfolios translate into stronger attributed demand.
multi_title_author_breadth,author,"MacFeather, Stearns",CA,0,title_count,2.0,2,,85.0,45.0,287.2,4.3014,0.0,Check whether broader author portfolios translate into stronger attributed demand.
multi_title_author_breadth,author,"Green, Marjorie",CA,0,title_count,2.0,2,,140.0,50.0,224.59,3.3637,0.0,Check whether broader author portfolios translate into stronger attributed demand.
multi_title_author_breadth,author,"O'Leary, Michael",CA,0,title_count,2.0,2,,70.0,45.0,209.44,3.1368,0.0,Check whether broader author portfolios translate into stronger attributed demand.
multi_title_author_breadth,author,"Locksley, Charlene",CA,0,title_count,2.0,2,,200.0,25.0,199.75,2.9917,1.0,Check whether broader author portfolios translate into stronger attributed demand.
title_author_split_integrity,title,Straight Talk About Computers,business,Algodata Infosystems,author_count,1.0,1,1,100.0,15.0,299.85,100.0,,Verify author count and royalty-share totals by title.
title_author_split_integrity,title,The Psychology of Computer Cooking,UNDECIDED,Binnet & Hardley,author_count,0.0,1,0,,0.0,0.0,,,Verify author count and royalty-share totals by title.
title_author_split_integrity,title,Emotional Security: A New Algorithm,psychology,New Moon Books,author_count,1.0,1,1,100.0,25.0,199.75,100.0,,Verify author count and royalty-share totals by title.
title_author_split_integrity,title,Fifty Years in Buckingham Palace Kitchens,trad_cook,Binnet & Hardley,author_count,1.0,1,1,100.0,20.0,239.0,100.0,,Verify author count and royalty-share totals by title.
title_author_split_integrity,title,You Can Combat Computer Stress!,business,New Moon Books,author_count,1.0,1,1,100.0,35.0,104.65,100.0,,Verify author count and royalty-share totals by title.
title_author_split_integrity,title,The Gourmet Microwave,mod_cook,Binnet & Hardley,author_count,2.0,1,2,100.0,40.0,119.6,100.0,,Verify author count and royalty-share totals by title.
title_author_split_integrity,title,Net Etiquette,popular_comp,Algodata Infosystems,author_count,1.0,1,1,100.0,0.0,0.0,100.0,,Verify author count and royalty-share totals by title.
title_author_split_integrity,title,Silicon Valley Gastronomic Treats,mod_cook,Binnet & Hardley,author_count,1.0,1,1,100.0,10.0,199.9,100.0,,Verify author count and royalty-share totals by title.
title_author_split_integrity,title,Is Anger the Enemy?,psychology,New Moon Books,author_count,2.0,1,2,100.0,108.0,1182.6,100.0,,Verify author count and royalty-share totals by title.
title_author_split_integrity,title,Prolonged Data Deprivation: Four Case Studies,psychology,New Moon Books,author_count,1.0,1,1,100.0,15.0,299.85,100.0,,Verify author count and royalty-share totals by title.
title_author_split_integrity,title,Cooking with Computers: Surreptitious Balance Sheets,business,Algodata Infosystems,author_count,2.0,1,2,100.0,25.0,298.75,100.0,,Verify author count and royalty-share totals by title.
title_author_split_integrity,title,Secrets of Silicon Valley,popular_comp,Algodata Infosystems,author_count,2.0,1,2,100.0,50.0,1000.0,100.0,,Verify author count and royalty-share totals by title.
title_author_split_integrity,title,Life Without Fear,psychology,New Moon Books,author_count,1.0,1,1,100.0,25.0,175.0,100.0,,Verify author count and royalty-share totals by title.
title_author_split_integrity,title,"Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean",trad_cook,Binnet & Hardley,author_count,1.0,1,1,100.0,40.0,838.0,100.0,,Verify author count and royalty-share totals by title.
