evidence_block,grain,item,item_2,item_3,rank_label,rank_value,title_count,item_count,order_count,sale_lines,sample_qty,revenue_proxy,ytd_sales,ytd_revenue_proxy,price_value,advance_value,royalty_tiers,share_pct,secondary_value,notes
chronology_exception,title,Secrets of Silicon Valley,popular_comp,Algodata Infosystems,first_sale_lag_years,-1.0,1,1,1,1,50.0,1000.0,4095.0,81900.0,20.0,8000.0,4.0,14.977,1994.0,Titles whose observed first sale year predates the recorded publication year.
current_vs_ytd_title_momentum,title,Is Anger the Enemy?,psychology,New Moon Books,rank_gap_current_minus_ytd,-12.0,1,1,4,4,108.0,1182.6,2045.0,22392.75,10.95,2275.0,4.0,17.7118,13.0,Compare current sample revenue rank with ytd catalog-demand rank.
current_vs_ytd_title_momentum,title,"Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean",trad_cook,Binnet & Hardley,rank_gap_current_minus_ytd,-12.0,1,1,1,1,40.0,838.0,375.0,7856.25,20.95,7000.0,8.0,12.5507,15.0,Compare current sample revenue rank with ytd catalog-demand rank.
current_vs_ytd_title_momentum,title,Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology,Binnet & Hardley,rank_gap_current_minus_ytd,-9.0,1,1,1,1,20.0,431.8,375.0,8096.25,21.59,7000.0,5.0,6.4671,14.0,Compare current sample revenue rank with ytd catalog-demand rank.
current_vs_ytd_title_momentum,title,Life Without Fear,psychology,New Moon Books,rank_gap_current_minus_ytd,-2.0,1,1,1,1,25.0,175.0,111.0,777.0,7.0,6000.0,4.0,2.621,16.0,Compare current sample revenue rank with ytd catalog-demand rank.
current_vs_ytd_title_momentum,title,Secrets of Silicon Valley,popular_comp,Algodata Infosystems,rank_gap_current_minus_ytd,-1.0,1,1,1,1,50.0,1000.0,4095.0,81900.0,20.0,8000.0,4.0,14.977,3.0,Compare current sample revenue rank with ytd catalog-demand rank.
current_vs_ytd_title_momentum,title,Cooking with Computers: Surreptitious Balance Sheets,business,Algodata Infosystems,rank_gap_current_minus_ytd,0.0,1,1,1,1,25.0,298.75,3876.0,46318.2,11.95,5000.0,8.0,4.4744,10.0,Compare current sample revenue rank with ytd catalog-demand rank.
current_vs_ytd_title_momentum,title,Prolonged Data Deprivation: Four Case Studies,psychology,New Moon Books,rank_gap_current_minus_ytd,0.0,1,1,1,1,15.0,299.85,4072.0,81399.28,19.99,2000.0,4.0,4.4909,6.0,Compare current sample revenue rank with ytd catalog-demand rank.
current_vs_ytd_title_momentum,title,Emotional Security: A New Algorithm,psychology,New Moon Books,rank_gap_current_minus_ytd,1.0,1,1,1,1,25.0,199.75,3336.0,26654.64,7.99,4000.0,2.0,2.9917,12.0,Compare current sample revenue rank with ytd catalog-demand rank.
current_vs_ytd_title_momentum,title,Silicon Valley Gastronomic Treats,mod_cook,Binnet & Hardley,rank_gap_current_minus_ytd,1.0,1,1,1,1,10.0,199.9,2032.0,40619.68,19.99,0.0,6.0,2.9939,11.0,Compare current sample revenue rank with ytd catalog-demand rank.
current_vs_ytd_title_momentum,title,"Sushi, Anyone?",trad_cook,Binnet & Hardley,rank_gap_current_minus_ytd,1.0,1,1,1,1,20.0,299.8,4095.0,61384.05,14.99,8000.0,3.0,4.4901,8.0,Compare current sample revenue rank with ytd catalog-demand rank.
current_vs_ytd_title_momentum,title,But Is It User Friendly?,popular_comp,Algodata Infosystems,rank_gap_current_minus_ytd,3.0,1,1,1,1,30.0,688.5,8780.0,201501.0,22.95,7000.0,5.0,10.3117,1.0,Compare current sample revenue rank with ytd catalog-demand rank.
current_vs_ytd_title_momentum,title,Straight Talk About Computers,business,Algodata Infosystems,rank_gap_current_minus_ytd,3.0,1,1,1,1,15.0,299.85,4095.0,81859.05,19.99,5000.0,8.0,4.4909,4.0,Compare current sample revenue rank with ytd catalog-demand rank.
current_vs_ytd_title_momentum,title,The Busy Executive's Database Guide,business,Algodata Infosystems,rank_gap_current_minus_ytd,3.0,1,1,2,2,15.0,299.85,4095.0,81859.05,19.99,5000.0,2.0,4.4909,5.0,Compare current sample revenue rank with ytd catalog-demand rank.
current_vs_ytd_title_momentum,title,You Can Combat Computer Stress!,business,New Moon Books,rank_gap_current_minus_ytd,7.0,1,1,1,1,35.0,104.65,18722.0,55978.78,2.99,10125.0,8.0,1.5673,9.0,Compare current sample revenue rank with ytd catalog-demand rank.
current_vs_ytd_title_momentum,title,The Gourmet Microwave,mod_cook,Binnet & Hardley,rank_gap_current_minus_ytd,8.0,1,1,2,2,40.0,119.6,22246.0,66515.54,2.99,15000.0,8.0,1.7913,7.0,Compare current sample revenue rank with ytd catalog-demand rank.
current_vs_ytd_title_momentum,title,Fifty Years in Buckingham Palace Kitchens,trad_cook,Binnet & Hardley,rank_gap_current_minus_ytd,9.0,1,1,1,1,20.0,239.0,15096.0,180397.2,11.95,4000.0,7.0,3.5795,2.0,Compare current sample revenue rank with ytd catalog-demand rank.
publication_cohort_baseline,publication_year,1991,15,0,cohort_revenue_rank,1.0,15,15,20,20,443.0,5676.9,93351.0,963608.72,,,,85.023,2.0,Publication-year cohort baseline for catalog lifecycle and demand.
publication_cohort_baseline,publication_year,1994,1,0,cohort_revenue_rank,2.0,1,1,1,1,50.0,1000.0,4095.0,81900.0,,,,14.977,-1.0,Publication-year cohort baseline for catalog lifecycle and demand.
publication_cohort_baseline,publication_year,2014,0,2,cohort_revenue_rank,3.0,2,0,0,0,0.0,0.0,0.0,0.0,,,,0.0,,Publication-year cohort baseline for catalog lifecycle and demand.
royalty_lifecycle_context,title,Emotional Security: A New Algorithm,psychology,New Moon Books,royalty_tiers,2.0,1,1,1,1,25.0,199.75,3336.0,26654.64,7.99,4000.0,2.0,2.9917,12.0,Royalty schedule depth viewed alongside lifecycle and demand.
royalty_lifecycle_context,title,The Busy Executive's Database Guide,business,Algodata Infosystems,royalty_tiers,2.0,1,1,2,2,15.0,299.85,4095.0,81859.05,19.99,5000.0,2.0,4.4909,12.0,Royalty schedule depth viewed alongside lifecycle and demand.
