evidence_block,grain,item,item_2,item_3,rank_label,rank_value,title_count,author_count,order_value,royaltyper_sum,royaltyper_min,royaltyper_max,sample_qty,revenue_proxy,attributed_revenue_proxy,share_pct,secondary_value,notes
author_order_contribution,author_order,1.0,17,,author_order,1.0,17,,1.0,82.9412,,,,,5028.43,,,Aggregate attributed revenue by author order.
author_order_contribution,author_order,2.0,7,,author_order,2.0,7,,2.0,37.1429,,,,,1558.53,,,Aggregate attributed revenue by author order.
author_order_contribution,author_order,3.0,1,,author_order,3.0,1,,3.0,30.0,,,,,89.94,,,Aggregate attributed revenue by author order.
author_order_share,author_title,"Panteley, Sylvia","Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean",trad_cook,attributed_revenue_rank,1.0,1,,1.0,100.0,,,40.0,838.0,838.0,,8.0,Author order and royalty share within each title.
author_order_share,author_title,"Carson, Cheryl",But Is It User Friendly?,popular_comp,attributed_revenue_rank,2.0,1,,1.0,100.0,,,30.0,688.5,688.5,,5.0,Author order and royalty share within each title.
author_order_share,author_title,"Ringer, Albert",Is Anger the Enemy?,psychology,attributed_revenue_rank,3.0,1,,1.0,50.0,,,108.0,1182.6,591.3,,4.0,Author order and royalty share within each title.
author_order_share,author_title,"Ringer, Anne",Is Anger the Enemy?,psychology,attributed_revenue_rank,4.0,1,,2.0,50.0,,,108.0,1182.6,591.3,,4.0,Author order and royalty share within each title.
author_order_share,author_title,"Dull, Ann",Secrets of Silicon Valley,popular_comp,attributed_revenue_rank,5.0,1,,1.0,50.0,,,50.0,1000.0,500.0,,4.0,Author order and royalty share within each title.
author_order_share,author_title,"Hunter, Sheryl",Secrets of Silicon Valley,popular_comp,attributed_revenue_rank,6.0,1,,2.0,50.0,,,50.0,1000.0,500.0,,4.0,Author order and royalty share within each title.
author_order_share,author_title,"Karsen, Livia",Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology,attributed_revenue_rank,7.0,1,,1.0,75.0,,,20.0,431.8,323.85,,5.0,Author order and royalty share within each title.
author_order_share,author_title,"Straight, Dean",Straight Talk About Computers,business,attributed_revenue_rank,8.0,1,,1.0,100.0,,,15.0,299.85,299.85,,8.0,Author order and royalty share within each title.
author_order_share,author_title,"White, Johnson",Prolonged Data Deprivation: Four Case Studies,psychology,attributed_revenue_rank,9.0,1,,1.0,100.0,,,15.0,299.85,299.85,,4.0,Author order and royalty share within each title.
author_order_share,author_title,"Blotchet-Halls, Reginald",Fifty Years in Buckingham Palace Kitchens,trad_cook,attributed_revenue_rank,10.0,1,,1.0,100.0,,,20.0,239.0,239.0,,7.0,Author order and royalty share within each title.
author_order_share,author_title,"del Castillo, Innes",Silicon Valley Gastronomic Treats,mod_cook,attributed_revenue_rank,11.0,1,,1.0,100.0,,,10.0,199.9,199.9,,6.0,Author order and royalty share within each title.
author_order_share,author_title,"Locksley, Charlene",Emotional Security: A New Algorithm,psychology,attributed_revenue_rank,12.0,1,,1.0,100.0,,,25.0,199.75,199.75,,2.0,Author order and royalty share within each title.
author_order_share,author_title,"Bennet, Abraham",The Busy Executive's Database Guide,business,attributed_revenue_rank,13.0,1,,1.0,60.0,,,15.0,299.85,179.91,,2.0,Author order and royalty share within each title.
author_order_share,author_title,"MacFeather, Stearns",Cooking with Computers: Surreptitious Balance Sheets,business,attributed_revenue_rank,14.0,1,,1.0,60.0,,,25.0,298.75,179.25,,8.0,Author order and royalty share within each title.
author_order_share,author_title,"Ringer, Albert",Life Without Fear,psychology,attributed_revenue_rank,15.0,1,,1.0,100.0,,,25.0,175.0,175.0,,4.0,Author order and royalty share within each title.
author_order_share,author_title,"Green, Marjorie",The Busy Executive's Database Guide,business,attributed_revenue_rank,16.0,1,,2.0,40.0,,,15.0,299.85,119.94,,2.0,Author order and royalty share within each title.
author_order_share,author_title,"Yokomoto, Akiko","Sushi, Anyone?",trad_cook,attributed_revenue_rank,17.0,1,,1.0,40.0,,,20.0,299.8,119.92,,3.0,Author order and royalty share within each title.
author_order_share,author_title,"O'Leary, Michael",Cooking with Computers: Surreptitious Balance Sheets,business,attributed_revenue_rank,18.0,1,,2.0,40.0,,,25.0,298.75,119.5,,8.0,Author order and royalty share within each title.
author_order_share,author_title,"MacFeather, Stearns",Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology,attributed_revenue_rank,19.0,1,,2.0,25.0,,,20.0,431.8,107.95,,5.0,Author order and royalty share within each title.
author_order_share,author_title,"Green, Marjorie",You Can Combat Computer Stress!,business,attributed_revenue_rank,20.0,1,,1.0,100.0,,,35.0,104.65,104.65,,8.0,Author order and royalty share within each title.
author_order_share,author_title,"Gringlesby, Burt","Sushi, Anyone?",trad_cook,attributed_revenue_rank,21.0,1,,3.0,30.0,,,20.0,299.8,89.94,,3.0,Author order and royalty share within each title.
author_order_share,author_title,"O'Leary, Michael","Sushi, Anyone?",trad_cook,attributed_revenue_rank,22.0,1,,2.0,30.0,,,20.0,299.8,89.94,,3.0,Author order and royalty share within each title.
author_order_share,author_title,"DeFrance, Michel",The Gourmet Microwave,mod_cook,attributed_revenue_rank,23.0,1,,1.0,75.0,,,40.0,119.6,89.7,,8.0,Author order and royalty share within each title.
author_order_share,author_title,"Ringer, Anne",The Gourmet Microwave,mod_cook,attributed_revenue_rank,24.0,1,,2.0,25.0,,,40.0,119.6,29.9,,8.0,Author order and royalty share within each title.
author_order_share,author_title,"Locksley, Charlene",Net Etiquette,popular_comp,attributed_revenue_rank,25.0,1,,1.0,100.0,,,0.0,0.0,0.0,,0.0,Author order and royalty share within each title.
high_revenue_split_titles,title,Is Anger the Enemy?,equal_split,New Moon Books,title_revenue_rank,1.0,1,2,,100.0,50.0,50.0,108.0,1182.6,,17.7118,4.0,Highest-revenue titles and their royalty split patterns.
high_revenue_split_titles,title,Secrets of Silicon Valley,equal_split,Algodata Infosystems,title_revenue_rank,2.0,1,2,,100.0,50.0,50.0,50.0,1000.0,,14.977,4.0,Highest-revenue titles and their royalty split patterns.
