evidence_block,grain,item,item_2,item_3,rank_label,rank_value,businesses,reviews,tips,avg_business_stars,avg_review_stars,active_rate_pct,long_review_rate_pct,share_pct,notes
category_baseline,category,Restaurants,,,category_business_rank,1,5556,224732,58465,3.4591,3.4522,80.0756,17.2717,35.6497,category size and rating context before reading attributes
category_baseline,category,Shopping,,,category_business_rank,2,2499,20492,6015,3.6897,3.6689,91.3565,15.9771,16.0346,category size and rating context before reading attributes
category_baseline,category,Food,,,category_business_rank,3,2091,46292,15356,3.7637,3.7586,84.8398,14.2899,13.4167,category size and rating context before reading attributes
category_baseline,category,Beauty & Spas,,,category_business_rank,4,1109,8719,1780,3.9504,3.9461,95.0406,14.8529,7.1158,category size and rating context before reading attributes
category_baseline,category,Automotive,,,category_business_rank,5,859,5361,1338,3.7806,3.7811,96.9732,14.8337,5.5117,category size and rating context before reading attributes
category_baseline,category,Mexican,,,category_business_rank,6,822,28201,7141,3.5146,3.5165,82.2384,15.9705,5.2743,category size and rating context before reading attributes
category_baseline,category,Health & Medical,,,category_business_rank,7,815,3783,541,3.9417,3.9375,97.6687,22.5253,5.2294,category size and rating context before reading attributes
category_baseline,category,Home Services,,,category_business_rank,8,761,3497,291,3.6439,3.6228,97.8975,22.9416,4.8829,category size and rating context before reading attributes
category_baseline,category,Nightlife,,,category_business_rank,9,752,42268,12135,3.5419,3.5333,71.4096,21.506,4.8252,category size and rating context before reading attributes
category_baseline,category,Fashion,,,category_business_rank,10,701,5901,1875,3.674,3.6623,91.4408,15.2532,4.4979,category size and rating context before reading attributes
category_baseline,category,Active Life,,,category_business_rank,11,695,7958,2356,4.0719,4.0671,92.8058,22.1695,4.4594,category size and rating context before reading attributes
category_baseline,category,Bars,,,category_business_rank,12,628,38294,10887,3.5295,3.5189,71.1783,21.0647,4.0295,category size and rating context before reading attributes
category_baseline,category,Sandwiches,,,category_business_rank,13,609,21543,5587,3.5624,3.547,87.8489,14.5708,3.9076,category size and rating context before reading attributes
category_baseline,category,American (Traditional),,,category_business_rank,14,607,26792,8338,3.3517,3.3434,79.9012,18.4909,3.8948,category size and rating context before reading attributes
category_baseline,category,Fast Food,,,category_business_rank,15,599,6680,2764,3.0726,3.0442,94.8247,11.2131,3.8434,category size and rating context before reading attributes
category_baseline,category,Pizza,,,category_business_rank,16,589,23544,5515,3.3956,3.3887,83.5314,14.6935,3.7793,category size and rating context before reading attributes
category_baseline,category,Event Planning & Services,,,category_business_rank,17,588,9597,2292,3.6726,3.648,91.8367,23.6312,3.7729,category size and rating context before reading attributes
category_baseline,category,Local Services,,,category_business_rank,18,540,3051,520,3.8463,3.8419,96.6667,14.9567,3.4649,category size and rating context before reading attributes
category_baseline,category,Hotels & Travel,,,category_business_rank,19,495,10197,2724,3.403,3.3899,95.3535,24.7161,3.1761,category size and rating context before reading attributes
category_baseline,category,American (New),,,category_business_rank,20,441,34085,9032,3.6383,3.627,73.0159,22.3897,2.8296,category size and rating context before reading attributes
attribute_coverage,attribute,Accepts Credit Cards,,,attribute_business_rank,1,10770,291078,77426,3.6585,3.6517,85.3482,17.3614,69.1049,most common listed business attributes regardless of value
attribute_coverage,attribute,Price Range,,,attribute_business_rank,2,9805,285601,76353,3.6207,3.6129,84.1203,17.3079,62.9131,most common listed business attributes regardless of value
attribute_coverage,attribute,parking_garage,,,attribute_business_rank,3,9254,279518,75005,3.6472,3.6413,83.5206,17.2323,59.3776,most common listed business attributes regardless of value
attribute_coverage,attribute,parking_lot,,,attribute_business_rank,4,9254,279518,75005,3.6472,3.6413,83.5206,17.2323,59.3776,most common listed business attributes regardless of value
attribute_coverage,attribute,parking_street,,,attribute_business_rank,5,9254,279518,75005,3.6472,3.6413,83.5206,17.2323,59.3776,most common listed business attributes regardless of value
attribute_coverage,attribute,parking_valet,,,attribute_business_rank,6,9254,279518,75005,3.6472,3.6413,83.5206,17.2323,59.3776,most common listed business attributes regardless of value
attribute_coverage,attribute,parking_validated,,,attribute_business_rank,7,9254,279518,75005,3.6472,3.6413,83.5206,17.2323,59.3776,most common listed business attributes regardless of value
attribute_coverage,attribute,Good for Kids,,,attribute_business_rank,8,5761,240734,64860,3.6175,3.6178,81.774,18.7006,36.965,most common listed business attributes regardless of value
attribute_coverage,attribute,Wheelchair Accessible,,,attribute_business_rank,9,5590,232819,60522,3.6621,3.6625,78.7835,18.6027,35.8678,most common listed business attributes regardless of value
attribute_coverage,attribute,Outdoor Seating,,,attribute_business_rank,10,5327,238133,63080,3.534,3.5328,78.9938,18.0149,34.1803,most common listed business attributes regardless of value
attribute_coverage,attribute,Good For Groups,,,attribute_business_rank,11,4932,231369,60346,3.5182,3.5157,78.528,18.6002,31.6458,most common listed business attributes regardless of value
attribute_coverage,attribute,Attire,,,attribute_business_rank,12,4843,224585,58270,3.5077,3.504,78.98,18.0897,31.0748,most common listed business attributes regardless of value
attribute_coverage,attribute,Waiter Service,,,attribute_business_rank,13,4805,224612,58322,3.5068,3.5058,78.9594,18.177,30.8309,most common listed business attributes regardless of value
attribute_coverage,attribute,Alcohol,,,attribute_business_rank,14,4790,229406,59943,3.5294,3.5261,79.9374,18.4102,30.7347,most common listed business attributes regardless of value
attribute_coverage,attribute,Take-out,,,attribute_business_rank,15,4748,223298,58136,3.5136,3.5106,80.1811,17.8435,30.4652,most common listed business attributes regardless of value
attribute_coverage,attribute,good_for_breakfast,,,attribute_business_rank,16,4707,223290,57983,3.5253,3.523,78.9463,18.1971,30.2021,most common listed business attributes regardless of value
attribute_coverage,attribute,good_for_dinner,,,attribute_business_rank,17,4707,223290,57983,3.5253,3.523,78.9463,18.1971,30.2021,most common listed business attributes regardless of value
attribute_coverage,attribute,good_for_latenight,,,attribute_business_rank,18,4707,223290,57983,3.5253,3.523,78.9463,18.1971,30.2021,most common listed business attributes regardless of value
attribute_coverage,attribute,good_for_lunch,,,attribute_business_rank,19,4707,223290,57983,3.5253,3.523,78.9463,18.1971,30.2021,most common listed business attributes regardless of value
attribute_coverage,attribute,good_for_brunch,,,attribute_business_rank,20,4677,223143,57973,3.5274,3.5256,79.303,18.1363,30.0096,most common listed business attributes regardless of value
attribute_coverage,attribute,good_for_dessert,,,attribute_business_rank,21,4677,223143,57973,3.5274,3.5256,79.303,18.1363,30.0096,most common listed business attributes regardless of value
attribute_coverage,attribute,Takes Reservations,,,attribute_business_rank,22,4462,220436,57220,3.5202,3.5173,80.6365,18.1019,28.6301,most common listed business attributes regardless of value
attribute_coverage,attribute,Delivery,,,attribute_business_rank,23,4460,220268,57255,3.5121,3.5112,80.5157,18.0727,28.6173,most common listed business attributes regardless of value
attribute_coverage,attribute,Noise Level,,,attribute_business_rank,24,4182,222395,59263,3.5617,3.5594,88.5222,17.3276,26.8335,most common listed business attributes regardless of value
attribute_coverage,attribute,ambience_casual,,,attribute_business_rank,25,4072,221285,58899,3.5685,3.5676,88.556,17.3622,26.1277,most common listed business attributes regardless of value
attribute_value_quality,attribute_value,Accepts Credit Cards,true,,attribute_value_rank,1,10464,286852,76553,3.6548,3.6475,85.216,17.2752,67.1415,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,Wheelchair Accessible,true,,attribute_value_rank,2,5369,226806,58894,3.6707,3.6725,78.5435,18.668,34.4498,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,parking_lot,true,,attribute_value_rank,3,4921,205352,55103,3.7274,3.7306,84.1902,17.7849,31.5752,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,Price Range,2,,attribute_value_rank,4,4795,171253,45637,3.6576,3.6494,84.2127,18.2225,30.7668,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,Good for Kids,true,,attribute_value_rank,5,4720,175131,48994,3.6242,3.6262,83.072,17.3606,30.2855,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,Attire,casual,,attribute_value_rank,6,4716,216344,56903,3.5014,3.4974,79.1985,17.7719,30.2599,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,Take-out,true,,attribute_value_rank,7,4514,209542,54941,3.5115,3.5088,80.5051,17.3976,28.9637,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,Good For Groups,true,,attribute_value_rank,8,4281,207580,54999,3.544,3.544,77.8556,18.8303,27.4687,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,Price Range,1,,attribute_value_rank,9,3893,87377,24860,3.5907,3.5874,83.4061,14.6758,24.9791,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,Outdoor Seating,true,,attribute_value_rank,10,2973,160054,43328,3.6004,3.6022,77.5311,18.3937,19.076,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,Noise Level,average,,attribute_value_rank,11,2753,174679,45956,3.5884,3.5872,89.4297,17.2497,17.6644,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,Waiter Service,true,,attribute_value_rank,12,2666,164582,41169,3.5311,3.533,75.1313,21.2675,17.1062,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,Has TV,true,,attribute_value_rank,13,2173,127146,34485,3.5605,3.5565,87.2987,18.23,13.9429,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,good_for_lunch,true,,attribute_value_rank,14,2116,125962,33932,3.6467,3.6579,82.0888,17.4658,13.5772,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,good_for_dinner,true,,attribute_value_rank,15,2103,158049,39512,3.6479,3.6558,81.0747,20.0188,13.4937,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,ambience_casual,true,,attribute_value_rank,16,1961,153635,41579,3.693,3.6972,90.617,17.7556,12.5826,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,Alcohol,full_bar,,attribute_value_rank,17,1928,127973,32817,3.5135,3.5086,74.4295,22.7012,12.3709,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,Wi-Fi,free,,attribute_value_rank,18,1585,79941,23725,3.647,3.6408,87.571,18.2801,10.17,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,Caters,true,,attribute_value_rank,19,1472,96231,24839,3.6855,3.6873,89.7418,16.987,9.445,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,Takes Reservations,true,,attribute_value_rank,20,1384,101309,24024,3.599,3.6058,76.3006,23.1537,8.8803,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,Price Range,3,,attribute_value_rank,21,939,23011,5155,3.5911,3.5709,85.836,22.9056,6.025,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,Noise Level,quiet,,attribute_value_rank,22,873,24696,5717,3.6397,3.6324,86.827,16.8406,5.6015,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,Delivery,true,,attribute_value_rank,23,754,24571,6106,3.4695,3.4486,81.6976,16.2887,4.838,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,By Appointment Only,true,,attribute_value_rank,24,729,4303,542,4.1715,4.1672,95.8848,21.3327,4.6776,attribute values compared on rating and review voice
attribute_value_quality,attribute_value,parking_street,true,,attribute_value_rank,25,694,47608,11452,3.8703,3.875,75.7925,20.8541,4.453,attribute values compared on rating and review voice
category_attribute_interaction,category_attribute,Restaurants,Price Range,,category_attribute_rank,1,4880,221624,57413,3.499,3.495,79.1598,18.1183,31.3122,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Restaurants,Accepts Credit Cards,,category_attribute_rank,2,4796,219166,56902,3.4999,3.4983,79.5246,17.9128,30.7732,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Restaurants,Attire,,category_attribute_rank,3,4749,220293,57013,3.5027,3.4995,79.0903,18.0822,30.4716,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Restaurants,Take-out,,category_attribute_rank,4,4438,206508,54049,3.5069,3.5051,80.5768,17.4048,28.4761,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Restaurants,Good For Groups,,category_attribute_rank,5,3934,195890,51472,3.5381,3.5394,78.3935,18.5394,25.2422,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Restaurants,Noise Level,,category_attribute_rank,6,3913,212176,55972,3.5549,3.5533,88.7299,17.092,25.1075,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Restaurants,Good for Kids,,category_attribute_rank,7,3856,160214,42722,3.5162,3.5186,80.7054,16.8135,24.7417,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Restaurants,Wheelchair Accessible,,category_attribute_rank,8,3096,185823,46586,3.5551,3.5619,74.8708,19.4074,19.8653,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Restaurants,parking_lot,,category_attribute_rank,9,2766,166437,43207,3.6242,3.6342,81.3811,18.6211,17.7478,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Restaurants,Waiter Service,,category_attribute_rank,10,2613,161841,40328,3.5283,3.5313,75.0478,21.1969,16.7661,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Restaurants,Outdoor Seating,,category_attribute_rank,11,2498,147153,38831,3.5857,3.5873,78.2626,18.6708,16.0282,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Restaurants,Alcohol,,category_attribute_rank,12,2267,155077,38919,3.5529,3.5551,76.3564,21.188,14.546,large category-attribute overlaps to avoid treating attributes as universal
category_attribute_interaction,category_attribute,Shopping,Accepts Credit Cards,,category_attribute_rank,13,2182,19243,5754,3.717,3.695,90.9716,16.104,14.0006,large category-attribute overlaps to avoid treating attributes as universal
