evidence_block,grain,item,item_2,item_3,rank_label,rank_value,businesses,reviews,tips,checkin_slots,avg_business_stars,avg_review_stars,avg_open_days,active_rate_pct,share_pct,notes
hours_coverage_baseline,hours_presence,no_hours_listed,,,hours_presence_rank,1,8133,81134,24554,175797,3.5034,3.4901,0.0,86.315,52.1848,coverage of listed hours before using hours as operating evidence
hours_coverage_baseline,hours_presence,has_hours_listed,,,hours_presence_rank,2,7452,241772,62603,253860,3.8626,3.8608,6.4185,90.0832,47.8152,coverage of listed hours before using hours as operating evidence
open_days_profile,open_days_bucket,no_hours_listed,,,open_days_rank,1,8133,81134,24554,175797,3.5034,3.4901,0.0,86.315,52.1848,listed open-day breadth compared with rating and activity
open_days_profile,open_days_bucket,seven_days,,,open_days_rank,2,4744,195557,52823,215936,3.7233,3.7223,7.0,89.7133,30.4395,listed open-day breadth compared with rating and activity
open_days_profile,open_days_bucket,four_to_six_days,,,open_days_rank,3,2592,45126,9543,36909,4.1094,4.1058,5.5525,90.8951,16.6314,listed open-day breadth compared with rating and activity
open_days_profile,open_days_bucket,one_to_three_days,,,open_days_rank,4,116,1089,237,1015,4.0431,4.0518,1.9914,87.069,0.7443,listed open-day breadth compared with rating and activity
day_checkin_profile,day_of_week,Friday,,,day_checkin_rank,1,10300,,,73808,3.6569,,,93.6355,17.1784,check-in intensity by day of week
day_checkin_profile,day_of_week,Thursday,,,day_checkin_rank,2,10196,,,67712,3.6545,,,93.7083,15.7595,check-in intensity by day of week
day_checkin_profile,day_of_week,Wednesday,,,day_checkin_rank,3,9872,,,59673,3.6542,,,94.1562,13.8885,check-in intensity by day of week
day_checkin_profile,day_of_week,Saturday,,,day_checkin_rank,4,9092,,,59241,3.6292,,,94.1992,13.788,check-in intensity by day of week
day_checkin_profile,day_of_week,Tuesday,,,day_checkin_rank,5,9828,,,57729,3.6558,,,94.1701,13.4361,check-in intensity by day of week
day_checkin_profile,day_of_week,Monday,,,day_checkin_rank,6,9746,,,56359,3.6585,,,94.4526,13.1172,check-in intensity by day of week
day_checkin_profile,day_of_week,Sunday,,,day_checkin_rank,7,9623,,,55135,3.6465,,,94.7799,12.8323,check-in intensity by day of week
daypart_checkin_profile,daypart,afternoon,,,daypart_rank,1,11262,,,187469,3.6633,,,94.0913,43.6322,check-in intensity by broad daypart
daypart_checkin_profile,daypart,evening,,,daypart_rank,2,10198,,,136611,3.6431,,,93.196,31.7954,check-in intensity by broad daypart
daypart_checkin_profile,daypart,morning,,,daypart_rank,3,9577,,,76659,3.6641,,,95.8117,17.8419,check-in intensity by broad daypart
daypart_checkin_profile,daypart,late_night,,,daypart_rank,4,5458,,,28918,3.5746,,,94.1346,6.7305,check-in intensity by broad daypart
